Date,OMAXAUTO
2015-01-01,58.5
2015-01-02,57.75
2015-01-05,57.0
2015-01-06,55.55
2015-01-07,54.7
2015-01-08,55.85
2015-01-09,55.45
2015-01-12,56.4
2015-01-13,56.5
2015-01-14,55.75
2015-01-15,56.25
2015-01-16,56.0
2015-01-19,62.2
2015-01-20,63.8
2015-01-21,61.0
2015-01-22,62.0
2015-01-23,63.3
2015-01-27,54.15
2015-01-28,52.65
2015-01-29,52.1
2015-01-30,50.0
2015-02-02,51.05
2015-02-03,50.25
2015-02-04,49.85
2015-02-05,48.85
2015-02-06,46.55
2015-02-09,45.25
2015-02-10,44.85
2015-02-11,45.15
2015-02-12,45.65
2015-02-13,45.9
2015-02-16,46.5
2015-02-18,46.3
2015-02-19,45.85
2015-02-20,46.5
2015-02-23,46.8
2015-02-24,46.2
2015-02-25,46.6
2015-02-26,45.7
2015-02-27,45.95
2015-02-28,45.0
2015-03-02,46.65
2015-03-03,45.85
2015-03-04,45.3
2015-03-05,45.75
2015-03-09,44.75
2015-03-10,45.65
2015-03-11,44.25
2015-03-12,44.7
2015-03-13,44.1
2015-03-16,43.75
2015-03-17,43.75
2015-03-18,43.25
2015-03-19,44.1
2015-03-20,42.05
2015-03-23,42.25
2015-03-24,40.95
2015-03-25,40.25
2015-03-26,40.7
2015-03-27,39.75
2015-03-30,42.65
2015-03-31,41.35
2015-04-01,41.9
2015-04-06,43.35
2015-04-07,43.95
2015-04-08,44.05
2015-04-09,45.6
2015-04-10,46.3
2015-04-13,47.9
2015-04-15,47.6
2015-04-16,46.75
2015-04-17,45.75
2015-04-20,44.55
2015-04-21,43.8
2015-04-22,43.1
2015-04-23,42.55
2015-04-24,40.4
2015-04-27,39.05
2015-04-28,39.0
2015-04-29,40.5
2015-04-30,40.2
2015-05-04,41.0
2015-05-05,40.55
2015-05-06,38.75
2015-05-07,37.75
2015-05-08,40.65
2015-05-11,39.55
2015-05-12,38.55
2015-05-13,39.1
2015-05-14,39.0
2015-05-15,39.95
2015-05-18,40.45
2015-05-19,41.75
2015-05-20,41.8
2015-05-21,40.9
2015-05-22,43.55
2015-05-25,47.05
2015-05-26,44.85
2015-05-27,45.1
2015-05-28,44.25
2015-05-29,43.15
2015-06-01,43.0
2015-06-02,42.5
2015-06-03,41.7
2015-06-04,41.5
2015-06-05,41.4
2015-06-08,41.6
2015-06-09,40.85
2015-06-10,41.1
2015-06-11,41.0
2015-06-12,40.15
2015-06-15,40.45
2015-06-16,39.5
2015-06-17,40.4
2015-06-18,40.85
2015-06-19,40.9
2015-06-22,41.85
2015-06-23,42.05
2015-06-24,41.3
2015-06-25,41.55
2015-06-26,42.65
2015-06-29,41.35
2015-06-30,41.3
2015-07-01,45.75
2015-07-02,46.0
2015-07-03,46.15
2015-07-06,48.0
2015-07-07,48.5
2015-07-08,46.4
2015-07-09,46.65
2015-07-10,46.35
2015-07-13,46.8
2015-07-14,47.25
2015-07-15,48.4
2015-07-16,57.85
2015-07-17,52.85
2015-07-20,51.45
2015-07-21,49.75
2015-07-22,50.25
2015-07-23,54.65
2015-07-24,54.9
2015-07-27,51.5
2015-07-28,49.75
2015-07-29,49.75
2015-07-30,50.5
2015-07-31,50.55
2015-08-03,52.3
2015-08-04,53.85
2015-08-05,53.4
2015-08-06,54.1
2015-08-07,53.0
2015-08-10,51.7
2015-08-11,49.95
2015-08-12,48.05
2015-08-13,48.35
2015-08-14,48.95
2015-08-17,49.35
2015-08-18,55.75
2015-08-19,56.65
2015-08-20,53.65
2015-08-21,52.7
2015-08-24,46.1
2015-08-25,44.85
2015-08-26,46.85
2015-08-27,50.35
2015-08-28,48.25
2015-08-31,47.8
2015-09-01,47.8
2015-09-02,47.45
2015-09-03,47.35
2015-09-04,45.95
2015-09-07,43.35
2015-09-08,44.45
2015-09-09,46.35
2015-09-10,46.55
2015-09-11,46.05
2015-09-14,46.0
2015-09-15,46.1
2015-09-16,46.15
2015-09-18,46.7
2015-09-21,45.8
2015-09-22,47.1
2015-09-23,45.9
2015-09-24,46.1
2015-09-28,45.55
2015-09-29,46.8
2015-09-30,46.65
2015-10-01,45.9
2015-10-05,46.75
2015-10-06,46.8
2015-10-07,46.85
2015-10-08,46.55
2015-10-09,46.75
2015-10-12,45.85
2015-10-13,46.0
2015-10-14,46.4
2015-10-15,50.1
2015-10-16,50.15
2015-10-19,50.9
2015-10-20,50.95
2015-10-21,51.1
2015-10-23,51.2
2015-10-26,50.05
2015-10-27,49.25
2015-10-28,49.9
2015-10-29,49.95
2015-10-30,59.8
2015-11-02,57.95
2015-11-03,57.6
2015-11-04,57.8
2015-11-05,55.4
2015-11-06,54.35
2015-11-09,55.15
2015-11-10,54.75
2015-11-11,57.3
2015-11-13,57.35
2015-11-16,58.65
2015-11-17,57.8
2015-11-18,56.8
2015-11-19,57.3
2015-11-20,59.5
2015-11-23,71.4
2015-11-24,80.7
2015-11-26,82.85
2015-11-27,80.2
2015-11-30,77.15
2015-12-01,78.8
2015-12-02,77.05
2015-12-03,82.4
2015-12-04,79.25
2015-12-07,78.45
2015-12-08,76.9
2015-12-09,76.95
2015-12-10,77.2
2015-12-11,77.1
2015-12-14,84.8
2015-12-15,86.25
2015-12-16,87.75
2015-12-17,89.35
2015-12-18,86.85
2015-12-21,85.3
2015-12-22,88.25
2015-12-23,87.4
2015-12-24,88.0
2015-12-28,86.45
2015-12-29,85.05
2015-12-30,84.85
2015-12-31,84.2
