Date,BLISSGVS
2015-01-01,67.55
2015-01-02,66.75
2015-01-05,66.55
2015-01-06,63.95
2015-01-07,63.7
2015-01-08,66.65
2015-01-09,67.3
2015-01-12,67.0
2015-01-13,67.95
2015-01-14,71.2
2015-01-15,75.65
2015-01-16,77.8
2015-01-19,82.55
2015-01-20,79.45
2015-01-21,77.4
2015-01-22,80.1
2015-01-23,81.75
2015-01-27,86.2
2015-01-28,85.35
2015-01-29,89.85
2015-01-30,96.9
2015-02-02,103.3
2015-02-03,118.15
2015-02-04,122.1
2015-02-05,115.15
2015-02-06,105.2
2015-02-09,107.1
2015-02-10,109.85
2015-02-11,112.75
2015-02-12,112.1
2015-02-13,110.9
2015-02-16,114.05
2015-02-18,114.7
2015-02-19,112.2
2015-02-20,108.6
2015-02-23,107.8
2015-02-24,104.3
2015-02-25,106.95
2015-02-26,110.1
2015-02-27,106.2
2015-02-28,106.7
2015-03-02,110.75
2015-03-03,119.45
2015-03-04,119.15
2015-03-05,123.3
2015-03-09,127.5
2015-03-10,125.8
2015-03-11,129.15
2015-03-12,138.45
2015-03-13,134.75
2015-03-16,132.45
2015-03-17,139.55
2015-03-18,135.25
2015-03-19,130.55
2015-03-20,126.1
2015-03-23,119.45
2015-03-24,123.75
2015-03-25,125.4
2015-03-26,121.15
2015-03-27,117.4
2015-03-30,129.25
2015-03-31,128.7
2015-04-01,126.15
2015-04-06,127.25
2015-04-07,126.45
2015-04-08,140.6
2015-04-09,139.3
2015-04-10,140.55
2015-04-13,141.2
2015-04-15,140.45
2015-04-16,139.8
2015-04-17,135.4
2015-04-20,138.05
2015-04-21,135.9
2015-04-22,133.25
2015-04-23,132.6
2015-04-24,127.75
2015-04-27,119.25
2015-04-28,117.0
2015-04-29,118.25
2015-04-30,118.65
2015-05-04,127.25
2015-05-05,122.65
2015-05-06,116.7
2015-05-07,112.55
2015-05-08,114.5
2015-05-11,115.3
2015-05-12,112.8
2015-05-13,121.3
2015-05-14,119.3
2015-05-15,118.8
2015-05-18,123.5
2015-05-19,124.55
2015-05-20,122.8
2015-05-21,123.3
2015-05-22,120.9
2015-05-25,118.45
2015-05-26,120.85
2015-05-27,125.75
2015-05-28,125.15
2015-05-29,124.4
2015-06-01,122.45
2015-06-02,118.1
2015-06-03,114.5
2015-06-04,113.35
2015-06-05,114.55
2015-06-08,111.75
2015-06-09,108.7
2015-06-10,118.5
2015-06-11,113.25
2015-06-12,110.4
2015-06-15,116.2
2015-06-16,114.45
2015-06-17,119.55
2015-06-18,117.5
2015-06-19,116.35
2015-06-22,117.65
2015-06-23,116.9
2015-06-24,115.7
2015-06-25,116.15
2015-06-26,116.0
2015-06-29,121.55
2015-06-30,125.0
2015-07-01,131.5
2015-07-02,131.7
2015-07-03,158.0
2015-07-06,173.5
2015-07-07,176.0
2015-07-08,166.65
2015-07-09,161.55
2015-07-10,158.75
2015-07-13,157.2
2015-07-14,172.9
2015-07-15,178.5
2015-07-16,192.15
2015-07-17,184.9
2015-07-20,177.45
2015-07-21,176.4
2015-07-22,189.0
2015-07-23,191.3
2015-07-24,195.0
2015-07-27,187.4
2015-07-28,195.1
2015-07-29,196.3
2015-07-30,196.65
2015-07-31,195.05
2015-08-03,189.85
2015-08-04,187.65
2015-08-05,183.65
2015-08-06,181.9
2015-08-07,184.55
2015-08-10,186.0
2015-08-11,182.55
2015-08-12,176.3
2015-08-13,162.6
2015-08-14,186.65
2015-08-17,183.35
2015-08-18,180.1
2015-08-19,178.25
2015-08-20,167.55
2015-08-21,166.75
2015-08-24,140.75
2015-08-25,147.5
2015-08-26,135.4
2015-08-27,146.45
2015-08-28,157.2
2015-08-31,161.4
2015-09-01,153.2
2015-09-02,157.1
2015-09-03,170.15
2015-09-04,164.05
2015-09-07,160.0
2015-09-08,170.95
2015-09-09,176.25
2015-09-10,170.9
2015-09-11,172.4
2015-09-14,170.9
2015-09-15,170.95
2015-09-16,175.8
2015-09-18,179.7
2015-09-21,187.2
2015-09-22,178.85
2015-09-23,186.95
2015-09-24,186.05
2015-09-28,182.1
2015-09-29,183.2
2015-09-30,181.15
2015-10-01,183.65
2015-10-05,200.7
2015-10-06,201.95
2015-10-07,205.85
2015-10-08,197.6
2015-10-09,196.15
2015-10-12,191.95
2015-10-13,192.8
2015-10-14,192.0
2015-10-15,193.65
2015-10-16,191.15
2015-10-19,191.0
2015-10-20,186.85
2015-10-21,185.85
2015-10-23,182.2
2015-10-26,178.05
2015-10-27,178.8
2015-10-28,177.6
2015-10-29,177.3
2015-10-30,174.2
2015-11-02,174.1
2015-11-03,173.55
2015-11-04,178.75
2015-11-05,174.45
2015-11-06,179.85
2015-11-09,193.35
2015-11-10,181.3
2015-11-11,185.05
2015-11-13,178.6
2015-11-16,173.5
2015-11-17,176.05
2015-11-18,173.15
2015-11-19,172.25
2015-11-20,172.75
2015-11-23,175.85
2015-11-24,186.05
2015-11-26,188.65
2015-11-27,192.35
2015-11-30,188.3
2015-12-01,187.05
2015-12-02,185.95
2015-12-03,183.65
2015-12-04,180.85
2015-12-07,178.6
2015-12-08,173.4
2015-12-09,170.9
2015-12-10,166.75
2015-12-11,163.75
2015-12-14,162.65
2015-12-15,169.25
2015-12-16,178.1
2015-12-17,184.5
2015-12-18,182.65
2015-12-21,180.05
2015-12-22,181.4
2015-12-23,179.9
2015-12-24,179.85
2015-12-28,183.5
2015-12-29,180.95
2015-12-30,178.65
2015-12-31,176.05
