Date,SRSLTD
2015-01-01,26.0
2015-01-02,26.55
2015-01-05,26.9
2015-01-06,26.3
2015-01-07,25.95
2015-01-08,25.8
2015-01-09,25.85
2015-01-12,26.55
2015-01-13,26.9
2015-01-14,26.2
2015-01-15,26.2
2015-01-16,26.3
2015-01-19,26.0
2015-01-20,25.8
2015-01-21,25.55
2015-01-22,25.35
2015-01-23,25.25
2015-01-27,25.3
2015-01-28,25.1
2015-01-29,25.15
2015-01-30,25.15
2015-02-02,25.25
2015-02-03,25.85
2015-02-04,26.05
2015-02-05,26.15
2015-02-06,25.35
2015-02-09,25.45
2015-02-10,25.2
2015-02-11,25.15
2015-02-12,25.2
2015-02-13,25.25
2015-02-16,25.0
2015-02-18,25.0
2015-02-19,25.05
2015-02-20,25.0
2015-02-23,24.95
2015-02-24,25.0
2015-02-25,25.05
2015-02-26,25.05
2015-02-27,25.0
2015-02-28,25.2
2015-03-02,25.0
2015-03-03,24.9
2015-03-04,24.75
2015-03-05,24.6
2015-03-09,24.65
2015-03-10,24.65
2015-03-11,24.75
2015-03-12,24.85
2015-03-13,24.7
2015-03-16,24.5
2015-03-17,24.05
2015-03-18,23.85
2015-03-19,22.9
2015-03-20,22.0
2015-03-23,21.25
2015-03-24,20.35
2015-03-25,20.0
2015-03-26,19.95
2015-03-27,19.9
2015-03-30,21.8
2015-03-31,21.9
2015-04-01,22.75
2015-04-06,24.85
2015-04-07,24.6
2015-04-08,24.55
2015-04-09,24.35
2015-04-10,24.35
2015-04-13,24.2
2015-04-15,23.5
2015-04-16,23.4
2015-04-17,23.65
2015-04-20,22.75
2015-04-21,22.75
2015-04-22,22.85
2015-04-23,23.35
2015-04-24,22.85
2015-04-27,22.4
2015-04-28,22.4
2015-04-29,21.3
2015-04-30,20.85
2015-05-04,20.8
2015-05-05,20.5
2015-05-06,20.3
2015-05-07,20.5
2015-05-08,20.75
2015-05-11,24.8
2015-05-12,23.45
2015-05-13,23.65
2015-05-14,23.75
2015-05-15,23.3
2015-05-18,22.5
2015-05-19,22.0
2015-05-20,21.9
2015-05-21,21.75
2015-05-22,21.25
2015-05-25,20.5
2015-05-26,21.05
2015-05-27,21.35
2015-05-28,21.1
2015-05-29,21.55
2015-06-01,22.05
2015-06-02,22.0
2015-06-03,21.5
2015-06-04,21.3
2015-06-05,21.25
2015-06-08,20.85
2015-06-09,20.9
2015-06-10,20.85
2015-06-11,20.35
2015-06-12,20.7
2015-06-15,21.0
2015-06-16,20.8
2015-06-17,22.0
2015-06-18,23.15
2015-06-19,23.95
2015-06-22,25.75
2015-06-23,27.0
2015-06-24,24.85
2015-06-25,14.0
2015-06-26,13.95
2015-06-29,13.05
2015-06-30,13.0
2015-07-01,13.45
2015-07-02,13.65
2015-07-03,14.15
2015-07-06,16.55
2015-07-07,16.55
2015-07-08,15.85
2015-07-09,15.85
2015-07-10,14.7
2015-07-13,15.1
2015-07-14,15.0
2015-07-15,15.7
2015-07-16,15.45
2015-07-17,14.7
2015-07-20,14.8
2015-07-21,14.4
2015-07-22,14.05
2015-07-23,13.5
2015-07-24,13.65
2015-07-27,13.45
2015-07-28,13.55
2015-07-29,14.45
2015-07-30,14.7
2015-07-31,14.7
2015-08-03,15.0
2015-08-04,15.3
2015-08-05,15.75
2015-08-06,15.4
2015-08-07,15.3
2015-08-10,15.5
2015-08-11,15.65
2015-08-12,15.1
2015-08-13,14.9
2015-08-14,14.95
2015-08-17,14.85
2015-08-18,14.6
2015-08-19,14.85
2015-08-20,14.65
2015-08-21,14.25
2015-08-24,13.2
2015-08-25,13.4
2015-08-26,13.8
2015-08-27,14.1
2015-08-28,14.3
2015-08-31,14.25
2015-09-01,13.55
2015-09-02,13.55
2015-09-03,13.45
2015-09-04,12.9
2015-09-07,13.2
2015-09-08,13.2
2015-09-09,13.3
2015-09-10,13.65
2015-09-11,13.4
2015-09-14,13.4
2015-09-15,13.35
2015-09-16,13.25
2015-09-18,13.3
2015-09-21,13.4
2015-09-22,13.25
2015-09-23,13.25
2015-09-24,13.1
2015-09-28,13.0
2015-09-29,13.15
2015-09-30,13.4
2015-10-01,14.0
2015-10-05,15.85
2015-10-06,19.0
2015-10-07,20.9
2015-10-08,20.1
2015-10-09,19.85
2015-10-12,18.2
2015-10-13,17.4
2015-10-14,17.85
2015-10-15,18.5
2015-10-16,18.15
2015-10-19,17.8
2015-10-20,18.25
2015-10-21,18.9
2015-10-23,18.65
2015-10-26,18.6
2015-10-27,18.6
2015-10-28,18.75
2015-10-29,19.55
2015-10-30,20.45
2015-11-02,22.0
2015-11-03,21.35
2015-11-04,20.7
2015-11-05,20.25
2015-11-06,19.45
2015-11-09,20.15
2015-11-10,20.5
2015-11-11,20.9
2015-11-13,20.7
2015-11-16,20.3
2015-11-17,19.95
2015-11-18,19.7
2015-11-19,20.5
2015-11-20,21.85
2015-11-23,23.85
2015-11-24,24.65
2015-11-26,25.4
2015-11-27,23.7
2015-11-30,24.65
2015-12-01,24.95
2015-12-02,24.95
2015-12-03,24.95
2015-12-04,24.1
2015-12-07,24.1
2015-12-08,23.0
2015-12-09,20.6
2015-12-10,21.4
2015-12-11,21.5
2015-12-14,21.3
2015-12-15,21.25
2015-12-16,22.0
2015-12-17,22.3
2015-12-18,22.05
2015-12-21,22.05
2015-12-22,21.6
2015-12-23,21.85
2015-12-24,22.65
2015-12-28,22.6
2015-12-29,22.4
2015-12-30,22.25
2015-12-31,22.25
