Date,TITAN
2015-01-01,379.8
2015-01-02,382.8
2015-01-05,385.9
2015-01-06,372.7
2015-01-07,374.6
2015-01-08,372.9
2015-01-09,372.9
2015-01-12,376.8
2015-01-13,372.2
2015-01-14,371.6
2015-01-15,375.9
2015-01-16,387.2
2015-01-19,394.5
2015-01-20,393.6
2015-01-21,406.95
2015-01-22,399.75
2015-01-23,398.85
2015-01-27,400.65
2015-01-28,433.25
2015-01-29,441.8
2015-01-30,430.6
2015-02-02,433.2
2015-02-03,432.3
2015-02-04,430.05
2015-02-05,417.8
2015-02-06,416.7
2015-02-09,412.25
2015-02-10,425.2
2015-02-11,426.25
2015-02-12,425.75
2015-02-13,426.7
2015-02-16,417.5
2015-02-18,429.75
2015-02-19,432.75
2015-02-20,435.35
2015-02-23,419.75
2015-02-24,422.45
2015-02-25,422.25
2015-02-26,423.6
2015-02-27,435.35
2015-02-28,421.4
2015-03-02,412.5
2015-03-03,415.9
2015-03-04,411.4
2015-03-05,405.75
2015-03-09,399.7
2015-03-10,405.4
2015-03-11,399.85
2015-03-12,404.6
2015-03-13,398.75
2015-03-16,397.6
2015-03-17,404.45
2015-03-18,401.8
2015-03-19,404.8
2015-03-20,392.7
2015-03-23,390.85
2015-03-24,387.25
2015-03-25,390.45
2015-03-26,389.75
2015-03-27,392.85
2015-03-30,391.35
2015-03-31,391.6
2015-04-01,390.4
2015-04-06,403.6
2015-04-07,406.6
2015-04-08,407.45
2015-04-09,399.95
2015-04-10,400.55
2015-04-13,414.85
2015-04-15,411.35
2015-04-16,406.25
2015-04-17,395.05
2015-04-20,394.95
2015-04-21,392.25
2015-04-22,396.1
2015-04-23,403.45
2015-04-24,395.9
2015-04-27,386.5
2015-04-28,386.15
2015-04-29,381.85
2015-04-30,382.8
2015-05-04,385.25
2015-05-05,384.4
2015-05-06,383.4
2015-05-07,369.55
2015-05-08,353.6
2015-05-11,367.65
2015-05-12,362.75
2015-05-13,367.4
2015-05-14,362.9
2015-05-15,367.95
2015-05-18,378.75
2015-05-19,379.55
2015-05-20,376.15
2015-05-21,376.0
2015-05-22,370.45
2015-05-25,371.0
2015-05-26,370.6
2015-05-27,372.2
2015-05-28,380.25
2015-05-29,378.3
2015-06-01,376.3
2015-06-02,368.95
2015-06-03,367.65
2015-06-04,361.5
2015-06-05,363.75
2015-06-08,352.95
2015-06-09,359.55
2015-06-10,364.7
2015-06-11,353.7
2015-06-12,347.95
2015-06-15,344.25
2015-06-16,347.15
2015-06-17,353.95
2015-06-18,358.8
2015-06-19,358.2
2015-06-22,366.25
2015-06-23,357.25
2015-06-24,356.6
2015-06-25,352.85
2015-06-26,360.15
2015-06-29,358.85
2015-06-30,366.3
2015-07-01,361.9
2015-07-02,355.25
2015-07-03,357.3
2015-07-06,355.85
2015-07-07,361.05
2015-07-08,354.95
2015-07-09,359.7
2015-07-10,355.8
2015-07-13,357.3
2015-07-14,359.85
2015-07-15,350.75
2015-07-16,350.65
2015-07-17,348.95
2015-07-20,345.15
2015-07-21,339.75
2015-07-22,338.0
2015-07-23,337.05
2015-07-24,340.1
2015-07-27,335.9
2015-07-28,341.1
2015-07-29,338.55
2015-07-30,338.8
2015-07-31,323.65
2015-08-03,317.25
2015-08-04,315.95
2015-08-05,320.5
2015-08-06,327.75
2015-08-07,334.0
2015-08-10,329.35
2015-08-11,328.4
2015-08-12,330.1
2015-08-13,328.15
2015-08-14,335.05
2015-08-17,336.6
2015-08-18,336.15
2015-08-19,340.45
2015-08-20,341.2
2015-08-21,344.3
2015-08-24,332.6
2015-08-25,327.0
2015-08-26,324.75
2015-08-27,347.05
2015-08-28,341.6
2015-08-31,337.8
2015-09-01,334.95
2015-09-02,323.1
2015-09-03,327.2
2015-09-04,332.95
2015-09-07,332.4
2015-09-08,322.0
2015-09-09,330.55
2015-09-10,325.95
2015-09-11,326.45
2015-09-14,329.0
2015-09-15,326.35
2015-09-16,327.75
2015-09-18,321.9
2015-09-21,318.7
2015-09-22,318.85
2015-09-23,319.9
2015-09-24,324.85
2015-09-28,326.1
2015-09-29,321.2
2015-09-30,317.85
2015-10-01,327.25
2015-10-05,330.85
2015-10-06,348.5
2015-10-07,345.15
2015-10-08,341.05
2015-10-09,343.2
2015-10-12,342.65
2015-10-13,343.45
2015-10-14,348.45
2015-10-15,352.95
2015-10-16,354.2
2015-10-19,350.95
2015-10-20,352.1
2015-10-21,347.8
2015-10-23,343.7
2015-10-26,344.8
2015-10-27,340.4
2015-10-28,350.8
2015-10-29,352.3
2015-10-30,349.95
2015-11-02,356.6
2015-11-03,348.4
2015-11-04,348.0
2015-11-05,348.75
2015-11-06,350.05
2015-11-09,354.4
2015-11-10,352.8
2015-11-11,353.2
2015-11-13,354.65
2015-11-16,359.7
2015-11-17,358.4
2015-11-18,360.8
2015-11-19,369.9
2015-11-20,371.7
2015-11-23,380.3
2015-11-24,378.05
2015-11-26,388.55
2015-11-27,379.9
2015-11-30,381.8
2015-12-01,377.9
2015-12-02,376.7
2015-12-03,372.0
2015-12-04,366.75
2015-12-07,367.85
2015-12-08,365.8
2015-12-09,359.8
2015-12-10,362.75
2015-12-11,352.55
2015-12-14,353.2
2015-12-15,364.05
2015-12-16,355.45
2015-12-17,353.15
2015-12-18,361.8
2015-12-21,355.1
2015-12-22,361.35
2015-12-23,358.2
2015-12-24,350.65
2015-12-28,350.5
2015-12-29,351.3
2015-12-30,349.85
2015-12-31,347.15
