Date,SHILPI
2015-01-01,44.75
2015-01-02,53.6
2015-01-05,57.35
2015-01-06,54.45
2015-01-07,53.7
2015-01-08,62.5
2015-01-09,54.9
2015-01-12,55.2
2015-01-13,53.9
2015-01-14,50.8
2015-01-15,50.8
2015-01-16,49.0
2015-01-19,50.0
2015-01-20,49.25
2015-01-21,47.25
2015-01-22,45.65
2015-01-23,44.2
2015-01-27,45.5
2015-01-28,45.55
2015-01-29,45.55
2015-01-30,44.55
2015-02-02,44.65
2015-02-03,44.4
2015-02-04,44.1
2015-02-05,43.4
2015-02-06,41.6
2015-02-09,40.0
2015-02-10,39.6
2015-02-11,40.35
2015-02-12,40.5
2015-02-13,40.1
2015-02-16,39.1
2015-02-18,46.9
2015-02-19,44.05
2015-02-20,42.15
2015-02-23,42.4
2015-02-24,41.7
2015-02-25,42.0
2015-02-26,41.1
2015-02-27,41.4
2015-02-28,42.5
2015-03-02,43.45
2015-03-03,43.55
2015-03-04,42.0
2015-03-05,41.95
2015-03-09,48.5
2015-03-10,43.6
2015-03-11,42.3
2015-03-12,42.0
2015-03-13,41.8
2015-03-16,42.15
2015-03-17,42.1
2015-03-18,42.05
2015-03-19,43.25
2015-03-20,42.05
2015-03-23,42.1
2015-03-24,42.05
2015-03-25,41.6
2015-03-26,41.15
2015-03-27,41.0
2015-03-30,41.8
2015-03-31,41.9
2015-04-01,45.0
2015-04-06,44.15
2015-04-07,43.45
2015-04-08,43.35
2015-04-09,43.1
2015-04-10,42.7
2015-04-13,43.5
2015-04-15,43.6
2015-04-16,42.6
2015-04-17,45.3
2015-04-20,46.05
2015-04-21,45.3
2015-04-22,43.5
2015-04-23,43.55
2015-04-24,42.15
2015-04-27,40.6
2015-04-28,40.6
2015-04-29,40.85
2015-04-30,40.75
2015-05-04,41.3
2015-05-05,42.15
2015-05-06,41.2
2015-05-07,38.45
2015-05-08,39.2
2015-05-11,39.1
2015-05-12,37.55
2015-05-13,38.7
2015-05-14,38.1
2015-05-15,38.2
2015-05-18,43.3
2015-05-19,41.8
2015-05-20,41.2
2015-05-21,40.0
2015-05-22,40.25
2015-05-25,40.95
2015-05-26,40.6
2015-05-27,40.0
2015-05-28,40.25
2015-05-29,42.25
2015-06-01,39.95
2015-06-02,38.65
2015-06-03,35.35
2015-06-04,35.2
2015-06-05,35.5
2015-06-08,33.5
2015-06-09,32.35
2015-06-10,33.95
2015-06-11,32.65
2015-06-12,32.85
2015-06-15,33.1
2015-06-16,33.15
2015-06-17,33.6
2015-06-18,34.85
2015-06-19,33.7
2015-06-22,33.9
2015-06-23,33.25
2015-06-24,33.25
2015-06-25,32.75
2015-06-26,32.8
2015-06-29,31.7
2015-06-30,31.8
2015-07-01,32.4
2015-07-02,34.65
2015-07-03,40.15
2015-07-06,41.3
2015-07-07,41.5
2015-07-08,40.75
2015-07-09,40.6
2015-07-10,39.6
2015-07-13,44.2
2015-07-14,45.7
2015-07-15,44.25
2015-07-16,45.1
2015-07-17,45.15
2015-07-20,45.8
2015-07-21,49.2
2015-07-22,48.4
2015-07-23,48.5
2015-07-24,49.7
2015-07-27,47.85
2015-07-28,46.75
2015-07-29,46.4
2015-07-30,47.1
2015-07-31,47.95
2015-08-03,51.15
2015-08-04,49.5
2015-08-05,49.9
2015-08-06,49.1
2015-08-07,48.15
2015-08-10,48.5
2015-08-11,49.1
2015-08-12,47.9
2015-08-13,48.2
2015-08-14,51.15
2015-08-17,54.4
2015-08-18,60.6
2015-08-19,62.95
2015-08-20,59.6
2015-08-21,60.8
2015-08-24,52.05
2015-08-25,53.45
2015-08-26,52.4
2015-08-27,56.15
2015-08-28,59.35
2015-08-31,60.85
2015-09-01,58.45
2015-09-02,57.95
2015-09-03,58.75
2015-09-04,55.0
2015-09-07,51.7
2015-09-08,54.05
2015-09-09,56.2
2015-09-10,55.35
2015-09-11,56.15
2015-09-14,60.6
2015-09-15,61.2
2015-09-16,60.0
2015-09-18,60.9
2015-09-21,62.35
2015-09-22,62.1
2015-09-23,66.75
2015-09-24,68.9
2015-09-28,68.5
2015-09-29,68.0
2015-09-30,68.4
2015-10-01,66.75
2015-10-05,64.5
2015-10-06,62.15
2015-10-07,63.55
2015-10-08,66.45
2015-10-09,68.0
2015-10-12,68.05
2015-10-13,63.75
2015-10-14,65.35
2015-10-15,64.7
2015-10-16,65.9
2015-10-19,67.55
2015-10-20,67.9
2015-10-21,66.25
2015-10-23,66.55
2015-10-26,64.4
2015-10-27,64.3
2015-10-28,65.25
2015-10-29,65.0
2015-10-30,66.15
2015-11-02,67.85
2015-11-03,69.0
2015-11-04,68.05
2015-11-05,67.2
2015-11-06,66.5
2015-11-09,59.15
2015-11-10,56.9
2015-11-11,57.25
2015-11-13,54.9
2015-11-16,53.1
2015-11-17,54.75
2015-11-18,53.95
2015-11-19,54.65
2015-11-20,54.05
2015-11-23,53.4
2015-11-24,52.4
2015-11-26,55.0
2015-11-27,61.5
2015-11-30,63.3
2015-12-01,63.05
2015-12-02,61.55
2015-12-03,61.35
2015-12-04,61.45
2015-12-07,62.6
2015-12-08,61.1
2015-12-09,57.55
2015-12-10,58.45
2015-12-11,57.1
2015-12-14,63.5
2015-12-15,65.05
2015-12-16,63.7
2015-12-17,64.45
2015-12-18,65.25
2015-12-21,65.05
2015-12-22,63.5
2015-12-23,63.6
2015-12-24,63.75
2015-12-28,63.2
2015-12-29,61.0
2015-12-30,61.15
2015-12-31,61.4
