Date,VASCONEQ
2015-01-01,22.65
2015-01-02,23.2
2015-01-05,24.8
2015-01-06,24.4
2015-01-07,24.0
2015-01-08,24.1
2015-01-09,24.45
2015-01-12,24.2
2015-01-13,24.75
2015-01-14,24.05
2015-01-15,24.5
2015-01-16,24.95
2015-01-19,23.9
2015-01-20,23.95
2015-01-21,23.8
2015-01-22,23.35
2015-01-23,23.1
2015-01-27,23.2
2015-01-28,23.25
2015-01-29,23.2
2015-01-30,22.3
2015-02-02,23.6
2015-02-03,25.7
2015-02-04,26.05
2015-02-05,25.45
2015-02-06,24.5
2015-02-09,23.5
2015-02-10,22.8
2015-02-11,23.0
2015-02-12,23.3
2015-02-13,22.85
2015-02-16,22.55
2015-02-18,22.85
2015-02-19,23.55
2015-02-20,23.1
2015-02-23,22.95
2015-02-24,22.25
2015-02-25,22.2
2015-02-26,21.9
2015-02-27,23.5
2015-02-28,22.9
2015-03-02,23.0
2015-03-03,23.2
2015-03-04,22.75
2015-03-05,22.6
2015-03-09,21.8
2015-03-10,21.25
2015-03-11,22.1
2015-03-12,22.1
2015-03-13,22.05
2015-03-16,20.85
2015-03-17,20.65
2015-03-18,20.55
2015-03-19,20.3
2015-03-20,19.45
2015-03-23,19.3
2015-03-24,19.5
2015-03-25,18.6
2015-03-26,18.6
2015-03-27,18.75
2015-03-30,18.65
2015-03-31,18.85
2015-04-01,19.45
2015-04-06,20.3
2015-04-07,20.75
2015-04-08,24.55
2015-04-09,24.2
2015-04-10,24.0
2015-04-13,25.65
2015-04-15,25.55
2015-04-16,24.2
2015-04-17,24.5
2015-04-20,23.7
2015-04-21,23.7
2015-04-22,22.25
2015-04-23,22.5
2015-04-24,21.5
2015-04-27,21.0
2015-04-28,21.95
2015-04-29,21.9
2015-05-04,21.65
2015-05-05,21.6
2015-05-06,21.15
2015-05-07,20.9
2015-05-08,20.3
2015-05-11,20.8
2015-05-12,20.6
2015-05-13,20.55
2015-05-15,20.95
2015-05-18,20.9
2015-05-19,20.55
2015-05-20,21.5
2015-05-21,21.4
2015-05-22,21.7
2015-05-25,21.2
2015-05-26,20.05
2015-05-27,19.85
2015-05-28,19.4
2015-05-29,19.4
2015-06-01,19.5
2015-06-02,19.8
2015-06-03,18.9
2015-06-04,19.0
2015-06-05,19.6
2015-06-08,19.0
2015-06-09,19.0
2015-06-10,17.9
2015-06-11,17.6
2015-06-12,17.0
2015-06-15,17.25
2015-06-16,17.25
2015-06-17,16.95
2015-06-18,16.7
2015-06-19,15.95
2015-06-22,15.2
2015-06-23,15.25
2015-06-24,15.15
2015-06-25,15.6
2015-06-26,17.15
2015-06-29,18.0
2015-06-30,19.15
2015-07-01,19.2
2015-07-02,18.95
2015-07-03,18.7
2015-07-06,18.0
2015-07-07,18.8
2015-07-08,19.35
2015-07-09,17.6
2015-07-10,17.05
2015-07-13,16.05
2015-07-14,16.2
2015-07-15,15.95
2015-07-16,15.75
2015-07-17,17.5
2015-07-20,17.9
2015-07-21,17.0
2015-07-22,18.1
2015-07-23,20.05
2015-07-24,20.5
2015-07-27,19.4
2015-07-28,19.7
2015-07-29,18.75
2015-07-30,22.45
2015-07-31,25.55
2015-08-03,25.95
2015-08-04,24.2
2015-08-05,24.3
2015-08-06,22.8
2015-08-07,22.35
2015-08-10,23.9
2015-08-11,22.85
2015-08-12,21.0
2015-08-13,19.85
2015-08-14,19.75
2015-08-17,19.95
2015-08-18,21.2
2015-08-19,22.5
2015-08-20,20.85
2015-08-21,21.05
2015-08-24,19.0
2015-08-25,18.95
2015-08-26,19.2
2015-08-27,19.95
2015-08-28,19.75
2015-08-31,21.6
2015-09-01,21.55
2015-09-02,23.15
2015-09-03,23.35
2015-09-04,21.6
2015-09-07,20.6
2015-09-08,21.35
2015-09-09,22.0
2015-09-10,22.8
2015-09-11,23.2
2015-09-14,24.05
2015-09-15,24.65
2015-09-16,24.85
2015-09-18,23.95
2015-09-21,27.85
2015-09-22,27.3
2015-09-23,28.4
2015-09-24,32.3
2015-09-28,29.7
2015-09-29,29.9
2015-09-30,34.65
2015-10-01,34.1
2015-10-05,34.8
2015-10-06,35.9
2015-10-07,36.2
2015-10-08,35.15
2015-10-09,34.25
2015-10-12,33.6
2015-10-13,34.05
2015-10-14,33.45
2015-10-15,33.55
2015-10-16,32.75
2015-10-19,31.3
2015-10-20,32.9
2015-10-21,33.55
2015-10-23,32.25
2015-10-26,32.05
2015-10-27,32.3
2015-10-28,31.7
2015-10-29,31.7
2015-10-30,31.0
2015-11-02,31.45
2015-11-03,31.9
2015-11-04,31.4
2015-11-05,30.1
2015-11-06,30.45
2015-11-09,31.0
2015-11-10,30.7
2015-11-11,31.8
2015-11-13,31.15
2015-11-16,32.8
2015-11-17,32.6
2015-11-18,31.6
2015-11-19,32.15
2015-11-20,32.2
2015-11-23,32.1
2015-11-24,32.65
2015-11-26,32.35
2015-11-27,36.4
2015-11-30,37.8
2015-12-01,37.55
2015-12-02,39.3
2015-12-03,38.2
2015-12-04,36.35
2015-12-07,35.6
2015-12-08,34.3
2015-12-09,32.75
2015-12-10,34.05
2015-12-11,32.7
2015-12-14,33.8
2015-12-15,34.6
2015-12-16,33.85
2015-12-17,34.95
2015-12-18,33.45
2015-12-21,34.55
2015-12-22,33.7
2015-12-23,33.5
2015-12-24,33.8
2015-12-28,35.95
2015-12-29,35.3
2015-12-30,36.5
2015-12-31,35.8
