Date,DHANUKA
2015-01-01,554.05
2015-01-02,546.3
2015-01-05,538.3
2015-01-06,529.7
2015-01-07,518.1
2015-01-08,538.15
2015-01-09,535.6
2015-01-12,546.95
2015-01-13,547.4
2015-01-14,532.3
2015-01-15,523.65
2015-01-16,526.35
2015-01-19,530.1
2015-01-20,526.1
2015-01-21,527.35
2015-01-22,523.6
2015-01-23,523.45
2015-01-27,520.75
2015-01-28,519.7
2015-01-29,515.95
2015-01-30,506.25
2015-02-02,516.5
2015-02-03,518.85
2015-02-04,514.85
2015-02-05,505.85
2015-02-06,508.85
2015-02-09,499.3
2015-02-10,497.05
2015-02-11,507.05
2015-02-12,510.45
2015-02-13,517.05
2015-02-16,575.5
2015-02-18,569.25
2015-02-19,566.45
2015-02-20,555.3
2015-02-23,555.7
2015-02-24,572.4
2015-02-25,572.0
2015-02-26,565.0
2015-02-27,577.6
2015-02-28,578.5
2015-03-02,582.3
2015-03-03,594.15
2015-03-04,618.55
2015-03-05,639.75
2015-03-09,666.9
2015-03-10,675.45
2015-03-11,670.0
2015-03-12,670.6
2015-03-13,665.0
2015-03-16,669.85
2015-03-17,656.85
2015-03-18,660.35
2015-03-19,641.05
2015-03-20,628.3
2015-03-23,639.1
2015-03-24,640.0
2015-03-25,652.7
2015-03-26,664.55
2015-03-27,671.75
2015-03-30,677.55
2015-03-31,679.9
2015-04-01,660.15
2015-04-06,648.05
2015-04-07,627.65
2015-04-08,628.6
2015-04-09,609.05
2015-04-10,620.7
2015-04-13,631.9
2015-04-15,607.35
2015-04-16,608.1
2015-04-17,595.9
2015-04-20,597.1
2015-04-21,588.8
2015-04-22,591.0
2015-04-23,592.95
2015-04-24,580.25
2015-04-27,569.8
2015-04-28,576.1
2015-04-29,589.25
2015-04-30,586.55
2015-05-04,582.35
2015-05-05,600.25
2015-05-06,582.0
2015-05-07,569.1
2015-05-08,565.15
2015-05-11,583.15
2015-05-12,571.65
2015-05-13,594.0
2015-05-14,601.1
2015-05-15,600.3
2015-05-18,614.15
2015-05-19,621.95
2015-05-20,623.35
2015-05-21,632.0
2015-05-22,645.55
2015-05-25,649.6
2015-05-26,633.65
2015-05-27,636.85
2015-05-28,608.1
2015-05-29,654.2
2015-06-01,641.8
2015-06-02,604.15
2015-06-03,603.0
2015-06-04,599.55
2015-06-05,596.35
2015-06-08,599.25
2015-06-09,592.5
2015-06-10,592.85
2015-06-11,586.75
2015-06-12,590.35
2015-06-15,592.95
2015-06-16,585.25
2015-06-17,595.7
2015-06-18,611.4
2015-06-19,622.05
2015-06-22,638.65
2015-06-23,628.1
2015-06-24,632.8
2015-06-25,609.45
2015-06-26,598.0
2015-06-29,586.2
2015-06-30,595.4
2015-07-01,604.6
2015-07-02,620.0
2015-07-03,617.5
2015-07-06,613.95
2015-07-07,631.6
2015-07-08,616.9
2015-07-09,612.0
2015-07-10,613.05
2015-07-13,626.0
2015-07-14,608.9
2015-07-15,604.6
2015-07-16,603.65
2015-07-17,604.2
2015-07-20,604.05
2015-07-21,600.2
2015-07-22,599.4
2015-07-23,611.35
2015-07-24,606.75
2015-07-27,594.75
2015-07-28,592.25
2015-07-29,601.3
2015-07-30,608.05
2015-07-31,609.0
2015-08-03,611.35
2015-08-04,604.25
2015-08-05,590.05
2015-08-06,588.05
2015-08-07,598.35
2015-08-10,596.75
2015-08-11,594.9
2015-08-12,570.3
2015-08-13,543.7
2015-08-14,536.1
2015-08-17,512.9
2015-08-18,527.25
2015-08-19,528.9
2015-08-20,515.0
2015-08-21,513.6
2015-08-24,439.1
2015-08-25,463.45
2015-08-26,482.15
2015-08-27,480.0
2015-08-28,472.7
2015-08-31,478.5
2015-09-01,470.3
2015-09-02,468.25
2015-09-03,474.5
2015-09-04,476.55
2015-09-07,458.5
2015-09-08,462.35
2015-09-09,457.55
2015-09-10,458.0
2015-09-11,453.4
2015-09-14,460.3
2015-09-15,447.7
2015-09-16,458.9
2015-09-18,441.35
2015-09-21,442.0
2015-09-22,435.4
2015-09-23,434.75
2015-09-24,442.55
2015-09-28,433.05
2015-09-29,433.0
2015-09-30,439.4
2015-10-01,441.6
2015-10-05,441.65
2015-10-06,437.15
2015-10-07,439.85
2015-10-08,445.7
2015-10-09,460.15
2015-10-12,473.4
2015-10-13,489.0
2015-10-14,487.25
2015-10-15,483.15
2015-10-16,477.6
2015-10-19,474.35
2015-10-20,474.8
2015-10-21,479.9
2015-10-23,472.9
2015-10-26,460.65
2015-10-27,453.7
2015-10-28,454.0
2015-10-29,442.15
2015-10-30,445.35
2015-11-02,434.2
2015-11-03,431.2
2015-11-04,435.3
2015-11-05,415.4
2015-11-06,431.1
2015-11-09,431.8
2015-11-10,418.3
2015-11-11,427.45
2015-11-13,431.8
2015-11-16,429.75
2015-11-17,454.05
2015-11-18,448.75
2015-11-19,468.8
2015-11-20,480.2
2015-11-23,481.8
2015-11-24,489.5
2015-11-26,493.15
2015-11-27,486.35
2015-11-30,490.25
2015-12-01,482.5
2015-12-02,486.55
2015-12-03,482.65
2015-12-04,483.2
2015-12-07,482.6
2015-12-08,471.25
2015-12-09,455.2
2015-12-10,477.15
2015-12-11,468.0
2015-12-14,469.4
2015-12-15,483.6
2015-12-16,482.75
2015-12-17,487.7
2015-12-18,488.5
2015-12-21,520.8
2015-12-22,499.25
2015-12-23,505.75
2015-12-24,510.35
2015-12-28,535.15
2015-12-29,521.05
2015-12-30,514.35
2015-12-31,513.7
