Date,SPIC
2015-01-01,23.6
2015-01-02,23.75
2015-01-05,23.25
2015-01-06,22.2
2015-01-07,22.4
2015-01-08,22.8
2015-01-09,23.0
2015-01-12,23.75
2015-01-13,23.3
2015-01-14,22.8
2015-01-15,22.8
2015-01-16,22.6
2015-01-19,22.75
2015-01-20,22.4
2015-01-21,21.7
2015-01-22,21.55
2015-01-23,21.2
2015-01-27,20.6
2015-01-28,21.05
2015-01-29,20.6
2015-01-30,20.95
2015-02-02,22.7
2015-02-03,21.3
2015-02-04,21.35
2015-02-05,21.1
2015-02-06,20.7
2015-02-09,20.3
2015-02-10,19.5
2015-02-11,19.8
2015-02-12,19.8
2015-02-13,21.05
2015-02-16,20.05
2015-02-18,20.0
2015-02-19,20.85
2015-02-20,20.5
2015-02-23,21.05
2015-02-24,20.65
2015-02-25,20.5
2015-02-26,20.3
2015-02-27,20.15
2015-02-28,20.1
2015-03-02,19.8
2015-03-03,19.85
2015-03-04,19.5
2015-03-05,19.6
2015-03-09,19.35
2015-03-10,19.0
2015-03-11,18.65
2015-03-12,19.05
2015-03-13,18.55
2015-03-16,17.65
2015-03-17,17.5
2015-03-18,18.0
2015-03-19,18.1
2015-03-20,17.55
2015-03-23,17.15
2015-03-24,17.95
2015-03-25,17.15
2015-03-26,17.35
2015-03-27,17.5
2015-03-30,18.65
2015-03-31,18.1
2015-04-01,20.05
2015-04-06,20.1
2015-04-07,21.25
2015-04-08,20.65
2015-04-09,20.1
2015-04-10,20.05
2015-04-13,20.1
2015-04-15,20.15
2015-04-16,19.95
2015-04-17,20.55
2015-04-20,20.05
2015-04-21,19.6
2015-04-22,19.25
2015-04-23,18.95
2015-04-24,18.8
2015-04-27,18.0
2015-04-28,18.4
2015-04-29,18.55
2015-04-30,18.15
2015-05-04,18.65
2015-05-05,18.5
2015-05-06,18.15
2015-05-07,17.8
2015-05-08,17.9
2015-05-11,18.25
2015-05-12,17.8
2015-05-13,17.95
2015-05-14,17.75
2015-05-15,17.95
2015-05-18,18.4
2015-05-19,18.8
2015-05-20,18.6
2015-05-21,18.5
2015-05-22,18.95
2015-05-25,18.7
2015-05-26,17.95
2015-05-27,18.0
2015-05-28,17.9
2015-05-29,18.35
2015-06-01,18.05
2015-06-02,17.7
2015-06-03,17.15
2015-06-04,16.85
2015-06-05,17.05
2015-06-08,16.4
2015-06-09,16.35
2015-06-10,18.65
2015-06-11,17.7
2015-06-12,17.15
2015-06-15,16.9
2015-06-16,17.1
2015-06-17,17.2
2015-06-18,17.7
2015-06-19,17.75
2015-06-22,17.65
2015-06-23,18.1
2015-06-24,18.85
2015-06-25,18.6
2015-06-26,18.1
2015-06-29,18.15
2015-06-30,19.35
2015-07-01,18.8
2015-07-02,20.95
2015-07-03,21.05
2015-07-06,21.45
2015-07-07,21.25
2015-07-08,21.35
2015-07-09,21.8
2015-07-10,21.6
2015-07-13,21.5
2015-07-14,21.05
2015-07-15,20.65
2015-07-16,22.3
2015-07-17,21.7
2015-07-20,21.75
2015-07-21,20.6
2015-07-22,22.35
2015-07-23,22.2
2015-07-24,21.7
2015-07-27,20.95
2015-07-28,21.05
2015-07-29,22.3
2015-07-30,21.7
2015-07-31,21.9
2015-08-03,21.65
2015-08-04,22.4
2015-08-05,22.75
2015-08-06,22.5
2015-08-07,22.2
2015-08-10,22.05
2015-08-11,20.85
2015-08-12,19.25
2015-08-13,18.8
2015-08-14,19.2
2015-08-17,19.05
2015-08-18,19.75
2015-08-19,20.2
2015-08-20,19.35
2015-08-21,19.0
2015-08-24,15.85
2015-08-25,16.2
2015-08-26,16.05
2015-08-27,16.35
2015-08-28,16.9
2015-08-31,16.4
2015-09-01,16.1
2015-09-02,15.95
2015-09-03,15.65
2015-09-04,15.2
2015-09-07,15.05
2015-09-08,15.35
2015-09-09,15.75
2015-09-10,15.5
2015-09-11,15.5
2015-09-14,15.9
2015-09-15,15.75
2015-09-16,15.9
2015-09-18,15.9
2015-09-21,16.3
2015-09-22,16.75
2015-09-23,16.7
2015-09-24,16.5
2015-09-28,16.9
2015-09-29,16.85
2015-09-30,16.9
2015-10-01,16.8
2015-10-05,17.05
2015-10-06,17.3
2015-10-07,17.45
2015-10-08,17.35
2015-10-09,17.3
2015-10-12,17.45
2015-10-13,17.35
2015-10-14,18.1
2015-10-15,17.85
2015-10-16,17.55
2015-10-19,17.25
2015-10-20,17.6
2015-10-21,17.45
2015-10-23,19.25
2015-10-26,18.45
2015-10-27,18.2
2015-10-28,18.3
2015-10-29,18.3
2015-10-30,18.0
2015-11-02,17.55
2015-11-03,17.45
2015-11-04,17.6
2015-11-05,17.05
2015-11-06,16.9
2015-11-09,17.05
2015-11-10,18.3
2015-11-11,18.7
2015-11-13,18.35
2015-11-16,19.55
2015-11-17,19.6
2015-11-18,20.35
2015-11-19,20.2
2015-11-20,19.75
2015-11-23,19.0
2015-11-24,20.05
2015-11-26,21.05
2015-11-27,21.05
2015-11-30,21.7
2015-12-01,22.9
2015-12-02,22.8
2015-12-03,22.8
2015-12-04,22.4
2015-12-07,22.15
2015-12-08,20.5
2015-12-09,19.5
2015-12-10,20.8
2015-12-11,20.15
2015-12-14,20.4
2015-12-15,20.95
2015-12-16,21.3
2015-12-17,21.45
2015-12-18,21.6
2015-12-21,21.3
2015-12-22,21.8
2015-12-23,22.5
2015-12-24,22.45
2015-12-28,22.7
2015-12-29,22.1
2015-12-30,22.05
2015-12-31,23.35
