Date,FSL
2015-01-01,35.0
2015-01-02,35.25
2015-01-05,34.75
2015-01-06,33.0
2015-01-07,32.55
2015-01-08,33.4
2015-01-09,34.55
2015-01-12,33.85
2015-01-13,33.5
2015-01-14,31.75
2015-01-15,32.05
2015-01-16,31.45
2015-01-19,31.25
2015-01-20,31.3
2015-01-21,30.5
2015-01-22,30.15
2015-01-23,29.6
2015-01-27,27.85
2015-01-28,29.4
2015-01-29,29.35
2015-01-30,28.45
2015-02-02,29.2
2015-02-03,30.6
2015-02-04,31.45
2015-02-05,31.05
2015-02-06,31.3
2015-02-09,31.4
2015-02-10,29.05
2015-02-11,29.0
2015-02-12,30.3
2015-02-13,30.05
2015-02-16,30.15
2015-02-18,31.75
2015-02-19,34.4
2015-02-20,34.0
2015-02-23,32.9
2015-02-24,32.45
2015-02-25,31.55
2015-02-26,31.2
2015-02-27,31.65
2015-02-28,31.9
2015-03-02,31.75
2015-03-03,32.45
2015-03-04,31.9
2015-03-05,31.75
2015-03-09,31.1
2015-03-10,31.2
2015-03-11,31.05
2015-03-12,31.6
2015-03-13,30.85
2015-03-16,29.4
2015-03-17,29.0
2015-03-18,29.3
2015-03-19,29.15
2015-03-20,27.85
2015-03-23,28.85
2015-03-24,29.45
2015-03-25,30.45
2015-03-26,29.0
2015-03-27,28.3
2015-03-30,29.4
2015-03-31,30.85
2015-04-01,31.25
2015-04-06,31.3
2015-04-07,31.2
2015-04-08,33.5
2015-04-09,32.05
2015-04-10,32.85
2015-04-13,34.25
2015-04-15,34.4
2015-04-16,33.95
2015-04-17,32.5
2015-04-20,31.0
2015-04-21,31.55
2015-04-22,32.0
2015-04-23,30.8
2015-04-24,29.5
2015-04-27,28.45
2015-04-28,29.45
2015-04-29,28.9
2015-04-30,29.7
2015-05-04,32.25
2015-05-05,31.7
2015-05-06,29.95
2015-05-07,29.65
2015-05-08,30.5
2015-05-11,31.2
2015-05-12,30.65
2015-05-13,30.7
2015-05-14,30.85
2015-05-15,31.1
2015-05-18,30.45
2015-05-19,30.8
2015-05-20,31.4
2015-05-21,30.85
2015-05-22,31.0
2015-05-25,30.9
2015-05-26,30.75
2015-05-27,30.85
2015-05-28,30.85
2015-05-29,31.0
2015-06-01,31.0
2015-06-02,30.45
2015-06-03,29.05
2015-06-04,29.5
2015-06-05,29.45
2015-06-08,29.4
2015-06-09,29.35
2015-06-10,29.55
2015-06-11,28.95
2015-06-12,29.0
2015-06-15,29.3
2015-06-16,29.25
2015-06-17,29.6
2015-06-18,29.4
2015-06-19,29.45
2015-06-22,29.95
2015-06-23,30.3
2015-06-24,29.95
2015-06-25,29.65
2015-06-26,29.55
2015-06-29,29.55
2015-06-30,29.7
2015-07-01,29.9
2015-07-02,30.05
2015-07-03,29.75
2015-07-06,29.85
2015-07-07,31.6
2015-07-08,31.95
2015-07-09,31.45
2015-07-10,31.7
2015-07-13,33.7
2015-07-14,34.15
2015-07-15,33.85
2015-07-16,33.4
2015-07-17,33.1
2015-07-20,33.95
2015-07-21,32.85
2015-07-22,32.75
2015-07-23,32.2
2015-07-24,32.0
2015-07-27,32.2
2015-07-28,32.55
2015-07-29,33.45
2015-07-30,33.6
2015-07-31,34.35
2015-08-03,32.5
2015-08-04,31.15
2015-08-05,32.25
2015-08-06,32.25
2015-08-07,32.2
2015-08-10,31.75
2015-08-11,31.1
2015-08-12,30.7
2015-08-13,30.55
2015-08-14,30.3
2015-08-17,31.9
2015-08-18,30.85
2015-08-19,30.55
2015-08-20,30.25
2015-08-21,29.75
2015-08-24,26.4
2015-08-25,27.0
2015-08-26,27.5
2015-08-27,29.1
2015-08-28,28.85
2015-08-31,28.25
2015-09-01,27.85
2015-09-02,27.6
2015-09-03,27.65
2015-09-04,27.3
2015-09-07,26.75
2015-09-08,26.85
2015-09-09,26.95
2015-09-10,26.6
2015-09-11,26.75
2015-09-14,28.55
2015-09-15,27.7
2015-09-16,27.7
2015-09-18,26.3
2015-09-21,26.45
2015-09-22,26.75
2015-09-23,26.9
2015-09-24,26.7
2015-09-28,26.7
2015-09-29,26.55
2015-09-30,26.4
2015-10-01,26.55
2015-10-05,26.95
2015-10-06,26.85
2015-10-07,26.85
2015-10-08,27.2
2015-10-09,28.2
2015-10-12,29.05
2015-10-13,29.45
2015-10-14,29.45
2015-10-15,29.3
2015-10-16,29.4
2015-10-19,30.7
2015-10-20,30.6
2015-10-21,30.95
2015-10-23,32.9
2015-10-26,32.65
2015-10-27,33.6
2015-10-28,33.3
2015-10-29,31.05
2015-10-30,32.2
2015-11-02,31.8
2015-11-03,32.95
2015-11-04,31.8
2015-11-05,30.85
2015-11-06,31.25
2015-11-09,32.9
2015-11-10,32.55
2015-11-11,33.95
2015-11-13,36.05
2015-11-16,37.45
2015-11-17,38.25
2015-11-18,38.4
2015-11-19,38.95
2015-11-20,38.7
2015-11-23,40.25
2015-11-24,42.5
2015-11-26,41.65
2015-11-27,43.05
2015-11-30,44.55
2015-12-01,45.1
2015-12-02,43.3
2015-12-03,42.6
2015-12-04,40.55
2015-12-07,42.4
2015-12-08,40.45
2015-12-09,38.75
2015-12-10,39.95
2015-12-11,38.9
2015-12-14,39.45
2015-12-15,39.75
2015-12-16,40.1
2015-12-17,43.85
2015-12-18,42.9
2015-12-21,43.25
2015-12-22,43.9
2015-12-23,43.9
2015-12-24,43.45
2015-12-28,43.45
2015-12-29,42.5
2015-12-30,42.7
2015-12-31,43.2
