Date,ABGSHIP
2015-01-01,229.85
2015-01-02,228.6
2015-01-05,225.95
2015-01-06,218.8
2015-01-07,219.95
2015-01-08,222.9
2015-01-09,219.65
2015-01-12,216.75
2015-01-13,217.2
2015-01-14,216.8
2015-01-15,216.65
2015-01-16,215.0
2015-01-19,213.25
2015-01-20,212.45
2015-01-21,211.2
2015-01-22,209.95
2015-01-23,208.4
2015-01-27,208.4
2015-01-28,207.1
2015-01-29,205.3
2015-01-30,205.25
2015-02-02,203.25
2015-02-03,204.15
2015-02-04,202.25
2015-02-05,199.65
2015-02-06,196.2
2015-02-09,197.2
2015-02-10,197.5
2015-02-11,201.35
2015-02-12,196.2
2015-02-13,197.0
2015-02-16,195.15
2015-02-18,200.75
2015-02-19,229.05
2015-02-20,198.75
2015-02-23,197.55
2015-02-24,201.8
2015-02-25,232.45
2015-02-26,251.15
2015-02-27,248.4
2015-02-28,237.0
2015-03-02,243.4
2015-03-03,238.0
2015-03-04,240.9
2015-03-05,234.0
2015-03-09,226.05
2015-03-10,255.8
2015-03-11,235.15
2015-03-12,235.4
2015-03-13,233.85
2015-03-16,228.8
2015-03-17,225.3
2015-03-18,219.2
2015-03-19,215.4
2015-03-20,200.45
2015-03-23,195.7
2015-03-24,189.2
2015-03-25,194.35
2015-03-26,188.85
2015-03-27,188.8
2015-03-30,203.2
2015-03-31,226.1
2015-04-01,220.2
2015-04-06,232.4
2015-04-07,238.1
2015-04-08,243.85
2015-04-09,237.05
2015-04-10,232.95
2015-04-13,229.7
2015-04-15,228.05
2015-04-16,223.05
2015-04-17,217.8
2015-04-20,218.15
2015-04-21,213.5
2015-04-22,210.1
2015-04-23,209.6
2015-04-24,200.3
2015-04-27,194.75
2015-04-28,197.6
2015-04-29,200.6
2015-04-30,204.4
2015-05-04,203.55
2015-05-05,200.9
2015-05-06,195.1
2015-05-07,188.65
2015-05-08,188.65
2015-05-11,188.5
2015-05-12,182.3
2015-05-13,182.75
2015-05-14,181.9
2015-05-15,180.3
2015-05-18,177.05
2015-05-19,175.45
2015-05-20,172.75
2015-05-21,149.7
2015-05-22,148.9
2015-05-25,149.5
2015-05-26,148.9
2015-05-27,146.05
2015-05-28,144.7
2015-05-29,143.0
2015-06-01,143.0
2015-06-02,142.55
2015-06-03,133.95
2015-06-04,139.4
2015-06-05,167.25
2015-06-08,154.1
2015-06-09,181.05
2015-06-10,176.95
2015-06-11,167.4
2015-06-12,180.85
2015-06-15,179.65
2015-06-16,175.85
2015-06-17,172.35
2015-06-18,172.25
2015-06-19,169.2
2015-06-22,177.05
2015-06-23,183.1
2015-06-24,194.25
2015-06-25,193.8
2015-06-26,194.5
2015-06-29,187.15
2015-06-30,185.1
2015-07-01,191.2
2015-07-02,185.6
2015-07-03,181.7
2015-07-06,182.85
2015-07-07,181.75
2015-07-08,181.6
2015-07-09,180.2
2015-07-10,181.65
2015-07-13,181.6
2015-07-14,186.75
2015-07-15,185.75
2015-07-16,186.25
2015-07-17,182.9
2015-07-20,183.7
2015-07-21,178.45
2015-07-22,180.45
2015-07-23,196.3
2015-07-24,193.65
2015-07-27,184.6
2015-07-28,180.75
2015-07-29,173.55
2015-07-30,175.1
2015-07-31,180.25
2015-08-03,178.45
2015-08-04,180.3
2015-08-05,179.85
2015-08-06,179.7
2015-08-07,179.1
2015-08-10,175.8
2015-08-11,173.35
2015-08-12,170.5
2015-08-13,161.3
2015-08-14,168.75
2015-08-17,165.35
2015-08-18,154.45
2015-08-19,159.25
2015-08-20,149.2
2015-08-21,147.5
2015-08-24,132.1
2015-08-25,133.5
2015-08-26,133.55
2015-08-27,136.85
2015-08-28,138.85
2015-08-31,139.1
2015-09-01,136.9
2015-09-02,137.75
2015-09-03,139.3
2015-09-04,136.15
2015-09-07,135.05
2015-09-08,134.6
2015-09-09,143.8
2015-09-10,150.75
2015-09-11,148.15
2015-09-14,145.85
2015-09-15,148.55
2015-09-16,145.35
2015-09-18,149.6
2015-09-21,148.55
2015-09-22,145.5
2015-09-23,143.4
2015-09-24,145.3
2015-09-28,142.15
2015-09-29,140.85
2015-09-30,137.75
2015-10-01,137.45
2015-10-05,140.55
2015-10-06,139.7
2015-10-07,137.5
2015-10-08,136.35
2015-10-09,135.9
2015-10-12,135.4
2015-10-13,135.7
2015-10-14,134.9
2015-10-15,134.55
2015-10-16,133.5
2015-10-19,134.4
2015-10-20,133.85
2015-10-21,132.15
2015-10-23,130.9
2015-10-26,128.75
2015-10-27,130.7
2015-10-28,129.4
2015-10-29,129.7
2015-10-30,126.75
2015-11-02,118.95
2015-11-03,114.65
2015-11-04,94.35
2015-11-05,97.75
2015-11-06,92.95
2015-11-09,91.85
2015-11-10,88.65
2015-11-11,88.65
2015-11-13,82.55
2015-11-16,82.3
2015-11-17,78.55
2015-11-18,81.35
2015-11-19,81.15
2015-11-20,82.4
2015-11-23,79.5
2015-11-24,73.5
2015-11-26,72.7
2015-11-27,69.95
2015-11-30,69.95
2015-12-01,68.35
2015-12-02,71.55
2015-12-03,70.35
2015-12-04,69.35
2015-12-07,68.1
2015-12-08,66.5
2015-12-09,62.75
2015-12-10,68.15
2015-12-11,67.65
2015-12-14,65.0
2015-12-15,64.5
2015-12-16,65.1
2015-12-17,65.55
2015-12-18,63.9
2015-12-21,64.0
2015-12-22,65.6
2015-12-23,65.65
2015-12-24,66.35
2015-12-28,66.4
2015-12-29,70.6
2015-12-30,71.15
2015-12-31,72.05
