Date,MOHITIND
2015-01-01,48.5
2015-01-02,47.55
2015-01-05,48.0
2015-01-06,45.9
2015-01-07,46.45
2015-01-08,49.85
2015-01-09,50.35
2015-01-12,50.65
2015-01-13,50.15
2015-01-14,50.8
2015-01-15,51.45
2015-01-16,52.1
2015-01-19,51.85
2015-01-20,50.35
2015-01-21,50.6
2015-01-22,50.9
2015-01-23,50.85
2015-01-27,49.45
2015-01-28,46.95
2015-01-29,48.9
2015-01-30,48.85
2015-02-02,50.4
2015-02-03,47.8
2015-02-04,47.85
2015-02-05,46.55
2015-02-06,44.9
2015-02-09,42.65
2015-02-10,41.5
2015-02-11,41.75
2015-02-12,42.85
2015-02-13,45.9
2015-02-16,47.0
2015-02-18,45.7
2015-02-19,44.3
2015-02-20,46.0
2015-02-23,45.6
2015-02-24,45.4
2015-02-25,45.0
2015-02-26,42.95
2015-02-27,42.85
2015-02-28,44.5
2015-03-02,47.65
2015-03-03,44.45
2015-03-04,43.0
2015-03-05,43.9
2015-03-09,41.9
2015-03-10,42.7
2015-03-11,42.95
2015-03-12,43.95
2015-03-13,44.1
2015-03-16,43.0
2015-03-17,43.3
2015-03-18,44.85
2015-03-19,43.5
2015-03-20,42.35
2015-03-23,42.5
2015-03-24,43.5
2015-03-25,41.6
2015-03-26,41.05
2015-03-27,40.15
2015-03-30,42.85
2015-03-31,40.75
2015-04-01,43.25
2015-04-06,43.4
2015-04-07,43.65
2015-04-08,42.95
2015-04-09,46.8
2015-04-10,47.4
2015-04-13,47.85
2015-04-15,48.2
2015-04-16,48.3
2015-04-17,47.15
2015-04-20,48.1
2015-04-21,51.05
2015-04-22,53.35
2015-04-23,54.55
2015-04-24,55.8
2015-04-27,56.9
2015-04-28,54.65
2015-04-29,56.15
2015-04-30,55.8
2015-05-04,56.65
2015-05-05,56.5
2015-05-06,53.25
2015-05-07,50.65
2015-05-08,52.95
2015-05-11,52.5
2015-05-12,53.05
2015-05-13,54.05
2015-05-14,53.2
2015-05-15,54.55
2015-05-18,55.8
2015-05-19,55.45
2015-05-20,55.95
2015-05-21,55.6
2015-05-22,58.25
2015-05-25,61.85
2015-05-26,60.7
2015-05-27,61.25
2015-05-28,60.35
2015-05-29,60.25
2015-06-01,59.7
2015-06-02,59.9
2015-06-03,57.6
2015-06-04,57.15
2015-06-05,59.35
2015-06-08,56.95
2015-06-09,57.0
2015-06-10,57.1
2015-06-11,54.35
2015-06-12,54.15
2015-06-15,52.6
2015-06-16,51.5
2015-06-17,52.4
2015-06-18,52.4
2015-06-19,52.05
2015-06-22,52.15
2015-06-23,52.75
2015-06-24,53.0
2015-06-25,52.25
2015-06-26,52.5
2015-06-29,49.95
2015-06-30,48.6
2015-07-01,50.0
2015-07-02,50.1
2015-07-03,51.0
2015-07-06,52.4
2015-07-07,51.1
2015-07-08,50.05
2015-07-09,49.5
2015-07-10,48.9
2015-07-13,50.75
2015-07-14,49.7
2015-07-15,50.15
2015-07-16,51.15
2015-07-17,51.0
2015-07-20,52.45
2015-07-21,50.9
2015-07-22,51.8
2015-07-23,53.45
2015-07-24,54.65
2015-07-27,53.95
2015-07-28,52.85
2015-07-29,53.0
2015-07-30,54.3
2015-07-31,56.6
2015-08-03,56.5
2015-08-04,56.75
2015-08-05,58.35
2015-08-06,56.05
2015-08-07,57.0
2015-08-10,56.7
2015-08-11,55.3
2015-08-12,54.95
2015-08-13,54.35
2015-08-14,52.0
2015-08-17,52.6
2015-08-18,52.65
2015-08-19,57.65
2015-08-20,53.05
2015-08-21,52.35
2015-08-24,45.15
2015-08-25,46.8
2015-08-26,46.05
2015-08-27,49.5
2015-08-28,45.8
2015-08-31,45.5
2015-09-01,46.5
2015-09-02,46.0
2015-09-03,42.55
2015-09-04,42.85
2015-09-07,44.0
2015-09-08,44.05
2015-09-09,45.45
2015-09-10,44.6
2015-09-11,45.35
2015-09-14,47.25
2015-09-15,47.0
2015-09-16,47.1
2015-09-18,48.6
2015-09-21,46.65
2015-09-22,48.9
2015-09-23,43.45
2015-09-24,43.8
2015-09-28,42.25
2015-09-29,42.5
2015-09-30,42.45
2015-10-01,42.9
2015-10-05,45.0
2015-10-06,45.5
2015-10-07,44.05
2015-10-08,45.25
2015-10-09,45.6
2015-10-12,42.7
2015-10-13,46.0
2015-10-14,44.3
2015-10-15,45.0
2015-10-16,46.75
2015-10-19,45.65
2015-10-20,45.15
2015-10-21,44.75
2015-10-23,45.0
2015-10-26,45.65
2015-10-27,45.35
2015-10-28,46.4
2015-10-29,45.4
2015-10-30,51.5
2015-11-02,51.6
2015-11-03,56.65
2015-11-04,54.1
2015-11-05,53.0
2015-11-06,50.2
2015-11-09,52.8
2015-11-10,50.9
2015-11-11,51.45
2015-11-13,51.5
2015-11-16,49.85
2015-11-17,50.1
2015-11-18,49.9
2015-11-19,48.5
2015-11-20,52.85
2015-11-23,50.7
2015-11-24,50.95
2015-11-26,55.55
2015-11-27,61.65
2015-11-30,62.4
2015-12-01,62.0
2015-12-02,61.35
2015-12-03,63.0
2015-12-04,61.8
2015-12-07,62.3
2015-12-08,61.15
2015-12-09,59.8
2015-12-10,61.45
2015-12-11,60.45
2015-12-14,61.75
2015-12-15,60.15
2015-12-16,60.85
2015-12-17,61.25
2015-12-18,61.2
2015-12-21,60.2
2015-12-22,60.2
2015-12-23,61.0
2015-12-24,62.45
2015-12-28,62.1
2015-12-29,61.6
2015-12-30,61.5
2015-12-31,61.75
