Date,RUCHISOYA
2015-01-01,37.2
2015-01-02,37.15
2015-01-05,37.35
2015-01-06,36.75
2015-01-07,36.85
2015-01-08,37.85
2015-01-09,37.4
2015-01-12,37.15
2015-01-13,37.4
2015-01-14,36.0
2015-01-15,36.5
2015-01-16,36.05
2015-01-19,35.95
2015-01-20,35.85
2015-01-21,35.1
2015-01-22,35.0
2015-01-23,34.85
2015-01-27,34.25
2015-01-28,34.05
2015-01-29,34.75
2015-01-30,34.35
2015-02-02,34.8
2015-02-03,34.45
2015-02-04,36.7
2015-02-05,36.45
2015-02-06,35.7
2015-02-09,35.65
2015-02-10,35.95
2015-02-11,36.65
2015-02-12,37.1
2015-02-13,40.1
2015-02-16,41.05
2015-02-18,45.85
2015-02-19,47.35
2015-02-20,47.65
2015-02-23,47.0
2015-02-24,44.65
2015-02-25,44.4
2015-02-26,43.0
2015-02-27,43.05
2015-02-28,43.0
2015-03-02,44.2
2015-03-03,45.65
2015-03-04,45.5
2015-03-05,47.65
2015-03-09,46.4
2015-03-10,44.95
2015-03-11,44.25
2015-03-12,45.2
2015-03-13,44.15
2015-03-16,44.1
2015-03-17,44.25
2015-03-18,44.9
2015-03-19,44.9
2015-03-20,44.2
2015-03-23,44.3
2015-03-24,43.75
2015-03-25,43.1
2015-03-26,42.2
2015-03-27,41.85
2015-03-30,42.8
2015-03-31,44.85
2015-04-01,45.95
2015-04-06,44.85
2015-04-07,44.45
2015-04-08,44.9
2015-04-09,43.95
2015-04-10,44.55
2015-04-13,44.1
2015-04-15,43.85
2015-04-16,44.15
2015-04-17,43.95
2015-04-20,43.35
2015-04-21,42.3
2015-04-22,42.3
2015-04-23,42.7
2015-04-24,41.55
2015-04-27,41.35
2015-04-28,41.1
2015-04-29,40.8
2015-04-30,40.7
2015-05-04,42.85
2015-05-05,42.8
2015-05-06,40.6
2015-05-07,40.55
2015-05-08,40.9
2015-05-11,40.55
2015-05-12,39.5
2015-05-13,40.65
2015-05-14,40.7
2015-05-15,40.6
2015-05-18,40.8
2015-05-19,40.65
2015-05-20,41.05
2015-05-21,40.55
2015-05-22,40.85
2015-05-25,41.6
2015-05-26,41.1
2015-05-27,41.55
2015-05-28,40.2
2015-05-29,40.5
2015-06-01,40.5
2015-06-02,40.2
2015-06-03,39.1
2015-06-04,39.15
2015-06-05,39.95
2015-06-08,40.25
2015-06-09,39.95
2015-06-10,40.1
2015-06-11,40.55
2015-06-12,40.5
2015-06-15,40.7
2015-06-16,40.85
2015-06-17,40.1
2015-06-18,40.05
2015-06-19,40.05
2015-06-22,40.0
2015-06-23,40.0
2015-06-24,40.15
2015-06-25,39.85
2015-06-26,39.9
2015-06-29,39.35
2015-06-30,39.2
2015-07-01,39.7
2015-07-02,39.65
2015-07-03,39.6
2015-07-06,40.75
2015-07-07,42.45
2015-07-08,40.2
2015-07-09,40.05
2015-07-10,37.95
2015-07-13,37.0
2015-07-14,36.65
2015-07-15,36.85
2015-07-16,36.4
2015-07-17,35.8
2015-07-20,35.65
2015-07-21,35.0
2015-07-22,35.75
2015-07-23,36.45
2015-07-24,35.9
2015-07-27,34.7
2015-07-28,34.0
2015-07-29,34.3
2015-07-30,34.65
2015-07-31,36.65
2015-08-03,38.25
2015-08-04,37.65
2015-08-05,37.5
2015-08-06,37.15
2015-08-07,37.0
2015-08-10,37.25
2015-08-11,35.85
2015-08-12,32.45
2015-08-13,33.55
2015-08-14,33.75
2015-08-17,35.15
2015-08-18,36.15
2015-08-19,35.8
2015-08-20,34.85
2015-08-21,34.4
2015-08-24,31.6
2015-08-25,30.85
2015-08-26,31.4
2015-08-27,32.5
2015-08-28,32.4
2015-08-31,33.75
2015-09-01,32.65
2015-09-02,32.7
2015-09-03,33.6
2015-09-04,32.45
2015-09-07,32.15
2015-09-08,31.5
2015-09-09,33.0
2015-09-10,31.55
2015-09-11,32.25
2015-09-14,31.9
2015-09-15,34.7
2015-09-16,34.25
2015-09-18,34.55
2015-09-21,34.0
2015-09-22,32.5
2015-09-23,32.2
2015-09-24,31.95
2015-09-28,31.45
2015-09-29,31.55
2015-09-30,31.8
2015-10-01,31.4
2015-10-05,31.8
2015-10-06,31.9
2015-10-07,33.9
2015-10-08,33.3
2015-10-09,33.05
2015-10-12,32.4
2015-10-13,32.45
2015-10-14,32.45
2015-10-15,32.3
2015-10-16,32.15
2015-10-19,32.75
2015-10-20,32.6
2015-10-21,32.6
2015-10-23,32.35
2015-10-26,31.9
2015-10-27,31.8
2015-10-28,31.2
2015-10-29,30.9
2015-10-30,31.7
2015-11-02,31.3
2015-11-03,32.25
2015-11-04,31.2
2015-11-05,31.45
2015-11-06,30.7
2015-11-09,30.55
2015-11-10,30.25
2015-11-11,30.6
2015-11-13,30.1
2015-11-16,30.1
2015-11-17,30.1
2015-11-18,29.9
2015-11-19,29.85
2015-11-20,29.95
2015-11-23,30.65
2015-11-24,31.3
2015-11-26,30.4
2015-11-27,30.0
2015-11-30,29.8
2015-12-01,30.2
2015-12-02,30.2
2015-12-03,30.8
2015-12-04,29.9
2015-12-07,29.85
2015-12-08,29.45
2015-12-09,28.9
2015-12-10,28.45
2015-12-11,28.15
2015-12-14,27.85
2015-12-15,27.85
2015-12-16,27.9
2015-12-17,28.0
2015-12-18,27.9
2015-12-21,27.9
2015-12-22,27.8
2015-12-23,27.95
2015-12-24,27.95
2015-12-28,30.05
2015-12-29,29.85
2015-12-30,29.4
2015-12-31,29.4
