Date,AHLEAST
2015-01-01,177.7
2015-01-02,179.25
2015-01-05,187.5
2015-01-06,179.8
2015-01-07,172.95
2015-01-08,174.05
2015-01-09,171.7
2015-01-12,170.85
2015-01-13,172.4
2015-01-14,174.0
2015-01-15,171.0
2015-01-16,170.55
2015-01-19,173.85
2015-01-20,171.1
2015-01-21,173.95
2015-01-22,170.75
2015-01-23,176.9
2015-01-27,173.4
2015-01-28,170.6
2015-01-29,172.25
2015-01-30,174.55
2015-02-02,177.0
2015-02-03,178.7
2015-02-04,177.65
2015-02-05,175.3
2015-02-06,174.45
2015-02-09,173.45
2015-02-10,171.25
2015-02-11,172.7
2015-02-12,175.0
2015-02-13,177.65
2015-02-16,177.0
2015-02-18,172.5
2015-02-19,176.45
2015-02-20,177.25
2015-02-23,179.05
2015-02-24,179.75
2015-02-25,174.1
2015-02-26,174.25
2015-02-27,171.75
2015-02-28,174.45
2015-03-02,176.8
2015-03-03,178.85
2015-03-04,179.45
2015-03-05,177.1
2015-03-09,173.5
2015-03-10,169.7
2015-03-11,176.75
2015-03-12,179.75
2015-03-13,179.95
2015-03-16,179.75
2015-03-17,182.55
2015-03-18,183.25
2015-03-19,180.0
2015-03-20,181.0
2015-03-23,180.1
2015-03-24,185.85
2015-03-25,180.6
2015-03-26,181.05
2015-03-27,183.1
2015-03-30,191.4
2015-03-31,199.6
2015-04-01,192.25
2015-04-06,183.9
2015-04-07,183.1
2015-04-08,186.2
2015-04-09,183.6
2015-04-10,200.15
2015-04-13,200.0
2015-04-15,202.35
2015-04-16,195.15
2015-04-17,195.65
2015-04-20,197.0
2015-04-21,200.05
2015-04-22,185.05
2015-04-23,190.05
2015-04-24,188.0
2015-04-27,183.2
2015-04-28,182.7
2015-04-29,183.3
2015-04-30,186.6
2015-05-04,182.75
2015-05-05,183.05
2015-05-06,180.5
2015-05-07,176.5
2015-05-08,177.65
2015-05-11,179.45
2015-05-13,179.1
2015-05-15,181.0
2015-05-18,179.9
2015-05-19,178.35
2015-05-20,174.4
2015-05-21,182.0
2015-05-22,181.25
2015-05-25,171.5
2015-05-26,178.8
2015-05-27,177.3
2015-05-28,175.4
2015-05-29,175.3
2015-06-01,175.1
2015-06-02,181.35
2015-06-03,179.0
2015-06-04,178.0
2015-06-05,179.25
2015-06-08,177.25
2015-06-09,178.0
2015-06-10,179.25
2015-06-11,176.3
2015-06-12,171.0
2015-06-15,170.0
2015-06-16,170.15
2015-06-17,167.3
2015-06-18,172.0
2015-06-19,171.0
2015-06-22,172.0
2015-06-23,172.2
2015-06-24,170.7
2015-06-26,169.8
2015-06-29,175.0
2015-06-30,171.25
2015-07-01,170.25
2015-07-02,172.0
2015-07-03,171.05
2015-07-06,172.2
2015-07-07,170.1
2015-07-08,171.15
2015-07-09,169.6
2015-07-10,171.95
2015-07-13,171.85
2015-07-14,171.0
2015-07-15,174.1
2015-07-16,176.8
2015-07-17,174.45
2015-07-20,174.85
2015-07-21,174.1
2015-07-22,174.7
2015-07-23,171.15
2015-07-24,172.55
2015-07-27,171.0
2015-07-28,170.25
2015-07-29,169.35
2015-07-30,170.25
2015-07-31,174.45
2015-08-03,172.0
2015-08-04,169.25
2015-08-05,176.15
2015-08-06,179.0
2015-08-07,174.2
2015-08-10,176.15
2015-08-11,175.6
2015-08-12,169.45
2015-08-13,166.85
2015-08-14,170.0
2015-08-17,165.05
2015-08-18,168.9
2015-08-19,169.7
2015-08-20,167.0
2015-08-21,163.5
2015-08-24,135.45
2015-08-25,148.85
2015-08-26,150.1
2015-08-27,150.75
2015-08-28,149.85
2015-08-31,152.5
2015-09-01,142.95
2015-09-02,145.0
2015-09-03,151.9
2015-09-04,148.6
2015-09-07,146.0
2015-09-08,145.0
2015-09-09,149.8
2015-09-10,146.15
2015-09-11,147.8
2015-09-14,149.75
2015-09-15,143.55
2015-09-16,148.55
2015-09-18,149.75
2015-09-21,146.6
2015-09-22,144.05
2015-09-23,148.5
2015-09-24,145.15
2015-09-28,144.25
2015-09-29,144.8
2015-09-30,150.0
2015-10-01,151.0
2015-10-05,151.05
2015-10-06,145.0
2015-10-07,145.3
2015-10-08,149.0
2015-10-09,145.0
2015-10-12,144.1
2015-10-13,144.0
2015-10-14,144.0
2015-10-15,144.0
2015-10-16,144.25
2015-10-19,145.95
2015-10-20,145.25
2015-10-21,144.3
2015-10-23,144.3
2015-10-26,147.7
2015-10-27,144.0
2015-10-28,144.55
2015-10-29,145.5
2015-10-30,148.15
2015-11-02,145.0
2015-11-03,145.15
2015-11-04,142.1
2015-11-05,142.6
2015-11-09,140.15
2015-11-10,140.1
2015-11-11,142.0
2015-11-13,140.05
2015-11-16,139.95
2015-11-17,140.0
2015-11-18,140.1
2015-11-19,148.5
2015-11-20,150.0
2015-11-23,143.5
2015-11-24,142.1
2015-11-26,146.0
2015-11-27,147.95
2015-11-30,141.5
2015-12-01,142.0
2015-12-02,157.4
2015-12-03,166.05
2015-12-04,162.85
2015-12-07,164.35
2015-12-08,163.1
2015-12-09,162.1
2015-12-10,160.95
2015-12-11,161.0
2015-12-14,160.65
2015-12-15,162.4
2015-12-16,164.95
2015-12-17,162.25
2015-12-18,162.0
2015-12-21,161.3
2015-12-22,162.55
2015-12-23,165.5
2015-12-24,161.25
2015-12-28,161.05
2015-12-29,160.55
2015-12-30,162.85
2015-12-31,163.0
