Date,TEXMOPIPES
2015-01-01,15.15
2015-01-02,15.2
2015-01-05,15.65
2015-01-06,15.15
2015-01-07,14.9
2015-01-08,15.0
2015-01-09,14.95
2015-01-12,15.15
2015-01-13,15.05
2015-01-14,14.95
2015-01-15,15.1
2015-01-16,14.8
2015-01-19,15.0
2015-01-20,15.1
2015-01-21,15.0
2015-01-22,14.65
2015-01-23,14.6
2015-01-27,14.65
2015-01-28,14.2
2015-01-29,14.15
2015-01-30,13.9
2015-02-02,13.9
2015-02-03,13.75
2015-02-04,15.45
2015-02-05,15.1
2015-02-06,14.35
2015-02-09,14.1
2015-02-10,13.95
2015-02-11,14.25
2015-02-12,14.4
2015-02-13,14.05
2015-02-16,13.35
2015-02-18,13.7
2015-02-19,13.55
2015-02-20,13.45
2015-02-23,13.15
2015-02-24,12.9
2015-02-25,13.05
2015-02-26,12.55
2015-02-27,12.8
2015-02-28,12.8
2015-03-02,12.6
2015-03-03,12.65
2015-03-04,12.25
2015-03-05,12.1
2015-03-09,12.3
2015-03-10,11.95
2015-03-11,11.4
2015-03-12,11.35
2015-03-13,11.15
2015-03-16,10.6
2015-03-17,10.1
2015-03-18,10.15
2015-03-19,9.9
2015-03-20,9.45
2015-03-23,8.65
2015-03-24,8.5
2015-03-25,7.6
2015-03-26,8.35
2015-03-27,9.15
2015-03-30,10.05
2015-03-31,10.55
2015-04-01,11.05
2015-04-06,11.3
2015-04-07,11.55
2015-04-08,11.05
2015-04-09,11.6
2015-04-10,12.1
2015-04-13,12.7
2015-04-15,12.65
2015-04-16,12.3
2015-04-17,12.3
2015-04-20,12.05
2015-04-21,12.2
2015-04-22,12.3
2015-04-23,12.05
2015-04-24,11.9
2015-04-27,11.4
2015-04-28,11.65
2015-04-29,11.85
2015-04-30,12.2
2015-05-04,12.3
2015-05-05,12.15
2015-05-06,12.05
2015-05-07,11.35
2015-05-08,11.9
2015-05-11,11.85
2015-05-12,11.25
2015-05-13,11.2
2015-05-14,11.6
2015-05-15,12.0
2015-05-18,11.8
2015-05-19,11.35
2015-05-20,11.3
2015-05-21,11.2
2015-05-22,11.2
2015-05-25,11.1
2015-05-26,12.15
2015-05-27,12.95
2015-05-28,13.55
2015-05-29,13.6
2015-06-01,13.25
2015-06-02,12.8
2015-06-03,11.7
2015-06-04,11.6
2015-06-05,12.1
2015-06-08,12.05
2015-06-09,11.7
2015-06-10,11.8
2015-06-11,11.3
2015-06-12,10.8
2015-06-15,11.7
2015-06-16,11.7
2015-06-17,11.6
2015-06-18,11.45
2015-06-19,11.55
2015-06-22,11.55
2015-06-23,11.5
2015-06-24,11.9
2015-06-25,11.8
2015-06-26,11.7
2015-06-29,11.25
2015-06-30,11.15
2015-07-01,11.4
2015-07-02,11.35
2015-07-03,11.7
2015-07-06,12.05
2015-07-07,13.95
2015-07-08,14.05
2015-07-09,14.0
2015-07-10,13.65
2015-07-13,13.35
2015-07-14,13.3
2015-07-15,13.2
2015-07-16,13.25
2015-07-17,13.25
2015-07-20,15.15
2015-07-21,14.15
2015-07-22,14.7
2015-07-23,14.55
2015-07-24,14.1
2015-07-27,13.85
2015-07-28,14.0
2015-07-29,13.55
2015-07-30,13.45
2015-07-31,13.8
2015-08-03,13.7
2015-08-04,14.9
2015-08-05,15.0
2015-08-06,14.7
2015-08-07,15.1
2015-08-10,15.3
2015-08-11,15.25
2015-08-12,13.8
2015-08-13,14.0
2015-08-14,15.25
2015-08-17,16.45
2015-08-18,15.9
2015-08-19,15.9
2015-08-20,15.1
2015-08-21,14.65
2015-08-24,13.0
2015-08-25,13.45
2015-08-26,13.45
2015-08-27,13.9
2015-08-28,13.95
2015-08-31,13.95
2015-09-01,13.55
2015-09-02,13.65
2015-09-03,13.75
2015-09-04,13.45
2015-09-07,13.3
2015-09-08,13.4
2015-09-09,13.95
2015-09-10,13.95
2015-09-11,14.05
2015-09-14,13.8
2015-09-15,14.2
2015-09-16,14.1
2015-09-18,14.25
2015-09-21,14.9
2015-09-22,14.55
2015-09-23,14.5
2015-09-24,14.05
2015-09-28,13.7
2015-09-29,13.95
2015-09-30,13.75
2015-10-01,13.8
2015-10-05,14.0
2015-10-06,13.8
2015-10-07,14.45
2015-10-08,14.9
2015-10-09,14.8
2015-10-12,14.55
2015-10-13,14.65
2015-10-14,14.65
2015-10-15,14.7
2015-10-16,14.65
2015-10-19,14.95
2015-10-20,14.95
2015-10-21,15.0
2015-10-23,15.5
2015-10-26,15.3
2015-10-27,15.15
2015-10-28,15.35
2015-10-29,15.85
2015-10-30,15.45
2015-11-02,16.05
2015-11-03,16.05
2015-11-04,15.75
2015-11-05,15.55
2015-11-06,15.5
2015-11-09,12.5
2015-11-10,11.65
2015-11-11,12.15
2015-11-13,11.75
2015-11-16,11.55
2015-11-17,11.4
2015-11-18,10.8
2015-11-19,10.2
2015-11-20,10.15
2015-11-23,11.2
2015-11-24,12.25
2015-11-26,12.45
2015-11-27,11.85
2015-11-30,13.15
2015-12-01,13.55
2015-12-02,13.35
2015-12-03,12.9
2015-12-04,12.8
2015-12-07,12.55
2015-12-08,12.6
2015-12-09,12.0
2015-12-10,12.15
2015-12-11,12.1
2015-12-14,12.35
2015-12-15,12.4
2015-12-16,13.2
2015-12-17,13.55
2015-12-18,13.45
2015-12-21,13.5
2015-12-22,13.6
2015-12-23,13.65
2015-12-24,13.5
2015-12-28,13.3
2015-12-29,13.35
2015-12-30,13.5
2015-12-31,13.7
