Date,CPSEETF
2015-01-01,25.09
2015-01-02,25.22
2015-01-05,25.25
2015-01-06,24.4
2015-01-07,24.42
2015-01-08,24.71
2015-01-09,24.85
2015-01-12,24.52
2015-01-13,24.42
2015-01-14,24.42
2015-01-15,24.75
2015-01-16,24.84
2015-01-19,25.01
2015-01-20,24.94
2015-01-21,24.94
2015-01-22,25.15
2015-01-23,25.0
2015-01-27,24.96
2015-01-28,25.22
2015-01-29,25.07
2015-01-30,24.98
2015-02-02,24.98
2015-02-03,24.97
2015-02-04,25.17
2015-02-05,24.87
2015-02-06,24.62
2015-02-09,24.33
2015-02-10,24.51
2015-02-11,24.53
2015-02-12,24.78
2015-02-13,24.35
2015-02-16,24.54
2015-02-18,24.52
2015-02-19,24.66
2015-02-20,24.78
2015-02-23,24.44
2015-02-24,24.15
2015-02-25,24.35
2015-02-26,24.13
2015-02-27,24.94
2015-02-28,24.89
2015-03-02,25.11
2015-03-03,25.19
2015-03-04,24.91
2015-03-05,24.68
2015-03-09,24.41
2015-03-10,24.63
2015-03-11,24.54
2015-03-12,24.55
2015-03-13,24.35
2015-03-16,24.2
2015-03-17,24.4
2015-03-18,24.38
2015-03-19,24.36
2015-03-20,24.19
2015-03-23,24.24
2015-03-24,24.43
2015-03-25,24.17
2015-03-26,23.79
2015-03-27,23.6
2015-03-30,24.09
2015-03-31,24.22
2015-04-01,24.34
2015-04-06,24.62
2015-04-07,24.57
2015-04-08,25.05
2015-04-09,25.2
2015-04-10,25.22
2015-04-13,25.25
2015-04-15,25.28
2015-04-16,25.25
2015-04-17,25.15
2015-04-20,24.58
2015-04-21,24.54
2015-04-22,24.48
2015-04-23,24.5
2015-04-24,24.25
2015-04-27,24.0
2015-04-28,23.94
2015-04-29,23.88
2015-04-30,23.7
2015-05-04,24.57
2015-05-05,24.96
2015-05-06,24.1
2015-05-07,23.7
2015-05-08,23.8
2015-05-11,24.3
2015-05-12,23.82
2015-05-13,24.11
2015-05-14,24.35
2015-05-15,24.31
2015-05-18,24.49
2015-05-19,24.34
2015-05-20,24.31
2015-05-21,24.57
2015-05-22,24.79
2015-05-25,24.75
2015-05-26,24.7
2015-05-27,24.94
2015-05-28,24.83
2015-05-29,25.24
2015-06-01,25.13
2015-06-02,24.69
2015-06-03,24.21
2015-06-04,24.14
2015-06-05,24.7
2015-06-08,24.49
2015-06-09,24.44
2015-06-10,24.63
2015-06-11,24.28
2015-06-12,24.31
2015-06-15,24.38
2015-06-16,24.49
2015-06-17,24.55
2015-06-18,24.67
2015-06-19,24.89
2015-06-22,25.14
2015-06-23,25.51
2015-06-24,25.37
2015-06-25,25.31
2015-06-26,25.12
2015-06-29,24.81
2015-06-30,24.99
2015-07-01,25.31
2015-07-02,25.33
2015-07-03,25.26
2015-07-06,25.33
2015-07-07,25.45
2015-07-08,25.06
2015-07-09,24.89
2015-07-10,24.8
2015-07-13,24.84
2015-07-14,25.15
2015-07-15,25.2
2015-07-16,25.62
2015-07-17,25.39
2015-07-20,25.31
2015-07-21,24.87
2015-07-22,25.24
2015-07-23,25.01
2015-07-24,24.74
2015-07-27,24.36
2015-07-28,24.1
2015-07-29,24.09
2015-07-30,24.23
2015-07-31,24.62
2015-08-03,24.53
2015-08-04,24.6
2015-08-05,24.47
2015-08-06,24.36
2015-08-07,24.33
2015-08-10,24.11
2015-08-11,23.72
2015-08-12,23.0
2015-08-13,22.98
2015-08-14,23.15
2015-08-17,23.18
2015-08-18,22.83
2015-08-19,22.58
2015-08-20,22.16
2015-08-21,21.93
2015-08-24,20.19
2015-08-25,20.69
2015-08-26,20.7
2015-08-27,21.15
2015-08-28,21.41
2015-08-31,21.5
2015-09-01,21.08
2015-09-02,20.68
2015-09-03,20.8
2015-09-04,20.59
2015-09-07,20.23
2015-09-08,20.54
2015-09-09,20.77
2015-09-10,20.65
2015-09-11,20.59
2015-09-14,20.8
2015-09-15,20.64
2015-09-16,20.78
2015-09-18,20.95
2015-09-21,21.08
2015-09-22,20.71
2015-09-23,20.79
2015-09-24,20.54
2015-09-28,20.23
2015-09-29,20.3
2015-09-30,20.81
2015-10-01,20.84
2015-10-05,21.46
2015-10-06,21.74
2015-10-07,21.98
2015-10-08,21.98
2015-10-09,21.93
2015-10-12,21.94
2015-10-13,21.79
2015-10-14,21.67
2015-10-15,21.97
2015-10-16,22.0
2015-10-19,21.87
2015-10-20,21.82
2015-10-21,21.72
2015-10-23,21.81
2015-10-26,21.51
2015-10-27,21.32
2015-10-28,21.31
2015-10-29,21.06
2015-10-30,21.02
2015-11-02,21.02
2015-11-03,21.26
2015-11-04,21.43
2015-11-05,21.46
2015-11-06,21.45
2015-11-09,21.16
2015-11-10,20.66
2015-11-11,20.86
2015-11-13,20.75
2015-11-16,20.57
2015-11-17,20.7
2015-11-18,20.6
2015-11-19,20.75
2015-11-20,21.08
2015-11-23,21.01
2015-11-24,21.09
2015-11-26,21.32
2015-11-27,21.36
2015-11-30,21.27
2015-12-01,21.55
2015-12-02,21.53
2015-12-03,21.31
2015-12-04,21.15
2015-12-07,20.93
2015-12-08,20.36
2015-12-09,20.1
2015-12-10,20.2
2015-12-11,19.99
2015-12-14,20.1
2015-12-15,20.21
2015-12-16,20.51
2015-12-17,20.53
2015-12-18,20.51
2015-12-21,20.79
2015-12-22,20.75
2015-12-23,21.05
2015-12-24,21.05
2015-12-28,21.29
2015-12-29,21.26
2015-12-30,21.23
2015-12-31,21.49
