Date,SURANAT&P
2015-01-01,8.65
2015-01-02,8.95
2015-01-05,8.8
2015-01-06,8.5
2015-01-07,8.5
2015-01-08,8.6
2015-01-09,8.15
2015-01-12,9.55
2015-01-13,8.75
2015-01-14,8.55
2015-01-15,8.85
2015-01-16,10.05
2015-01-19,10.15
2015-01-20,10.3
2015-01-21,10.95
2015-01-22,11.95
2015-01-23,11.8
2015-01-27,11.55
2015-01-28,11.2
2015-01-29,11.05
2015-01-30,11.05
2015-02-02,11.0
2015-02-03,10.95
2015-02-04,10.75
2015-02-05,10.85
2015-02-06,10.7
2015-02-09,10.5
2015-02-10,11.0
2015-02-11,11.4
2015-02-12,10.95
2015-02-13,10.95
2015-02-16,11.05
2015-02-18,12.0
2015-02-19,11.65
2015-02-20,11.75
2015-02-23,11.7
2015-02-24,11.55
2015-02-25,11.7
2015-02-26,11.7
2015-02-27,12.0
2015-02-28,12.65
2015-03-02,12.6
2015-03-03,12.35
2015-03-04,13.3
2015-03-05,13.15
2015-03-09,12.8
2015-03-10,12.85
2015-03-11,13.2
2015-03-12,13.5
2015-03-13,13.25
2015-03-16,13.4
2015-03-17,13.15
2015-03-18,13.1
2015-03-19,14.05
2015-03-20,13.9
2015-03-23,13.85
2015-03-24,13.85
2015-03-25,13.75
2015-03-26,13.6
2015-03-27,13.4
2015-03-30,13.45
2015-03-31,13.3
2015-04-01,13.15
2015-04-06,13.05
2015-04-07,13.4
2015-04-08,15.95
2015-04-09,14.9
2015-04-10,13.95
2015-04-13,14.15
2015-04-15,14.5
2015-04-16,14.5
2015-04-17,14.45
2015-04-20,14.0
2015-04-21,13.35
2015-04-22,13.0
2015-04-23,12.55
2015-04-24,12.35
2015-04-27,11.7
2015-04-28,11.3
2015-04-29,11.05
2015-04-30,11.25
2015-05-04,10.9
2015-05-05,10.3
2015-05-06,10.3
2015-05-07,9.85
2015-05-08,10.0
2015-05-11,10.35
2015-05-12,10.15
2015-05-13,10.2
2015-05-14,10.15
2015-05-15,10.15
2015-05-18,10.15
2015-05-19,10.2
2015-05-20,10.25
2015-05-21,10.2
2015-05-22,10.2
2015-05-25,10.2
2015-05-26,9.95
2015-05-27,9.5
2015-05-28,9.0
2015-05-29,8.65
2015-06-01,8.6
2015-06-02,8.55
2015-06-03,8.5
2015-06-04,8.65
2015-06-05,8.45
2015-06-08,8.65
2015-06-09,8.15
2015-06-10,8.3
2015-06-11,7.85
2015-06-12,6.3
2015-06-15,5.95
2015-06-16,5.4
2015-06-17,5.35
2015-06-18,5.85
2015-06-19,6.35
2015-06-22,5.95
2015-06-23,5.7
2015-06-24,5.45
2015-06-25,5.8
2015-06-26,5.5
2015-06-29,5.15
2015-06-30,5.1
2015-07-01,5.35
2015-07-02,5.3
2015-07-03,5.5
2015-07-06,5.65
2015-07-07,6.7
2015-07-08,7.2
2015-07-09,7.45
2015-07-10,7.15
2015-07-13,7.15
2015-07-14,6.75
2015-07-15,7.15
2015-07-16,7.0
2015-07-17,6.9
2015-07-20,7.05
2015-07-21,6.8
2015-07-22,6.25
2015-07-23,6.5
2015-07-24,6.45
2015-07-27,6.6
2015-07-28,7.05
2015-07-29,6.75
2015-07-30,6.7
2015-07-31,6.6
2015-08-03,6.4
2015-08-04,6.2
2015-08-05,6.2
2015-08-06,6.3
2015-08-07,6.0
2015-08-10,5.8
2015-08-11,5.95
2015-08-12,5.75
2015-08-13,5.65
2015-08-14,5.5
2015-08-17,5.55
2015-08-18,5.4
2015-08-19,5.4
2015-08-20,5.1
2015-08-21,5.05
2015-08-24,4.35
2015-08-25,4.85
2015-08-26,4.7
2015-08-27,4.75
2015-08-28,5.0
2015-08-31,4.25
2015-09-01,4.15
2015-09-02,4.2
2015-09-03,3.9
2015-09-04,3.5
2015-09-07,3.65
2015-09-08,3.4
2015-09-09,3.7
2015-09-10,3.4
2015-09-11,3.2
2015-09-14,3.45
2015-09-15,3.5
2015-09-16,3.5
2015-09-18,3.65
2015-09-21,3.7
2015-09-22,3.65
2015-09-23,3.5
2015-09-24,3.7
2015-09-28,4.05
2015-09-29,4.45
2015-09-30,4.65
2015-10-01,4.45
2015-10-05,4.65
2015-10-06,4.85
2015-10-07,5.0
2015-10-08,5.2
2015-10-09,5.25
2015-10-12,5.5
2015-10-13,5.25
2015-10-14,5.0
2015-10-15,5.0
2015-10-16,4.95
2015-10-19,5.0
2015-10-20,5.05
2015-10-21,4.9
2015-10-23,5.1
2015-10-26,5.0
2015-10-27,4.75
2015-10-28,4.9
2015-10-29,4.85
2015-10-30,4.7
2015-11-02,4.85
2015-11-03,4.7
2015-11-04,4.9
2015-11-05,4.8
2015-11-06,4.6
2015-11-09,4.65
2015-11-10,4.7
2015-11-11,4.55
2015-11-13,4.5
2015-11-16,4.75
2015-11-17,4.85
2015-11-18,4.7
2015-11-19,4.95
2015-11-20,5.0
2015-11-23,4.95
2015-11-24,5.0
2015-11-26,5.15
2015-11-27,5.15
2015-11-30,5.3
2015-12-01,5.2
2015-12-02,5.25
2015-12-03,5.2
2015-12-04,6.2
2015-12-07,6.2
2015-12-08,6.0
2015-12-09,5.6
2015-12-10,6.0
2015-12-11,6.0
2015-12-14,6.05
2015-12-15,6.0
2015-12-16,6.0
2015-12-17,5.95
2015-12-18,5.9
2015-12-21,6.2
2015-12-22,6.2
2015-12-23,6.45
2015-12-24,6.3
2015-12-28,6.6
2015-12-29,6.5
2015-12-30,6.3
2015-12-31,6.25
