Date,DATAMATICS
2015-01-01,82.05
2015-01-02,81.5
2015-01-05,79.9
2015-01-06,78.0
2015-01-07,77.6
2015-01-08,78.7
2015-01-09,79.15
2015-01-12,81.7
2015-01-13,79.4
2015-01-14,78.4
2015-01-15,78.0
2015-01-16,85.65
2015-01-19,82.45
2015-01-20,85.6
2015-01-21,83.3
2015-01-22,82.15
2015-01-23,80.5
2015-01-27,84.45
2015-01-28,82.15
2015-01-29,79.65
2015-01-30,79.4
2015-02-02,80.05
2015-02-03,83.15
2015-02-04,92.95
2015-02-05,90.4
2015-02-06,92.05
2015-02-09,91.9
2015-02-10,91.75
2015-02-11,92.1
2015-02-12,92.85
2015-02-13,85.8
2015-02-16,84.65
2015-02-18,82.95
2015-02-19,81.4
2015-02-20,81.1
2015-02-23,76.45
2015-02-24,74.3
2015-02-25,73.85
2015-02-26,73.05
2015-02-27,74.75
2015-02-28,73.6
2015-03-02,76.25
2015-03-03,77.65
2015-03-04,75.95
2015-03-05,76.8
2015-03-09,73.1
2015-03-10,73.15
2015-03-11,74.1
2015-03-12,73.6
2015-03-13,71.85
2015-03-16,70.15
2015-03-17,67.95
2015-03-18,70.25
2015-03-19,67.75
2015-03-20,66.55
2015-03-23,65.05
2015-03-24,65.5
2015-03-25,64.7
2015-03-26,62.05
2015-03-27,60.45
2015-03-30,68.15
2015-03-31,67.05
2015-04-01,72.15
2015-04-06,69.95
2015-04-07,71.95
2015-04-08,72.95
2015-04-09,72.6
2015-04-10,73.7
2015-04-13,75.4
2015-04-15,72.15
2015-04-16,72.25
2015-04-17,70.4
2015-04-20,66.5
2015-04-21,69.45
2015-04-22,69.05
2015-04-23,68.4
2015-04-24,66.9
2015-04-27,64.4
2015-04-28,64.25
2015-04-29,64.95
2015-04-30,64.1
2015-05-04,67.7
2015-05-05,67.3
2015-05-06,64.55
2015-05-07,62.8
2015-05-08,63.55
2015-05-11,64.1
2015-05-12,62.4
2015-05-13,63.15
2015-05-14,63.35
2015-05-15,63.05
2015-05-18,64.2
2015-05-19,68.65
2015-05-20,66.9
2015-05-21,68.15
2015-05-22,66.55
2015-05-25,67.05
2015-05-26,68.4
2015-05-27,67.4
2015-05-28,58.95
2015-05-29,58.8
2015-06-01,57.25
2015-06-02,56.05
2015-06-03,53.95
2015-06-04,54.8
2015-06-05,53.2
2015-06-08,51.9
2015-06-09,51.9
2015-06-10,51.85
2015-06-11,51.15
2015-06-12,51.2
2015-06-15,52.3
2015-06-16,51.2
2015-06-17,53.45
2015-06-18,53.6
2015-06-19,56.05
2015-06-22,56.1
2015-06-23,56.25
2015-06-24,54.9
2015-06-25,53.8
2015-06-26,53.2
2015-06-29,51.6
2015-06-30,52.65
2015-07-01,55.05
2015-07-02,61.45
2015-07-03,63.75
2015-07-06,63.3
2015-07-07,68.75
2015-07-08,66.1
2015-07-09,66.75
2015-07-10,65.6
2015-07-13,64.95
2015-07-14,65.0
2015-07-15,65.35
2015-07-16,64.2
2015-07-17,62.35
2015-07-20,60.8
2015-07-21,62.9
2015-07-22,63.35
2015-07-23,63.75
2015-07-24,63.05
2015-07-27,61.45
2015-07-28,61.6
2015-07-29,61.9
2015-07-30,62.8
2015-07-31,63.25
2015-08-03,60.85
2015-08-04,59.25
2015-08-05,62.6
2015-08-06,61.6
2015-08-07,60.95
2015-08-10,62.3
2015-08-11,60.55
2015-08-12,58.25
2015-08-13,56.9
2015-08-14,57.8
2015-08-17,59.65
2015-08-18,59.95
2015-08-19,59.7
2015-08-20,57.15
2015-08-21,55.65
2015-08-24,49.85
2015-08-25,48.05
2015-08-26,47.5
2015-08-27,51.2
2015-08-28,49.8
2015-08-31,49.45
2015-09-01,47.7
2015-09-02,47.95
2015-09-03,48.6
2015-09-04,47.85
2015-09-07,45.45
2015-09-08,45.5
2015-09-09,47.75
2015-09-10,47.5
2015-09-11,47.65
2015-09-14,48.5
2015-09-15,47.35
2015-09-16,47.75
2015-09-18,50.25
2015-09-21,51.9
2015-09-22,50.9
2015-09-23,51.15
2015-09-24,50.05
2015-09-28,50.5
2015-09-29,50.75
2015-09-30,52.8
2015-10-01,52.6
2015-10-05,52.3
2015-10-06,52.7
2015-10-07,53.35
2015-10-08,53.5
2015-10-09,55.9
2015-10-12,57.7
2015-10-13,58.0
2015-10-14,59.65
2015-10-15,63.65
2015-10-16,61.35
2015-10-19,62.9
2015-10-20,60.2
2015-10-21,59.75
2015-10-23,60.25
2015-10-26,61.1
2015-10-27,58.15
2015-10-28,55.85
2015-10-29,52.15
2015-10-30,52.55
2015-11-02,51.45
2015-11-03,52.05
2015-11-04,51.95
2015-11-05,52.2
2015-11-06,51.55
2015-11-09,52.0
2015-11-10,52.2
2015-11-11,53.8
2015-11-13,56.6
2015-11-16,53.05
2015-11-17,53.2
2015-11-18,53.1
2015-11-19,52.65
2015-11-20,52.5
2015-11-23,53.3
2015-11-24,53.85
2015-11-26,55.75
2015-11-27,55.95
2015-11-30,59.85
2015-12-01,63.75
2015-12-02,66.85
2015-12-03,65.8
2015-12-04,64.3
2015-12-07,63.8
2015-12-08,63.15
2015-12-09,59.05
2015-12-10,59.95
2015-12-11,58.5
2015-12-14,58.2
2015-12-15,58.0
2015-12-16,62.45
2015-12-17,63.05
2015-12-18,60.5
2015-12-21,65.0
2015-12-22,65.15
2015-12-23,65.85
2015-12-24,66.35
2015-12-28,66.95
2015-12-29,64.45
2015-12-30,63.65
2015-12-31,71.2
