Date,SRF
2015-01-01,876.4
2015-01-02,921.75
2015-01-05,907.45
2015-01-06,867.4
2015-01-07,857.75
2015-01-08,864.85
2015-01-09,855.65
2015-01-12,847.9
2015-01-13,897.75
2015-01-14,916.8
2015-01-15,918.0
2015-01-16,916.3
2015-01-19,913.9
2015-01-20,924.6
2015-01-21,925.65
2015-01-22,939.4
2015-01-23,955.0
2015-01-27,943.95
2015-01-28,974.65
2015-01-29,963.7
2015-01-30,949.65
2015-02-02,964.9
2015-02-03,979.5
2015-02-04,998.2
2015-02-05,979.1
2015-02-06,944.55
2015-02-09,947.25
2015-02-10,989.4
2015-02-11,933.2
2015-02-12,944.1
2015-02-13,938.8
2015-02-16,934.95
2015-02-18,919.25
2015-02-19,923.5
2015-02-20,927.2
2015-02-23,922.8
2015-02-24,920.15
2015-02-25,937.15
2015-02-26,923.8
2015-02-27,945.85
2015-02-28,935.4
2015-03-02,951.35
2015-03-03,983.5
2015-03-04,943.35
2015-03-05,940.2
2015-03-09,926.4
2015-03-10,925.5
2015-03-11,925.0
2015-03-12,921.9
2015-03-13,913.6
2015-03-16,916.7
2015-03-17,924.2
2015-03-18,929.55
2015-03-19,937.6
2015-03-20,909.8
2015-03-23,920.05
2015-03-24,912.55
2015-03-25,912.15
2015-03-26,901.1
2015-03-27,891.25
2015-03-30,951.55
2015-03-31,992.0
2015-04-01,999.5
2015-04-06,1006.6
2015-04-07,1057.7
2015-04-08,1056.25
2015-04-09,1030.25
2015-04-10,1020.4
2015-04-13,1018.7
2015-04-15,1050.55
2015-04-16,1027.45
2015-04-17,1065.7
2015-04-20,1105.6
2015-04-21,1112.15
2015-04-22,1078.85
2015-04-23,1061.15
2015-04-24,1004.35
2015-04-27,960.0
2015-04-28,1002.75
2015-04-29,1037.3
2015-04-30,972.1
2015-05-04,972.45
2015-05-05,973.15
2015-05-06,953.95
2015-05-07,920.75
2015-05-08,937.0
2015-05-11,947.1
2015-05-12,906.9
2015-05-13,920.75
2015-05-14,940.1
2015-05-15,960.6
2015-05-18,983.55
2015-05-19,976.25
2015-05-20,986.4
2015-05-21,1011.6
2015-05-22,1014.8
2015-05-25,993.45
2015-05-26,993.05
2015-05-27,997.5
2015-05-28,1010.4
2015-05-29,1101.05
2015-06-01,1139.7
2015-06-02,1111.0
2015-06-03,1053.25
2015-06-04,1080.5
2015-06-05,1081.8
2015-06-08,1056.5
2015-06-09,1049.45
2015-06-10,1074.45
2015-06-11,1033.95
2015-06-12,1025.15
2015-06-15,1023.95
2015-06-16,1033.3
2015-06-17,1039.85
2015-06-18,1072.35
2015-06-19,1071.75
2015-06-22,1115.8
2015-06-23,1121.7
2015-06-24,1109.15
