Date,ANGIND
2015-01-01,41.95
2015-01-02,43.25
2015-01-05,42.0
2015-01-06,39.25
2015-01-07,40.05
2015-01-08,42.05
2015-01-09,42.2
2015-01-12,42.95
2015-01-13,42.0
2015-01-14,45.4
2015-01-15,46.1
2015-01-16,46.25
2015-01-19,49.0
2015-01-20,48.3
2015-01-21,48.85
2015-01-22,48.9
2015-01-23,48.9
2015-01-27,50.2
2015-01-28,47.85
2015-01-29,48.2
2015-01-30,46.45
2015-02-02,46.95
2015-02-03,46.6
2015-02-04,47.65
2015-02-05,45.55
2015-02-06,43.3
2015-02-09,41.3
2015-02-10,42.4
2015-02-11,42.35
2015-02-12,42.25
2015-02-13,42.8
2015-02-16,41.7
2015-02-18,40.6
2015-02-19,40.1
2015-02-20,39.35
2015-02-23,39.55
2015-02-24,40.45
2015-02-25,38.85
2015-02-26,38.0
2015-02-27,37.35
2015-02-28,37.8
2015-03-02,36.95
2015-03-03,38.25
2015-03-04,40.1
2015-03-05,41.75
2015-03-09,39.15
2015-03-10,38.3
2015-03-11,37.85
2015-03-12,44.65
2015-03-13,38.0
2015-03-16,38.5
2015-03-17,38.95
2015-03-18,39.05
2015-03-19,38.9
2015-03-20,40.3
2015-03-23,39.85
2015-03-24,38.7
2015-03-25,38.25
2015-03-26,36.85
2015-03-27,33.4
2015-03-30,35.35
2015-03-31,36.1
2015-04-01,36.5
2015-04-06,43.8
2015-04-07,42.65
2015-04-08,44.55
2015-04-09,41.15
2015-04-10,41.4
2015-04-13,41.0
2015-04-15,41.05
2015-04-16,40.85
2015-04-17,40.75
2015-04-20,40.2
2015-04-21,40.35
2015-04-22,40.0
2015-04-23,42.55
2015-04-24,41.8
2015-04-27,39.65
2015-04-28,39.4
2015-04-29,39.1
2015-04-30,39.45
2015-05-04,39.5
2015-05-05,38.55
2015-05-06,38.2
2015-05-07,38.6
2015-05-08,38.35
2015-05-11,37.8
2015-05-12,36.0
2015-05-13,36.1
2015-05-14,33.95
2015-05-15,34.55
2015-05-18,35.65
2015-05-19,41.05
2015-05-20,41.9
2015-05-21,42.0
2015-05-22,40.85
2015-05-25,41.05
2015-05-26,40.7
2015-05-27,40.55
2015-05-28,40.55
2015-05-29,40.65
2015-06-01,39.0
2015-06-02,38.8
2015-06-03,35.25
2015-06-04,35.0
2015-06-05,33.65
2015-06-08,32.55
2015-06-09,31.65
2015-06-10,31.85
2015-06-11,30.7
2015-06-12,30.45
2015-06-15,30.95
2015-06-16,30.95
2015-06-17,30.9
2015-06-18,30.25
2015-06-19,30.1
2015-06-22,30.35
2015-06-23,31.5
2015-06-24,31.65
2015-06-25,32.6
2015-06-26,32.95
2015-06-29,31.95
2015-06-30,32.5
2015-07-01,32.4
2015-07-02,31.7
2015-07-03,31.1
2015-07-06,33.45
2015-07-07,37.6
2015-07-08,36.9
2015-07-09,37.15
2015-07-10,37.2
2015-07-13,37.05
2015-07-14,40.3
2015-07-15,42.6
2015-07-16,45.75
2015-07-17,44.5
2015-07-20,44.7
2015-07-21,41.45
2015-07-22,42.25
2015-07-23,41.85
2015-07-24,41.0
2015-07-27,39.25
2015-07-28,40.4
2015-07-29,41.3
2015-07-30,44.85
2015-07-31,46.5
2015-08-03,45.7
2015-08-04,45.1
2015-08-05,44.7
2015-08-06,43.5
2015-08-07,43.85
2015-08-10,43.3
2015-08-11,43.15
2015-08-12,40.4
2015-08-13,39.45
2015-08-14,42.4
2015-08-17,44.65
2015-08-18,43.65
2015-08-19,43.8
2015-08-20,41.2
2015-08-21,39.95
2015-08-24,34.8
2015-08-25,34.6
2015-08-26,36.0
2015-08-27,37.75
2015-08-28,38.1
2015-08-31,37.6
2015-09-01,34.35
2015-09-02,35.35
2015-09-03,36.45
2015-09-04,34.6
2015-09-07,32.75
2015-09-08,33.55
2015-09-09,34.65
2015-09-10,34.25
2015-09-11,33.75
2015-09-14,34.0
2015-09-15,33.9
2015-09-16,33.25
2015-09-18,33.9
2015-09-21,34.65
2015-09-22,34.6
2015-09-23,33.9
2015-09-24,33.95
2015-09-28,32.75
2015-09-29,32.95
2015-09-30,33.6
2015-10-01,34.05
2015-10-05,36.25
2015-10-06,38.0
2015-10-07,36.85
2015-10-08,35.75
2015-10-09,35.2
2015-10-12,35.0
2015-10-13,35.9
2015-10-14,35.5
2015-10-15,38.0
2015-10-16,37.9
2015-10-19,40.55
2015-10-20,39.9
2015-10-21,41.45
2015-10-23,40.95
2015-10-26,39.0
2015-10-27,38.45
2015-10-28,38.2
2015-10-29,38.85
2015-10-30,37.75
2015-11-02,38.25
2015-11-03,41.8
2015-11-04,41.9
2015-11-05,40.75
2015-11-06,39.9
2015-11-09,45.9
2015-11-10,43.95
2015-11-11,45.7
2015-11-13,43.05
2015-11-16,45.15
2015-11-17,46.85
2015-11-18,49.95
2015-11-19,54.8
2015-11-20,53.55
2015-11-23,55.65
2015-11-24,54.85
2015-11-26,54.35
2015-11-27,54.85
2015-11-30,54.9
2015-12-01,58.1
2015-12-02,57.05
2015-12-03,55.25
2015-12-04,53.45
2015-12-07,51.9
2015-12-08,49.45
2015-12-09,45.3
2015-12-10,48.55
2015-12-11,46.5
2015-12-14,46.55
2015-12-15,51.55
2015-12-16,49.45
2015-12-17,50.75
2015-12-18,50.5
2015-12-21,53.75
2015-12-22,52.05
2015-12-23,51.25
2015-12-24,50.8
2015-12-28,49.95
2015-12-29,49.2
2015-12-30,48.6
2015-12-31,49.05
