Date,IPAPPM
2015-01-01,245.95
2015-01-02,248.35
2015-01-05,253.0
2015-01-06,235.35
2015-01-07,244.65
2015-01-08,248.25
2015-01-09,250.7
2015-01-12,270.3
2015-01-13,260.0
2015-01-14,251.75
2015-01-15,250.65
2015-01-16,252.75
2015-01-19,257.95
2015-01-20,270.35
2015-01-21,275.35
2015-01-22,278.6
2015-01-23,278.45
2015-01-27,282.6
2015-01-28,271.5
2015-01-29,268.8
2015-01-30,270.6
2015-02-02,270.55
2015-02-03,273.8
2015-02-04,270.3
2015-02-05,270.0
2015-02-06,259.2
2015-02-09,257.65
2015-02-10,256.75
2015-02-11,258.8
2015-02-12,255.85
2015-02-13,266.4
2015-02-16,261.75
2015-02-18,262.85
2015-02-19,263.8
2015-02-20,260.5
2015-02-23,260.55
2015-02-24,253.65
2015-02-25,250.05
2015-02-26,250.8
2015-02-27,252.25
2015-02-28,258.95
2015-03-02,270.75
2015-03-03,281.45
2015-03-04,274.25
2015-03-05,280.4
2015-03-09,273.0
2015-03-10,278.3
2015-03-11,294.6
2015-03-12,339.65
2015-03-13,327.85
2015-03-16,349.9
2015-03-17,359.7
2015-03-18,350.9
2015-03-19,359.35
2015-03-20,348.55
2015-03-23,325.7
2015-03-24,323.2
2015-03-25,306.95
2015-03-26,300.75
2015-03-27,310.15
2015-03-30,314.35
2015-03-31,315.35
2015-04-01,342.5
2015-04-06,332.2
2015-04-07,326.65
2015-04-08,335.9
2015-04-09,329.4
2015-04-10,336.95
2015-04-13,336.7
2015-04-15,325.75
2015-04-16,315.85
2015-04-17,300.7
2015-04-20,286.55
2015-04-21,283.5
2015-04-22,292.6
2015-04-23,289.8
2015-04-24,283.15
2015-04-27,273.85
2015-04-28,285.1
2015-04-29,279.9
2015-04-30,282.7
2015-05-04,298.6
2015-05-05,289.65
2015-05-06,283.25
2015-05-07,277.9
2015-05-08,283.75
2015-05-11,303.6
2015-05-12,335.95
2015-05-13,340.6
2015-05-14,336.9
2015-05-15,341.25
2015-05-18,322.1
2015-05-19,318.5
2015-05-20,310.95
2015-05-21,300.35
2015-05-22,302.45
2015-05-25,291.2
2015-05-26,315.3
2015-05-27,321.35
2015-05-28,304.85
2015-05-29,309.65
2015-06-01,304.85
2015-06-02,301.4
2015-06-03,289.3
2015-06-04,292.3
2015-06-05,295.15
2015-06-08,288.05
2015-06-09,290.5
2015-06-10,294.95
2015-06-11,284.5
2015-06-12,292.7
2015-06-15,296.85
2015-06-16,301.95
2015-06-17,309.8
2015-06-18,314.8
2015-06-19,307.95
2015-06-22,308.85
2015-06-23,308.95
2015-06-24,305.45
2015-06-25,302.45
2015-06-26,297.1
2015-06-29,288.35
2015-06-30,291.65
2015-07-01,297.25
2015-07-02,298.0
2015-07-03,293.6
2015-07-06,296.2
2015-07-07,294.1
2015-07-08,290.85
2015-07-09,294.45
2015-07-10,290.75
2015-07-13,295.4
2015-07-14,303.95
2015-07-15,304.2
2015-07-16,306.9
2015-07-17,316.1
2015-07-20,330.35
2015-07-21,314.05
2015-07-22,308.45
2015-07-23,335.9
2015-07-24,299.55
2015-07-27,304.9
2015-07-28,329.6
2015-07-29,327.05
2015-07-30,322.15
2015-07-31,313.65
2015-08-03,341.1
2015-08-04,381.4
2015-08-05,359.8
2015-08-06,354.95
2015-08-07,354.35
2015-08-10,349.85
2015-08-11,338.45
2015-08-12,342.3
2015-08-13,339.8
2015-08-14,352.4
2015-08-17,350.95
2015-08-18,349.25
2015-08-19,367.35
2015-08-20,349.65
2015-08-21,358.65
2015-08-24,301.15
2015-08-25,304.65
2015-08-26,299.5
2015-08-27,312.05
2015-08-28,303.1
2015-08-31,300.55
2015-09-01,281.85
2015-09-02,282.6
2015-09-03,284.25
2015-09-04,269.2
2015-09-07,257.85
2015-09-08,267.75
2015-09-09,272.15
2015-09-10,270.35
2015-09-11,271.3
2015-09-14,279.15
2015-09-15,269.6
2015-09-16,267.45
2015-09-18,269.95
2015-09-21,279.35
2015-09-22,267.35
2015-09-23,270.2
2015-09-24,271.55
2015-09-28,268.35
2015-09-29,270.6
2015-09-30,270.75
2015-10-01,269.5
2015-10-05,272.0
2015-10-06,274.55
2015-10-07,291.85
2015-10-08,281.65
2015-10-09,287.6
2015-10-12,281.1
2015-10-13,282.65
2015-10-14,285.55
2015-10-15,286.8
2015-10-16,285.5
2015-10-19,286.5
2015-10-20,283.9
2015-10-21,270.9
2015-10-23,265.95
2015-10-26,260.8
2015-10-27,261.7
2015-10-28,262.3
2015-10-29,265.95
2015-10-30,259.6
2015-11-02,260.6
2015-11-03,255.45
2015-11-04,257.65
2015-11-05,251.2
2015-11-06,256.35
2015-11-09,258.85
2015-11-10,253.75
2015-11-11,255.85
2015-11-13,252.75
2015-11-16,251.85
2015-11-17,258.0
2015-11-18,257.25
2015-11-19,255.05
2015-11-20,258.6
2015-11-23,259.5
2015-11-24,260.85
2015-11-26,260.55
2015-11-27,263.8
2015-11-30,262.85
2015-12-01,264.9
2015-12-02,277.4
2015-12-03,273.05
2015-12-04,268.7
2015-12-07,267.9
2015-12-08,264.5
2015-12-09,249.95
2015-12-10,249.95
2015-12-11,248.85
2015-12-14,249.4
2015-12-15,254.9
2015-12-16,253.05
2015-12-17,255.0
2015-12-18,252.35
2015-12-21,255.05
2015-12-22,257.0
2015-12-23,258.65
2015-12-24,262.5
2015-12-28,264.5
2015-12-29,261.2
2015-12-30,261.85
2015-12-31,267.15
