Date,AUTOIND
2015-01-01,74.7
2015-01-02,76.2
2015-01-05,74.75
2015-01-06,72.5
2015-01-07,72.0
2015-01-08,72.95
2015-01-09,71.95
2015-01-12,72.6
2015-01-13,72.95
2015-01-14,71.55
2015-01-15,73.65
2015-01-16,72.0
2015-01-19,73.5
2015-01-20,75.35
2015-01-21,73.95
2015-01-22,72.15
2015-01-23,72.1
2015-01-27,71.7
2015-01-28,71.1
2015-01-29,72.4
2015-01-30,71.05
2015-02-02,72.0
2015-02-03,71.6
2015-02-04,71.55
2015-02-05,70.05
2015-02-06,68.05
2015-02-09,67.0
2015-02-10,65.95
2015-02-11,67.05
2015-02-12,67.85
2015-02-13,67.0
2015-02-16,67.3
2015-02-18,69.4
2015-02-19,69.45
2015-02-20,68.7
2015-02-23,68.2
2015-02-24,67.6
2015-02-25,66.5
2015-02-26,64.85
2015-02-27,69.25
2015-02-28,66.75
2015-03-02,66.45
2015-03-03,68.9
2015-03-04,66.15
2015-03-05,67.05
2015-03-09,64.4
2015-03-10,63.9
2015-03-11,62.75
2015-03-12,63.4
2015-03-13,61.15
2015-03-16,60.4
2015-03-17,61.15
2015-03-18,60.3
2015-03-19,59.0
2015-03-20,56.35
2015-03-23,54.5
2015-03-24,52.95
2015-03-25,51.55
2015-03-26,57.95
2015-03-27,53.3
2015-03-30,58.0
2015-03-31,59.7
2015-04-01,63.6
2015-04-06,63.5
2015-04-07,65.55
2015-04-08,64.4
2015-04-09,65.05
2015-04-10,69.45
2015-04-13,70.8
2015-04-15,67.9
2015-04-16,66.95
2015-04-17,66.4
2015-04-20,64.8
2015-04-21,61.4
2015-04-22,62.0
2015-04-23,62.45
2015-04-24,59.55
2015-04-27,56.3
2015-04-28,57.15
2015-04-29,57.35
2015-04-30,57.6
2015-05-04,59.25
2015-05-05,58.8
2015-05-06,56.95
2015-05-07,56.35
2015-05-08,56.7
2015-05-11,58.45
2015-05-12,56.6
2015-05-13,56.65
2015-05-14,56.65
2015-05-15,57.6
2015-05-18,57.5
2015-05-19,63.85
2015-05-20,61.75
2015-05-21,60.1
2015-05-22,60.35
2015-05-25,58.5
2015-05-26,59.35
2015-05-27,63.1
2015-05-28,58.5
2015-05-29,60.05
2015-06-01,58.75
2015-06-02,57.05
2015-06-03,54.7
2015-06-04,53.45
2015-06-05,53.9
2015-06-08,52.3
2015-06-09,52.85
2015-06-10,52.95
2015-06-11,52.75
2015-06-12,53.05
2015-06-15,52.8
2015-06-16,53.2
2015-06-17,54.5
2015-06-18,54.5
2015-06-19,54.35
2015-06-22,55.6
2015-06-23,55.0
2015-06-24,55.1
2015-06-25,54.3
2015-06-26,53.45
2015-06-29,52.55
2015-06-30,53.2
2015-07-01,54.05
2015-07-02,54.55
2015-07-03,54.75
2015-07-06,54.7
2015-07-07,56.55
2015-07-08,55.6
2015-07-09,57.0
2015-07-10,57.2
2015-07-13,57.35
2015-07-14,56.15
2015-07-15,65.75
2015-07-16,62.5
2015-07-17,61.2
2015-07-20,63.2
2015-07-21,61.9
2015-07-22,60.5
2015-07-23,60.9
2015-07-24,60.25
2015-07-27,59.65
2015-07-28,58.9
2015-07-29,59.5
2015-07-30,60.4
2015-07-31,59.9
2015-08-03,62.1
2015-08-04,60.6
2015-08-05,62.95
2015-08-06,61.9
2015-08-07,62.15
2015-08-10,61.05
2015-08-11,60.0
2015-08-12,57.0
2015-08-13,55.3
2015-08-14,57.1
2015-08-17,56.9
2015-08-18,61.3
2015-08-19,60.35
2015-08-20,57.85
2015-08-21,56.65
2015-08-24,48.1
2015-08-25,49.05
2015-08-26,49.8
2015-08-27,52.1
2015-08-28,51.45
2015-08-31,51.7
2015-09-01,48.0
2015-09-02,47.25
2015-09-03,48.4
2015-09-04,45.8
2015-09-07,44.35
2015-09-08,43.95
2015-09-09,45.85
2015-09-10,44.6
2015-09-11,44.7
2015-09-14,45.65
2015-09-15,45.15
2015-09-16,44.55
2015-09-18,48.3
2015-09-21,47.85
2015-09-22,46.95
2015-09-23,47.25
2015-09-24,46.85
2015-09-28,46.55
2015-09-29,46.5
2015-09-30,47.4
2015-10-01,47.45
2015-10-05,49.0
2015-10-06,49.5
2015-10-07,50.65
2015-10-08,50.8
2015-10-09,49.1
2015-10-12,48.8
2015-10-13,48.65
2015-10-14,48.6
2015-10-15,48.3
2015-10-16,47.8
2015-10-19,47.1
2015-10-20,47.7
2015-10-21,47.35
2015-10-23,47.55
2015-10-26,47.35
2015-10-27,46.45
2015-10-28,46.15
2015-10-29,45.6
2015-10-30,44.15
2015-11-02,42.55
2015-11-03,42.7
2015-11-04,43.75
2015-11-05,42.6
2015-11-06,42.65
2015-11-09,41.45
2015-11-10,40.75
2015-11-11,41.0
2015-11-13,40.7
2015-11-16,40.6
2015-11-17,41.6
2015-11-18,40.55
2015-11-19,40.85
2015-11-20,40.75
2015-11-23,41.95
2015-11-24,42.65
2015-11-26,45.15
2015-11-27,44.05
2015-11-30,44.0
2015-12-01,45.25
2015-12-02,45.05
2015-12-03,45.95
2015-12-04,46.15
2015-12-07,45.7
2015-12-08,44.9
2015-12-09,43.05
2015-12-10,44.0
2015-12-11,43.4
2015-12-14,42.85
2015-12-15,42.7
2015-12-16,42.85
2015-12-17,44.1
2015-12-18,43.4
2015-12-21,44.0
2015-12-22,47.35
2015-12-23,51.05
2015-12-24,56.5
2015-12-28,54.9
2015-12-29,51.55
2015-12-30,51.65
2015-12-31,53.1
