Date,GABRIEL
2015-01-01,90.6
2015-01-02,97.05
2015-01-05,96.8
2015-01-06,95.1
2015-01-07,96.8
2015-01-08,97.9
2015-01-09,96.1
2015-01-12,95.85
2015-01-13,95.0
2015-01-14,93.45
2015-01-15,93.8
2015-01-16,94.55
2015-01-19,96.65
2015-01-20,96.6
2015-01-21,101.8
2015-01-22,102.55
2015-01-23,100.65
2015-01-27,100.25
2015-01-28,103.3
2015-01-29,103.6
2015-01-30,103.8
2015-02-02,99.3
2015-02-03,97.55
2015-02-04,97.05
2015-02-05,93.35
2015-02-06,93.9
2015-02-09,92.35
2015-02-10,87.95
2015-02-11,89.35
2015-02-12,91.95
2015-02-13,93.0
2015-02-16,91.1
2015-02-18,92.65
2015-02-19,91.65
2015-02-20,90.25
2015-02-23,89.7
2015-02-24,88.05
2015-02-25,88.55
2015-02-26,86.8
2015-02-27,86.8
2015-02-28,85.8
2015-03-02,89.35
2015-03-03,92.1
2015-03-04,89.35
2015-03-05,87.75
2015-03-09,89.6
2015-03-10,88.25
2015-03-11,87.4
2015-03-12,87.2
2015-03-13,86.4
2015-03-16,83.25
2015-03-17,83.4
2015-03-18,82.1
2015-03-19,82.75
2015-03-20,80.65
2015-03-23,79.55
2015-03-24,77.25
2015-03-25,76.8
2015-03-26,76.5
2015-03-27,78.2
2015-03-30,84.1
2015-03-31,86.0
2015-04-01,90.9
2015-04-06,90.6
2015-04-07,91.05
2015-04-08,91.9
2015-04-09,90.35
2015-04-10,88.6
2015-04-13,89.3
2015-04-15,87.05
2015-04-16,85.55
2015-04-17,86.25
2015-04-20,84.0
2015-04-21,81.05
2015-04-22,79.75
2015-04-23,81.45
2015-04-24,80.4
2015-04-27,77.2
2015-04-28,79.35
2015-04-29,79.1
2015-04-30,81.25
2015-05-04,82.9
2015-05-05,83.6
2015-05-06,79.45
2015-05-07,77.25
2015-05-08,80.0
2015-05-11,81.75
2015-05-12,78.25
2015-05-13,79.85
2015-05-14,79.75
2015-05-15,80.75
2015-05-18,84.8
2015-05-19,86.9
2015-05-20,84.95
2015-05-21,85.1
2015-05-22,81.75
2015-05-25,81.25
2015-05-26,80.3
2015-05-27,79.2
2015-05-28,81.25
2015-05-29,80.6
2015-06-01,79.3
2015-06-02,78.25
2015-06-03,76.8
2015-06-04,75.35
2015-06-05,82.8
2015-06-08,78.4
2015-06-09,79.25
2015-06-10,80.65
2015-06-11,79.25
2015-06-12,76.95
2015-06-15,77.8
2015-06-16,77.85
2015-06-17,79.55
2015-06-18,78.7
2015-06-19,78.7
2015-06-22,78.8
2015-06-23,79.1
2015-06-24,78.4
2015-06-25,78.1
2015-06-26,77.25
2015-06-29,76.1
2015-06-30,75.65
2015-07-01,76.7
2015-07-02,78.95
2015-07-03,77.9
2015-07-06,76.7
2015-07-07,77.25
2015-07-08,75.95
2015-07-09,76.25
2015-07-10,76.55
2015-07-13,78.25
2015-07-14,78.35
2015-07-15,84.7
2015-07-16,83.8
2015-07-17,83.45
2015-07-20,84.15
2015-07-21,81.15
2015-07-22,81.55
2015-07-23,83.0
2015-07-24,81.6
2015-07-27,79.55
2015-07-28,84.4
2015-07-29,83.7
2015-07-30,80.85
2015-07-31,85.4
2015-08-03,89.1
2015-08-04,89.8
2015-08-05,89.75
2015-08-06,91.45
2015-08-07,92.3
2015-08-10,93.2
2015-08-11,91.1
2015-08-12,87.15
2015-08-13,85.8
2015-08-14,89.95
2015-08-17,92.3
2015-08-18,94.9
2015-08-19,95.3
2015-08-20,91.4
2015-08-21,92.35
2015-08-24,86.45
2015-08-25,86.35
2015-08-26,85.2
2015-08-27,89.35
2015-08-28,87.95
2015-08-31,88.15
2015-09-01,83.1
2015-09-02,83.1
2015-09-03,82.95
2015-09-04,83.2
2015-09-07,83.05
2015-09-08,83.5
2015-09-09,83.6
2015-09-10,83.25
2015-09-11,83.3
2015-09-14,83.45
2015-09-15,83.5
2015-09-16,83.45
2015-09-18,84.2
2015-09-21,85.95
2015-09-22,83.85
2015-09-23,83.2
2015-09-24,84.4
2015-09-28,84.05
2015-09-29,83.45
2015-09-30,84.75
2015-10-01,83.65
2015-10-05,87.25
2015-10-06,87.8
2015-10-07,88.35
2015-10-08,89.9
2015-10-09,88.7
2015-10-12,91.6
2015-10-13,96.45
2015-10-14,95.9
2015-10-15,93.75
2015-10-16,92.95
2015-10-19,92.2
2015-10-20,93.5
2015-10-21,94.8
2015-10-23,95.15
2015-10-26,95.0
2015-10-27,92.8
2015-10-28,92.85
2015-10-29,92.3
2015-10-30,89.45
2015-11-02,88.55
2015-11-03,86.9
2015-11-04,86.1
2015-11-05,87.1
2015-11-06,87.6
2015-11-09,87.6
2015-11-10,87.15
2015-11-11,87.85
2015-11-13,86.55
2015-11-16,86.4
2015-11-17,91.15
2015-11-18,88.25
2015-11-19,89.05
2015-11-20,90.1
2015-11-23,89.4
2015-11-24,88.45
2015-11-26,89.9
2015-11-27,90.05
2015-11-30,89.45
2015-12-01,89.0
2015-12-02,88.3
2015-12-03,89.5
2015-12-04,88.2
2015-12-07,88.7
2015-12-08,87.15
2015-12-09,85.0
2015-12-10,86.3
2015-12-11,85.2
2015-12-14,85.15
2015-12-15,86.15
2015-12-16,85.0
2015-12-17,90.6
2015-12-18,88.75
2015-12-21,87.8
2015-12-22,88.1
2015-12-23,90.55
2015-12-24,93.4
2015-12-28,95.15
2015-12-29,96.0
2015-12-30,95.75
2015-12-31,99.05
