Date,VGUARD
2015-01-01,1102.9
2015-01-02,1139.05
2015-01-05,1135.5
2015-01-06,1072.65
2015-01-07,1073.7
2015-01-08,1077.4
2015-01-09,1081.15
2015-01-12,1089.4
2015-01-13,1100.85
2015-01-14,1112.85
2015-01-15,1134.65
2015-01-16,1142.75
2015-01-19,1054.9
2015-01-20,1071.85
2015-01-21,1060.0
2015-01-22,1041.05
2015-01-23,1031.05
2015-01-27,1014.2
2015-01-28,992.0
2015-01-29,1006.85
2015-01-30,999.9
2015-02-02,1005.9
2015-02-03,1003.15
2015-02-04,997.5
2015-02-05,978.4
2015-02-06,938.8
2015-02-09,928.6
2015-02-10,945.2
2015-02-11,945.8
2015-02-12,970.45
2015-02-13,973.65
2015-02-16,993.25
2015-02-18,970.9
2015-02-19,967.85
2015-02-20,979.65
2015-02-23,983.4
2015-02-24,985.7
2015-02-25,963.05
2015-02-26,944.45
2015-02-27,945.65
2015-02-28,940.8
2015-03-02,945.95
2015-03-03,959.8
2015-03-04,946.05
2015-03-05,946.4
2015-03-09,933.3
2015-03-10,931.1
2015-03-11,936.35
2015-03-12,933.95
2015-03-13,936.4
2015-03-16,943.05
2015-03-17,942.95
2015-03-18,930.0
2015-03-19,925.0
2015-03-20,920.35
2015-03-23,920.65
2015-03-24,920.15
2015-03-25,906.35
2015-03-26,907.3
2015-03-27,909.85
2015-03-30,910.55
2015-03-31,913.3
2015-04-01,931.5
2015-04-06,960.35
2015-04-07,946.65
2015-04-08,946.5
2015-04-09,946.7
2015-04-10,1021.4
2015-04-13,994.3
2015-04-15,987.25
2015-04-16,961.05
2015-04-17,950.0
2015-04-20,990.25
2015-04-21,970.75
2015-04-22,960.05
2015-04-23,963.55
2015-04-24,952.45
2015-04-27,946.15
2015-04-28,950.4
2015-04-29,950.15
2015-04-30,999.1
2015-05-04,1013.25
2015-05-05,983.05
2015-05-06,948.9
2015-05-07,928.85
2015-05-08,945.15
2015-05-11,940.35
2015-05-12,933.7
2015-05-13,936.25
2015-05-14,930.85
2015-05-15,929.15
2015-05-18,932.1
2015-05-19,937.55
2015-05-20,933.15
2015-05-21,932.25
2015-05-22,928.2
2015-05-25,932.05
2015-05-26,925.4
2015-05-27,920.7
2015-05-28,926.0
2015-05-29,936.55
2015-06-01,926.85
2015-06-02,919.95
2015-06-03,918.3
2015-06-04,872.1
2015-06-05,871.6
2015-06-08,876.95
2015-06-09,876.85
2015-06-10,885.2
2015-06-11,881.0
2015-06-12,884.05
2015-06-15,891.15
2015-06-16,890.0
2015-06-17,890.05
2015-06-18,894.9
2015-06-19,906.9
2015-06-22,923.0
2015-06-23,918.7
2015-06-24,921.75
2015-06-25,926.8
2015-06-26,916.8
2015-06-29,890.35
2015-06-30,895.7
2015-07-01,899.85
2015-07-02,892.2
2015-07-03,885.65
2015-07-06,882.4
2015-07-07,897.8
2015-07-08,900.2
2015-07-09,914.8
2015-07-10,909.4
2015-07-13,913.1
2015-07-14,908.35
2015-07-15,920.15
2015-07-16,924.5
2015-07-17,943.45
2015-07-20,936.05
2015-07-21,925.65
2015-07-22,928.1
2015-07-23,939.25
2015-07-24,937.0
2015-07-27,920.8
2015-07-28,914.65
2015-07-29,921.35
2015-07-30,934.0
2015-07-31,953.1
2015-08-03,975.65
2015-08-04,977.2
2015-08-05,992.9
2015-08-06,1005.2
2015-08-07,1000.0
2015-08-10,997.45
2015-08-11,993.6
2015-08-12,981.05
2015-08-13,984.1
2015-08-14,987.9
2015-08-17,972.1
2015-08-18,964.6
2015-08-19,968.0
2015-08-20,953.1
2015-08-21,940.25
2015-08-24,865.25
2015-08-25,874.4
2015-08-26,882.6
2015-08-27,908.75
2015-08-28,920.05
2015-08-31,899.45
2015-09-01,886.75
2015-09-02,900.25
2015-09-03,910.4
2015-09-04,905.65
2015-09-07,900.15
2015-09-08,900.95
2015-09-09,908.9
2015-09-10,901.5
2015-09-11,901.0
2015-09-14,901.9
2015-09-15,900.5
2015-09-16,901.5
2015-09-18,901.6
2015-09-21,902.45
2015-09-22,901.9
2015-09-23,912.4
2015-09-24,910.25
2015-09-28,901.75
2015-09-29,901.95
2015-09-30,902.1
2015-10-01,902.6
2015-10-05,911.5
2015-10-06,913.8
2015-10-07,906.25
2015-10-08,902.8
2015-10-09,903.8
2015-10-12,907.45
2015-10-13,907.85
2015-10-14,917.45
2015-10-15,933.45
2015-10-16,926.15
2015-10-19,931.95
2015-10-20,927.35
2015-10-21,920.3
2015-10-23,917.25
2015-10-26,916.95
2015-10-27,909.25
2015-10-28,900.35
2015-10-29,900.55
2015-10-30,897.45
2015-11-02,893.2
2015-11-03,897.05
2015-11-04,894.6
2015-11-05,888.6
2015-11-06,875.85
2015-11-09,881.85
2015-11-10,885.2
2015-11-11,893.7
2015-11-13,879.3
2015-11-16,880.05
2015-11-17,880.15
2015-11-18,878.4
2015-11-19,882.25
2015-11-20,925.45
2015-11-23,914.1
2015-11-24,911.1
2015-11-26,911.35
2015-11-27,916.55
2015-11-30,924.9
2015-12-01,924.05
2015-12-02,919.6
2015-12-03,909.5
2015-12-04,921.6
2015-12-07,921.1
2015-12-08,926.8
2015-12-09,929.7
2015-12-10,929.9
2015-12-11,925.15
2015-12-14,936.65
2015-12-15,927.05
2015-12-16,930.25
2015-12-17,941.05
2015-12-18,942.55
2015-12-21,932.0
2015-12-22,932.4
2015-12-23,942.3
2015-12-24,944.25
2015-12-28,944.45
2015-12-29,937.1
2015-12-30,941.9
2015-12-31,944.8
