Date,IPCALAB
2015-01-01,720.65
2015-01-02,726.6
2015-01-05,732.95
2015-01-06,728.7
2015-01-07,727.9
2015-01-08,729.4
2015-01-09,738.6
2015-01-12,733.3
2015-01-13,742.9
2015-01-14,732.75
2015-01-15,725.2
2015-01-16,713.4
2015-01-19,695.45
2015-01-20,695.6
2015-01-21,699.95
2015-01-22,698.95
2015-01-23,638.8
2015-01-27,636.4
2015-01-28,644.0
2015-01-29,637.4
2015-01-30,638.3
2015-02-02,637.15
2015-02-03,619.4
2015-02-04,627.5
2015-02-05,630.2
2015-02-06,614.95
2015-02-09,639.15
2015-02-10,651.35
2015-02-11,655.2
2015-02-12,670.15
2015-02-13,680.85
2015-02-16,692.65
2015-02-18,701.0
2015-02-19,688.15
2015-02-20,677.95
2015-02-23,666.2
2015-02-24,667.8
2015-02-25,672.9
2015-02-26,666.25
2015-02-27,663.65
2015-02-28,656.85
2015-03-02,665.4
2015-03-03,677.1
2015-03-04,680.5
2015-03-05,708.15
2015-03-09,711.0
2015-03-10,747.9
2015-03-11,747.4
2015-03-12,746.95
2015-03-13,732.3
2015-03-16,734.1
2015-03-17,773.35
2015-03-18,776.95
2015-03-19,767.2
2015-03-20,755.1
2015-03-23,747.05
2015-03-24,769.6
2015-03-25,663.6
2015-03-26,646.7
2015-03-27,644.65
2015-03-30,649.75
2015-03-31,635.85
2015-04-01,643.45
2015-04-06,642.1
2015-04-07,641.2
2015-04-08,656.05
2015-04-09,659.3
2015-04-10,660.4
2015-04-13,670.95
2015-04-15,675.6
2015-04-16,666.75
2015-04-17,661.6
2015-04-20,640.45
2015-04-21,646.75
2015-04-22,662.15
2015-04-23,663.15
2015-04-24,662.05
2015-04-27,646.9
2015-04-28,640.05
2015-04-29,642.25
2015-04-30,642.1
2015-05-04,641.7
2015-05-05,644.3
2015-05-06,630.4
2015-05-07,626.15
2015-05-08,630.5
2015-05-11,643.0
2015-05-12,653.1
2015-05-13,654.4
2015-05-14,665.8
2015-05-15,666.35
2015-05-18,669.75
2015-05-19,660.95
2015-05-20,670.6
2015-05-21,666.2
2015-05-22,651.7
2015-05-25,658.7
2015-05-26,658.0
2015-05-27,654.75
2015-05-28,642.05
2015-05-29,654.7
2015-06-01,687.4
2015-06-02,652.2
2015-06-03,632.4
2015-06-04,636.4
2015-06-05,639.25
2015-06-08,641.5
2015-06-09,637.95
2015-06-10,641.05
2015-06-11,646.8
2015-06-12,643.9
2015-06-15,643.2
2015-06-16,658.55
2015-06-17,659.1
2015-06-18,677.65
2015-06-19,680.6
2015-06-22,686.2
2015-06-23,677.2
2015-06-24,695.05
2015-06-25,721.85
2015-06-26,722.0
2015-06-29,711.2
2015-06-30,709.65
2015-07-01,703.9
2015-07-02,698.65
2015-07-03,690.7
2015-07-06,696.9
2015-07-07,696.15
2015-07-08,683.85
2015-07-09,683.8
2015-07-10,688.4
2015-07-13,693.35
2015-07-14,691.7
2015-07-15,699.4
2015-07-16,707.0
2015-07-17,709.55
2015-07-20,710.0
2015-07-21,699.3
2015-07-22,690.4
2015-07-23,690.8
2015-07-24,689.95
2015-07-27,694.4
2015-07-28,692.9
2015-07-29,690.0
2015-07-30,698.0
2015-07-31,676.25
2015-08-03,721.6
2015-08-04,725.75
2015-08-05,725.15
2015-08-06,753.85
2015-08-07,787.65
2015-08-10,759.7
2015-08-11,760.0
2015-08-12,769.1
2015-08-13,771.2
2015-08-14,816.55
2015-08-17,824.75
2015-08-18,816.55
2015-08-19,845.15
2015-08-20,850.8
2015-08-21,856.25
2015-08-24,798.45
2015-08-25,790.7
2015-08-26,769.25
2015-08-27,775.05
2015-08-28,782.45
2015-08-31,791.65
2015-09-01,786.4
2015-09-02,800.9
2015-09-03,793.7
2015-09-04,761.45
2015-09-07,750.6
2015-09-08,737.8
2015-09-09,741.5
2015-09-10,740.3
2015-09-11,748.4
2015-09-14,750.05
2015-09-15,749.8
2015-09-16,741.15
2015-09-18,736.95
2015-09-21,760.05
2015-09-22,747.2
2015-09-23,756.75
2015-09-24,770.9
2015-09-28,768.1
2015-09-29,748.0
2015-09-30,741.8
2015-10-01,737.9
2015-10-05,730.65
2015-10-06,729.55
2015-10-07,713.1
2015-10-08,720.95
2015-10-09,724.1
2015-10-12,724.2
2015-10-13,736.25
2015-10-14,741.9
2015-10-15,749.9
2015-10-16,771.6
2015-10-19,763.55
2015-10-20,752.4
2015-10-21,756.5
2015-10-23,745.15
2015-10-26,756.8
2015-10-27,787.8
2015-10-28,779.6
2015-10-29,781.75
2015-10-30,779.15
2015-11-02,770.25
2015-11-03,752.75
2015-11-04,746.65
2015-11-05,733.4
2015-11-06,703.75
2015-11-09,722.2
2015-11-10,715.85
2015-11-11,727.8
2015-11-13,719.15
2015-11-16,725.8
2015-11-17,743.7
2015-11-18,757.25
2015-11-19,775.35
2015-11-20,766.45
2015-11-23,779.85
2015-11-24,768.15
2015-11-26,762.3
2015-11-27,765.45
2015-11-30,790.7
2015-12-01,785.7
2015-12-02,771.5
2015-12-03,767.8
2015-12-04,772.8
2015-12-07,757.5
2015-12-08,750.8
2015-12-09,758.4
2015-12-10,758.85
2015-12-11,748.75
2015-12-14,754.6
2015-12-15,751.95
2015-12-16,747.15
2015-12-17,742.2
2015-12-18,742.4
2015-12-21,739.7
2015-12-22,746.05
2015-12-23,752.0
2015-12-24,748.75
2015-12-28,745.1
2015-12-29,748.55
2015-12-30,748.9
2015-12-31,741.9
