Date,FACT
2015-01-01,34.25
2015-01-02,33.9
2015-01-05,33.25
2015-01-06,32.1
2015-01-07,33.2
2015-01-08,33.25
2015-01-09,33.1
2015-01-12,32.85
2015-01-13,32.45
2015-01-14,32.7
2015-01-15,32.6
2015-01-16,32.4
2015-01-19,33.55
2015-01-20,32.8
2015-01-21,32.45
2015-01-22,32.9
2015-01-23,32.75
2015-01-27,32.35
2015-01-28,31.9
2015-01-29,31.75
2015-01-30,32.05
2015-02-02,34.0
2015-02-03,34.45
2015-02-04,33.5
2015-02-05,33.0
2015-02-06,32.95
2015-02-09,31.7
2015-02-10,31.7
2015-02-11,32.25
2015-02-12,32.15
2015-02-13,32.05
2015-02-16,31.95
2015-02-18,33.65
2015-02-19,34.25
2015-02-20,33.0
2015-02-23,32.75
2015-02-24,32.1
2015-02-25,34.4
2015-02-26,33.55
2015-02-27,33.6
2015-02-28,31.75
2015-03-02,30.8
2015-03-03,31.05
2015-03-04,31.15
2015-03-05,31.35
2015-03-09,30.55
2015-03-10,30.6
2015-03-11,30.15
2015-03-12,30.05
2015-03-13,29.2
2015-03-16,28.1
2015-03-17,33.7
2015-03-18,32.05
2015-03-19,31.6
2015-03-20,29.75
2015-03-23,29.1
2015-03-24,27.95
2015-03-25,28.5
2015-03-26,26.95
2015-03-27,26.45
2015-03-30,27.15
2015-03-31,28.1
2015-04-01,30.15
2015-04-06,29.25
2015-04-07,33.8
2015-04-08,31.7
2015-04-09,31.45
2015-04-10,33.5
2015-04-13,32.9
2015-04-15,31.95
2015-04-16,31.6
2015-04-17,31.05
2015-04-20,30.45
2015-04-21,29.6
2015-04-22,29.55
2015-04-23,29.45
2015-04-24,28.65
2015-04-27,28.1
2015-04-28,28.5
2015-04-29,27.95
2015-04-30,27.7
2015-05-04,28.3
2015-05-05,28.55
2015-05-06,27.55
2015-05-07,26.7
2015-05-08,27.5
2015-05-11,27.55
2015-05-12,26.35
2015-05-13,27.05
2015-05-14,26.25
2015-05-15,26.25
2015-05-18,26.1
2015-05-19,25.9
2015-05-20,26.35
2015-05-21,26.2
2015-05-22,26.4
2015-05-25,26.05
2015-05-26,26.1
2015-05-27,25.6
2015-05-28,25.6
2015-05-29,26.2
2015-06-01,25.55
2015-06-02,24.9
2015-06-03,23.25
2015-06-04,23.0
2015-06-05,22.95
2015-06-08,21.85
2015-06-09,22.6
2015-06-10,23.0
2015-06-11,21.95
2015-06-12,21.6
2015-06-15,21.35
2015-06-16,21.7
2015-06-17,21.75
2015-06-18,21.45
2015-06-19,22.0
2015-06-22,21.95
2015-06-23,22.5
2015-06-24,22.25
2015-06-25,22.4
2015-06-26,22.15
2015-06-29,21.55
2015-06-30,21.8
2015-07-01,22.0
2015-07-02,22.7
2015-07-03,22.45
2015-07-06,22.2
2015-07-07,22.05
2015-07-08,21.5
2015-07-09,21.7
2015-07-10,21.5
2015-07-13,22.15
2015-07-14,22.3
2015-07-15,22.1
2015-07-16,22.8
2015-07-17,23.15
2015-07-20,24.4
2015-07-21,23.15
2015-07-22,23.2
2015-07-23,23.35
2015-07-24,22.5
2015-07-27,22.15
2015-07-28,21.85
2015-07-29,22.1
2015-07-30,22.3
2015-07-31,22.75
2015-08-03,23.0
2015-08-04,22.95
2015-08-05,23.2
2015-08-06,23.8
2015-08-07,23.2
2015-08-10,23.4
2015-08-11,22.6
2015-08-12,22.1
2015-08-13,21.95
2015-08-14,22.45
2015-08-17,22.1
2015-08-18,22.1
2015-08-19,21.8
2015-08-20,21.3
2015-08-21,20.85
2015-08-24,19.05
2015-08-25,17.6
2015-08-26,18.05
2015-08-27,18.5
2015-08-28,19.05
2015-08-31,18.85
2015-09-01,17.7
2015-09-02,17.65
2015-09-03,18.05
2015-09-04,17.85
2015-09-07,17.7
2015-09-08,17.65
2015-09-09,18.1
2015-09-10,17.9
2015-09-11,18.15
2015-09-14,18.15
2015-09-15,17.95
2015-09-16,17.85
2015-09-18,18.0
2015-09-21,18.2
2015-09-22,17.95
2015-09-23,17.9
2015-09-24,17.8
2015-09-28,19.05
2015-09-29,19.65
2015-09-30,19.6
2015-10-01,19.5
2015-10-05,19.55
2015-10-06,19.7
2015-10-07,20.45
2015-10-08,19.8
2015-10-09,20.0
2015-10-12,19.9
2015-10-13,20.45
2015-10-14,21.65
2015-10-15,21.4
2015-10-16,21.0
2015-10-19,20.4
2015-10-20,20.5
2015-10-21,20.6
2015-10-23,20.25
2015-10-26,20.05
2015-10-27,20.2
2015-10-28,19.9
2015-10-29,19.8
2015-10-30,19.6
2015-11-02,19.3
2015-11-03,19.5
2015-11-04,19.4
2015-11-05,19.35
2015-11-06,19.15
2015-11-09,19.25
2015-11-10,19.0
2015-11-11,19.3
2015-11-13,19.35
2015-11-16,19.45
2015-11-17,19.45
2015-11-18,19.65
2015-11-19,19.8
2015-11-20,20.0
2015-11-23,20.6
2015-11-24,20.7
2015-11-26,21.45
2015-11-27,21.35
2015-11-30,21.25
2015-12-01,25.5
2015-12-02,23.5
2015-12-03,23.55
2015-12-04,23.2
2015-12-07,22.7
2015-12-08,22.15
2015-12-09,21.25
2015-12-10,24.3
2015-12-11,25.3
2015-12-14,26.45
2015-12-15,26.4
2015-12-16,26.2
2015-12-17,26.35
2015-12-18,25.65
2015-12-21,25.4
2015-12-22,24.65
2015-12-23,24.1
2015-12-24,24.05
2015-12-28,24.25
2015-12-29,24.0
2015-12-30,24.4
2015-12-31,24.9
