Date,EICHERMOT
2015-01-01,15262.35
2015-01-02,15081.95
2015-01-05,15150.55
2015-01-06,14755.9
2015-01-07,14959.9
2015-01-08,14873.7
2015-01-09,14738.7
2015-01-12,14857.65
2015-01-13,14799.15
2015-01-14,14833.55
2015-01-15,15127.25
2015-01-16,15349.7
2015-01-19,15474.6
2015-01-20,15490.7
2015-01-21,15372.35
2015-01-22,15314.95
2015-01-23,15145.95
2015-01-27,16089.25
2015-01-28,16340.25
2015-01-29,16478.85
2015-01-30,16275.9
2015-02-02,16561.75
2015-02-03,16323.6
2015-02-04,15919.5
2015-02-05,15837.55
2015-02-06,15587.75
2015-02-09,15115.55
2015-02-10,15133.15
2015-02-11,16141.3
2015-02-12,16417.95
2015-02-13,16267.4
2015-02-16,16051.1
2015-02-18,16947.3
2015-02-19,16640.4
2015-02-20,16362.1
2015-02-23,15981.9
2015-02-24,15842.25
2015-02-25,15596.4
2015-02-26,15205.35
2015-02-27,15806.4
2015-02-28,16255.55
2015-03-02,16426.05
2015-03-03,15907.95
2015-03-04,16047.95
2015-03-05,16001.1
2015-03-09,15699.8
2015-03-10,15947.8
2015-03-11,16053.85
2015-03-12,16303.85
2015-03-13,15912.75
2015-03-16,15820.35
2015-03-17,15942.75
2015-03-18,16044.2
2015-03-19,16111.6
2015-03-20,16017.5
2015-03-23,15865.95
2015-03-24,15501.1
2015-03-25,15572.8
2015-03-26,15538.2
2015-03-27,15490.75
2015-03-30,16018.9
2015-03-31,15908.15
2015-04-01,16019.5
2015-04-06,15782.45
2015-04-07,15983.3
2015-04-08,16524.85
2015-04-09,16302.5
2015-04-10,16230.25
2015-04-13,16070.7
2015-04-15,15872.7
2015-04-16,15837.2
2015-04-17,15311.1
2015-04-20,14762.0
2015-04-21,14310.3
2015-04-22,14366.15
2015-04-23,14747.05
2015-04-24,14720.5
2015-04-27,14771.05
2015-04-28,15175.05
2015-04-29,15238.1
2015-04-30,15191.6
2015-05-04,15334.6
2015-05-05,15555.5
2015-05-06,15080.3
2015-05-07,14806.95
2015-05-08,15781.15
2015-05-11,16871.6
2015-05-12,17158.55
2015-05-13,18089.55
2015-05-14,18176.15
2015-05-15,18722.0
2015-05-18,18597.75
2015-05-19,18251.5
2015-05-20,18528.5
2015-05-21,18413.3
2015-05-22,18696.75
2015-05-25,19173.4
2015-05-26,18909.3
2015-05-27,18363.05
2015-05-28,17986.2
2015-05-29,18896.45
2015-06-01,18777.9
2015-06-02,18145.2
2015-06-03,18191.15
2015-06-04,17311.75
2015-06-05,17391.7
2015-06-08,17282.5
2015-06-09,17108.75
2015-06-10,17592.65
2015-06-11,17244.35
2015-06-12,17404.1
2015-06-15,18027.4
2015-06-16,18451.8
2015-06-17,19288.9
2015-06-18,19495.65
2015-06-19,19445.15
2015-06-22,19404.85
2015-06-23,19276.8
2015-06-24,19123.5
2015-06-25,19483.7
2015-06-26,19561.65
2015-06-29,19298.25
2015-06-30,19586.7
2015-07-01,20352.35
2015-07-02,21257.7
2015-07-03,20275.6
2015-07-06,20334.3
2015-07-07,20362.55
2015-07-08,20482.55
2015-07-09,20641.2
2015-07-10,20765.05
2015-07-13,21160.15
2015-07-14,20773.9
2015-07-15,20718.35
2015-07-16,21078.75
2015-07-17,21100.65
2015-07-20,21248.05
2015-07-21,21348.35
2015-07-22,21109.7
2015-07-23,20538.2
2015-07-24,20113.85
2015-07-27,19347.95
2015-07-28,19499.4
2015-07-29,19246.25
2015-07-30,19027.95
2015-07-31,19071.2
2015-08-03,19083.1
2015-08-04,20178.1
2015-08-05,20566.6
2015-08-06,20572.35
2015-08-07,20631.55
2015-08-10,20364.6
2015-08-11,20163.25
2015-08-12,19849.15
2015-08-13,19902.7
2015-08-14,20600.6
2015-08-17,20664.8
2015-08-18,20944.6
2015-08-19,21235.5
2015-08-20,21017.55
2015-08-21,20464.85
2015-08-24,18585.5
2015-08-25,18698.95
2015-08-26,18567.0
2015-08-27,18771.55
2015-08-28,18919.25
2015-08-31,19014.8
2015-09-01,18259.3
2015-09-02,18377.25
2015-09-03,18382.65
2015-09-04,18177.7
2015-09-07,17442.95
2015-09-08,17234.25
2015-09-09,17967.35
2015-09-10,18496.9
2015-09-11,18882.05
2015-09-14,18836.5
2015-09-15,18576.3
2015-09-16,17937.0
2015-09-18,18234.45
2015-09-21,18478.25
2015-09-22,18334.9
2015-09-23,18254.4
2015-09-24,17776.15
2015-09-28,17282.55
2015-09-29,17440.65
2015-09-30,17791.6
2015-10-01,18286.35
2015-10-05,18772.75
2015-10-06,18630.2
2015-10-07,18905.25
2015-10-08,18666.3
2015-10-09,18318.2
2015-10-12,17982.45
2015-10-13,17820.35
2015-10-14,18180.2
2015-10-15,18311.15
2015-10-16,18286.55
2015-10-19,18241.3
2015-10-20,18161.15
2015-10-21,18210.55
2015-10-23,18158.65
2015-10-26,17934.9
2015-10-27,17659.75
2015-10-28,17392.3
2015-10-29,17418.7
2015-10-30,17742.45
2015-11-02,17975.45
2015-11-03,18010.85
2015-11-04,17768.15
2015-11-05,17678.0
2015-11-06,16693.35
2015-11-09,15952.5
2015-11-10,15841.6
2015-11-11,16045.85
2015-11-13,15624.25
2015-11-16,15262.15
2015-11-17,15493.9
2015-11-18,15883.85
2015-11-19,16166.7
2015-11-20,16416.9
2015-11-23,16756.3
2015-11-24,16650.15
2015-11-26,16485.55
2015-11-27,16596.4
2015-11-30,16728.9
2015-12-01,16237.45
2015-12-02,16360.65
2015-12-03,16692.3
2015-12-04,16428.95
2015-12-07,16230.85
2015-12-08,16307.1
2015-12-09,15728.1
2015-12-10,16039.75
2015-12-11,15560.85
2015-12-14,15366.5
2015-12-15,15861.95
2015-12-16,16063.75
2015-12-17,16277.1
2015-12-18,16160.3
2015-12-21,16031.0
2015-12-22,16075.85
2015-12-23,16189.8
2015-12-24,16172.15
2015-12-28,16598.55
2015-12-29,16703.05
2015-12-30,16529.8
2015-12-31,16855.55
