Date,PSUBNKBEES
2015-01-01,469.56
2015-01-02,475.46
2015-01-05,478.15
2015-01-06,449.36
2015-01-07,456.32
2015-01-08,456.44
2015-01-09,452.46
2015-01-12,456.13
2015-01-13,458.74
2015-01-14,460.37
2015-01-15,470.77
2015-01-16,467.97
2015-01-19,471.85
2015-01-20,473.01
2015-01-21,487.36
2015-01-22,480.46
2015-01-23,469.23
2015-01-27,470.52
2015-01-28,480.66
2015-01-29,471.97
2015-01-30,448.41
2015-02-02,443.45
2015-02-03,429.82
2015-02-04,426.38
2015-02-05,420.02
2015-02-06,405.34
2015-02-09,400.21
2015-02-10,405.81
2015-02-11,411.0
2015-02-12,411.7
2015-02-13,421.31
2015-02-16,421.23
2015-02-18,419.6
2015-02-19,416.82
2015-02-20,430.18
2015-02-23,420.54
2015-02-24,408.13
2015-02-25,407.02
2015-02-26,402.52
2015-02-27,413.19
2015-02-28,419.73
2015-03-02,413.67
2015-03-03,423.24
2015-03-04,419.5
2015-03-05,415.58
2015-03-09,409.58
2015-03-10,401.85
2015-03-11,400.89
2015-03-12,401.03
2015-03-13,400.17
2015-03-16,398.98
2015-03-17,400.52
2015-03-18,402.0
2015-03-19,403.68
2015-03-20,394.85
2015-03-23,390.96
2015-03-24,375.73
2015-03-25,378.45
2015-03-26,375.6
2015-03-27,373.12
2015-03-30,374.68
2015-03-31,373.5
2015-04-01,384.29
2015-04-06,380.36
2015-04-07,383.93
2015-04-08,381.92
2015-04-09,388.97
2015-04-10,398.02
2015-04-13,400.14
2015-04-15,407.5
2015-04-16,405.72
2015-04-17,411.51
2015-04-20,398.59
2015-04-21,401.41
2015-04-22,395.87
2015-04-23,390.24
2015-04-24,386.92
2015-04-27,379.04
2015-04-28,381.41
2015-04-29,380.03
2015-04-30,381.24
2015-05-04,390.83
2015-05-05,387.01
2015-05-06,374.66
2015-05-07,363.85
2015-05-08,364.26
2015-05-11,382.54
2015-05-12,369.35
2015-05-13,384.15
2015-05-14,387.26
2015-05-15,390.01
2015-05-18,394.0
2015-05-19,390.22
2015-05-20,396.23
2015-05-21,392.0
2015-05-22,387.44
2015-05-25,382.91
2015-05-26,382.11
2015-05-27,386.43
2015-05-28,385.2
2015-05-29,389.28
2015-06-01,393.48
2015-06-02,374.45
2015-06-03,366.04
2015-06-04,364.81
2015-06-05,360.16
2015-06-08,357.17
2015-06-09,356.45
2015-06-10,359.68
2015-06-11,354.05
2015-06-12,350.68
2015-06-15,349.49
2015-06-16,350.74
2015-06-17,351.88
2015-06-18,351.56
2015-06-19,356.0
2015-06-22,366.72
2015-06-23,368.65
2015-06-24,362.91
2015-06-25,364.0
2015-06-26,363.72
2015-06-29,356.92
2015-06-30,357.26
2015-07-01,368.25
2015-07-02,367.0
2015-07-03,367.44
2015-07-06,369.73
2015-07-07,372.24
2015-07-08,367.5
2015-07-09,371.93
2015-07-10,373.99
2015-07-13,374.35
2015-07-14,371.9
2015-07-15,372.5
2015-07-16,376.22
2015-07-17,372.4
2015-07-20,366.24
2015-07-21,363.37
2015-07-22,368.36
2015-07-23,370.0
2015-07-24,362.11
2015-07-27,357.04
2015-07-28,356.83
2015-07-29,350.8
2015-07-30,359.99
2015-07-31,379.81
2015-08-03,389.69
2015-08-04,403.84
2015-08-05,402.63
2015-08-06,403.22
2015-08-07,399.87
2015-08-10,399.24
2015-08-11,383.36
2015-08-12,369.67
2015-08-13,368.98
2015-08-14,387.21
2015-08-17,407.81
2015-08-18,411.82
2015-08-19,405.31
2015-08-20,391.13
2015-08-21,385.87
2015-08-24,355.32
2015-08-25,357.5
2015-08-26,351.45
2015-08-27,361.0
2015-08-28,357.23
2015-08-31,355.0
2015-09-01,341.84
2015-09-02,330.86
2015-09-03,333.84
2015-09-04,324.05
2015-09-07,320.09
2015-09-08,327.34
2015-09-09,334.91
2015-09-10,329.46
2015-09-11,334.32
2015-09-14,339.0
2015-09-15,336.97
2015-09-16,340.0
2015-09-18,350.67
2015-09-21,355.64
2015-09-22,346.03
2015-09-23,349.0
2015-09-24,348.22
2015-09-28,346.02
2015-09-29,348.86
2015-09-30,340.02
2015-10-01,338.74
2015-10-05,347.08
2015-10-06,350.9
2015-10-07,353.0
2015-10-08,354.98
2015-10-09,354.01
2015-10-12,350.05
2015-10-13,350.56
2015-10-14,351.34
2015-10-15,355.0
2015-10-16,359.88
2015-10-19,358.02
2015-10-20,360.35
2015-10-21,352.41
2015-10-23,355.81
2015-10-26,355.0
2015-10-27,352.53
2015-10-28,344.05
2015-10-29,337.33
2015-10-30,336.95
2015-11-02,335.31
2015-11-03,337.5
2015-11-04,339.47
2015-11-05,334.33
2015-11-06,341.38
2015-11-09,349.26
2015-11-10,344.42
2015-11-11,348.3
2015-11-13,342.75
2015-11-16,352.0
2015-11-17,350.33
2015-11-18,340.35
2015-11-19,343.48
2015-11-20,346.9
2015-11-23,345.49
2015-11-24,342.0
2015-11-26,345.0
2015-11-27,354.34
2015-11-30,359.77
2015-12-01,357.0
2015-12-02,350.0
2015-12-03,343.91
2015-12-04,341.85
2015-12-07,339.5
2015-12-08,334.3
2015-12-09,328.8
2015-12-10,328.13
2015-12-11,320.45
2015-12-14,320.64
2015-12-15,320.78
2015-12-16,321.7
2015-12-17,326.31
2015-12-18,323.59
2015-12-21,323.99
2015-12-22,322.97
2015-12-23,322.96
2015-12-24,321.12
2015-12-28,323.2
2015-12-29,321.29
2015-12-30,319.56
2015-12-31,318.28
