Date,KOTHARIPRO
2015-01-01,230.45
2015-01-02,243.95
2015-01-05,242.05
2015-01-06,232.35
2015-01-07,231.2
2015-01-08,238.6
2015-01-09,236.15
2015-01-12,238.9
2015-01-13,235.4
2015-01-14,233.7
2015-01-15,234.3
2015-01-16,232.65
2015-01-19,235.2
2015-01-20,234.8
2015-01-21,234.35
2015-01-22,232.15
2015-01-23,231.5
2015-01-27,232.05
2015-01-28,229.55
2015-01-29,228.5
2015-01-30,230.7
2015-02-02,230.75
2015-02-03,228.1
2015-02-04,228.75
2015-02-05,229.3
2015-02-06,223.1
2015-02-09,218.7
2015-02-10,222.65
2015-02-11,224.55
2015-02-12,223.6
2015-02-13,223.75
2015-02-16,221.45
2015-02-18,222.35
2015-02-19,221.6
2015-02-20,220.35
2015-02-23,218.65
2015-02-24,217.05
2015-02-25,214.55
2015-02-26,212.65
2015-02-27,216.55
2015-02-28,213.85
2015-03-02,214.45
2015-03-03,216.3
2015-03-04,214.1
2015-03-05,217.7
2015-03-09,213.2
2015-03-10,213.75
2015-03-11,212.5
2015-03-12,213.25
2015-03-13,210.2
2015-03-16,206.2
2015-03-17,206.3
2015-03-18,206.4
2015-03-19,205.0
2015-03-20,203.45
2015-03-23,204.55
2015-03-24,203.7
2015-03-25,202.0
2015-03-26,198.9
2015-03-27,191.8
2015-03-30,195.35
2015-03-31,200.7
2015-04-01,203.95
2015-04-06,210.6
2015-04-07,222.2
2015-04-08,214.6
2015-04-09,218.95
2015-04-10,226.0
2015-04-13,219.7
2015-04-15,225.75
2015-04-16,224.15
2015-04-17,230.75
2015-04-20,219.1
2015-04-21,216.3
2015-04-22,214.1
2015-04-23,214.15
2015-04-24,206.65
2015-04-27,205.5
2015-04-28,209.8
2015-04-29,206.25
2015-04-30,207.05
2015-05-04,205.45
2015-05-05,210.65
2015-05-06,206.95
2015-05-07,203.1
2015-05-08,208.45
2015-05-11,210.1
2015-05-12,209.55
2015-05-13,212.6
2015-05-14,214.3
2015-05-15,211.9
2015-05-18,214.8
2015-05-19,213.65
2015-05-20,214.8
2015-05-21,216.45
2015-05-22,210.4
2015-05-25,204.15
2015-05-26,207.65
2015-05-27,213.5
2015-05-28,209.45
2015-05-29,207.95
2015-06-01,207.85
2015-06-02,204.15
2015-06-03,202.55
2015-06-04,201.7
2015-06-05,201.6
2015-06-08,199.1
2015-06-09,199.2
2015-06-10,201.55
2015-06-11,197.55
2015-06-12,200.0
2015-06-15,195.45
2015-06-16,194.8
2015-06-17,197.2
2015-06-18,197.55
2015-06-19,199.35
2015-06-22,210.7
2015-06-23,209.35
2015-06-24,207.15
2015-06-25,208.85
2015-06-26,207.0
2015-06-29,201.0
2015-06-30,204.65
2015-07-01,204.7
2015-07-02,208.6
2015-07-03,206.15
2015-07-06,206.95
2015-07-07,210.1
2015-07-08,208.85
2015-07-09,209.95
2015-07-10,205.5
2015-07-13,212.8
2015-07-14,216.05
2015-07-15,214.7
2015-07-16,215.5
2015-07-17,217.25
2015-07-20,216.0
2015-07-21,212.55
2015-07-22,215.3
2015-07-23,213.95
2015-07-24,216.35
2015-07-27,212.15
2015-07-28,210.35
2015-07-29,225.0
2015-07-30,219.5
2015-07-31,218.7
2015-08-03,221.2
2015-08-04,225.65
2015-08-05,225.45
2015-08-06,224.85
2015-08-07,224.05
2015-08-10,224.55
2015-08-11,219.7
2015-08-12,225.85
2015-08-13,221.95
2015-08-14,220.7
2015-08-17,222.05
2015-08-18,219.45
2015-08-19,220.45
2015-08-20,224.1
2015-08-21,221.75
2015-08-24,202.9
2015-08-25,198.75
2015-08-26,197.85
2015-08-27,206.0
2015-08-28,208.0
2015-08-31,205.0
2015-09-01,199.1
2015-09-02,200.4
2015-09-03,202.0
2015-09-04,195.9
2015-09-07,197.6
2015-09-08,196.75
2015-09-09,201.85
2015-09-10,200.95
2015-09-11,203.95
2015-09-14,206.6
2015-09-15,198.0
2015-09-16,196.85
2015-09-18,198.6
2015-09-21,201.75
2015-09-22,199.35
2015-09-23,224.45
2015-09-24,227.1
2015-09-28,208.9
2015-09-29,204.5
2015-09-30,204.75
2015-10-01,200.7
2015-10-05,206.3
2015-10-06,203.9
2015-10-07,205.15
2015-10-08,204.55
2015-10-09,205.25
2015-10-12,205.4
2015-10-13,205.3
2015-10-14,211.2
2015-10-15,206.2
2015-10-16,209.2
2015-10-19,211.5
2015-10-20,213.75
2015-10-21,212.8
2015-10-23,215.05
2015-10-26,215.4
2015-10-27,211.9
2015-10-28,213.1
2015-10-29,225.35
2015-10-30,270.4
2015-11-02,322.15
2015-11-03,298.05
2015-11-04,305.75
2015-11-05,299.3
2015-11-06,284.0
2015-11-09,295.75
2015-11-10,294.3
2015-11-11,276.85
2015-11-13,257.35
2015-11-16,263.65
2015-11-17,260.8
2015-11-18,256.8
2015-11-19,253.65
2015-11-20,253.3
2015-11-23,253.55
2015-11-24,278.9
2015-11-26,273.4
2015-11-27,273.0
2015-11-30,275.15
2015-12-01,284.8
2015-12-02,279.2
2015-12-03,278.85
2015-12-04,278.55
2015-12-07,310.55
2015-12-08,299.15
2015-12-09,284.2
2015-12-10,292.85
2015-12-11,290.7
2015-12-14,287.5
2015-12-15,285.75
2015-12-16,290.35
2015-12-17,292.95
2015-12-18,297.25
2015-12-21,303.7
2015-12-22,331.15
2015-12-23,370.0
2015-12-24,381.6
2015-12-28,361.9
2015-12-29,369.25
2015-12-30,370.7
2015-12-31,374.05
