Date,SPICEMOBI
2015-01-01,31.4
2015-01-02,31.6
2015-01-05,32.45
2015-01-06,29.45
2015-01-07,28.95
2015-01-08,29.15
2015-01-09,28.2
2015-01-12,28.35
2015-01-13,27.85
2015-01-14,27.95
2015-01-15,28.05
2015-01-16,28.8
2015-01-19,28.9
2015-01-20,28.9
2015-01-21,28.05
2015-01-22,28.15
2015-01-23,28.45
2015-01-27,28.75
2015-01-28,29.7
2015-01-29,29.85
2015-01-30,28.8
2015-02-02,29.0
2015-02-03,29.1
2015-02-04,29.0
2015-02-05,28.6
2015-02-06,28.5
2015-02-09,28.5
2015-02-10,28.4
2015-02-11,28.5
2015-02-12,28.65
2015-02-13,28.2
2015-02-16,28.35
2015-02-18,28.45
2015-02-19,28.95
2015-02-20,28.6
2015-02-23,31.3
2015-02-24,30.65
2015-02-25,30.1
2015-02-26,29.9
2015-02-27,29.55
2015-02-28,28.4
2015-03-02,29.3
2015-03-03,29.0
2015-03-04,28.8
2015-03-05,28.75
2015-03-09,29.2
2015-03-10,28.6
2015-03-11,28.25
2015-03-12,28.4
2015-03-13,28.95
2015-03-16,28.95
2015-03-17,27.7
2015-03-18,28.8
2015-03-19,28.5
2015-03-20,28.15
2015-03-23,28.0
2015-03-24,27.1
2015-03-25,26.15
2015-03-26,25.9
2015-03-27,26.6
2015-03-30,26.2
2015-03-31,26.55
2015-04-01,27.25
2015-04-06,27.25
2015-04-07,27.15
2015-04-08,26.7
2015-04-09,26.9
2015-04-10,27.4
2015-04-13,26.95
2015-04-15,27.0
2015-04-16,26.8
2015-04-17,26.5
2015-04-20,27.25
2015-04-21,26.7
2015-04-22,25.95
2015-04-23,26.25
2015-04-24,26.2
2015-04-27,26.1
2015-04-28,26.5
2015-04-29,25.8
2015-04-30,25.45
2015-05-04,25.75
2015-05-05,26.95
2015-05-06,25.85
2015-05-07,24.9
2015-05-08,25.05
2015-05-11,25.6
2015-05-12,22.55
2015-05-13,26.9
2015-05-14,29.75
2015-05-15,28.8
2015-05-18,28.7
2015-05-19,26.45
2015-05-20,26.35
2015-05-21,27.8
2015-05-22,27.15
2015-05-25,26.85
2015-05-26,25.45
2015-05-27,25.5
2015-05-28,24.45
2015-05-29,24.55
2015-06-01,24.65
2015-06-02,24.8
2015-06-03,24.1
2015-06-04,24.2
2015-06-05,24.35
2015-06-08,23.8
2015-06-09,22.65
2015-06-10,22.75
2015-06-11,22.9
2015-06-12,21.8
2015-06-15,21.95
2015-06-16,22.0
2015-06-17,22.0
2015-06-18,22.0
2015-06-19,21.95
2015-06-22,21.65
2015-06-23,22.1
2015-06-24,21.9
2015-06-25,21.9
2015-06-26,21.65
2015-06-29,21.65
2015-06-30,21.35
2015-07-01,21.8
2015-07-02,21.35
2015-07-03,23.0
2015-07-06,23.3
2015-07-07,23.85
2015-07-08,22.8
2015-07-09,22.1
2015-07-10,22.5
2015-07-13,22.7
2015-07-14,21.85
2015-07-15,22.05
2015-07-16,21.65
2015-07-17,21.75
2015-07-20,20.75
2015-07-21,24.9
2015-07-22,24.25
2015-07-23,23.25
2015-07-24,22.4
2015-07-27,22.1
2015-07-28,22.3
2015-07-29,22.0
2015-07-30,22.0
2015-07-31,22.1
2015-08-03,22.0
2015-08-04,22.0
2015-08-05,21.95
2015-08-06,22.05
2015-08-07,22.1
2015-08-10,21.9
2015-08-11,21.8
2015-08-12,21.5
2015-08-13,21.45
2015-08-14,21.65
2015-08-17,23.95
2015-08-18,23.9
2015-08-19,22.9
2015-08-20,22.65
2015-08-21,21.9
2015-08-24,20.3
2015-08-25,20.5
2015-08-26,20.4
2015-08-27,20.25
2015-08-28,20.55
2015-08-31,20.3
2015-09-01,20.0
2015-09-02,19.7
2015-09-03,20.75
2015-09-04,20.45
2015-09-07,20.1
2015-09-08,19.3
2015-09-09,18.7
2015-09-10,18.55
2015-09-11,20.1
2015-09-14,19.95
2015-09-15,20.0
2015-09-16,19.4
2015-09-18,19.45
2015-09-21,19.6
2015-09-22,19.75
2015-09-23,18.7
2015-09-24,18.65
2015-09-28,18.7
2015-09-29,18.95
2015-09-30,18.6
2015-10-01,18.35
2015-10-05,19.35
2015-10-06,19.8
2015-10-07,19.85
2015-10-08,20.0
2015-10-09,19.6
2015-10-12,20.0
2015-10-13,19.8
2015-10-14,19.55
2015-10-15,19.75
2015-10-16,19.45
2015-10-19,18.95
2015-10-20,19.0
2015-10-21,19.3
2015-10-23,18.95
2015-10-26,18.3
2015-10-27,18.6
2015-10-28,18.8
2015-10-29,18.5
2015-10-30,18.4
2015-11-02,18.9
2015-11-03,18.25
2015-11-04,18.4
2015-11-05,18.3
2015-11-06,18.0
2015-11-09,18.75
2015-11-10,18.45
2015-11-11,19.05
2015-11-13,18.6
2015-11-16,18.65
2015-11-17,22.35
2015-11-18,21.5
2015-11-19,20.55
2015-11-20,20.3
2015-11-23,20.1
2015-11-24,20.0
2015-11-26,20.15
2015-11-27,20.6
2015-11-30,21.1
2015-12-01,20.3
2015-12-02,20.3
2015-12-03,20.3
2015-12-04,20.2
2015-12-07,20.3
2015-12-08,19.85
2015-12-09,19.25
2015-12-10,19.2
2015-12-11,22.3
2015-12-14,21.1
2015-12-15,19.75
2015-12-16,20.2
2015-12-17,20.05
2015-12-18,20.1
2015-12-21,20.1
2015-12-22,20.15
2015-12-23,20.5
2015-12-24,20.35
2015-12-28,20.1
2015-12-29,20.85
2015-12-30,20.75
2015-12-31,20.65
