Date,MAHINDCIE
2015-01-01,217.4
2015-01-02,217.35
2015-01-05,214.15
2015-01-06,208.7
2015-01-07,206.75
2015-01-08,218.9
2015-01-09,219.85
2015-01-12,242.6
2015-01-13,243.6
2015-01-14,243.65
2015-01-15,247.65
2015-01-16,232.0
2015-01-19,239.5
2015-01-20,234.15
2015-01-21,246.65
2015-01-22,239.65
2015-01-23,234.0
2015-01-27,226.75
2015-01-28,228.0
2015-01-29,228.6
2015-01-30,220.15
2015-02-02,226.6
2015-02-03,225.1
2015-02-04,227.3
2015-02-05,225.1
2015-02-06,221.85
2015-02-09,211.4
2015-02-10,209.25
2015-02-11,211.65
2015-02-12,225.45
2015-02-13,228.15
2015-02-16,224.95
2015-02-18,224.8
2015-02-19,220.15
2015-02-20,222.0
2015-02-23,213.75
2015-02-24,210.65
2015-02-25,213.45
2015-02-26,204.9
2015-02-27,208.05
2015-02-28,209.25
2015-03-02,213.85
2015-03-03,209.9
2015-03-04,199.85
2015-03-05,199.95
2015-03-09,196.45
2015-03-10,189.95
2015-03-11,187.25
2015-03-12,205.35
2015-03-13,199.5
2015-03-16,201.55
2015-03-17,204.0
2015-03-18,201.9
2015-03-19,204.15
2015-03-20,203.0
2015-03-23,197.55
2015-03-24,194.0
2015-03-25,193.2
2015-03-26,189.65
2015-03-27,195.45
2015-03-30,212.2
2015-03-31,216.45
2015-04-01,215.4
2015-04-06,215.65
2015-04-07,220.65
2015-04-08,217.85
2015-04-09,221.05
2015-04-10,214.7
2015-04-13,213.9
2015-04-15,218.9
2015-04-16,216.15
2015-04-17,210.9
2015-04-20,197.25
2015-04-21,194.0
2015-04-22,199.0
2015-04-23,198.05
2015-04-24,196.3
2015-04-27,188.7
2015-04-28,199.55
2015-04-29,193.45
2015-04-30,189.9
2015-05-04,197.15
2015-05-05,200.8
2015-05-06,197.8
2015-05-07,193.05
2015-05-08,195.85
2015-05-11,199.2
2015-05-12,202.25
2015-05-13,212.75
2015-05-14,211.65
2015-05-15,212.6
2015-05-18,222.05
2015-05-19,217.7
2015-05-20,219.9
2015-05-21,216.75
2015-05-22,217.4
2015-05-25,211.55
2015-05-26,209.45
2015-05-27,212.4
2015-05-28,216.05
2015-05-29,220.35
2015-06-01,216.65
2015-06-02,216.0
2015-06-03,209.65
2015-06-04,206.2
2015-06-05,207.1
2015-06-08,206.05
2015-06-09,203.7
2015-06-10,208.05
2015-06-11,203.2
2015-06-12,198.35
2015-06-15,199.2
2015-06-16,202.4
2015-06-17,199.55
2015-06-18,202.8
2015-06-19,198.2
2015-06-22,202.6
2015-06-23,204.2
2015-06-24,203.2
2015-06-25,197.55
2015-06-26,202.75
2015-06-29,214.5
2015-06-30,229.8
2015-07-01,223.85
2015-07-02,230.55
2015-07-03,237.45
2015-07-06,239.45
2015-07-07,238.9
2015-07-08,233.55
2015-07-09,240.3
2015-07-10,235.75
2015-07-13,238.1
2015-07-14,237.3
2015-07-15,240.25
2015-07-16,243.45
2015-07-17,241.95
2015-07-20,246.9
2015-07-21,244.9
2015-07-22,253.0
2015-07-23,271.6
2015-07-24,267.95
2015-07-27,264.05
2015-07-28,259.35
2015-07-29,266.3
2015-07-30,266.8
2015-07-31,261.5
2015-08-03,295.9
2015-08-04,294.5
2015-08-05,290.7
2015-08-06,295.2
2015-08-07,282.5
2015-08-10,278.7
2015-08-11,278.65
2015-08-12,262.6
2015-08-13,271.2
2015-08-14,285.15
2015-08-17,281.05
2015-08-18,282.25
2015-08-19,277.3
2015-08-20,272.45
2015-08-21,268.75
2015-08-24,250.6
2015-08-25,255.35
2015-08-26,264.5
2015-08-27,274.85
2015-08-28,278.8
2015-08-31,287.3
2015-09-01,278.75
2015-09-02,272.6
2015-09-03,275.25
2015-09-04,269.95
2015-09-07,262.7
2015-09-08,265.0
2015-09-09,269.45
2015-09-10,272.3
2015-09-11,263.7
2015-09-14,260.95
2015-09-15,260.75
2015-09-16,259.7
2015-09-18,260.0
2015-09-21,265.3
2015-09-22,258.2
2015-09-23,257.75
2015-09-24,256.1
2015-09-28,254.85
2015-09-29,254.75
2015-09-30,255.4
2015-10-01,252.5
2015-10-05,257.65
2015-10-06,263.0
2015-10-07,260.45
2015-10-08,268.8
2015-10-09,265.7
2015-10-12,268.5
2015-10-13,263.7
2015-10-14,263.95
2015-10-15,264.15
2015-10-16,271.55
2015-10-19,266.25
2015-10-20,263.85
2015-10-21,258.8
2015-10-23,254.35
2015-10-26,245.5
2015-10-27,244.05
2015-10-28,237.0
2015-10-29,254.95
2015-10-30,253.0
2015-11-02,252.85
2015-11-03,257.3
2015-11-04,261.35
2015-11-05,249.7
2015-11-06,249.35
2015-11-09,249.5
2015-11-10,246.75
2015-11-11,251.55
2015-11-13,242.9
2015-11-16,244.25
2015-11-17,244.4
2015-11-18,245.05
2015-11-19,248.15
2015-11-20,256.25
2015-11-23,249.0
2015-11-24,249.0
2015-11-26,252.75
2015-11-27,246.55
2015-11-30,250.5
2015-12-01,259.95
2015-12-02,260.8
2015-12-03,257.3
2015-12-04,249.0
2015-12-07,258.65
2015-12-08,248.45
2015-12-09,246.6
2015-12-10,249.5
2015-12-11,248.75
2015-12-14,249.15
2015-12-15,259.25
2015-12-16,260.65
2015-12-17,262.25
2015-12-18,258.15
2015-12-21,255.9
2015-12-22,253.05
2015-12-23,251.75
2015-12-24,254.85
2015-12-28,250.5
2015-12-29,249.9
2015-12-30,254.95
2015-12-31,251.1
