Date,ONMOBILE
2015-01-01,71.6
2015-01-02,73.2
2015-01-05,73.45
2015-01-06,73.25
2015-01-07,74.6
2015-01-08,80.4
2015-01-09,88.4
2015-01-12,85.9
2015-01-13,85.55
2015-01-14,80.2
2015-01-15,83.75
2015-01-16,81.1
2015-01-19,78.7
2015-01-20,77.1
2015-01-21,73.45
2015-01-22,77.3
2015-01-23,75.85
2015-01-27,73.8
2015-01-28,73.1
2015-01-29,80.4
2015-01-30,83.5
2015-02-02,85.95
2015-02-03,84.65
2015-02-04,87.25
2015-02-05,86.8
2015-02-06,90.75
2015-02-09,92.5
2015-02-10,88.35
2015-02-11,88.45
2015-02-12,88.1
2015-02-13,88.8
2015-02-16,88.5
2015-02-18,87.85
2015-02-19,86.8
2015-02-20,85.9
2015-02-23,84.15
2015-02-24,83.35
2015-02-25,81.2
2015-02-26,77.85
2015-02-27,79.15
2015-02-28,79.4
2015-03-02,81.2
2015-03-03,79.1
2015-03-04,77.55
2015-03-05,76.5
2015-03-09,73.85
2015-03-10,73.35
2015-03-11,74.5
2015-03-12,73.25
2015-03-13,71.85
2015-03-16,67.0
2015-03-17,69.3
2015-03-18,67.9
2015-03-19,71.1
2015-03-20,67.0
2015-03-23,77.95
2015-03-24,73.3
2015-03-25,73.3
2015-03-26,72.2
2015-03-27,70.7
2015-03-30,74.1
2015-03-31,72.95
2015-04-01,74.95
2015-04-06,76.1
2015-04-07,75.2
2015-04-08,76.45
2015-04-09,78.7
2015-04-10,87.75
2015-04-13,91.3
2015-04-15,87.95
2015-04-16,84.65
2015-04-17,87.15
2015-04-20,82.2
2015-04-21,80.55
2015-04-22,82.2
2015-04-23,81.7
2015-04-24,75.25
2015-04-27,72.4
2015-04-28,77.55
2015-04-29,76.65
2015-04-30,76.0
2015-05-04,78.05
2015-05-05,82.0
2015-05-06,78.65
2015-05-07,75.9
2015-05-08,77.4
2015-05-11,77.7
2015-05-12,75.25
2015-05-13,75.6
2015-05-14,76.2
2015-05-15,77.2
2015-05-18,77.45
2015-05-19,76.85
2015-05-20,76.3
2015-05-21,76.6
2015-05-22,74.85
2015-05-25,74.35
2015-05-26,76.75
2015-05-27,75.6
2015-05-28,73.8
2015-05-29,76.65
2015-06-01,78.4
2015-06-02,86.6
2015-06-03,78.0
2015-06-04,82.25
2015-06-05,80.3
2015-06-08,80.3
2015-06-09,80.25
2015-06-10,84.4
2015-06-11,80.0
2015-06-12,81.2
2015-06-15,79.8
2015-06-16,79.45
2015-06-17,81.95
2015-06-18,81.65
2015-06-19,82.35
2015-06-22,86.85
2015-06-23,89.55
2015-06-24,91.1
2015-06-25,92.5
2015-06-26,89.75
2015-06-29,84.15
2015-06-30,82.7
2015-07-01,85.15
2015-07-02,84.2
2015-07-03,82.95
2015-07-06,84.25
2015-07-07,86.3
2015-07-08,83.5
2015-07-09,83.55
2015-07-10,97.2
2015-07-13,104.6
2015-07-14,105.25
2015-07-15,102.55
2015-07-16,102.3
2015-07-17,101.6
2015-07-20,101.9
2015-07-21,97.45
2015-07-22,99.9
2015-07-23,107.1
2015-07-24,109.65
2015-07-27,107.35
2015-07-28,113.25
2015-07-29,112.35
2015-07-30,108.25
2015-07-31,104.8
2015-08-03,102.75
2015-08-04,99.65
2015-08-05,104.8
2015-08-06,105.3
2015-08-07,102.5
2015-08-10,101.8
2015-08-11,98.9
2015-08-12,94.35
2015-08-13,92.85
2015-08-14,94.7
2015-08-17,93.15
2015-08-18,97.4
2015-08-19,101.35
2015-08-20,97.2
2015-08-21,96.2
2015-08-24,77.3
2015-08-25,79.15
2015-08-26,81.45
2015-08-27,83.45
2015-08-28,81.85
2015-08-31,79.75
2015-09-01,78.3
2015-09-02,77.45
2015-09-03,80.85
2015-09-04,77.7
2015-09-07,75.4
2015-09-08,75.7
2015-09-09,79.25
2015-09-10,78.45
2015-09-11,77.75
2015-09-14,79.15
2015-09-15,77.95
2015-09-16,79.15
2015-09-18,80.1
2015-09-21,80.2
2015-09-22,81.55
2015-09-23,86.0
2015-09-24,87.9
2015-09-28,84.15
2015-09-29,86.5
2015-09-30,86.4
2015-10-01,88.75
2015-10-05,92.9
2015-10-06,90.75
2015-10-07,91.45
2015-10-08,93.45
2015-10-09,92.0
2015-10-12,96.25
2015-10-13,95.5
2015-10-14,94.5
2015-10-15,99.0
2015-10-16,98.25
2015-10-19,99.05
2015-10-20,98.1
2015-10-21,97.4
2015-10-23,97.25
2015-10-26,94.25
2015-10-27,93.85
2015-10-28,95.2
2015-10-29,95.1
2015-10-30,94.8
2015-11-02,94.65
2015-11-03,101.95
2015-11-04,101.7
2015-11-05,98.25
2015-11-06,96.8
2015-11-09,101.9
2015-11-10,103.1
2015-11-11,105.9
2015-11-13,103.6
2015-11-16,108.35
2015-11-17,106.0
2015-11-18,104.25
2015-11-19,106.55
2015-11-20,127.85
2015-11-23,120.95
2015-11-24,131.6
2015-11-26,129.2
2015-11-27,125.6
2015-11-30,127.1
2015-12-01,136.5
2015-12-02,132.8
2015-12-03,132.4
2015-12-04,125.55
2015-12-07,127.55
2015-12-08,124.95
2015-12-09,114.15
2015-12-10,122.9
2015-12-11,118.85
2015-12-14,122.7
2015-12-15,119.7
2015-12-16,118.3
2015-12-17,125.75
2015-12-18,127.9
2015-12-21,127.3
2015-12-22,128.6
2015-12-23,129.4
2015-12-24,130.75
2015-12-28,132.45
2015-12-29,129.3
2015-12-30,129.8
2015-12-31,130.1
