Date,SATHAISPAT
2015-01-01,37.0
2015-01-02,38.9
2015-01-05,36.55
2015-01-06,35.7
2015-01-07,37.75
2015-01-08,38.0
2015-01-09,38.0
2015-01-12,37.7
2015-01-13,37.1
2015-01-14,37.05
2015-01-15,37.55
2015-01-16,37.25
2015-01-19,37.5
2015-01-20,38.0
2015-01-21,38.5
2015-01-22,39.45
2015-01-23,43.6
2015-01-27,42.55
2015-01-28,39.85
2015-01-29,41.3
2015-01-30,42.0
2015-02-02,45.1
2015-02-03,45.0
2015-02-04,45.7
2015-02-05,46.95
2015-02-06,47.6
2015-02-09,45.45
2015-02-10,45.9
2015-02-11,49.25
2015-02-12,48.75
2015-02-13,45.95
2015-02-16,46.0
2015-02-18,45.7
2015-02-19,44.6
2015-02-20,45.0
2015-02-23,44.15
2015-02-24,43.6
2015-02-25,44.7
2015-02-26,43.9
2015-02-27,42.85
2015-02-28,41.75
2015-03-02,43.15
2015-03-03,41.35
2015-03-04,41.9
2015-03-05,41.65
2015-03-09,38.6
2015-03-10,39.55
2015-03-11,39.75
2015-03-12,40.0
2015-03-13,38.2
2015-03-16,37.05
2015-03-17,36.45
2015-03-18,35.55
2015-03-19,36.0
2015-03-20,35.25
2015-03-23,36.15
2015-03-24,35.05
2015-03-25,36.05
2015-03-26,34.8
2015-03-27,35.0
2015-03-30,35.0
2015-03-31,34.9
2015-04-01,35.85
2015-04-06,39.3
2015-04-07,39.0
2015-04-08,40.85
2015-04-09,40.2
2015-04-10,41.05
2015-04-13,41.15
2015-04-15,39.95
2015-04-16,39.55
2015-04-17,38.65
2015-04-20,38.45
2015-04-21,37.25
2015-04-22,37.95
2015-04-23,38.9
2015-04-24,38.15
2015-04-27,37.3
2015-04-28,37.3
2015-04-29,37.5
2015-04-30,38.05
2015-05-04,38.1
2015-05-05,41.45
2015-05-06,40.35
2015-05-07,39.6
2015-05-08,39.0
2015-05-11,38.3
2015-05-12,37.35
2015-05-13,37.1
2015-05-14,37.95
2015-05-15,38.0
2015-05-18,40.8
2015-05-19,39.3
2015-05-20,39.55
2015-05-21,38.6
2015-05-22,39.7
2015-05-25,37.5
2015-05-26,38.0
2015-05-27,38.0
2015-05-28,39.0
2015-05-29,39.9
2015-06-01,36.15
2015-06-02,36.2
2015-06-03,34.95
2015-06-04,33.6
2015-06-05,34.2
2015-06-08,33.75
2015-06-09,34.0
2015-06-10,35.5
2015-06-11,33.75
2015-06-12,33.35
2015-06-15,32.15
2015-06-16,32.8
2015-06-17,32.6
2015-06-18,33.5
2015-06-19,33.2
2015-06-22,33.95
2015-06-23,33.7
2015-06-24,35.25
2015-06-25,36.2
2015-06-26,36.0
2015-06-29,33.85
2015-06-30,33.6
2015-07-01,35.25
2015-07-02,35.05
2015-07-03,35.1
2015-07-06,35.85
2015-07-07,36.0
2015-07-08,35.5
2015-07-09,35.55
2015-07-10,37.8
2015-07-13,38.15
2015-07-14,40.0
2015-07-15,38.45
2015-07-16,36.9
2015-07-17,36.15
2015-07-20,35.8
2015-07-21,36.1
2015-07-22,36.5
2015-07-23,39.0
2015-07-24,38.9
2015-07-27,41.75
2015-07-28,42.65
2015-07-29,43.4
2015-07-30,43.8
2015-07-31,43.5
2015-08-03,46.65
2015-08-04,49.5
2015-08-05,51.8
2015-08-06,47.8
2015-08-07,48.9
2015-08-10,47.4
2015-08-11,46.2
2015-08-12,45.1
2015-08-13,42.8
2015-08-14,42.95
2015-08-17,39.55
2015-08-18,38.9
2015-08-19,38.55
2015-08-20,38.15
2015-08-21,37.8
2015-08-24,35.0
2015-08-25,37.0
2015-08-26,36.1
2015-08-27,35.8
2015-08-28,35.15
2015-08-31,36.0
2015-09-01,35.0
2015-09-02,34.45
2015-09-03,34.9
2015-09-04,34.7
2015-09-07,33.55
2015-09-08,34.2
2015-09-09,35.05
2015-09-10,35.65
2015-09-11,35.5
2015-09-14,37.05
2015-09-15,33.95
2015-09-16,34.2
2015-09-18,33.75
2015-09-21,33.8
2015-09-22,33.5
2015-09-23,33.1
2015-09-24,32.65
2015-09-28,32.05
2015-09-29,32.85
2015-09-30,33.4
2015-10-01,33.45
2015-10-05,33.55
2015-10-06,33.7
2015-10-07,35.6
2015-10-08,34.5
2015-10-09,34.95
2015-10-12,36.15
2015-10-13,36.0
2015-10-14,37.2
2015-10-15,37.2
2015-10-16,35.9
2015-10-19,35.9
2015-10-20,36.0
2015-10-21,35.5
2015-10-23,36.25
2015-10-26,36.65
2015-10-27,35.8
2015-10-28,35.45
2015-10-29,35.75
2015-10-30,36.5
2015-11-02,35.55
2015-11-03,37.95
2015-11-04,37.9
2015-11-05,37.5
2015-11-06,36.5
2015-11-09,36.5
2015-11-10,35.45
2015-11-11,36.5
2015-11-13,34.25
2015-11-16,29.95
2015-11-17,29.6
2015-11-18,30.0
2015-11-19,29.5
2015-11-20,30.0
2015-11-23,29.9
2015-11-24,29.4
2015-11-26,29.95
2015-11-27,30.0
2015-11-30,29.15
2015-12-01,29.55
2015-12-02,29.75
2015-12-03,29.7
2015-12-04,29.95
2015-12-07,30.0
2015-12-08,28.25
2015-12-09,27.95
2015-12-10,28.75
2015-12-11,28.0
2015-12-14,28.75
2015-12-15,30.0
2015-12-16,30.0
2015-12-17,30.45
2015-12-18,30.9
2015-12-21,29.15
2015-12-22,29.35
2015-12-23,30.85
2015-12-24,31.0
2015-12-28,30.05
2015-12-29,29.9
2015-12-30,32.1
2015-12-31,33.85
