Date,CONCOR
2015-01-01,1357.9
2015-01-02,1357.6
2015-01-05,1378.0
2015-01-06,1349.2
2015-01-07,1355.45
2015-01-08,1347.85
2015-01-09,1365.75
2015-01-12,1352.3
2015-01-13,1357.45
2015-01-14,1367.85
2015-01-15,1381.3
2015-01-16,1370.65
2015-01-19,1381.05
2015-01-20,1388.1
2015-01-21,1395.15
2015-01-22,1442.15
2015-01-23,1424.45
2015-01-27,1426.35
2015-01-28,1430.5
2015-01-29,1390.95
2015-01-30,1398.5
2015-02-02,1397.45
2015-02-03,1395.1
2015-02-04,1390.9
2015-02-05,1369.45
2015-02-06,1361.55
2015-02-09,1348.05
2015-02-10,1402.75
2015-02-11,1411.15
2015-02-12,1438.4
2015-02-13,1412.5
2015-02-16,1410.6
2015-02-18,1413.65
2015-02-19,1450.55
2015-02-20,1576.25
2015-02-23,1603.5
2015-02-24,1577.05
2015-02-25,1574.95
2015-02-26,1517.85
2015-02-27,1554.7
2015-02-28,1546.0
2015-03-02,1540.95
2015-03-03,1523.4
2015-03-04,1485.9
2015-03-05,1482.15
2015-03-09,1603.9
2015-03-10,1676.9
2015-03-11,1664.75
2015-03-12,1636.15
2015-03-13,1663.7
2015-03-16,1666.55
2015-03-17,1674.2
2015-03-18,1676.3
2015-03-19,1612.1
2015-03-20,1611.95
2015-03-23,1567.05
2015-03-24,1562.05
2015-03-25,1593.15
2015-03-26,1559.4
2015-03-27,1557.95
2015-03-30,1548.85
2015-03-31,1583.9
2015-04-01,1582.85
2015-04-06,1610.2
2015-04-07,1641.65
2015-04-08,1676.15
2015-04-09,1694.45
2015-04-10,1669.45
2015-04-13,1673.8
2015-04-15,1680.2
2015-04-16,1668.9
2015-04-17,1680.85
2015-04-20,1610.6
2015-04-21,1637.9
2015-04-22,1614.9
2015-04-23,1606.85
2015-04-24,1556.2
2015-04-27,1605.5
2015-04-28,1654.85
2015-04-29,1642.1
2015-04-30,1640.75
2015-05-04,1715.5
2015-05-05,1773.1
2015-05-06,1728.9
2015-05-07,1690.15
2015-05-08,1690.45
2015-05-11,1705.3
2015-05-12,1699.65
2015-05-13,1788.1
2015-05-14,1785.15
2015-05-15,1766.75
2015-05-18,1749.1
2015-05-19,1747.55
2015-05-20,1764.1
2015-05-21,1740.4
2015-05-22,1740.35
2015-05-25,1734.9
2015-05-26,1750.0
2015-05-27,1736.65
2015-05-28,1688.15
2015-05-29,1826.0
2015-06-01,1774.9
2015-06-02,1729.85
2015-06-03,1711.0
2015-06-04,1746.55
2015-06-05,1729.85
2015-06-08,1704.95
2015-06-09,1700.4
2015-06-10,1699.9
2015-06-11,1682.9
2015-06-12,1745.15
2015-06-15,1730.6
2015-06-16,1687.8
2015-06-17,1672.7
2015-06-18,1674.2
2015-06-19,1664.0
2015-06-22,1716.15
2015-06-23,1675.45
2015-06-24,1668.75
2015-06-25,1690.05
2015-06-26,1671.7
2015-06-29,1678.15
2015-06-30,1677.95
2015-07-01,1718.7
2015-07-02,1742.55
2015-07-03,1741.65
2015-07-06,1758.95
2015-07-07,1794.05
2015-07-08,1780.85
2015-07-09,1800.3
2015-07-10,1718.45
2015-07-13,1724.35
2015-07-14,1761.15
2015-07-15,1776.0
2015-07-16,1877.75
2015-07-17,1844.75
2015-07-20,1857.85
2015-07-21,1782.65
2015-07-22,1743.7
2015-07-23,1654.7
2015-07-24,1628.15
2015-07-27,1593.0
2015-07-28,1572.95
2015-07-29,1619.75
2015-07-30,1640.85
2015-07-31,1641.8
2015-08-03,1658.05
2015-08-04,1665.4
2015-08-05,1622.45
2015-08-06,1655.3
2015-08-07,1621.15
2015-08-10,1636.15
2015-08-11,1671.7
2015-08-12,1610.9
2015-08-13,1631.55
2015-08-14,1618.4
2015-08-17,1640.6
2015-08-18,1632.05
2015-08-19,1626.1
2015-08-20,1594.95
2015-08-21,1560.35
2015-08-24,1499.75
2015-08-25,1451.05
2015-08-26,1449.65
2015-08-27,1491.75
2015-08-28,1431.9
2015-08-31,1425.05
2015-09-01,1463.4
2015-09-02,1461.4
2015-09-03,1396.3
2015-09-04,1357.3
2015-09-07,1299.05
2015-09-08,1323.55
2015-09-09,1403.9
2015-09-10,1483.1
2015-09-11,1484.9
2015-09-14,1512.15
2015-09-15,1464.05
2015-09-16,1380.9
2015-09-18,1409.15
2015-09-21,1379.2
2015-09-22,1396.55
2015-09-23,1403.75
2015-09-24,1357.2
2015-09-28,1321.8
2015-09-29,1387.05
2015-09-30,1485.05
2015-10-01,1505.65
2015-10-05,1543.45
2015-10-06,1506.65
2015-10-07,1523.0
2015-10-08,1540.0
2015-10-09,1539.2
2015-10-12,1539.7
2015-10-13,1491.95
