Date,JINDCOT
2015-01-01,13.05
2015-01-02,13.25
2015-01-05,13.0
2015-01-06,12.55
2015-01-07,12.5
2015-01-08,12.55
2015-01-09,12.4
2015-01-12,12.4
2015-01-13,12.25
2015-01-14,12.2
2015-01-15,12.25
2015-01-16,12.0
2015-01-19,12.4
2015-01-20,12.25
2015-01-21,12.05
2015-01-22,11.95
2015-01-23,11.8
2015-01-27,11.6
2015-01-28,12.35
2015-01-29,11.95
2015-01-30,11.8
2015-02-02,12.1
2015-02-03,12.1
2015-02-04,12.1
2015-02-05,12.1
2015-02-06,11.5
2015-02-09,11.1
2015-02-10,11.1
2015-02-11,11.05
2015-02-12,10.65
2015-02-13,10.75
2015-02-16,10.95
2015-02-18,11.05
2015-02-19,11.2
2015-02-20,11.05
2015-02-23,11.0
2015-02-24,10.8
2015-02-25,10.6
2015-02-26,10.7
2015-02-27,10.65
2015-02-28,10.7
2015-03-02,10.4
2015-03-03,10.55
2015-03-04,10.3
2015-03-05,10.3
2015-03-09,10.05
2015-03-10,10.3
2015-03-11,10.1
2015-03-12,10.0
2015-03-13,9.4
2015-03-16,9.25
2015-03-17,9.0
2015-03-18,8.8
2015-03-19,8.75
2015-03-20,7.85
2015-03-23,7.55
2015-03-24,7.9
2015-03-25,7.85
2015-03-26,7.95
2015-03-27,7.8
2015-03-30,8.2
2015-03-31,8.15
2015-04-01,8.45
2015-04-06,9.1
2015-04-07,9.55
2015-04-08,10.2
2015-04-09,10.45
2015-04-10,10.2
2015-04-13,10.25
2015-04-15,10.05
2015-04-16,9.85
2015-04-17,9.7
2015-04-20,9.05
2015-04-21,9.1
2015-04-22,8.85
2015-04-23,8.85
2015-04-24,8.4
2015-04-27,8.05
2015-04-28,8.7
2015-04-29,8.75
2015-04-30,8.6
2015-05-04,8.7
2015-05-05,8.5
2015-05-06,8.2
2015-05-07,7.95
2015-05-08,8.25
2015-05-11,8.15
2015-05-12,8.0
2015-05-13,8.0
2015-05-14,7.8
2015-05-15,7.95
2015-05-18,8.0
2015-05-19,8.05
2015-05-20,8.05
2015-05-21,8.05
2015-05-22,8.05
2015-05-25,8.05
2015-05-26,8.05
2015-05-27,8.1
2015-05-28,8.05
2015-05-29,8.0
2015-06-01,8.05
2015-06-02,7.95
2015-06-03,7.2
2015-06-04,7.0
2015-06-05,6.9
2015-06-08,6.65
2015-06-09,6.65
2015-06-10,6.45
2015-06-11,6.5
2015-06-12,6.3
2015-06-15,6.5
2015-06-16,6.55
2015-06-17,6.7
2015-06-18,6.65
2015-06-19,6.6
2015-06-22,6.85
2015-06-23,6.95
2015-06-24,6.8
2015-06-25,6.8
2015-06-26,6.8
2015-06-29,6.55
2015-06-30,6.65
2015-07-01,6.9
2015-07-02,6.9
2015-07-03,6.7
2015-07-06,7.3
2015-07-07,7.15
2015-07-08,6.6
2015-07-09,6.75
2015-07-10,6.95
2015-07-13,7.0
2015-07-14,7.0
2015-07-15,7.35
2015-07-16,7.55
2015-07-17,7.6
2015-07-20,7.4
2015-07-21,7.35
2015-07-22,7.55
2015-07-23,7.6
2015-07-24,7.35
2015-07-27,7.7
2015-07-28,8.2
2015-07-29,8.95
2015-07-30,8.5
2015-07-31,8.2
2015-08-03,8.0
2015-08-04,7.95
2015-08-05,7.85
2015-08-06,8.2
2015-08-07,7.85
2015-08-10,7.8
2015-08-11,8.75
2015-08-12,8.4
2015-08-13,7.95
2015-08-14,7.95
2015-08-17,8.0
2015-08-18,7.9
2015-08-19,7.8
2015-08-20,7.75
2015-08-21,7.3
2015-08-24,6.5
2015-08-25,6.5
2015-08-26,6.35
2015-08-27,6.6
2015-08-28,6.85
2015-08-31,6.75
2015-09-01,6.45
2015-09-02,6.5
2015-09-03,6.35
2015-09-04,5.95
2015-09-07,6.15
2015-09-08,6.15
2015-09-09,6.25
2015-09-10,6.2
2015-09-11,6.1
2015-09-14,6.2
2015-09-15,6.05
2015-09-16,5.8
2015-09-18,6.0
2015-09-21,6.35
2015-09-22,5.9
2015-09-23,6.1
2015-09-24,5.9
2015-09-28,6.0
2015-09-29,6.1
2015-09-30,6.1
2015-10-01,6.05
2015-10-05,6.25
2015-10-06,6.2
2015-10-07,6.15
2015-10-08,6.5
2015-10-09,6.3
2015-10-12,6.4
2015-10-13,6.35
2015-10-14,6.6
2015-10-15,6.65
2015-10-16,6.6
2015-10-19,6.4
2015-10-20,6.5
2015-10-21,6.4
2015-10-23,6.1
2015-10-26,6.1
2015-10-27,6.15
2015-10-28,6.1
2015-10-29,6.2
2015-10-30,6.25
2015-11-02,6.15
2015-11-03,6.3
2015-11-04,6.05
2015-11-05,6.0
2015-11-06,5.9
2015-11-09,6.15
2015-11-10,5.8
2015-11-11,6.0
2015-11-13,5.95
2015-11-16,6.15
2015-11-17,5.95
2015-11-18,5.95
2015-11-19,6.1
2015-11-20,6.15
2015-11-23,5.95
2015-11-24,6.05
2015-11-26,6.2
2015-11-27,6.2
2015-11-30,6.25
2015-12-01,6.3
2015-12-02,6.35
2015-12-03,6.55
2015-12-04,7.85
2015-12-07,8.15
2015-12-08,7.5
2015-12-09,6.95
2015-12-10,6.9
2015-12-11,6.65
2015-12-14,6.75
2015-12-15,6.85
2015-12-16,7.0
2015-12-17,6.95
2015-12-18,8.3
2015-12-21,9.1
2015-12-22,8.9
2015-12-23,9.0
2015-12-24,8.95
2015-12-28,10.7
2015-12-29,10.4
2015-12-30,10.95
2015-12-31,11.05
