Date,GRASIM
2015-01-01,3402.5
2015-01-02,3495.7
2015-01-05,3508.85
2015-01-06,3375.05
2015-01-07,3417.5
2015-01-08,3424.95
2015-01-09,3404.55
2015-01-12,3435.55
2015-01-13,3546.35
2015-01-14,3566.8
2015-01-15,3668.15
2015-01-16,3636.5
2015-01-19,3652.5
2015-01-20,3691.55
2015-01-21,3783.25
2015-01-22,3809.4
2015-01-23,3793.05
2015-01-27,3850.0
2015-01-28,3894.7
2015-01-29,3931.9
2015-01-30,3884.05
2015-02-02,3808.3
2015-02-03,3887.95
2015-02-04,3897.15
2015-02-05,3887.5
2015-02-06,3805.0
2015-02-09,3708.5
2015-02-10,3813.3
2015-02-11,3844.15
2015-02-12,3827.25
2015-02-13,3859.95
2015-02-16,3855.25
2015-02-18,3867.4
2015-02-19,3786.15
2015-02-20,3760.7
2015-02-23,3695.7
2015-02-24,3681.8
2015-02-25,3668.3
2015-02-26,3597.9
2015-02-27,3745.25
2015-02-28,3753.45
2015-03-02,3987.3
2015-03-03,3997.8
2015-03-04,3882.8
2015-03-05,3784.7
2015-03-09,3710.45
2015-03-10,3698.85
2015-03-11,3701.0
2015-03-12,3741.15
2015-03-13,3669.5
2015-03-16,3692.35
2015-03-17,3705.25
2015-03-18,3669.3
2015-03-19,3612.0
2015-03-20,3615.45
2015-03-23,3629.75
2015-03-24,3593.4
2015-03-25,3570.4
2015-03-26,3549.15
2015-03-27,3568.95
2015-03-30,3631.1
2015-03-31,3622.35
2015-04-01,3694.05
2015-04-06,3698.1
2015-04-07,3766.3
2015-04-08,3800.25
2015-04-09,3768.4
2015-04-10,3792.7
2015-04-13,3780.5
2015-04-15,3804.6
2015-04-16,3730.0
2015-04-17,3647.2
2015-04-20,3612.0
2015-04-21,3634.1
2015-04-22,3670.0
2015-04-23,3639.3
2015-04-24,3663.05
2015-04-27,3613.7
2015-04-28,3623.7
2015-04-29,3599.45
2015-04-30,3589.3
2015-05-04,3625.0
2015-05-05,3580.5
2015-05-06,3478.0
2015-05-07,3510.55
2015-05-08,3493.15
2015-05-11,3556.75
2015-05-12,3488.15
2015-05-13,3514.2
2015-05-14,3530.25
2015-05-15,3550.25
2015-05-18,3551.65
2015-05-19,3590.5
2015-05-20,3595.4
2015-05-21,3675.5
2015-05-22,3640.45
2015-05-25,3567.65
2015-05-26,3572.2
2015-05-27,3578.7
2015-05-28,3511.85
2015-05-29,3640.65
2015-06-01,3613.45
2015-06-02,3502.35
2015-06-03,3406.7
2015-06-04,3448.9
2015-06-05,3408.95
2015-06-08,3406.4
2015-06-09,3443.3
2015-06-10,3450.1
2015-06-11,3364.85
2015-06-12,3355.3
2015-06-15,3350.2
2015-06-16,3370.65
2015-06-17,3366.3
2015-06-18,3366.55
2015-06-19,3384.2
2015-06-22,3398.65
2015-06-23,3433.8
2015-06-24,3400.3
2015-06-25,3405.85
2015-06-26,3397.15
2015-06-29,3372.25
2015-06-30,3442.45
2015-07-01,3516.5
2015-07-02,3470.1
2015-07-03,3506.75
2015-07-06,3560.75
2015-07-07,3573.35
2015-07-08,3509.75
2015-07-09,3516.65
2015-07-10,3596.5
2015-07-13,3632.1
2015-07-14,3625.3
2015-07-15,3686.5
2015-07-16,3674.75
2015-07-17,3696.9
2015-07-20,3769.1
2015-07-21,3670.6
2015-07-22,3738.35
2015-07-23,3700.3
2015-07-24,3672.9
2015-07-27,3681.75
2015-07-28,3675.75
2015-07-29,3656.65
2015-07-30,3720.8
2015-07-31,3716.25
2015-08-03,3738.25
2015-08-04,3764.75
2015-08-05,3762.55
2015-08-06,3752.15
2015-08-07,3808.7
2015-08-10,3773.35
2015-08-11,3720.05
2015-08-12,3660.95
2015-08-13,3605.25
2015-08-14,3703.75
2015-08-17,3688.5
2015-08-18,3710.6
2015-08-19,3736.45
2015-08-20,3692.95
2015-08-21,3625.25
2015-08-24,3454.25
2015-08-25,3458.4
2015-08-26,3411.9
2015-08-27,3504.15
2015-08-28,3449.9
2015-08-31,3446.55
2015-09-01,3420.35
2015-09-02,3414.4
2015-09-03,3423.15
2015-09-04,3374.7
2015-09-07,3388.7
2015-09-08,3424.1
2015-09-09,3504.7
2015-09-10,3465.7
2015-09-11,3463.0
2015-09-14,3477.05
2015-09-15,3456.7
2015-09-16,3466.6
2015-09-18,3496.9
2015-09-21,3458.6
2015-09-22,3429.2
2015-09-23,3441.7
2015-09-24,3432.95
2015-09-28,3450.2
2015-09-29,3440.9
2015-09-30,3517.85
2015-10-01,3529.15
2015-10-05,3615.15
2015-10-06,3603.15
2015-10-07,3644.6
2015-10-08,3654.15
2015-10-09,3642.9
2015-10-12,3622.35
2015-10-13,3645.2
2015-10-14,3635.6
2015-10-15,3644.5
2015-10-16,3649.05
2015-10-19,3603.55
2015-10-20,3607.25
2015-10-21,3637.05
2015-10-23,3647.45
2015-10-26,3690.15
2015-10-27,3686.45
2015-10-28,3697.35
2015-10-29,3672.0
2015-10-30,3712.05
2015-11-02,3691.2
2015-11-03,3698.95
2015-11-04,3697.5
2015-11-05,3696.85
2015-11-06,3689.05
2015-11-09,3648.95
2015-11-10,3621.2
2015-11-11,3589.95
2015-11-13,3623.05
2015-11-16,3681.6
2015-11-17,3614.45
2015-11-18,3612.0
2015-11-19,3665.35
2015-11-20,3683.8
2015-11-23,3672.85
2015-11-24,3695.35
2015-11-26,3729.9
2015-11-27,3734.6
2015-11-30,3741.7
2015-12-01,3734.4
2015-12-02,3756.45
2015-12-03,3744.05
2015-12-04,3719.55
2015-12-07,3770.05
2015-12-08,3738.95
2015-12-09,3701.0
2015-12-10,3711.5
2015-12-11,3621.35
2015-12-14,3651.5
2015-12-15,3683.85
2015-12-16,3724.75
2015-12-17,3736.65
2015-12-18,3721.6
2015-12-21,3707.8
2015-12-22,3725.45
2015-12-23,3738.7
2015-12-24,3718.6
2015-12-28,3695.2
2015-12-29,3742.4
2015-12-30,3725.65
2015-12-31,3754.85
