Date,CESC
2015-01-01,663.2
2015-01-02,675.0
2015-01-05,679.45
2015-01-06,671.0
2015-01-07,662.75
2015-01-08,692.1
2015-01-09,688.1
2015-01-12,723.15
2015-01-13,711.5
2015-01-14,730.45
2015-01-15,730.35
2015-01-16,728.05
2015-01-19,726.2
2015-01-20,724.85
2015-01-21,721.7
2015-01-22,717.65
2015-01-23,714.1
2015-01-27,709.2
2015-01-28,712.3
2015-01-29,727.6
2015-01-30,731.3
2015-02-02,733.55
2015-02-03,712.3
2015-02-04,702.75
2015-02-05,672.25
2015-02-06,683.45
2015-02-09,660.15
2015-02-10,675.65
2015-02-11,716.8
2015-02-12,687.1
2015-02-13,696.25
2015-02-16,610.85
2015-02-18,607.4
2015-02-19,620.05
2015-02-20,613.3
2015-02-23,601.15
2015-02-24,586.7
2015-02-25,572.6
2015-02-26,588.85
2015-02-27,600.6
2015-02-28,594.0
2015-03-02,585.3
2015-03-03,606.55
2015-03-04,591.7
2015-03-05,597.9
2015-03-09,586.0
2015-03-10,594.15
2015-03-11,592.75
2015-03-12,599.25
2015-03-13,589.05
2015-03-16,588.7
2015-03-17,599.95
2015-03-18,599.5
2015-03-19,594.9
2015-03-20,591.55
2015-03-23,601.2
2015-03-24,604.3
2015-03-25,592.0
2015-03-26,573.8
2015-03-27,575.25
2015-03-30,598.05
2015-03-31,603.85
2015-04-01,609.75
2015-04-06,611.15
2015-04-07,612.3
2015-04-08,616.75
2015-04-09,602.85
2015-04-10,599.1
2015-04-13,605.15
2015-04-15,600.35
2015-04-16,588.05
2015-04-17,572.45
2015-04-20,543.8
2015-04-21,553.55
2015-04-22,552.6
2015-04-23,533.5
2015-04-24,540.7
2015-04-27,541.9
2015-04-28,543.45
2015-04-29,543.2
2015-04-30,547.9
2015-05-04,548.65
2015-05-05,541.55
2015-05-06,536.05
2015-05-07,533.5
2015-05-08,538.0
2015-05-11,544.45
2015-05-12,533.1
2015-05-13,534.85
2015-05-14,543.15
2015-05-15,569.8
2015-05-18,579.7
2015-05-19,578.8
2015-05-20,589.75
2015-05-21,587.05
2015-05-22,560.2
2015-05-25,559.45
2015-05-26,561.6
2015-05-27,544.3
2015-05-28,547.6
2015-05-29,548.2
2015-06-01,546.65
2015-06-02,537.75
2015-06-03,524.8
2015-06-04,522.6
2015-06-05,519.1
2015-06-08,512.9
2015-06-09,523.65
2015-06-10,529.55
2015-06-11,516.95
2015-06-12,527.85
2015-06-15,528.2
2015-06-16,529.7
2015-06-17,533.4
2015-06-18,548.8
2015-06-19,549.6
2015-06-22,555.2
2015-06-23,552.65
2015-06-24,553.6
2015-06-25,565.85
2015-06-26,554.25
2015-06-29,554.35
2015-06-30,558.75
2015-07-01,562.55
2015-07-02,556.9
2015-07-03,551.75
2015-07-06,566.2
2015-07-07,576.1
2015-07-08,566.85
2015-07-09,567.2
2015-07-10,560.25
2015-07-13,556.75
2015-07-14,570.6
2015-07-15,567.75
2015-07-16,573.05
2015-07-17,592.4
2015-07-20,617.85
2015-07-21,590.4
2015-07-22,585.25
2015-07-23,571.85
2015-07-24,569.55
2015-07-27,564.1
2015-07-28,564.45
2015-07-29,570.4
2015-07-30,571.05
2015-07-31,565.25
2015-08-03,563.9
2015-08-04,574.6
2015-08-05,594.65
2015-08-06,583.5
2015-08-07,588.7
2015-08-10,592.05
2015-08-11,589.0
2015-08-12,581.95
2015-08-13,587.95
2015-08-14,592.95
2015-08-17,589.1
2015-08-18,568.45
2015-08-19,565.85
2015-08-20,547.95
2015-08-21,555.55
2015-08-24,493.45
2015-08-25,521.85
2015-08-26,537.45
2015-08-27,533.25
2015-08-28,523.3
2015-08-31,523.95
2015-09-01,512.3
2015-09-02,501.85
2015-09-03,509.8
2015-09-04,489.55
2015-09-07,485.65
2015-09-08,493.6
2015-09-09,496.55
2015-09-10,485.3
2015-09-11,488.65
2015-09-14,506.2
2015-09-15,505.7
2015-09-16,512.65
2015-09-18,526.25
2015-09-21,548.35
2015-09-22,530.25
2015-09-23,534.2
2015-09-24,532.85
2015-09-28,521.45
2015-09-29,517.2
2015-09-30,516.85
2015-10-01,518.45
2015-10-05,530.0
2015-10-06,557.15
2015-10-07,566.05
2015-10-08,564.15
2015-10-09,580.05
2015-10-12,583.65
2015-10-13,588.0
2015-10-14,577.6
2015-10-15,573.6
2015-10-16,584.9
2015-10-19,590.9
2015-10-20,600.15
2015-10-21,597.05
2015-10-23,605.4
2015-10-26,604.05
2015-10-27,605.3
2015-10-28,601.65
2015-10-29,584.1
2015-10-30,581.4
2015-11-02,579.35
2015-11-03,575.25
2015-11-04,576.75
2015-11-05,555.45
2015-11-06,538.55
2015-11-09,537.25
2015-11-10,525.15
2015-11-11,527.85
2015-11-13,556.7
2015-11-16,548.8
2015-11-17,541.85
2015-11-18,540.8
2015-11-19,540.2
2015-11-20,541.8
2015-11-23,558.6
2015-11-24,555.05
2015-11-26,548.85
2015-11-27,551.3
2015-11-30,550.5
2015-12-01,556.1
2015-12-02,571.7
2015-12-03,555.0
2015-12-04,553.2
2015-12-07,556.0
2015-12-08,546.1
2015-12-09,516.6
2015-12-10,514.1
2015-12-11,517.15
2015-12-14,517.8
2015-12-15,518.65
2015-12-16,502.2
2015-12-17,508.7
2015-12-18,508.1
2015-12-21,509.1
2015-12-22,510.0
2015-12-23,510.5
2015-12-24,522.9
2015-12-28,516.35
2015-12-29,511.6
2015-12-30,518.2
2015-12-31,513.6
