Date,AARTIIND
2015-01-01,257.25
2015-01-02,259.55
2015-01-05,255.6
2015-01-06,253.1
2015-01-07,247.85
2015-01-08,253.6
2015-01-09,251.75
2015-01-12,251.6
2015-01-13,259.75
2015-01-14,258.15
2015-01-15,265.05
2015-01-16,265.8
2015-01-19,265.1
2015-01-20,270.15
2015-01-21,274.4
2015-01-22,279.8
2015-01-23,286.7
2015-01-27,284.4
2015-01-28,281.0
2015-01-29,284.7
2015-01-30,284.65
2015-02-02,296.9
2015-02-03,305.9
2015-02-04,300.65
2015-02-05,293.8
2015-02-06,292.2
2015-02-09,284.5
2015-02-10,282.55
2015-02-11,291.65
2015-02-12,304.5
2015-02-13,295.4
2015-02-16,283.8
2015-02-18,275.7
2015-02-19,268.65
2015-02-20,283.1
2015-02-23,273.3
2015-02-24,273.75
2015-02-25,299.25
2015-02-26,291.45
2015-02-27,290.55
2015-02-28,288.6
2015-03-02,289.7
2015-03-03,293.2
2015-03-04,295.35
2015-03-05,296.1
2015-03-09,318.25
2015-03-10,343.6
2015-03-11,332.0
2015-03-12,345.7
2015-03-13,359.0
2015-03-16,345.75
2015-03-17,361.75
2015-03-18,369.6
2015-03-19,356.6
2015-03-20,344.0
2015-03-23,338.2
2015-03-24,327.05
2015-03-25,332.1
2015-03-26,323.45
2015-03-27,325.5
2015-03-30,349.2
2015-03-31,350.8
2015-04-01,341.85
2015-04-06,346.5
2015-04-07,364.1
2015-04-08,372.1
2015-04-09,366.3
2015-04-10,366.75
2015-04-13,368.35
2015-04-15,363.45
2015-04-16,347.5
2015-04-17,347.75
2015-04-20,339.5
2015-04-21,332.95
2015-04-22,339.25
2015-04-23,339.6
2015-04-24,327.85
2015-04-27,300.4
2015-04-28,319.0
2015-04-29,322.25
2015-04-30,313.65
2015-05-04,328.3
2015-05-05,325.4
2015-05-06,315.0
2015-05-07,314.2
2015-05-08,321.2
2015-05-11,331.2
2015-05-12,334.0
2015-05-13,314.45
2015-05-14,317.7
2015-05-15,331.6
2015-05-18,334.05
2015-05-19,333.5
2015-05-20,330.0
2015-05-21,328.1
2015-05-22,331.2
2015-05-25,326.75
2015-05-26,327.85
2015-05-27,319.85
2015-05-28,312.95
2015-05-29,317.65
2015-06-01,313.55
2015-06-02,313.8
2015-06-03,310.7
2015-06-04,307.65
2015-06-05,321.45
2015-06-08,317.65
2015-06-09,317.2
2015-06-10,331.6
2015-06-11,315.45
2015-06-12,315.4
2015-06-15,324.25
2015-06-16,323.15
2015-06-17,319.65
2015-06-18,322.95
2015-06-19,323.85
2015-06-22,324.35
2015-06-23,340.6
2015-06-24,341.05
2015-06-25,343.2
2015-06-26,339.65
2015-06-29,336.15
2015-06-30,340.2
2015-07-01,340.15
2015-07-02,346.7
2015-07-03,345.1
2015-07-06,340.65
2015-07-07,343.3
2015-07-08,337.15
2015-07-09,336.8
2015-07-10,346.6
2015-07-13,366.95
2015-07-14,376.75
2015-07-15,375.2
2015-07-16,368.25
2015-07-17,376.45
2015-07-20,383.15
2015-07-21,378.85
2015-07-22,389.1
2015-07-23,399.15
2015-07-24,395.25
2015-07-27,391.9
2015-07-28,398.7
2015-07-29,396.35
2015-07-30,407.55
2015-07-31,417.8
2015-08-03,417.8
2015-08-04,389.25
2015-08-05,380.1
2015-08-06,407.85
2015-08-07,426.95
2015-08-10,448.0
2015-08-11,442.0
2015-08-12,422.75
2015-08-13,423.4
2015-08-14,430.4
2015-08-17,433.0
2015-08-18,427.95
2015-08-19,430.7
2015-08-20,423.05
2015-08-21,429.75
2015-08-24,413.0
2015-08-25,420.1
2015-08-26,415.95
2015-08-27,425.7
2015-08-28,428.0
2015-08-31,423.85
2015-09-01,416.8
2015-09-02,407.5
2015-09-03,419.8
2015-09-04,404.6
2015-09-07,405.95
2015-09-08,406.05
2015-09-09,411.0
2015-09-10,412.2
2015-09-11,414.85
2015-09-14,416.75
2015-09-15,415.15
2015-09-16,426.85
2015-09-18,450.25
2015-09-21,483.15
2015-09-22,489.25
2015-09-23,480.05
2015-09-24,492.35
2015-09-28,511.5
2015-09-29,517.2
2015-09-30,550.25
2015-10-01,558.75
2015-10-05,564.15
2015-10-06,567.65
2015-10-07,558.65
2015-10-08,539.3
2015-10-09,524.5
2015-10-12,523.95
2015-10-13,518.05
2015-10-14,524.05
2015-10-15,517.8
2015-10-16,520.3
2015-10-19,525.0
2015-10-20,523.15
2015-10-21,522.75
2015-10-23,515.95
2015-10-26,512.85
2015-10-27,523.35
2015-10-28,524.4
2015-10-29,513.7
2015-10-30,512.0
2015-11-02,513.35
2015-11-03,525.3
2015-11-04,529.8
2015-11-05,514.9
2015-11-06,513.5
2015-11-09,516.95
2015-11-10,506.7
2015-11-11,511.5
2015-11-13,499.0
2015-11-16,506.45
2015-11-17,510.05
2015-11-18,503.7
2015-11-19,511.2
2015-11-20,506.9
2015-11-23,514.4
2015-11-24,510.4
2015-11-26,510.95
2015-11-27,508.6
2015-11-30,496.15
2015-12-01,501.25
2015-12-02,500.8
2015-12-03,492.55
2015-12-04,498.0
2015-12-07,494.9
2015-12-08,495.55
2015-12-09,486.75
2015-12-10,493.05
2015-12-11,486.15
2015-12-14,480.0
2015-12-15,498.7
2015-12-16,497.8
2015-12-17,497.4
2015-12-18,500.7
2015-12-21,501.5
2015-12-22,502.75
2015-12-23,504.65
2015-12-24,508.15
2015-12-28,517.6
2015-12-29,518.3
2015-12-30,525.25
2015-12-31,523.1
