Date,CEBBCO
2015-01-01,20.45
2015-01-02,21.7
2015-01-05,21.85
2015-01-06,21.25
2015-01-07,22.15
2015-01-08,21.95
2015-01-09,21.65
2015-01-12,21.85
2015-01-13,22.3
2015-01-14,21.9
2015-01-15,23.15
2015-01-16,27.75
2015-01-19,27.05
2015-01-20,27.35
2015-01-21,25.35
2015-01-22,25.95
2015-01-23,23.9
2015-01-27,24.15
2015-01-28,23.85
2015-01-29,23.4
2015-01-30,23.35
2015-02-02,23.45
2015-02-03,26.3
2015-02-04,26.45
2015-02-05,24.9
2015-02-06,24.2
2015-02-09,23.65
2015-02-10,23.35
2015-02-11,24.5
2015-02-12,24.5
2015-02-13,24.15
2015-02-16,23.05
2015-02-18,23.9
2015-02-19,23.2
2015-02-20,23.55
2015-02-23,25.2
2015-02-24,24.45
2015-02-25,23.95
2015-02-26,24.35
2015-02-27,23.5
2015-02-28,22.9
2015-03-02,22.3
2015-03-03,22.75
2015-03-04,21.95
2015-03-05,21.2
2015-03-09,21.8
2015-03-10,20.9
2015-03-11,20.1
2015-03-12,21.0
2015-03-13,20.15
2015-03-16,19.65
2015-03-17,19.7
2015-03-18,19.65
2015-03-19,19.75
2015-03-20,18.95
2015-03-23,18.35
2015-03-24,18.25
2015-03-25,17.65
2015-03-26,17.35
2015-03-27,17.25
2015-03-30,17.8
2015-03-31,18.55
2015-04-01,19.85
2015-04-06,20.9
2015-04-07,23.1
2015-04-08,23.15
2015-04-09,22.65
2015-04-10,22.05
2015-04-13,25.6
2015-04-15,28.2
2015-04-16,26.2
2015-04-17,25.0
2015-04-20,23.95
2015-04-21,23.6
2015-04-22,23.55
2015-04-23,22.9
2015-04-24,22.1
2015-04-27,22.05
2015-04-28,21.9
2015-04-29,22.75
2015-04-30,22.1
2015-05-04,23.0
2015-05-05,24.4
2015-05-06,23.15
2015-05-07,21.05
2015-05-08,21.7
2015-05-11,21.65
2015-05-12,20.75
2015-05-13,21.1
2015-05-14,21.05
2015-05-15,20.85
2015-05-18,20.85
2015-05-19,22.0
2015-05-20,23.8
2015-05-21,23.95
2015-05-22,23.0
2015-05-25,23.55
2015-05-26,23.65
2015-05-27,23.0
2015-05-28,22.35
2015-05-29,21.65
2015-06-01,21.05
2015-06-02,20.1
2015-06-03,18.8
2015-06-04,18.45
2015-06-05,18.45
2015-06-08,18.35
2015-06-09,18.2
2015-06-10,18.0
2015-06-11,17.05
2015-06-12,18.55
2015-06-15,19.35
2015-06-16,19.4
2015-06-17,19.5
2015-06-18,19.5
2015-06-19,19.35
2015-06-22,19.25
2015-06-23,19.4
2015-06-24,19.25
2015-06-25,19.05
2015-06-26,18.3
2015-06-29,17.55
2015-06-30,17.8
2015-07-01,18.3
2015-07-02,18.05
2015-07-03,18.8
2015-07-06,19.15
2015-07-07,19.55
2015-07-08,18.9
2015-07-09,18.3
2015-07-10,18.35
2015-07-13,18.2
2015-07-14,18.7
2015-07-15,21.35
2015-07-16,20.35
2015-07-17,20.5
2015-07-20,20.3
2015-07-21,19.45
2015-07-22,19.6
2015-07-23,20.0
2015-07-24,19.85
2015-07-27,20.0
2015-07-28,20.05
2015-07-29,21.7
2015-07-30,21.75
2015-07-31,21.95
2015-08-03,21.7
2015-08-04,23.05
2015-08-05,23.05
2015-08-06,22.35
2015-08-07,20.75
2015-08-10,21.85
2015-08-11,20.6
2015-08-12,19.55
2015-08-13,18.75
2015-08-14,19.35
2015-08-17,19.8
2015-08-18,20.25
2015-08-19,19.4
2015-08-20,19.1
2015-08-21,18.9
2015-08-24,16.2
2015-08-25,16.75
2015-08-26,17.5
2015-08-27,17.85
2015-08-28,17.85
2015-08-31,18.55
2015-09-01,17.25
2015-09-02,16.6
2015-09-03,16.8
2015-09-04,16.55
2015-09-07,16.15
2015-09-08,16.5
2015-09-09,16.8
2015-09-10,16.45
2015-09-11,16.8
2015-09-14,16.95
2015-09-15,16.85
2015-09-16,16.65
2015-09-18,16.8
2015-09-21,16.5
2015-09-22,16.5
2015-09-23,16.45
2015-09-24,16.35
2015-09-28,16.4
2015-09-29,16.25
2015-09-30,16.25
2015-10-01,16.15
2015-10-05,17.2
2015-10-06,17.0
2015-10-07,17.45
2015-10-08,19.0
2015-10-09,18.35
2015-10-12,18.55
2015-10-13,19.05
2015-10-14,19.15
2015-10-15,19.1
2015-10-16,20.45
2015-10-19,20.1
2015-10-20,20.75
2015-10-21,19.7
2015-10-23,19.8
2015-10-26,19.2
2015-10-27,18.75
2015-10-28,18.3
2015-10-29,18.3
2015-10-30,18.45
2015-11-02,17.9
2015-11-03,17.75
2015-11-04,17.8
2015-11-05,19.5
2015-11-06,18.85
2015-11-09,18.75
2015-11-10,18.5
2015-11-11,19.0
2015-11-13,20.2
2015-11-16,23.35
2015-11-17,22.3
2015-11-18,21.35
2015-11-19,22.15
2015-11-20,21.9
2015-11-23,21.1
2015-11-24,20.85
2015-11-26,20.95
2015-11-27,21.7
2015-11-30,23.65
2015-12-01,26.3
2015-12-02,26.3
2015-12-03,25.75
2015-12-04,25.25
2015-12-07,25.15
2015-12-08,22.45
2015-12-09,21.15
2015-12-10,21.95
2015-12-11,22.0
2015-12-14,21.85
2015-12-15,21.95
2015-12-16,21.9
2015-12-17,23.2
2015-12-18,22.7
2015-12-21,22.65
2015-12-22,24.35
2015-12-23,23.8
2015-12-24,24.25
2015-12-28,25.5
2015-12-29,25.1
2015-12-30,24.8
2015-12-31,24.8
