Date,MANGTIMBER
2015-01-01,11.05
2015-01-02,11.95
2015-01-05,11.55
2015-01-06,12.0
2015-01-07,11.1
2015-01-08,10.8
2015-01-09,10.9
2015-01-12,10.95
2015-01-13,11.5
2015-01-14,11.2
2015-01-15,12.3
2015-01-16,13.4
2015-01-19,13.2
2015-01-20,13.2
2015-01-21,13.75
2015-01-22,12.6
2015-01-23,12.05
2015-01-27,11.5
2015-01-28,12.5
2015-01-29,12.75
2015-01-30,11.5
2015-02-02,11.0
2015-02-03,11.5
2015-02-04,11.6
2015-02-05,10.9
2015-02-06,10.8
2015-02-09,11.2
2015-02-10,10.9
2015-02-11,10.25
2015-02-13,10.05
2015-02-16,9.85
2015-02-18,9.95
2015-02-19,9.65
2015-02-20,10.0
2015-02-23,10.0
2015-02-24,10.35
2015-02-25,9.5
2015-02-26,8.7
2015-02-27,9.1
2015-02-28,9.5
2015-03-02,9.1
2015-03-03,9.1
2015-03-04,9.1
2015-03-05,9.85
2015-03-09,8.75
2015-03-10,8.7
2015-03-11,8.45
2015-03-12,8.45
2015-03-13,8.5
2015-03-16,8.4
2015-03-17,8.4
2015-03-18,8.25
2015-03-19,8.95
2015-03-20,8.3
2015-03-23,8.6
2015-03-24,8.35
2015-03-25,8.15
2015-03-26,8.75
2015-03-27,8.3
2015-03-30,8.8
2015-03-31,9.0
2015-04-01,9.6
2015-04-06,10.0
2015-04-07,9.8
2015-04-08,10.3
2015-04-09,10.3
2015-04-10,10.95
2015-04-13,10.75
2015-04-15,10.85
2015-04-16,11.05
2015-04-17,10.6
2015-04-20,10.5
2015-04-21,10.15
2015-04-22,9.55
2015-04-23,9.25
2015-04-24,11.1
2015-04-27,11.1
2015-04-28,10.5
2015-04-29,11.45
2015-04-30,10.05
2015-05-04,10.6
2015-05-05,9.65
2015-05-06,10.25
2015-05-07,9.5
2015-05-08,10.05
2015-05-11,9.95
2015-05-12,9.6
2015-05-13,9.75
2015-05-14,10.15
2015-05-15,9.65
2015-05-18,9.25
2015-05-19,9.2
2015-05-20,9.25
2015-05-22,9.7
2015-05-25,9.15
2015-05-26,9.0
2015-05-27,9.3
2015-05-28,9.0
2015-05-29,8.6
2015-06-01,9.0
2015-06-03,8.95
2015-06-04,8.5
2015-06-05,8.1
2015-06-08,7.6
2015-06-09,8.35
2015-06-11,8.45
2015-06-12,9.2
2015-06-15,10.1
2015-06-16,9.95
2015-06-17,10.3
2015-06-18,9.8
2015-06-19,10.2
2015-06-22,9.75
2015-06-23,9.9
2015-06-24,9.7
2015-06-25,9.7
2015-06-26,9.3
2015-06-30,9.0
2015-07-01,8.7
2015-07-02,9.1
2015-07-03,9.25
2015-07-06,9.25
2015-07-07,9.85
2015-07-08,8.9
2015-07-09,9.75
2015-07-10,9.75
2015-07-13,10.6
2015-07-14,10.5
2015-07-15,10.9
2015-07-16,10.6
2015-07-17,10.25
2015-07-20,10.7
2015-07-21,10.7
2015-07-22,10.2
2015-07-23,9.8
2015-07-24,9.65
2015-07-27,9.75
2015-07-28,10.2
2015-07-29,10.95
2015-07-30,10.6
2015-07-31,11.1
2015-08-03,12.2
2015-08-04,13.4
2015-08-05,14.05
2015-08-06,14.75
2015-08-07,15.45
2015-08-10,16.2
2015-08-11,17.0
2015-08-12,16.15
2015-08-13,15.35
2015-08-14,14.6
2015-08-17,13.9
2015-08-18,13.25
2015-08-19,12.65
2015-08-20,12.05
2015-08-21,11.45
2015-08-24,10.9
2015-08-25,10.5
2015-08-26,10.3
2015-08-27,10.8
2015-08-28,11.25
2015-08-31,10.75
2015-09-01,10.25
2015-09-02,9.75
2015-09-03,9.45
2015-09-04,9.0
2015-09-07,9.0
2015-09-08,8.75
2015-09-09,9.05
2015-09-10,9.5
2015-09-11,9.9
2015-09-15,10.35
2015-09-16,10.1
2015-09-18,10.2
2015-09-21,10.55
2015-09-22,10.55
2015-09-23,10.75
2015-09-24,10.85
2015-09-28,10.35
2015-09-29,9.9
2015-09-30,9.6
2015-10-01,10.05
2015-10-05,10.5
2015-10-06,9.85
2015-10-07,10.2
2015-10-08,10.5
2015-10-09,10.4
2015-10-12,10.15
2015-10-13,11.1
2015-10-14,10.9
2015-10-15,11.05
2015-10-16,11.1
2015-10-19,10.5
2015-10-20,10.75
2015-10-21,10.6
2015-10-23,11.2
2015-10-26,11.25
2015-10-27,10.55
2015-10-28,11.2
2015-10-29,11.55
2015-10-30,10.6
2015-11-02,10.55
2015-11-03,11.5
2015-11-04,11.9
2015-11-05,11.7
2015-11-06,11.9
2015-11-09,11.4
2015-11-10,10.95
2015-11-11,11.15
2015-11-13,12.2
2015-11-16,12.0
2015-11-17,11.45
2015-11-18,12.35
2015-11-19,11.95
2015-11-20,12.0
2015-11-23,11.95
2015-11-24,11.4
2015-11-26,11.45
2015-11-27,11.85
2015-11-30,11.1
2015-12-01,11.8
2015-12-02,11.55
2015-12-03,12.4
2015-12-04,13.0
2015-12-07,13.5
2015-12-08,14.45
2015-12-09,13.6
2015-12-10,14.4
2015-12-11,13.5
2015-12-14,13.9
2015-12-15,13.05
2015-12-16,13.2
2015-12-17,12.9
2015-12-18,12.95
2015-12-21,13.25
2015-12-22,13.5
2015-12-23,13.5
2015-12-24,13.8
2015-12-28,13.25
2015-12-29,12.9
2015-12-30,15.45
2015-12-31,18.5
