Date,RPGLIFE
2015-01-01,92.7
2015-01-02,92.35
2015-01-05,91.4
2015-01-06,88.3
2015-01-07,86.8
2015-01-08,89.85
2015-01-09,92.2
2015-01-12,95.85
2015-01-13,99.5
2015-01-14,103.25
2015-01-15,100.1
2015-01-16,99.95
2015-01-19,99.0
2015-01-20,100.75
2015-01-21,102.2
2015-01-22,103.25
2015-01-23,99.25
2015-01-27,99.25
2015-01-28,100.0
2015-01-29,100.65
2015-01-30,100.05
2015-02-02,100.65
2015-02-03,103.9
2015-02-04,124.0
2015-02-05,113.3
2015-02-06,118.55
2015-02-09,117.4
2015-02-10,113.65
2015-02-11,118.2
2015-02-12,118.9
2015-02-13,117.6
2015-02-16,118.65
2015-02-18,116.5
2015-02-19,114.95
2015-02-20,113.75
2015-02-23,116.2
2015-02-24,114.7
2015-02-25,116.8
2015-02-26,113.9
2015-02-27,112.1
2015-02-28,110.0
2015-03-02,109.6
2015-03-03,111.5
2015-03-04,109.55
2015-03-05,111.7
2015-03-09,108.75
2015-03-10,109.8
2015-03-11,109.2
2015-03-12,109.55
2015-03-13,105.15
2015-03-16,114.35
2015-03-17,124.4
2015-03-18,124.9
2015-03-19,137.5
2015-03-20,129.9
2015-03-23,137.65
2015-03-24,138.8
2015-03-25,148.75
2015-03-26,148.05
2015-03-27,155.6
2015-03-30,163.15
2015-03-31,165.3
2015-04-01,168.5
2015-04-06,167.15
2015-04-07,168.5
2015-04-08,168.45
2015-04-09,164.75
2015-04-10,163.35
2015-04-13,162.45
2015-04-15,160.25
2015-04-16,157.0
2015-04-17,152.35
2015-04-20,153.65
2015-04-21,147.45
2015-04-22,141.65
2015-04-23,142.15
2015-04-24,142.6
2015-04-27,136.5
2015-04-28,138.25
2015-04-29,140.15
2015-04-30,154.15
2015-05-04,158.45
2015-05-05,150.9
2015-05-06,140.55
2015-05-07,141.95
2015-05-08,143.5
2015-05-11,148.5
2015-05-12,145.2
2015-05-13,149.7
2015-05-14,151.65
2015-05-15,152.2
2015-05-18,153.85
2015-05-19,163.45
2015-05-20,160.6
2015-05-21,160.2
2015-05-22,155.95
2015-05-25,153.3
2015-05-26,148.95
2015-05-27,152.75
2015-05-28,152.0
2015-05-29,152.3
2015-06-01,147.4
2015-06-02,147.85
2015-06-03,149.1
2015-06-04,159.1
2015-06-05,174.9
2015-06-08,174.7
2015-06-09,172.15
2015-06-10,170.1
2015-06-11,160.1
2015-06-12,158.4
2015-06-15,165.25
2015-06-16,167.75
2015-06-17,169.45
2015-06-18,171.8
2015-06-19,168.65
2015-06-22,166.7
2015-06-23,170.2
2015-06-24,179.35
2015-06-25,187.8
2015-06-26,179.95
2015-06-29,176.75
2015-06-30,186.35
2015-07-01,193.65
2015-07-02,191.4
2015-07-03,195.55
2015-07-06,195.95
2015-07-07,192.75
2015-07-08,188.95
2015-07-09,192.0
2015-07-10,197.35
2015-07-13,206.95
2015-07-14,204.85
2015-07-15,202.5
2015-07-16,204.9
2015-07-17,205.1
2015-07-20,202.55
2015-07-21,192.2
2015-07-22,193.2
2015-07-23,189.0
2015-07-24,201.05
2015-07-27,197.5
2015-07-28,198.3
2015-07-29,185.5
2015-07-30,178.6
2015-07-31,177.05
2015-08-03,173.95
2015-08-04,184.1
2015-08-05,181.9
2015-08-06,173.05
2015-08-07,169.7
2015-08-10,168.65
2015-08-11,168.5
2015-08-12,162.95
2015-08-13,158.25
2015-08-14,163.85
2015-08-17,158.95
2015-08-18,165.7
2015-08-19,168.55
2015-08-20,168.3
2015-08-21,167.8
2015-08-24,143.25
2015-08-25,150.8
2015-08-26,150.8
2015-08-27,157.7
2015-08-28,154.1
2015-08-31,151.15
2015-09-01,151.7
2015-09-02,156.2
2015-09-03,158.25
2015-09-04,153.65
2015-09-07,150.9
2015-09-08,153.0
2015-09-09,154.05
2015-09-10,154.35
2015-09-11,156.4
2015-09-14,155.95
2015-09-15,155.5
2015-09-16,156.0
2015-09-18,154.6
2015-09-21,155.25
2015-09-22,154.9
2015-09-23,156.95
2015-09-24,170.55
2015-09-28,168.05
2015-09-29,168.75
2015-09-30,170.55
2015-10-01,172.3
2015-10-05,178.6
2015-10-06,184.65
2015-10-07,182.75
2015-10-08,179.45
2015-10-09,182.2
2015-10-12,177.55
2015-10-13,180.0
2015-10-14,186.8
2015-10-15,185.35
2015-10-16,183.2
2015-10-19,203.55
2015-10-20,197.2
2015-10-21,193.4
2015-10-23,209.8
2015-10-26,203.95
2015-10-27,206.95
2015-10-28,205.4
2015-10-29,206.05
2015-10-30,200.5
2015-11-02,197.65
2015-11-03,199.9
2015-11-04,196.8
2015-11-05,190.15
2015-11-06,188.15
2015-11-09,196.35
2015-11-10,186.85
2015-11-11,192.4
2015-11-13,188.6
2015-11-16,188.2
2015-11-17,190.25
2015-11-18,189.4
2015-11-19,190.95
2015-11-20,229.1
2015-11-23,274.9
2015-11-24,275.35
2015-11-26,273.1
2015-11-27,298.3
2015-11-30,313.6
2015-12-01,304.8
2015-12-02,335.25
2015-12-03,340.8
2015-12-04,330.1
2015-12-07,328.1
2015-12-08,311.7
2015-12-09,296.15
2015-12-10,284.25
2015-12-11,278.95
2015-12-14,283.15
2015-12-15,283.1
2015-12-16,293.8
2015-12-17,299.2
2015-12-18,295.65
2015-12-21,295.2
2015-12-22,291.45
2015-12-23,291.2
2015-12-24,285.3
2015-12-28,299.55
2015-12-29,292.05
2015-12-30,289.3
2015-12-31,303.75
