Date,VSTIND
2015-01-01,1938.65
2015-01-02,1939.75
2015-01-05,1962.15
2015-01-06,1957.45
2015-01-07,1945.65
2015-01-08,1889.0
2015-01-09,1912.05
2015-01-12,1921.35
2015-01-13,1931.25
2015-01-14,1907.4
2015-01-15,1901.55
2015-01-16,1904.15
2015-01-19,1913.05
2015-01-20,1907.95
2015-01-21,1891.3
2015-01-22,1888.3
2015-01-23,1894.35
2015-01-27,1895.3
2015-01-28,1886.95
2015-01-29,1872.25
2015-01-30,1874.95
2015-02-02,1847.55
2015-02-03,1859.4
2015-02-04,1834.5
2015-02-05,1806.6
2015-02-06,1788.5
2015-02-09,1817.25
2015-02-10,1794.4
2015-02-11,1743.5
2015-02-12,1774.7
2015-02-13,1783.3
2015-02-16,1802.85
2015-02-18,1809.45
2015-02-19,1804.8
2015-02-20,1788.5
2015-02-23,1800.0
2015-02-24,1769.1
2015-02-25,1769.7
2015-02-26,1727.65
2015-02-27,1744.7
2015-02-28,1680.55
2015-03-02,1670.95
2015-03-03,1701.15
2015-03-04,1691.3
2015-03-05,1700.8
2015-03-09,1694.4
2015-03-10,1666.1
2015-03-11,1648.0
2015-03-12,1651.0
2015-03-13,1620.2
2015-03-16,1545.45
2015-03-17,1590.65
2015-03-18,1622.15
2015-03-19,1590.0
2015-03-20,1572.2
2015-03-23,1547.95
2015-03-24,1549.9
2015-03-25,1568.8
2015-03-26,1549.0
2015-03-27,1556.05
2015-03-30,1565.6
2015-03-31,1571.4
2015-04-01,1556.2
2015-04-06,1554.15
2015-04-07,1559.5
2015-04-08,1646.2
2015-04-09,1698.35
2015-04-10,1713.4
2015-04-13,1682.4
2015-04-15,1677.05
2015-04-16,1711.3
2015-04-17,1692.45
2015-04-20,1605.75
2015-04-21,1599.95
2015-04-22,1732.85
2015-04-23,1704.6
2015-04-24,1701.75
2015-04-27,1655.75
2015-04-28,1669.55
2015-04-29,1642.65
2015-04-30,1621.1
2015-05-04,1589.5
2015-05-05,1622.8
2015-05-06,1607.05
2015-05-07,1600.3
2015-05-08,1654.7
2015-05-11,1667.3
2015-05-12,1663.8
2015-05-13,1655.5
2015-05-14,1674.2
2015-05-15,1667.95
2015-05-18,1675.45
2015-05-19,1694.8
2015-05-20,1698.8
2015-05-21,1696.75
2015-05-22,1679.7
2015-05-25,1670.05
2015-05-26,1655.2
2015-05-27,1655.35
2015-05-28,1668.55
2015-05-29,1665.45
2015-06-01,1648.35
2015-06-02,1653.15
2015-06-03,1621.7
2015-06-04,1638.5
2015-06-05,1645.9
2015-06-08,1632.15
2015-06-09,1606.7
2015-06-10,1585.65
2015-06-11,1577.85
2015-06-12,1593.55
2015-06-15,1594.45
2015-06-16,1610.05
2015-06-17,1623.8
2015-06-18,1618.2
2015-06-19,1617.0
2015-06-22,1633.9
2015-06-23,1650.6
2015-06-24,1631.75
2015-06-25,1634.6
2015-06-26,1634.3
2015-06-29,1628.3
2015-06-30,1630.65
2015-07-01,1647.9
2015-07-02,1651.0
2015-07-03,1670.7
2015-07-06,1669.5
2015-07-07,1674.3
2015-07-08,1674.45
2015-07-09,1683.95
2015-07-10,1693.45
2015-07-13,1697.45
2015-07-14,1679.4
2015-07-15,1690.05
2015-07-16,1704.7
2015-07-17,1707.85
2015-07-20,1693.55
2015-07-21,1704.95
2015-07-22,1712.7
2015-07-23,1723.15
2015-07-24,1732.2
2015-07-27,1712.95
2015-07-28,1739.0
2015-07-29,1721.6
2015-07-30,1728.75
2015-07-31,1740.4
2015-08-03,1753.4
2015-08-04,1617.3
2015-08-05,1713.8
2015-08-06,1661.8
2015-08-07,1657.65
2015-08-10,1648.05
2015-08-11,1637.0
2015-08-12,1615.15
2015-08-13,1582.85
2015-08-14,1587.05
2015-08-17,1585.1
2015-08-18,1587.5
2015-08-19,1583.35
2015-08-20,1498.35
2015-08-21,1500.8
2015-08-24,1452.45
2015-08-25,1494.5
2015-08-26,1459.1
2015-08-27,1493.65
2015-08-28,1496.85
2015-08-31,1494.35
2015-09-01,1466.0
2015-09-02,1468.4
2015-09-03,1469.15
2015-09-04,1475.95
2015-09-07,1480.55
2015-09-08,1481.05
2015-09-09,1497.0
2015-09-10,1518.45
2015-09-11,1526.2
2015-09-14,1492.3
2015-09-15,1459.5
2015-09-16,1485.3
2015-09-18,1488.1
2015-09-21,1485.0
2015-09-22,1496.9
2015-09-23,1527.7
2015-09-24,1548.4
2015-09-28,1568.5
2015-09-29,1552.05
2015-09-30,1604.6
2015-10-01,1586.0
2015-10-05,1599.7
2015-10-06,1583.55
2015-10-07,1573.5
2015-10-08,1563.7
2015-10-09,1559.7
2015-10-12,1593.75
2015-10-13,1600.0
2015-10-14,1600.15
2015-10-15,1602.0
2015-10-16,1675.3
2015-10-19,1706.65
2015-10-20,1691.5
2015-10-21,1652.15
2015-10-23,1629.15
2015-10-26,1632.05
2015-10-27,1619.5
2015-10-28,1605.75
2015-10-29,1640.6
2015-10-30,1603.2
2015-11-02,1615.2
2015-11-03,1614.65
2015-11-04,1636.3
2015-11-05,1609.65
2015-11-06,1598.8
2015-11-09,1613.8
2015-11-10,1613.55
2015-11-11,1633.55
2015-11-13,1625.1
2015-11-16,1609.45
2015-11-17,1731.35
2015-11-18,1685.95
2015-11-19,1673.65
2015-11-20,1692.9
2015-11-23,1706.9
2015-11-24,1698.05
2015-11-26,1679.95
2015-11-27,1678.35
2015-11-30,1689.8
2015-12-01,1693.25
2015-12-02,1697.1
2015-12-03,1705.1
2015-12-04,1686.9
2015-12-07,1640.35
2015-12-08,1599.35
2015-12-09,1599.8
2015-12-10,1611.55
2015-12-11,1609.6
2015-12-14,1601.05
2015-12-15,1610.2
2015-12-16,1600.45
2015-12-17,1629.55
2015-12-18,1601.65
2015-12-21,1631.5
2015-12-22,1615.9
2015-12-23,1647.65
2015-12-24,1662.1
2015-12-28,1740.05
2015-12-29,1697.75
2015-12-30,1679.3
2015-12-31,1698.3
