Date,CENTURYTEX
2015-01-01,524.4
2015-01-02,533.35
2015-01-05,535.85
2015-01-06,514.5
2015-01-07,512.85
2015-01-08,533.25
2015-01-09,527.8
2015-01-12,543.35
2015-01-13,549.25
2015-01-14,546.15
2015-01-15,556.2
2015-01-16,572.2
2015-01-19,561.05
2015-01-20,575.85
2015-01-21,564.25
2015-01-22,564.75
2015-01-23,564.25
2015-01-27,568.7
2015-01-28,556.85
2015-01-29,570.55
2015-01-30,574.25
2015-02-02,577.0
2015-02-03,557.95
2015-02-04,531.55
2015-02-05,525.0
2015-02-06,505.9
2015-02-09,494.9
2015-02-10,485.5
2015-02-11,499.9
2015-02-12,514.6
2015-02-13,520.1
2015-02-16,528.2
2015-02-18,535.6
2015-02-19,527.4
2015-02-20,523.8
2015-02-23,509.0
2015-02-24,491.1
2015-02-25,481.9
2015-02-26,497.65
2015-02-27,508.45
2015-02-28,530.85
2015-03-02,568.1
2015-03-03,556.4
2015-03-04,547.0
2015-03-05,559.95
2015-03-09,530.05
2015-03-10,552.2
2015-03-11,573.25
2015-03-12,589.85
2015-03-13,573.25
2015-03-16,598.75
2015-03-17,577.1
2015-03-18,576.95
2015-03-19,563.55
2015-03-20,549.05
2015-03-23,564.45
2015-03-24,558.35
2015-03-25,567.8
2015-03-26,578.0
2015-03-27,608.4
2015-03-30,638.9
2015-03-31,637.15
2015-04-01,675.35
2015-04-06,688.1
2015-04-07,725.65
2015-04-08,706.6
2015-04-09,697.5
2015-04-10,763.85
2015-04-13,785.65
2015-04-15,749.55
2015-04-16,763.2
2015-04-17,708.6
2015-04-20,684.0
2015-04-21,714.8
2015-04-22,737.55
2015-04-23,734.15
2015-04-24,688.65
2015-04-27,647.05
2015-04-28,668.4
2015-04-29,709.25
2015-04-30,730.85
2015-05-04,746.5
2015-05-05,708.3
2015-05-06,637.95
2015-05-07,615.75
2015-05-08,637.1
2015-05-11,653.25
2015-05-12,618.3
2015-05-13,625.15
2015-05-14,628.2
2015-05-15,628.05
2015-05-18,625.65
2015-05-19,633.3
2015-05-20,671.9
2015-05-21,668.3
2015-05-22,672.95
2015-05-25,651.1
2015-05-26,673.2
2015-05-27,668.2
2015-05-28,663.5
2015-05-29,673.1
2015-06-01,656.5
2015-06-02,633.7
2015-06-03,604.25
2015-06-04,617.15
2015-06-05,610.6
2015-06-08,597.15
2015-06-09,594.1
2015-06-10,613.05
2015-06-11,584.3
2015-06-12,602.75
2015-06-15,614.55
2015-06-16,661.6
2015-06-17,652.3
2015-06-18,661.35
2015-06-19,668.65
2015-06-22,677.8
2015-06-23,672.9
2015-06-24,655.45
2015-06-25,680.95
2015-06-26,696.45
2015-06-29,688.55
2015-06-30,705.2
2015-07-01,711.4
2015-07-02,704.85
2015-07-03,711.25
2015-07-06,726.1
2015-07-07,720.7
2015-07-08,699.25
2015-07-09,709.9
2015-07-10,713.6
2015-07-13,721.7
2015-07-14,718.6
2015-07-15,713.5
2015-07-16,725.15
2015-07-17,726.5
2015-07-20,729.7
2015-07-21,710.75
2015-07-22,741.4
2015-07-23,727.4
2015-07-24,719.4
2015-07-27,693.05
2015-07-28,655.95
2015-07-29,680.8
2015-07-30,700.65
2015-07-31,704.35
2015-08-03,705.45
2015-08-04,695.1
2015-08-05,718.1
2015-08-06,716.1
2015-08-07,717.45
2015-08-10,708.9
2015-08-11,679.2
2015-08-12,668.65
2015-08-13,661.35
2015-08-14,689.95
2015-08-17,676.0
2015-08-18,709.0
2015-08-19,708.6
2015-08-20,681.4
2015-08-21,664.1
2015-08-24,553.7
2015-08-25,542.25
2015-08-26,552.05
2015-08-27,569.85
2015-08-28,556.4
2015-08-31,547.65
2015-09-01,518.55
2015-09-02,526.95
2015-09-03,537.0
2015-09-04,503.75
2015-09-07,498.65
2015-09-08,512.15
2015-09-09,524.2
2015-09-10,505.05
2015-09-11,510.1
2015-09-14,528.6
2015-09-15,513.8
2015-09-16,520.45
2015-09-18,530.0
2015-09-21,542.95
2015-09-22,521.1
2015-09-23,525.05
2015-09-24,521.7
2015-09-28,504.55
2015-09-29,508.3
2015-09-30,517.6
2015-10-01,518.05
2015-10-05,529.2
2015-10-06,530.65
2015-10-07,534.75
2015-10-08,517.1
2015-10-09,520.0
2015-10-12,529.9
2015-10-13,536.55
2015-10-14,553.1
2015-10-15,554.4
2015-10-16,558.25
2015-10-19,561.2
2015-10-20,561.8
2015-10-21,553.25
2015-10-23,543.2
2015-10-26,531.75
2015-10-27,544.9
2015-10-28,543.15
2015-10-29,548.35
2015-10-30,554.2
2015-11-02,539.85
2015-11-03,544.5
2015-11-04,550.35
2015-11-05,526.75
2015-11-06,516.3
2015-11-09,524.25
2015-11-10,511.3
2015-11-11,516.65
2015-11-13,524.6
2015-11-16,552.2
2015-11-17,564.8
2015-11-18,548.85
2015-11-19,574.7
2015-11-20,574.2
2015-11-23,572.45
2015-11-24,577.2
2015-11-26,586.35
2015-11-27,582.25
2015-11-30,584.0
2015-12-01,576.5
2015-12-02,579.25
2015-12-03,573.15
2015-12-04,565.95
2015-12-07,575.75
2015-12-08,554.35
2015-12-09,537.85
2015-12-10,543.35
2015-12-11,531.1
2015-12-14,544.05
2015-12-15,544.85
2015-12-16,562.95
2015-12-17,578.8
2015-12-18,572.7
2015-12-21,576.8
2015-12-22,582.9
2015-12-23,579.95
2015-12-24,600.0
2015-12-28,597.7
2015-12-29,594.95
2015-12-30,602.2
2015-12-31,596.7
