Date,MARKSANS
2015-01-01,62.95
2015-01-02,69.4
2015-01-05,68.3
2015-01-06,64.85
2015-01-07,64.75
2015-01-08,67.1
2015-01-09,67.9
2015-01-12,66.8
2015-01-13,65.65
2015-01-14,64.4
2015-01-15,62.9
2015-01-16,62.95
2015-01-19,62.7
2015-01-20,63.9
2015-01-21,60.3
2015-01-22,59.15
2015-01-23,60.15
2015-01-27,58.9
2015-01-28,58.9
2015-01-29,62.25
2015-01-30,62.3
2015-02-02,63.1
2015-02-03,62.95
2015-02-04,63.55
2015-02-05,59.4
2015-02-06,57.0
2015-02-09,58.95
2015-02-10,57.9
2015-02-11,58.55
2015-02-12,59.6
2015-02-13,65.25
2015-02-16,64.05
2015-02-18,66.15
2015-02-19,64.15
2015-02-20,63.75
2015-02-23,60.3
2015-02-24,60.35
2015-02-25,59.25
2015-02-26,57.8
2015-02-27,59.2
2015-02-28,58.8
2015-03-02,60.7
2015-03-03,61.15
2015-03-04,59.05
2015-03-05,60.75
2015-03-09,60.8
2015-03-10,60.05
2015-03-11,59.6
2015-03-12,60.1
2015-03-13,57.35
2015-03-16,57.05
2015-03-17,58.35
2015-03-18,58.2
2015-03-19,57.15
2015-03-20,56.2
2015-03-23,55.55
2015-03-24,54.8
2015-03-25,53.9
2015-03-26,51.75
2015-03-27,54.9
2015-03-30,61.05
2015-03-31,61.9
2015-04-01,66.9
2015-04-06,65.45
2015-04-07,64.0
2015-04-08,63.8
2015-04-09,64.0
2015-04-10,67.5
2015-04-13,72.3
2015-04-15,70.65
2015-04-16,68.9
2015-04-17,65.75
2015-04-20,62.35
2015-04-21,61.15
2015-04-22,60.35
2015-04-23,59.75
2015-04-24,57.15
2015-04-27,54.4
2015-04-28,59.75
2015-04-29,57.4
2015-04-30,57.9
2015-05-04,60.05
2015-05-05,59.95
2015-05-06,54.6
2015-05-07,54.95
2015-05-08,56.95
2015-05-11,58.55
2015-05-12,57.8
2015-05-13,58.3
2015-05-14,58.5
2015-05-15,58.75
2015-05-18,59.3
2015-05-19,61.85
2015-05-20,60.7
2015-05-21,59.4
2015-05-22,58.4
2015-05-25,60.05
2015-05-26,58.95
2015-05-27,58.1
2015-05-28,58.8
2015-05-29,61.8
2015-06-01,64.1
2015-06-02,61.5
2015-06-03,58.45
2015-06-04,58.75
2015-06-05,60.0
2015-06-08,60.45
2015-06-09,59.55
2015-06-10,60.15
2015-06-11,57.35
2015-06-12,57.65
2015-06-15,56.9
2015-06-16,57.3
2015-06-17,58.65
2015-06-18,59.5
2015-06-19,58.7
2015-06-22,61.5
2015-06-23,62.65
2015-06-24,61.05
2015-06-25,59.9
2015-06-26,59.55
2015-06-29,58.85
2015-06-30,63.75
2015-07-01,68.15
2015-07-02,70.75
2015-07-03,70.6
2015-07-06,84.7
2015-07-07,88.0
2015-07-08,92.55
2015-07-09,88.1
2015-07-10,86.15
2015-07-13,90.2
2015-07-14,91.3
2015-07-15,91.0
2015-07-16,90.55
2015-07-17,89.2
2015-07-20,89.15
2015-07-21,84.5
2015-07-22,83.75
2015-07-23,84.4
2015-07-24,86.8
2015-07-27,86.9
2015-07-28,94.75
2015-07-29,96.75
2015-07-30,104.65
2015-07-31,103.95
2015-08-03,98.65
2015-08-04,103.3
2015-08-05,103.85
2015-08-06,107.45
2015-08-07,109.0
2015-08-10,109.45
2015-08-11,108.5
2015-08-12,101.9
2015-08-13,102.3
2015-08-14,107.65
2015-08-17,105.35
2015-08-18,108.05
2015-08-19,112.25
2015-08-20,104.1
2015-08-21,103.65
2015-08-24,82.95
2015-08-25,87.55
2015-08-26,86.8
2015-08-27,90.45
2015-08-28,90.45
2015-08-31,90.45
2015-09-01,88.95
2015-09-02,89.45
2015-09-03,91.1
2015-09-04,85.5
2015-09-07,80.1
2015-09-08,81.5
2015-09-09,84.5
2015-09-10,83.2
2015-09-11,85.3
2015-09-14,89.0
2015-09-15,88.45
2015-09-16,86.9
2015-09-18,90.1
2015-09-21,95.35
2015-09-22,92.3
2015-09-23,101.2
2015-09-24,102.7
2015-09-28,103.5
2015-09-29,102.55
2015-09-30,103.85
2015-10-01,105.85
2015-10-05,107.0
2015-10-06,109.15
2015-10-07,105.8
2015-10-08,106.15
2015-10-09,105.65
2015-10-12,105.35
2015-10-13,104.55
2015-10-14,102.9
2015-10-15,102.8
2015-10-16,103.3
2015-10-19,104.6
2015-10-20,103.85
2015-10-21,102.3
2015-10-23,101.65
2015-10-26,100.1
2015-10-27,99.45
2015-10-28,100.05
2015-10-29,100.1
2015-10-30,97.65
2015-11-02,97.0
2015-11-03,99.9
2015-11-04,101.6
2015-11-05,97.4
2015-11-06,94.1
2015-11-09,101.2
2015-11-10,96.9
2015-11-11,99.0
2015-11-13,96.9
2015-11-16,95.7
2015-11-17,97.05
2015-11-18,96.0
2015-11-19,95.8
2015-11-20,95.45
2015-11-23,99.85
2015-11-24,102.0
2015-11-26,100.4
2015-11-27,98.95
2015-11-30,100.45
2015-12-01,107.55
2015-12-02,107.35
2015-12-03,106.9
2015-12-04,103.8
2015-12-07,101.15
2015-12-08,99.15
2015-12-09,95.65
2015-12-10,97.4
2015-12-11,94.95
2015-12-14,93.9
2015-12-15,95.75
2015-12-16,94.45
2015-12-17,100.2
2015-12-18,99.6
2015-12-21,107.75
2015-12-22,104.15
2015-12-23,105.0
2015-12-24,107.35
2015-12-28,110.25
2015-12-29,106.85
2015-12-30,105.55
2015-12-31,104.7
