Date,IOLCP
2015-01-01,42.45
2015-01-02,43.4
2015-01-05,44.75
2015-01-06,43.1
2015-01-07,43.35
2015-01-08,47.45
2015-01-09,51.1
2015-01-12,51.35
2015-01-13,52.5
2015-01-14,52.7
2015-01-15,53.75
2015-01-16,53.5
2015-01-19,52.35
2015-01-20,52.65
2015-01-21,51.65
2015-01-22,51.65
2015-01-23,49.8
2015-01-27,50.7
2015-01-28,48.05
2015-01-29,47.7
2015-01-30,47.5
2015-02-02,44.75
2015-02-03,44.35
2015-02-04,44.65
2015-02-05,41.6
2015-02-06,47.8
2015-02-09,51.35
2015-02-10,47.25
2015-02-11,45.85
2015-02-12,44.0
2015-02-13,42.1
2015-02-16,42.1
2015-02-18,42.5
2015-02-19,40.25
2015-02-20,40.2
2015-02-23,38.65
2015-02-24,39.25
2015-02-25,38.25
2015-02-26,38.35
2015-02-27,36.95
2015-02-28,37.4
2015-03-02,37.5
2015-03-03,37.35
2015-03-04,37.0
2015-03-05,38.0
2015-03-09,37.0
2015-03-10,36.7
2015-03-11,35.85
2015-03-12,34.2
2015-03-13,32.9
2015-03-16,31.9
2015-03-17,31.8
2015-03-18,31.6
2015-03-19,32.6
2015-03-20,28.65
2015-03-23,28.3
2015-03-24,25.3
2015-03-25,28.85
2015-03-26,29.45
2015-03-27,28.3
2015-03-30,28.4
2015-03-31,28.6
2015-04-01,28.4
2015-04-06,28.55
2015-04-07,28.45
2015-04-08,28.4
2015-04-09,28.35
2015-04-10,29.1
2015-04-13,29.0
2015-04-15,28.95
2015-04-16,28.95
2015-04-17,28.95
2015-04-20,34.7
2015-04-21,41.6
2015-04-22,40.35
2015-04-23,44.35
2015-04-24,48.75
2015-04-27,47.3
2015-04-28,48.95
2015-04-29,47.6
2015-04-30,48.7
2015-05-04,50.8
2015-05-05,52.7
2015-05-06,50.1
2015-05-07,48.65
2015-05-08,48.85
2015-05-11,46.7
2015-05-12,46.4
2015-05-13,46.9
2015-05-14,47.0
2015-05-15,47.25
2015-05-18,48.25
2015-05-19,47.75
2015-05-20,47.15
2015-05-21,47.65
2015-05-22,47.5
2015-05-25,47.7
2015-05-26,47.65
2015-05-27,47.8
2015-05-28,48.15
2015-05-29,48.3
2015-06-01,47.7
2015-06-02,47.1
2015-06-03,46.85
2015-06-04,47.1
2015-06-05,47.6
2015-06-08,47.45
2015-06-09,50.65
2015-06-10,55.65
2015-06-11,57.25
2015-06-12,57.9
2015-06-15,61.0
2015-06-16,61.15
2015-06-17,63.1
2015-06-18,64.2
2015-06-19,67.1
2015-06-22,71.0
2015-06-23,71.1
2015-06-24,71.5
2015-06-25,72.85
2015-06-26,72.95
2015-06-29,71.45
2015-06-30,73.05
2015-07-01,81.6
2015-07-02,83.45
2015-07-03,81.9
2015-07-06,87.15
2015-07-07,86.7
2015-07-08,85.7
2015-07-09,84.6
2015-07-10,84.6
2015-07-13,89.65
2015-07-14,91.1
2015-07-15,94.3
2015-07-16,94.1
2015-07-17,92.9
2015-07-20,109.55
2015-07-21,108.1
2015-07-22,109.3
2015-07-23,107.25
2015-07-24,105.0
2015-07-27,99.25
2015-07-28,98.7
2015-07-29,97.05
2015-07-30,97.8
2015-07-31,100.6
2015-08-03,100.9
2015-08-04,98.95
2015-08-05,102.7
2015-08-06,100.3
2015-08-07,99.6
2015-08-10,102.2
2015-08-11,92.85
2015-08-12,79.8
2015-08-13,65.3
2015-08-14,71.8
2015-08-17,71.3
2015-08-18,75.65
2015-08-19,77.3
2015-08-20,76.4
2015-08-21,73.25
2015-08-24,65.95
2015-08-25,59.4
2015-08-26,61.25
2015-08-27,65.3
2015-08-28,66.75
2015-08-31,66.55
2015-09-01,65.2
2015-09-02,65.35
2015-09-03,71.35
2015-09-04,67.4
2015-09-07,67.3
2015-09-08,70.3
2015-09-09,71.15
2015-09-10,71.4
2015-09-11,72.15
2015-09-14,73.3
2015-09-15,72.5
2015-09-16,71.05
2015-09-18,71.9
2015-09-21,72.5
2015-09-22,72.15
2015-09-23,72.45
2015-09-24,70.75
2015-09-28,74.85
2015-09-29,77.2
2015-09-30,80.3
2015-10-01,82.4
2015-10-05,84.45
2015-10-06,83.45
2015-10-07,81.8
2015-10-08,81.55
2015-10-09,81.7
2015-10-12,81.35
2015-10-13,81.25
2015-10-14,80.9
2015-10-15,81.3
2015-10-16,81.15
2015-10-19,80.65
2015-10-20,80.45
2015-10-21,80.3
2015-10-23,80.3
2015-10-26,80.15
2015-10-27,80.1
2015-10-28,82.25
2015-10-29,81.1
2015-10-30,79.2
2015-11-02,79.3
2015-11-03,79.7
2015-11-04,79.45
2015-11-05,83.5
2015-11-06,81.65
2015-11-09,80.2
2015-11-10,79.65
2015-11-11,80.1
2015-11-13,79.35
2015-11-16,81.05
2015-11-17,86.2
2015-11-18,85.1
2015-11-19,98.85
2015-11-20,96.1
2015-11-23,93.65
2015-11-24,91.55
2015-11-26,92.4
2015-11-27,93.35
2015-11-30,92.3
2015-12-01,93.7
2015-12-02,91.4
2015-12-03,90.5
2015-12-04,86.05
2015-12-07,87.9
2015-12-08,84.85
2015-12-09,75.2
2015-12-10,75.4
2015-12-11,72.4
2015-12-14,72.15
2015-12-15,71.95
2015-12-16,71.75
2015-12-17,73.15
2015-12-18,72.35
2015-12-21,73.55
2015-12-22,74.05
2015-12-23,75.55
2015-12-24,73.35
2015-12-28,74.2
2015-12-29,74.05
2015-12-30,73.9
2015-12-31,73.4
