Date,ALOKTEXT
2015-01-01,10.45
2015-01-02,10.5
2015-01-05,10.5
2015-01-06,10.0
2015-01-07,10.0
2015-01-08,10.05
2015-01-09,9.9
2015-01-12,11.25
2015-01-13,10.8
2015-01-14,10.8
2015-01-15,10.85
2015-01-16,10.65
2015-01-19,10.45
2015-01-20,10.45
2015-01-21,10.4
2015-01-22,10.1
2015-01-23,10.0
2015-01-27,9.8
2015-01-28,9.9
2015-01-29,9.8
2015-01-30,10.05
2015-02-02,10.05
2015-02-03,9.95
2015-02-04,10.0
2015-02-05,9.85
2015-02-06,9.75
2015-02-09,9.5
2015-02-10,9.4
2015-02-11,9.75
2015-02-12,9.25
2015-02-13,9.35
2015-02-16,9.25
2015-02-18,9.35
2015-02-19,9.2
2015-02-20,9.5
2015-02-23,9.3
2015-02-24,9.1
2015-02-25,8.95
2015-02-26,8.9
2015-02-27,8.95
2015-02-28,8.9
2015-03-02,8.9
2015-03-03,8.65
2015-03-04,8.65
2015-03-05,9.95
2015-03-09,9.2
2015-03-10,9.1
2015-03-11,8.75
2015-03-12,8.8
2015-03-13,8.55
2015-03-16,8.2
2015-03-17,8.2
2015-03-18,8.15
2015-03-19,8.0
2015-03-20,7.65
2015-03-23,7.0
2015-03-24,6.95
2015-03-25,6.85
2015-03-26,6.85
2015-03-27,6.7
2015-03-30,7.15
2015-03-31,7.4
2015-04-01,7.95
2015-04-06,8.2
2015-04-07,8.25
2015-04-08,8.35
2015-04-09,8.65
2015-04-10,8.65
2015-04-13,8.65
2015-04-15,8.4
2015-04-16,8.15
2015-04-17,8.05
2015-04-20,7.85
2015-04-21,7.7
2015-04-22,7.8
2015-04-23,7.75
2015-04-24,7.3
2015-04-27,6.95
2015-04-28,7.1
2015-04-29,6.7
2015-04-30,6.75
2015-05-04,6.8
2015-05-05,6.95
2015-05-06,6.65
2015-05-07,6.55
2015-05-08,6.6
2015-05-11,6.5
2015-05-12,6.4
2015-05-13,6.45
2015-05-14,6.4
2015-05-15,7.2
2015-05-18,7.4
2015-05-19,7.15
2015-05-20,7.05
2015-05-21,7.0
2015-05-22,7.0
2015-05-25,6.9
2015-05-26,6.9
2015-05-27,7.05
2015-05-28,7.15
2015-05-29,6.9
2015-06-01,6.95
2015-06-02,6.75
2015-06-03,6.35
2015-06-04,6.25
2015-06-05,6.2
2015-06-08,6.15
2015-06-09,6.05
2015-06-10,6.15
2015-06-11,6.0
2015-06-12,5.8
2015-06-15,5.85
2015-06-16,5.9
2015-06-17,6.0
2015-06-18,6.25
2015-06-19,6.25
2015-06-22,6.45
2015-06-23,6.6
2015-06-24,6.45
2015-06-25,6.45
2015-06-26,6.35
2015-06-29,6.05
2015-06-30,6.45
2015-07-01,7.15
2015-07-02,7.0
2015-07-03,6.75
2015-07-06,7.25
2015-07-07,7.3
2015-07-08,7.15
2015-07-09,7.05
2015-07-10,7.05
2015-07-13,7.05
2015-07-14,7.05
2015-07-15,7.1
2015-07-16,7.1
2015-07-17,7.1
2015-07-20,7.0
2015-07-21,6.75
2015-07-22,6.75
2015-07-23,6.7
2015-07-24,6.55
2015-07-27,6.25
2015-07-28,6.4
2015-07-29,6.25
2015-07-30,6.45
2015-07-31,6.5
2015-08-03,7.25
2015-08-04,7.1
2015-08-05,7.3
2015-08-06,8.25
2015-08-07,8.05
2015-08-10,8.0
2015-08-11,7.7
2015-08-12,7.25
2015-08-13,6.95
2015-08-14,6.9
2015-08-17,6.75
2015-08-18,6.8
2015-08-19,6.8
2015-08-20,7.0
2015-08-21,6.8
2015-08-24,5.85
2015-08-25,6.1
2015-08-26,5.85
2015-08-27,6.1
2015-08-28,6.05
2015-08-31,6.05
2015-09-01,5.85
2015-09-02,5.85
2015-09-03,5.95
2015-09-04,5.85
2015-09-07,5.85
2015-09-08,5.85
2015-09-09,5.95
2015-09-10,5.9
2015-09-11,5.9
2015-09-14,5.95
2015-09-15,6.25
2015-09-16,6.1
2015-09-18,6.0
2015-09-21,6.15
2015-09-22,6.1
2015-09-23,6.05
2015-09-24,6.05
2015-09-28,6.1
2015-09-29,6.1
2015-09-30,6.1
2015-10-01,6.15
2015-10-05,6.55
2015-10-06,6.4
2015-10-07,6.85
2015-10-08,6.95
2015-10-09,6.9
2015-10-12,6.9
2015-10-13,6.95
2015-10-14,7.4
2015-10-15,7.15
2015-10-16,7.15
2015-10-19,7.15
2015-10-20,7.05
2015-10-21,7.15
2015-10-23,7.1
2015-10-26,6.75
2015-10-27,6.85
2015-10-28,6.8
2015-10-29,6.75
2015-10-30,6.75
2015-11-02,6.6
2015-11-03,6.65
2015-11-04,6.65
2015-11-05,6.6
2015-11-06,6.65
2015-11-09,6.7
2015-11-10,6.6
2015-11-11,6.7
2015-11-13,6.65
2015-11-16,6.65
2015-11-17,6.6
2015-11-18,6.8
2015-11-19,7.4
2015-11-20,7.2
2015-11-23,7.05
2015-11-24,7.15
2015-11-26,7.15
2015-11-27,7.1
2015-11-30,7.1
2015-12-01,7.15
2015-12-02,7.05
2015-12-03,7.15
2015-12-04,7.0
2015-12-07,6.85
2015-12-08,6.85
2015-12-09,6.6
2015-12-10,6.9
2015-12-11,6.9
2015-12-14,6.95
2015-12-15,6.95
2015-12-16,7.05
2015-12-17,7.1
2015-12-18,6.5
2015-12-21,6.55
2015-12-22,6.5
2015-12-23,6.3
2015-12-24,6.25
2015-12-28,6.25
2015-12-29,6.2
2015-12-30,6.25
2015-12-31,6.25
