Date,MINDAIND
2015-01-01,569.5
2015-01-02,567.4
2015-01-05,565.1
2015-01-06,541.65
2015-01-07,542.7
2015-01-08,566.8
2015-01-09,570.55
2015-01-12,612.75
2015-01-13,611.5
2015-01-14,616.85
2015-01-15,616.35
2015-01-16,614.5
2015-01-19,609.15
2015-01-20,614.3
2015-01-21,600.2
2015-01-22,624.8
2015-01-23,611.75
2015-01-27,614.9
2015-01-28,603.35
2015-01-29,609.5
2015-01-30,605.6
2015-02-02,612.1
2015-02-03,611.45
2015-02-04,606.6
2015-02-05,591.8
2015-02-06,576.0
2015-02-09,558.0
2015-02-10,541.6
2015-02-11,591.05
2015-02-12,603.75
2015-02-13,619.05
2015-02-16,595.55
2015-02-18,604.05
2015-02-19,588.95
2015-02-20,604.55
2015-02-23,599.0
2015-02-24,615.95
2015-02-25,607.95
2015-02-26,597.0
2015-02-27,614.95
2015-02-28,601.65
2015-03-02,607.75
2015-03-03,610.75
2015-03-04,606.5
2015-03-05,597.85
2015-03-09,589.7
2015-03-10,585.4
2015-03-11,595.3
2015-03-12,588.15
2015-03-13,597.05
2015-03-16,595.8
2015-03-17,592.25
2015-03-18,591.4
2015-03-19,588.8
2015-03-20,574.45
2015-03-23,567.5
2015-03-24,553.8
2015-03-25,542.3
2015-03-26,526.6
2015-03-27,525.9
2015-03-30,550.45
2015-03-31,570.6
2015-04-01,559.95
2015-04-06,550.8
2015-04-07,556.1
2015-04-08,576.55
2015-04-09,575.15
2015-04-10,593.1
2015-04-13,598.05
2015-04-15,592.2
2015-04-16,571.6
2015-04-17,561.25
2015-04-20,553.75
2015-04-21,550.9
2015-04-22,552.35
2015-04-23,553.3
2015-04-24,543.25
2015-04-27,516.35
2015-04-28,524.7
2015-04-29,532.65
2015-04-30,530.6
2015-05-04,528.25
2015-05-05,531.5
2015-05-06,516.8
2015-05-07,497.3
2015-05-08,504.3
2015-05-11,533.35
2015-05-12,514.6
2015-05-13,509.5
2015-05-14,519.65
2015-05-15,554.8
2015-05-18,545.25
2015-05-19,542.95
2015-05-20,541.5
2015-05-21,557.6
2015-05-22,564.75
2015-05-25,560.1
2015-05-26,558.5
2015-05-27,534.7
2015-05-28,536.9
2015-05-29,534.45
2015-06-01,527.75
2015-06-02,527.85
2015-06-03,511.35
2015-06-04,522.05
2015-06-05,513.2
2015-06-08,508.65
2015-06-09,499.8
2015-06-10,503.2
2015-06-11,505.35
2015-06-12,480.9
2015-06-15,480.65
2015-06-16,487.5
2015-06-17,499.45
2015-06-18,501.0
2015-06-19,497.2
2015-06-22,499.05
2015-06-23,503.95
2015-06-24,505.9
2015-06-25,498.2
2015-06-26,506.2
2015-06-29,500.85
2015-06-30,494.95
2015-07-01,504.85
2015-07-02,519.2
2015-07-03,516.0
2015-07-06,512.7
2015-07-07,520.95
2015-07-08,511.6
2015-07-09,521.95
2015-07-10,513.5
2015-07-13,516.4
2015-07-14,521.75
2015-07-15,516.9
2015-07-16,528.3
2015-07-17,532.0
2015-07-20,533.55
2015-07-21,521.85
2015-07-22,545.4
2015-07-23,553.2
2015-07-24,549.7
2015-07-27,552.2
2015-07-28,541.25
2015-07-29,545.4
2015-07-30,542.7
2015-07-31,533.9
2015-08-03,560.8
2015-08-04,588.35
2015-08-05,610.0
2015-08-06,588.35
2015-08-07,585.45
2015-08-10,605.0
2015-08-11,579.7
2015-08-12,576.75
2015-08-13,564.7
2015-08-14,588.05
2015-08-17,591.55
2015-08-18,584.25
2015-08-19,591.85
2015-08-20,579.1
2015-08-21,559.65
2015-08-24,499.4
2015-08-25,508.2
2015-08-26,519.4
2015-08-27,528.55
2015-08-28,522.6
2015-08-31,525.8
2015-09-01,517.45
2015-09-02,506.55
2015-09-03,519.75
2015-09-04,502.0
2015-09-07,494.45
2015-09-08,493.65
2015-09-09,508.1
2015-09-10,509.0
2015-09-11,514.1
2015-09-14,510.3
2015-09-15,502.65
2015-09-16,501.05
2015-09-18,503.25
2015-09-21,524.75
2015-09-22,516.65
2015-09-23,525.5
2015-09-24,518.3
2015-09-28,516.45
2015-09-29,513.45
2015-09-30,509.95
2015-10-01,507.3
2015-10-05,506.85
2015-10-06,505.3
2015-10-07,505.7
2015-10-08,503.9
2015-10-09,499.95
2015-10-12,503.2
2015-10-13,510.15
2015-10-14,512.65
2015-10-15,511.8
2015-10-16,508.45
2015-10-19,514.6
2015-10-20,510.3
2015-10-21,511.15
2015-10-23,506.25
2015-10-26,511.35
2015-10-27,514.4
2015-10-28,511.95
2015-10-29,514.2
2015-10-30,520.1
2015-11-02,569.1
2015-11-03,579.95
2015-11-04,695.9
2015-11-05,706.55
2015-11-06,747.45
2015-11-09,737.8
2015-11-10,725.35
2015-11-11,748.75
2015-11-13,730.4
2015-11-16,748.3
2015-11-17,743.1
2015-11-18,737.1
2015-11-19,747.4
2015-11-20,812.75
2015-11-23,853.45
2015-11-24,840.25
2015-11-26,920.95
2015-11-27,883.0
2015-11-30,865.95
2015-12-01,886.95
2015-12-02,891.35
2015-12-03,882.1
2015-12-04,864.95
2015-12-07,859.35
2015-12-08,848.65
2015-12-09,808.55
2015-12-10,845.0
2015-12-11,821.35
2015-12-14,862.4
2015-12-15,887.55
2015-12-16,884.35
2015-12-17,884.65
2015-12-18,878.25
2015-12-21,874.25
2015-12-22,909.55
2015-12-23,899.0
2015-12-24,903.15
2015-12-28,911.65
2015-12-29,902.5
2015-12-30,934.45
2015-12-31,925.1
