Date,SMARTLINK
2015-01-01,82.5
2015-01-02,82.95
2015-01-05,82.05
2015-01-06,78.5
2015-01-07,79.2
2015-01-08,80.9
2015-01-09,80.55
2015-01-12,82.45
2015-01-13,82.35
2015-01-14,82.65
2015-01-15,81.95
2015-01-16,81.1
2015-01-19,80.0
2015-01-20,79.85
2015-01-21,79.45
2015-01-22,77.45
2015-01-23,77.5
2015-01-27,82.25
2015-01-28,79.5
2015-01-29,79.2
2015-01-30,78.95
2015-02-02,76.05
2015-02-03,75.25
2015-02-04,74.75
2015-02-05,72.65
2015-02-06,69.9
2015-02-09,71.0
2015-02-10,70.1
2015-02-11,71.55
2015-02-12,70.85
2015-02-13,73.25
2015-02-16,74.8
2015-02-18,77.25
2015-02-19,75.05
2015-02-20,74.45
2015-02-23,74.5
2015-02-24,72.25
2015-02-25,71.5
2015-02-26,71.95
2015-02-27,72.95
2015-02-28,72.45
2015-03-02,71.95
2015-03-03,73.25
2015-03-04,74.85
2015-03-05,74.45
2015-03-09,72.25
2015-03-10,73.7
2015-03-11,72.05
2015-03-12,72.55
2015-03-13,70.95
2015-03-16,70.15
2015-03-17,70.15
2015-03-18,69.45
2015-03-19,68.9
2015-03-20,65.9
2015-03-23,64.2
2015-03-24,62.25
2015-03-25,63.1
2015-03-26,61.3
2015-03-27,63.3
2015-03-30,64.4
2015-03-31,61.55
2015-04-01,73.8
2015-04-06,73.4
2015-04-07,70.45
2015-04-08,70.95
2015-04-09,71.2
2015-04-10,70.95
2015-04-13,70.65
2015-04-15,71.1
2015-04-16,70.05
2015-04-17,70.9
2015-04-20,68.25
2015-04-21,68.6
2015-04-22,68.25
2015-04-23,68.45
2015-04-24,65.75
2015-04-27,63.25
2015-04-28,64.05
2015-04-29,65.85
2015-04-30,67.3
2015-05-04,67.6
2015-05-05,67.55
2015-05-06,65.1
2015-05-07,64.2
2015-05-08,64.3
2015-05-11,66.75
2015-05-12,66.45
2015-05-13,65.1
2015-05-14,62.9
2015-05-15,67.1
2015-05-18,65.65
2015-05-19,65.2
2015-05-20,64.55
2015-05-21,63.75
2015-05-22,63.4
2015-05-25,63.15
2015-05-26,62.75
2015-05-27,62.85
2015-05-28,62.45
2015-05-29,62.95
2015-06-01,62.4
2015-06-02,62.15
2015-06-03,59.95
2015-06-04,59.7
2015-06-05,60.15
2015-06-08,63.0
2015-06-09,61.15
2015-06-10,61.1
2015-06-11,59.15
2015-06-12,59.6
2015-06-15,60.1
2015-06-16,61.45
2015-06-17,61.1
2015-06-18,61.4
2015-06-19,62.15
2015-06-22,62.9
2015-06-23,63.55
2015-06-24,70.6
2015-06-25,76.15
2015-06-26,73.05
2015-06-29,69.6
2015-06-30,74.65
2015-07-01,75.7
2015-07-02,80.95
2015-07-03,88.35
2015-07-06,90.0
2015-07-07,88.7
2015-07-08,87.5
2015-07-09,85.95
2015-07-10,85.0
2015-07-13,81.6
2015-07-14,83.95
2015-07-15,92.45
2015-07-16,97.7
2015-07-17,92.35
2015-07-20,93.4
2015-07-21,92.85
2015-07-22,106.35
2015-07-23,110.7
2015-07-24,117.95
2015-07-27,120.25
2015-07-28,124.7
2015-07-29,120.5
2015-07-30,115.9
2015-07-31,123.3
2015-08-03,118.05
2015-08-04,124.1
2015-08-05,120.7
2015-08-06,117.95
2015-08-07,117.5
2015-08-10,120.65
2015-08-11,121.85
2015-08-12,118.55
2015-08-13,114.85
2015-08-14,104.9
2015-08-17,115.05
2015-08-18,115.4
2015-08-19,113.85
2015-08-20,113.15
2015-08-21,109.25
2015-08-24,93.0
2015-08-25,94.4
2015-08-26,94.4
2015-08-27,101.9
2015-08-28,103.3
2015-08-31,102.8
2015-09-01,98.05
2015-09-02,99.7
2015-09-03,100.05
2015-09-04,95.05
2015-09-07,92.7
2015-09-08,92.25
2015-09-09,94.65
2015-09-10,96.55
2015-09-11,93.9
2015-09-14,95.0
2015-09-15,94.5
2015-09-16,94.0
2015-09-18,95.25
2015-09-21,103.25
2015-09-22,99.85
2015-09-23,103.35
2015-09-24,100.2
2015-09-28,104.4
2015-09-29,103.7
2015-09-30,104.1
2015-10-01,103.55
2015-10-05,105.8
2015-10-06,107.8
2015-10-07,107.85
2015-10-08,105.6
2015-10-09,105.2
2015-10-12,104.7
2015-10-13,104.1
2015-10-14,103.6
2015-10-15,104.35
2015-10-16,102.9
2015-10-19,103.55
2015-10-20,103.3
2015-10-21,102.5
2015-10-23,102.9
2015-10-26,101.45
2015-10-27,99.85
2015-10-28,100.0
2015-10-29,98.0
2015-10-30,95.8
2015-11-02,95.5
2015-11-03,96.8
2015-11-04,96.1
2015-11-05,94.7
2015-11-06,91.15
2015-11-09,94.5
2015-11-10,93.85
2015-11-11,93.95
2015-11-13,92.4
2015-11-16,99.35
2015-11-17,102.1
2015-11-18,97.85
2015-11-19,98.0
2015-11-20,98.85
2015-11-23,98.85
2015-11-24,96.6
2015-11-26,98.85
2015-11-27,98.85
2015-11-30,101.95
2015-12-01,106.65
2015-12-02,105.95
2015-12-03,103.75
2015-12-04,105.35
2015-12-07,105.2
2015-12-08,101.7
2015-12-09,97.5
2015-12-10,100.05
2015-12-11,97.25
2015-12-14,98.6
2015-12-15,98.25
2015-12-16,99.45
2015-12-17,100.15
2015-12-18,98.8
2015-12-21,99.6
2015-12-22,99.15
2015-12-23,102.3
2015-12-24,100.85
2015-12-28,102.35
2015-12-29,99.5
2015-12-30,99.65
2015-12-31,99.3
