Date,CASTROLIND
2015-01-01,499.9
2015-01-02,501.1
2015-01-05,502.35
2015-01-06,514.8
2015-01-07,521.25
2015-01-08,523.1
2015-01-09,509.6
2015-01-12,504.25
2015-01-13,510.5
2015-01-14,505.4
2015-01-15,496.2
2015-01-16,507.5
2015-01-19,507.05
2015-01-20,499.5
2015-01-21,499.9
2015-01-22,498.05
2015-01-23,490.45
2015-01-27,489.25
2015-01-28,482.05
2015-01-29,480.45
2015-01-30,474.25
2015-02-02,470.5
2015-02-03,474.9
2015-02-04,469.75
2015-02-05,464.55
2015-02-06,481.95
2015-02-09,478.15
2015-02-10,477.15
2015-02-11,491.85
2015-02-12,496.45
2015-02-13,496.65
2015-02-16,483.35
2015-02-18,481.8
2015-02-19,479.1
2015-02-20,475.7
2015-02-23,476.7
2015-02-24,475.35
2015-02-25,469.9
2015-02-26,465.0
2015-02-27,462.35
2015-02-28,466.95
2015-03-02,476.95
2015-03-03,484.8
2015-03-04,499.65
2015-03-05,500.15
2015-03-09,494.85
2015-03-10,485.0
2015-03-11,486.9
2015-03-12,483.3
2015-03-13,474.35
2015-03-16,470.8
2015-03-17,488.65
2015-03-18,485.2
2015-03-19,476.3
2015-03-20,480.55
2015-03-23,477.3
2015-03-24,472.5
2015-03-25,471.6
2015-03-26,462.9
2015-03-27,464.05
2015-03-30,464.6
2015-03-31,473.65
2015-04-01,467.3
2015-04-06,469.0
2015-04-07,464.9
2015-04-08,470.35
2015-04-09,469.9
2015-04-10,469.25
2015-04-13,469.5
2015-04-15,468.55
2015-04-16,478.35
2015-04-17,476.25
2015-04-20,472.5
2015-04-21,470.9
2015-04-22,468.05
2015-04-23,468.0
2015-04-24,460.7
2015-04-27,453.9
2015-04-28,458.15
2015-04-29,449.8
2015-04-30,443.05
2015-05-04,453.9
2015-05-05,472.75
2015-05-06,453.25
2015-05-07,444.4
2015-05-08,451.35
2015-05-11,459.35
2015-05-12,479.0
2015-05-13,478.3
2015-05-14,482.05
2015-05-15,463.7
2015-05-18,465.65
2015-05-19,459.65
2015-05-20,458.05
2015-05-21,457.9
2015-05-22,453.05
2015-05-25,454.4
2015-05-26,456.15
2015-05-27,468.75
2015-05-28,471.45
2015-05-29,481.95
2015-06-01,472.15
2015-06-02,460.25
2015-06-03,445.9
2015-06-04,440.4
2015-06-05,439.15
2015-06-08,428.7
2015-06-09,435.65
2015-06-10,438.15
2015-06-11,427.3
2015-06-12,426.85
2015-06-15,432.1
2015-06-16,431.0
2015-06-17,440.8
2015-06-18,450.75
2015-06-19,444.8
2015-06-22,449.25
2015-06-23,449.65
2015-06-24,442.4
2015-06-25,442.35
2015-06-26,433.9
2015-06-29,428.0
2015-06-30,433.65
2015-07-01,435.0
2015-07-02,432.2
2015-07-03,434.5
2015-07-06,441.9
2015-07-07,457.2
2015-07-08,459.7
2015-07-09,452.65
2015-07-10,455.65
2015-07-13,463.15
2015-07-14,468.1
2015-07-15,471.85
2015-07-16,481.35
2015-07-17,481.3
2015-07-20,486.8
2015-07-21,487.3
2015-07-22,496.4
2015-07-23,498.1
2015-07-24,490.95
2015-07-27,486.05
2015-07-28,490.45
2015-07-29,505.25
2015-07-30,501.5
2015-07-31,491.15
2015-08-03,497.15
2015-08-04,494.2
2015-08-05,495.65
2015-08-06,490.1
2015-08-07,493.9
2015-08-10,493.6
2015-08-11,490.9
2015-08-12,475.85
2015-08-13,479.65
2015-08-14,487.45
2015-08-17,490.6
2015-08-18,477.7
2015-08-19,479.65
2015-08-20,472.9
2015-08-21,474.75
2015-08-24,437.75
2015-08-25,455.55
2015-08-26,443.2
2015-08-27,446.1
2015-08-28,442.2
2015-08-31,430.3
2015-09-01,417.05
2015-09-02,418.0
2015-09-03,428.75
2015-09-04,425.55
2015-09-07,422.85
2015-09-08,425.9
2015-09-09,437.9
2015-09-10,435.05
2015-09-11,436.85
2015-09-14,437.2
2015-09-15,435.05
2015-09-16,432.35
2015-09-18,438.25
2015-09-21,437.05
2015-09-22,441.2
2015-09-23,442.3
2015-09-24,438.25
2015-09-28,437.8
2015-09-29,435.3
2015-09-30,442.55
2015-10-01,450.05
2015-10-05,450.1
2015-10-06,450.9
2015-10-07,455.6
2015-10-08,450.05
2015-10-09,444.45
2015-10-12,438.15
2015-10-13,434.45
2015-10-14,434.6
2015-10-15,436.05
2015-10-16,437.6
2015-10-19,437.4
2015-10-20,446.85
2015-10-21,470.2
2015-10-23,464.05
2015-10-26,466.4
2015-10-27,462.9
2015-10-28,459.95
2015-10-29,459.25
2015-10-30,463.0
2015-11-02,453.0
2015-11-03,456.2
2015-11-04,453.75
2015-11-05,454.05
2015-11-06,445.1
2015-11-09,441.6
2015-11-10,440.0
2015-11-11,443.7
2015-11-13,436.4
2015-11-16,435.3
2015-11-17,441.45
2015-11-18,439.55
2015-11-19,443.8
2015-11-20,441.85
2015-11-23,439.9
2015-11-24,435.5
2015-11-26,429.2
2015-11-27,436.55
2015-11-30,442.35
2015-12-01,446.0
2015-12-02,443.45
2015-12-03,450.65
2015-12-04,442.95
2015-12-07,439.5
2015-12-08,433.05
2015-12-09,419.7
2015-12-10,424.1
2015-12-11,416.05
2015-12-14,427.45
2015-12-15,431.2
2015-12-16,427.85
2015-12-17,434.3
2015-12-18,429.75
2015-12-21,437.1
2015-12-22,441.25
2015-12-23,439.9
2015-12-24,442.9
2015-12-28,440.3
2015-12-29,440.25
2015-12-30,443.7
2015-12-31,441.35
