Date,ELAND
2015-01-01,11.65
2015-01-02,11.75
2015-01-05,12.0
2015-01-06,11.35
2015-01-07,11.9
2015-01-08,11.75
2015-01-09,11.6
2015-01-12,11.25
2015-01-13,11.35
2015-01-14,11.1
2015-01-15,11.4
2015-01-16,10.7
2015-01-19,11.15
2015-01-20,11.0
2015-01-21,10.5
2015-01-22,10.4
2015-01-23,10.35
2015-01-27,10.3
2015-01-28,10.35
2015-01-29,10.55
2015-01-30,10.5
2015-02-02,10.05
2015-02-03,10.5
2015-02-04,10.35
2015-02-05,10.35
2015-02-06,10.0
2015-02-09,10.6
2015-02-10,10.95
2015-02-11,11.5
2015-02-12,12.45
2015-02-13,12.85
2015-02-16,11.7
2015-02-18,11.45
2015-02-19,11.95
2015-02-20,12.5
2015-02-23,12.5
2015-02-24,12.7
2015-02-25,11.85
2015-02-26,11.8
2015-02-27,12.0
2015-02-28,13.1
2015-03-02,13.5
2015-03-03,13.25
2015-03-04,12.55
2015-03-05,12.75
2015-03-09,12.05
2015-03-10,12.3
2015-03-11,12.95
2015-03-12,13.3
2015-03-13,13.05
2015-03-16,15.2
2015-03-17,18.2
2015-03-18,18.6
2015-03-19,19.0
2015-03-20,17.1
2015-03-23,16.9
2015-03-24,16.5
2015-03-25,16.45
2015-03-26,15.25
2015-03-27,14.2
2015-03-30,14.05
2015-03-31,15.2
2015-04-01,16.25
2015-04-06,16.0
2015-04-07,19.1
2015-04-08,19.8
2015-04-09,19.0
2015-04-10,20.75
2015-04-13,21.8
2015-04-15,21.4
2015-04-16,20.15
2015-04-17,24.05
2015-04-20,22.55
2015-04-21,26.4
2015-04-22,29.0
2015-04-23,31.9
2015-04-24,28.75
2015-04-27,25.9
2015-04-28,25.2
2015-04-29,26.4
2015-04-30,28.0
2015-05-04,26.3
2015-05-05,26.95
2015-05-06,24.7
2015-05-07,25.25
2015-05-08,26.45
2015-05-11,26.9
2015-05-12,25.15
2015-05-13,26.35
2015-05-14,27.55
2015-05-15,27.85
2015-05-18,29.85
2015-05-19,29.65
2015-05-20,32.4
2015-05-21,35.6
2015-05-22,33.85
2015-05-25,32.2
2015-05-26,30.6
2015-05-27,32.1
2015-05-28,33.65
2015-05-29,32.0
2015-06-01,30.4
2015-06-02,28.9
2015-06-03,27.5
2015-06-04,27.95
2015-06-05,26.65
2015-06-08,25.35
2015-06-09,24.1
2015-06-10,24.65
2015-06-11,23.45
2015-06-12,23.45
2015-06-15,24.0
2015-06-16,23.45
2015-06-17,23.9
2015-06-18,23.4
2015-06-19,23.9
2015-06-22,24.75
2015-06-23,25.15
2015-06-24,25.5
2015-06-25,25.0
2015-06-26,24.3
2015-06-29,23.15
2015-06-30,23.55
2015-07-01,24.7
2015-07-02,25.9
2015-07-03,26.7
2015-07-06,28.95
2015-07-07,30.6
2015-07-08,29.6
2015-07-09,32.4
2015-07-10,30.85
2015-07-13,29.6
2015-07-14,31.05
2015-07-15,32.6
2015-07-16,33.85
2015-07-17,32.45
2015-07-20,31.6
2015-07-21,30.05
2015-07-22,31.25
2015-07-23,31.8
2015-07-24,30.6
2015-07-27,29.85
2015-07-28,29.05
2015-07-29,28.85
2015-07-30,30.25
2015-07-31,30.6
2015-08-03,30.35
2015-08-04,29.55
2015-08-05,29.5
2015-08-06,30.55
2015-08-07,29.2
2015-08-10,28.1
2015-08-11,27.05
2015-08-12,26.45
2015-08-13,24.35
2015-08-14,26.75
2015-08-17,27.35
2015-08-18,28.35
2015-08-19,30.6
2015-08-20,28.15
2015-08-21,28.65
2015-08-24,25.8
2015-08-25,24.15
2015-08-26,24.15
2015-08-27,25.65
2015-08-28,25.25
2015-08-31,25.1
2015-09-01,24.25
2015-09-02,24.45
2015-09-03,25.5
2015-09-04,23.9
2015-09-07,22.0
2015-09-08,22.95
2015-09-09,23.35
2015-09-10,23.9
2015-09-11,24.0
2015-09-14,24.05
2015-09-15,23.55
2015-09-16,24.45
2015-09-18,25.1
2015-09-21,26.55
2015-09-22,25.25
2015-09-23,25.2
2015-09-24,25.1
2015-09-28,24.3
2015-09-29,24.25
2015-09-30,24.95
2015-10-01,27.35
2015-10-05,27.75
2015-10-06,27.35
2015-10-07,27.25
2015-10-08,27.2
2015-10-09,27.0
2015-10-12,26.4
2015-10-13,25.65
2015-10-14,25.75
2015-10-15,26.1
2015-10-16,26.0
2015-10-19,26.4
2015-10-20,26.3
2015-10-21,25.8
2015-10-23,25.3
2015-10-26,24.55
2015-10-27,24.65
2015-10-28,24.55
2015-10-29,24.15
2015-10-30,23.65
2015-11-02,22.7
2015-11-03,24.0
2015-11-04,23.35
2015-11-05,23.1
2015-11-06,22.55
2015-11-09,27.05
2015-11-10,27.55
2015-11-11,28.65
2015-11-13,29.8
2015-11-16,30.8
2015-11-17,31.8
2015-11-18,36.7
2015-11-19,38.55
2015-11-20,46.25
2015-11-23,43.75
2015-11-24,43.5
2015-11-26,44.95
2015-11-27,43.05
2015-11-30,43.9
2015-12-01,42.65
2015-12-02,41.6
2015-12-03,41.1
2015-12-04,39.6
2015-12-07,38.65
2015-12-08,41.7
2015-12-09,39.15
2015-12-10,40.3
2015-12-11,38.45
2015-12-14,39.9
2015-12-15,42.55
2015-12-16,42.35
2015-12-17,46.55
2015-12-18,47.45
2015-12-21,52.15
2015-12-22,53.35
2015-12-23,50.9
2015-12-24,53.4
2015-12-28,56.05
2015-12-29,58.85
2015-12-30,58.1
2015-12-31,59.4
