Date,EKC
2015-01-01,11.45
2015-01-02,12.5
2015-01-05,12.65
2015-01-06,11.9
2015-01-07,11.6
2015-01-08,11.6
2015-01-09,11.5
2015-01-12,11.8
2015-01-13,11.6
2015-01-14,11.75
2015-01-15,11.9
2015-01-16,11.75
2015-01-19,12.1
2015-01-20,11.95
2015-01-21,11.7
2015-01-22,11.65
2015-01-23,11.2
2015-01-27,11.9
2015-01-28,11.55
2015-01-29,11.45
2015-01-30,11.65
2015-02-02,11.65
2015-02-03,11.45
2015-02-04,12.75
2015-02-05,13.0
2015-02-06,12.65
2015-02-09,11.65
2015-02-10,11.75
2015-02-11,11.6
2015-02-12,11.95
2015-02-13,12.1
2015-02-16,11.8
2015-02-18,11.9
2015-02-19,12.55
2015-02-20,12.35
2015-02-23,13.25
2015-02-24,13.0
2015-02-25,13.0
2015-02-26,12.8
2015-02-27,12.95
2015-02-28,12.5
2015-03-02,12.45
2015-03-03,12.4
2015-03-04,12.15
2015-03-05,11.85
2015-03-09,11.6
2015-03-10,11.6
2015-03-11,11.5
2015-03-12,11.45
2015-03-13,11.3
2015-03-16,10.95
2015-03-17,10.85
2015-03-18,10.6
2015-03-19,10.55
2015-03-20,10.05
2015-03-23,9.75
2015-03-24,9.4
2015-03-25,9.25
2015-03-26,9.15
2015-03-27,9.1
2015-03-30,9.25
2015-03-31,9.3
2015-04-01,11.05
2015-04-06,11.6
2015-04-07,11.35
2015-04-08,11.6
2015-04-09,11.2
2015-04-10,11.55
2015-04-13,11.45
2015-04-15,11.55
2015-04-16,11.7
2015-04-17,11.55
2015-04-20,10.9
2015-04-21,11.15
2015-04-22,11.0
2015-04-23,10.85
2015-04-24,10.5
2015-04-27,10.05
2015-04-28,10.1
2015-04-29,10.2
2015-04-30,10.15
2015-05-04,10.25
2015-05-05,10.3
2015-05-06,10.05
2015-05-07,10.4
2015-05-08,10.55
2015-05-11,10.6
2015-05-12,10.15
2015-05-13,10.2
2015-05-14,10.15
2015-05-15,10.1
2015-05-18,10.15
2015-05-19,10.1
2015-05-20,10.15
2015-05-21,10.25
2015-05-22,10.05
2015-05-25,9.9
2015-05-26,9.8
2015-05-27,9.2
2015-05-28,9.25
2015-05-29,9.3
2015-06-01,9.25
2015-06-02,9.1
2015-06-03,8.4
2015-06-04,8.45
2015-06-05,8.65
2015-06-08,8.4
2015-06-09,8.35
2015-06-10,8.65
2015-06-11,8.2
2015-06-12,8.1
2015-06-15,8.55
2015-06-16,8.3
2015-06-17,8.4
2015-06-18,8.55
2015-06-19,8.55
2015-06-22,8.75
2015-06-23,8.8
2015-06-24,8.9
2015-06-25,8.95
2015-06-26,8.6
2015-06-29,8.45
2015-06-30,8.75
2015-07-01,8.85
2015-07-02,9.1
2015-07-03,9.15
2015-07-06,9.0
2015-07-07,10.25
2015-07-08,10.1
2015-07-09,10.25
2015-07-10,9.9
2015-07-13,10.05
2015-07-14,10.7
2015-07-15,11.0
2015-07-16,11.0
2015-07-17,10.75
2015-07-20,12.9
2015-07-21,12.1
2015-07-22,12.45
2015-07-23,12.05
2015-07-24,11.7
2015-07-27,11.3
2015-07-28,10.8
2015-07-29,11.2
2015-07-30,11.5
2015-07-31,11.3
2015-08-03,11.3
2015-08-04,11.55
2015-08-05,11.85
2015-08-06,11.8
2015-08-07,11.6
2015-08-10,11.25
2015-08-11,11.0
2015-08-12,10.0
2015-08-13,9.7
2015-08-14,9.75
2015-08-17,9.8
2015-08-18,9.7
2015-08-19,9.7
2015-08-20,9.4
2015-08-21,9.15
2015-08-24,8.1
2015-08-25,7.75
2015-08-26,8.2
2015-08-27,8.55
2015-08-28,8.55
2015-08-31,8.45
2015-09-01,8.2
2015-09-02,8.35
2015-09-03,8.3
2015-09-04,7.95
2015-09-07,7.5
2015-09-08,7.65
2015-09-09,7.85
2015-09-10,7.9
2015-09-11,8.0
2015-09-14,7.95
2015-09-15,8.2
2015-09-16,8.05
2015-09-18,8.15
2015-09-21,8.3
2015-09-22,8.3
2015-09-23,8.1
2015-09-24,8.1
2015-09-28,7.95
2015-09-29,8.1
2015-09-30,8.1
2015-10-01,8.25
2015-10-05,8.5
2015-10-06,8.6
2015-10-07,9.0
2015-10-08,8.95
2015-10-09,9.25
2015-10-12,9.3
2015-10-13,9.45
2015-10-14,9.8
2015-10-15,10.0
2015-10-16,9.8
2015-10-19,10.0
2015-10-20,10.0
2015-10-21,10.05
2015-10-23,9.55
2015-10-26,8.95
2015-10-27,9.1
2015-10-28,9.05
2015-10-29,8.9
2015-10-30,8.95
2015-11-02,8.85
2015-11-03,9.25
2015-11-04,9.05
2015-11-05,8.7
2015-11-06,8.45
2015-11-09,8.6
2015-11-10,8.45
2015-11-11,8.7
2015-11-13,8.35
2015-11-16,8.15
2015-11-17,8.35
2015-11-18,8.3
2015-11-19,8.4
2015-11-20,8.95
2015-11-23,9.35
2015-11-24,9.05
2015-11-26,9.5
2015-11-27,9.35
2015-11-30,10.3
2015-12-01,10.45
2015-12-02,11.0
2015-12-03,10.6
2015-12-04,10.2
2015-12-07,10.5
2015-12-08,10.0
2015-12-09,9.8
2015-12-10,10.0
2015-12-11,11.45
2015-12-14,11.5
2015-12-15,13.1
2015-12-16,15.0
2015-12-17,15.4
2015-12-18,14.7
2015-12-21,16.15
2015-12-22,16.9
2015-12-23,16.75
2015-12-24,15.55
2015-12-28,17.1
2015-12-29,16.9
2015-12-30,17.0
2015-12-31,16.9
