Date,ROLTA
2015-01-01,95.5
2015-01-02,97.1
2015-01-05,97.6
2015-01-06,94.05
2015-01-07,98.25
2015-01-08,103.4
2015-01-09,102.5
2015-01-12,103.05
2015-01-13,102.95
2015-01-14,102.0
2015-01-15,103.15
2015-01-16,106.35
2015-01-19,106.55
2015-01-20,104.65
2015-01-21,104.25
2015-01-22,104.2
2015-01-23,104.7
2015-01-27,110.3
2015-01-28,110.7
2015-01-29,111.2
2015-01-30,109.95
2015-02-02,110.35
2015-02-03,117.1
2015-02-04,115.65
2015-02-05,111.75
2015-02-06,108.55
2015-02-09,110.55
2015-02-10,110.95
2015-02-11,118.05
2015-02-12,123.6
2015-02-13,120.5
2015-02-16,127.85
2015-02-18,137.6
2015-02-19,138.95
2015-02-20,133.7
2015-02-23,150.65
2015-02-24,146.0
2015-02-25,146.6
2015-02-26,149.3
2015-02-27,177.25
2015-02-28,190.95
2015-03-02,186.9
2015-03-03,180.9
2015-03-04,174.3
2015-03-05,176.25
2015-03-09,166.6
2015-03-10,167.45
2015-03-11,166.5
2015-03-12,163.9
2015-03-13,168.25
2015-03-16,167.45
2015-03-17,169.5
2015-03-18,167.6
2015-03-19,163.5
2015-03-20,154.65
2015-03-23,160.3
2015-03-24,163.05
2015-03-25,159.6
2015-03-26,156.35
2015-03-27,159.05
2015-03-30,164.55
2015-03-31,162.35
2015-04-01,171.9
2015-04-06,173.45
2015-04-07,178.25
2015-04-08,175.5
2015-04-09,176.45
2015-04-10,177.4
2015-04-13,177.8
2015-04-15,174.7
2015-04-16,153.85
2015-04-17,150.0
2015-04-20,137.75
2015-04-21,142.65
2015-04-22,141.25
2015-04-23,135.9
2015-04-24,121.4
2015-04-27,110.4
2015-04-28,114.6
2015-04-29,115.7
2015-04-30,115.5
2015-05-04,123.2
2015-05-05,121.75
2015-05-06,115.3
2015-05-07,110.8
2015-05-08,112.45
2015-05-11,114.15
2015-05-12,108.95
2015-05-13,110.55
2015-05-14,111.3
2015-05-15,111.15
2015-05-18,112.55
2015-05-19,115.1
2015-05-20,120.35
2015-05-21,123.8
2015-05-22,125.1
2015-05-25,115.15
2015-05-26,112.2
2015-05-27,110.65
2015-05-28,111.4
2015-05-29,116.05
2015-06-01,115.8
2015-06-02,111.95
2015-06-03,108.55
2015-06-04,106.4
2015-06-05,107.9
2015-06-08,104.65
2015-06-09,101.65
2015-06-10,103.0
2015-06-11,102.95
2015-06-12,102.5
2015-06-15,101.85
2015-06-16,100.05
2015-06-17,100.9
2015-06-18,102.65
2015-06-19,102.4
2015-06-22,104.2
2015-06-23,106.0
2015-06-24,106.4
2015-06-25,104.05
2015-06-26,104.75
2015-06-29,100.4
2015-06-30,100.85
2015-07-01,101.65
2015-07-02,101.85
2015-07-03,100.95
2015-07-06,101.95
2015-07-07,103.3
2015-07-08,100.05
2015-07-09,100.65
2015-07-10,100.1
2015-07-13,100.25
2015-07-14,105.25
2015-07-15,108.95
2015-07-16,106.95
2015-07-17,107.4
2015-07-20,111.55
2015-07-21,110.3
2015-07-22,110.35
2015-07-23,113.1
2015-07-24,114.65
2015-07-27,111.85
2015-07-28,110.95
2015-07-29,111.95
2015-07-30,113.6
2015-07-31,113.5
2015-08-03,114.0
2015-08-04,115.3
2015-08-05,122.15
2015-08-06,126.95
2015-08-07,125.75
2015-08-10,122.1
2015-08-11,118.15
2015-08-12,114.5
2015-08-13,111.5
2015-08-14,113.7
2015-08-17,108.8
2015-08-18,109.05
2015-08-19,109.35
2015-08-20,105.55
2015-08-21,103.25
2015-08-24,90.35
2015-08-25,89.4
2015-08-26,91.3
2015-08-27,94.65
2015-08-28,95.75
2015-08-31,96.3
2015-09-01,101.45
2015-09-02,102.4
2015-09-03,102.95
2015-09-04,97.5
2015-09-07,95.0
2015-09-08,97.4
2015-09-09,100.1
2015-09-10,98.6
2015-09-11,97.75
2015-09-14,101.3
2015-09-15,99.8
2015-09-16,99.6
2015-09-18,100.55
2015-09-21,104.8
2015-09-22,101.55
2015-09-23,100.6
2015-09-24,100.5
2015-09-28,100.75
2015-09-29,101.95
2015-09-30,101.8
2015-10-01,103.15
2015-10-05,103.5
2015-10-06,105.2
2015-10-07,106.5
2015-10-08,105.5
2015-10-09,105.45
2015-10-12,106.0
2015-10-13,105.75
2015-10-14,107.2
2015-10-15,107.1
2015-10-16,106.65
2015-10-19,105.25
2015-10-20,109.55
2015-10-21,109.6
2015-10-23,107.75
2015-10-26,105.8
2015-10-27,104.9
2015-10-28,101.05
2015-10-29,100.95
2015-10-30,98.55
2015-11-02,99.0
2015-11-03,100.35
2015-11-04,100.65
2015-11-05,98.65
2015-11-06,97.8
2015-11-09,97.05
2015-11-10,93.0
2015-11-11,96.15
2015-11-13,95.1
2015-11-16,98.25
2015-11-17,96.4
2015-11-18,95.25
2015-11-19,95.75
2015-11-20,96.15
2015-11-23,97.5
2015-11-24,97.75
2015-11-26,100.3
2015-11-27,100.05
2015-11-30,101.45
2015-12-01,104.45
2015-12-02,101.85
2015-12-03,101.55
2015-12-04,99.4
2015-12-07,98.3
2015-12-08,95.4
2015-12-09,92.95
2015-12-10,93.85
2015-12-11,92.1
2015-12-14,91.7
2015-12-15,91.9
2015-12-16,92.4
2015-12-17,95.85
2015-12-18,95.35
2015-12-21,98.6
2015-12-22,96.25
2015-12-23,97.5
2015-12-24,103.05
2015-12-28,102.1
2015-12-29,100.15
2015-12-30,99.95
2015-12-31,100.4
