Date,KOTARISUG
2015-01-01,8.3
2015-01-02,8.4
2015-01-05,8.4
2015-01-06,8.3
2015-01-07,8.1
2015-01-08,8.25
2015-01-09,8.15
2015-01-12,8.2
2015-01-13,8.2
2015-01-14,7.95
2015-01-15,8.0
2015-01-16,8.15
2015-01-19,7.9
2015-01-20,8.0
2015-01-21,7.8
2015-01-22,7.85
2015-01-23,7.85
2015-01-27,7.95
2015-01-28,7.85
2015-01-29,7.75
2015-01-30,7.7
2015-02-02,7.65
2015-02-03,7.85
2015-02-04,7.65
2015-02-05,7.85
2015-02-06,7.8
2015-02-09,7.55
2015-02-10,7.35
2015-02-11,7.15
2015-02-12,7.25
2015-02-13,7.1
2015-02-16,7.35
2015-02-18,7.4
2015-02-19,7.25
2015-02-20,7.35
2015-02-23,7.25
2015-02-24,7.25
2015-02-25,7.1
2015-02-26,7.1
2015-02-27,7.1
2015-02-28,7.1
2015-03-02,7.05
2015-03-03,7.2
2015-03-04,7.05
2015-03-05,7.25
2015-03-09,7.0
2015-03-10,7.15
2015-03-11,6.9
2015-03-12,7.1
2015-03-13,7.0
2015-03-16,6.6
2015-03-17,6.6
2015-03-18,6.7
2015-03-19,6.75
2015-03-20,6.75
2015-03-23,6.45
2015-03-24,6.35
2015-03-25,6.1
2015-03-26,6.1
2015-03-27,6.2
2015-03-30,6.05
2015-03-31,6.15
2015-04-01,6.45
2015-04-06,6.65
2015-04-07,6.25
2015-04-08,6.55
2015-04-09,6.8
2015-04-10,6.7
2015-04-13,6.85
2015-04-15,6.95
2015-04-16,6.9
2015-04-17,6.6
2015-04-20,6.85
2015-04-21,6.8
2015-04-22,6.75
2015-04-23,6.55
2015-04-24,6.65
2015-04-27,6.35
2015-04-28,6.6
2015-04-29,6.45
2015-04-30,6.6
2015-05-04,6.6
2015-05-05,6.3
2015-05-06,6.3
2015-05-07,6.15
2015-05-08,6.3
2015-05-11,6.3
2015-05-12,6.2
2015-05-13,6.2
2015-05-14,6.2
2015-05-15,6.3
2015-05-18,6.2
2015-05-19,6.15
2015-05-20,6.2
2015-05-21,6.1
2015-05-22,6.3
2015-05-25,6.2
2015-05-26,6.25
2015-05-27,6.35
2015-05-28,6.15
2015-05-29,6.1
2015-06-01,6.1
2015-06-02,6.1
2015-06-03,6.0
2015-06-04,5.7
2015-06-05,5.7
2015-06-08,5.65
2015-06-09,5.6
2015-06-10,5.65
2015-06-11,5.6
2015-06-12,5.45
2015-06-15,5.65
2015-06-16,5.5
2015-06-17,5.25
2015-06-18,5.35
2015-06-19,5.5
2015-06-22,5.45
2015-06-23,5.3
2015-06-24,5.3
2015-06-25,5.4
2015-06-26,5.3
2015-06-29,5.3
2015-06-30,5.35
2015-07-01,5.35
2015-07-02,5.35
2015-07-03,5.35
2015-07-06,5.55
2015-07-07,5.4
2015-07-08,5.4
2015-07-09,5.45
2015-07-10,5.55
2015-07-13,5.5
2015-07-14,5.55
2015-07-15,5.5
2015-07-16,5.55
2015-07-17,5.75
2015-07-20,5.75
2015-07-21,5.6
2015-07-22,5.75
2015-07-23,5.6
2015-07-24,5.6
2015-07-27,5.65
2015-07-28,6.3
2015-07-29,5.95
2015-07-30,5.75
2015-07-31,5.8
2015-08-03,6.25
2015-08-04,6.45
2015-08-05,6.55
2015-08-06,6.7
2015-08-07,6.5
2015-08-10,6.6
2015-08-11,6.75
2015-08-12,6.95
2015-08-13,6.9
2015-08-14,6.5
2015-08-17,6.4
2015-08-18,6.25
2015-08-19,6.2
2015-08-20,6.15
2015-08-21,5.9
2015-08-24,5.9
2015-08-25,5.85
2015-08-26,5.8
2015-08-27,5.9
2015-08-28,5.8
2015-08-31,5.7
2015-09-01,6.15
2015-09-02,6.0
2015-09-03,6.2
2015-09-04,5.85
2015-09-07,6.1
2015-09-08,6.25
2015-09-09,6.25
2015-09-10,5.9
2015-09-11,6.2
2015-09-14,5.9
2015-09-15,6.2
2015-09-16,5.65
2015-09-18,5.75
2015-09-21,5.9
2015-09-22,5.65
2015-09-23,5.9
2015-09-24,5.6
2015-09-28,5.55
2015-09-29,5.6
2015-09-30,5.85
2015-10-01,5.65
2015-10-05,5.75
2015-10-06,6.25
2015-10-07,6.6
2015-10-08,6.85
2015-10-09,6.85
2015-10-12,6.9
2015-10-13,7.0
2015-10-14,7.15
2015-10-15,7.05
2015-10-16,7.45
2015-10-19,7.65
2015-10-20,8.0
2015-10-21,8.25
2015-10-23,8.25
2015-10-26,7.9
2015-10-27,7.8
2015-10-28,7.6
2015-10-29,7.45
2015-10-30,7.2
2015-11-02,7.2
2015-11-03,7.05
2015-11-04,7.3
2015-11-05,7.45
2015-11-06,7.35
2015-11-09,7.8
2015-11-10,8.0
2015-11-11,8.6
2015-11-13,9.1
2015-11-16,10.9
2015-11-17,11.85
2015-11-18,12.0
2015-11-19,10.8
2015-11-20,10.7
2015-11-23,10.1
2015-11-24,10.1
2015-11-26,9.8
2015-11-27,9.55
2015-11-30,9.55
2015-12-01,8.95
2015-12-02,9.5
2015-12-03,9.75
2015-12-04,9.5
2015-12-07,9.95
2015-12-08,9.8
2015-12-09,8.95
2015-12-10,9.4
2015-12-11,8.85
2015-12-14,9.15
2015-12-15,9.9
2015-12-16,9.55
2015-12-17,10.0
2015-12-18,9.8
2015-12-21,9.8
2015-12-22,10.45
2015-12-23,10.2
2015-12-24,10.2
2015-12-28,9.9
2015-12-29,9.75
2015-12-30,9.8
2015-12-31,9.55
