Date,TALBROAUTO
2015-01-01,110.25
2015-01-02,107.0
2015-01-05,105.2
2015-01-06,100.1
2015-01-07,100.95
2015-01-08,102.3
2015-01-09,100.85
2015-01-12,121.0
2015-01-13,113.65
2015-01-14,108.05
2015-01-15,110.35
2015-01-16,113.0
2015-01-19,116.3
2015-01-20,117.25
2015-01-21,114.15
2015-01-22,114.95
2015-01-23,113.65
2015-01-27,113.9
2015-01-28,110.6
2015-01-29,113.1
2015-01-30,114.15
2015-02-02,114.95
2015-02-03,114.25
2015-02-04,113.0
2015-02-05,114.8
2015-02-06,107.7
2015-02-09,108.15
2015-02-10,108.8
2015-02-11,111.4
2015-02-12,114.05
2015-02-13,114.75
2015-02-16,113.0
2015-02-18,114.85
2015-02-19,114.6
2015-02-20,121.5
2015-02-23,118.25
2015-02-24,116.35
2015-02-25,114.9
2015-02-26,112.8
2015-02-27,122.95
2015-02-28,147.5
2015-03-02,153.35
2015-03-03,150.8
2015-03-04,148.25
2015-03-05,154.2
2015-03-09,152.4
2015-03-10,154.3
2015-03-11,153.55
2015-03-12,154.5
2015-03-13,154.25
2015-03-16,146.5
2015-03-17,143.15
2015-03-18,152.4
2015-03-19,149.45
2015-03-20,140.75
2015-03-23,136.2
2015-03-24,138.9
2015-03-25,135.15
2015-03-26,131.7
2015-03-27,129.85
2015-03-30,135.4
2015-03-31,140.95
2015-04-01,145.65
2015-04-06,151.6
2015-04-07,155.45
2015-04-08,151.5
2015-04-09,149.2
2015-04-10,150.4
2015-04-13,153.8
2015-04-15,160.2
2015-04-16,158.25
2015-04-17,153.6
2015-04-20,150.35
2015-04-21,146.45
2015-04-22,141.85
2015-04-23,138.0
2015-04-24,134.55
2015-04-27,128.85
2015-04-28,129.6
2015-04-29,131.85
2015-04-30,127.15
2015-05-04,132.65
2015-05-05,136.15
2015-05-06,130.75
2015-05-07,126.65
2015-05-08,131.2
2015-05-11,131.35
2015-05-12,130.0
2015-05-13,127.65
2015-05-14,129.3
2015-05-15,130.2
2015-05-18,132.25
2015-05-19,133.05
2015-05-20,145.9
2015-05-21,146.4
2015-05-22,141.75
2015-05-25,131.5
2015-05-26,130.35
2015-05-27,130.75
2015-05-28,130.75
2015-05-29,133.25
2015-06-01,131.2
2015-06-02,128.4
2015-06-03,120.0
2015-06-04,118.45
2015-06-05,117.65
2015-06-08,117.85
2015-06-09,114.75
2015-06-10,117.25
2015-06-11,114.1
2015-06-12,105.7
2015-06-15,109.7
2015-06-16,108.45
2015-06-17,109.8
2015-06-18,113.75
2015-06-19,112.0
2015-06-22,113.45
2015-06-23,113.05
2015-06-24,113.25
2015-06-25,108.75
2015-06-26,109.75
2015-06-29,105.65
2015-06-30,109.7
2015-07-01,112.9
2015-07-02,117.4
2015-07-03,130.35
2015-07-06,133.75
2015-07-07,136.4
2015-07-08,127.5
2015-07-09,132.75
2015-07-10,136.65
2015-07-13,135.5
2015-07-14,130.85
2015-07-15,130.95
2015-07-16,131.45
2015-07-17,130.9
2015-07-20,132.7
2015-07-21,127.9
2015-07-22,129.25
2015-07-23,131.25
2015-07-24,132.55
2015-07-27,136.65
2015-07-28,146.45
2015-07-29,164.45
2015-07-30,161.75
2015-07-31,160.15
2015-08-03,156.55
2015-08-04,156.65
2015-08-05,164.65
2015-08-06,160.1
2015-08-07,158.15
2015-08-10,154.2
2015-08-11,143.85
2015-08-12,137.85
2015-08-13,129.6
2015-08-14,134.3
2015-08-17,129.6
2015-08-18,131.45
2015-08-19,146.55
2015-08-20,137.6
2015-08-21,133.8
2015-08-24,115.65
2015-08-25,116.8
2015-08-26,116.25
2015-08-27,120.4
2015-08-28,121.9
2015-08-31,120.5
2015-09-01,112.95
2015-09-02,113.1
2015-09-03,113.65
2015-09-04,109.6
2015-09-07,104.4
2015-09-08,102.0
2015-09-09,119.2
2015-09-10,118.1
2015-09-11,117.05
2015-09-14,117.15
2015-09-15,113.8
2015-09-16,114.75
2015-09-18,117.05
2015-09-21,120.8
2015-09-22,119.4
2015-09-23,118.4
2015-09-24,118.8
2015-09-28,117.55
2015-09-29,116.25
2015-09-30,113.95
2015-10-01,114.6
2015-10-05,121.2
2015-10-06,121.45
2015-10-07,122.25
2015-10-08,127.15
2015-10-09,127.95
2015-10-12,127.95
2015-10-13,125.5
2015-10-14,124.8
2015-10-15,133.85
2015-10-16,126.7
2015-10-19,125.4
2015-10-20,122.0
2015-10-21,122.8
2015-10-23,124.7
2015-10-26,124.65
2015-10-27,127.0
2015-10-28,124.0
2015-10-29,122.05
2015-10-30,118.05
2015-11-02,120.0
2015-11-03,120.0
2015-11-04,119.5
2015-11-05,118.15
2015-11-06,115.05
2015-11-09,115.5
2015-11-10,112.15
2015-11-11,114.35
2015-11-13,115.85
2015-11-16,116.9
2015-11-17,115.0
2015-11-18,114.0
2015-11-19,118.7
2015-11-20,121.05
2015-11-23,124.05
2015-11-24,125.8
2015-11-26,123.7
2015-11-27,122.7
2015-11-30,123.25
2015-12-01,126.05
2015-12-02,122.9
2015-12-03,120.35
2015-12-04,118.2
2015-12-07,116.3
2015-12-08,114.05
2015-12-09,132.9
2015-12-10,126.7
2015-12-11,124.1
2015-12-14,121.7
2015-12-15,123.0
2015-12-16,125.25
2015-12-17,124.15
2015-12-18,123.5
2015-12-21,124.5
2015-12-22,123.8
2015-12-23,124.4
2015-12-24,124.45
2015-12-28,124.8
2015-12-29,124.85
2015-12-30,122.15
2015-12-31,123.6
