Date,SUBROS
2015-01-01,67.3
2015-01-02,69.25
2015-01-05,67.6
2015-01-06,65.2
2015-01-07,65.5
2015-01-08,66.4
2015-01-09,70.05
2015-01-12,70.9
2015-01-13,70.0
2015-01-14,68.05
2015-01-15,70.15
2015-01-16,68.8
2015-01-19,75.45
2015-01-20,74.15
2015-01-21,72.75
2015-01-22,71.15
2015-01-23,69.35
2015-01-27,71.1
2015-01-28,71.15
2015-01-29,69.45
2015-01-30,67.9
2015-02-02,67.1
2015-02-03,73.7
2015-02-04,74.45
2015-02-05,72.1
2015-02-06,69.9
2015-02-09,68.15
2015-02-10,67.55
2015-02-11,69.65
2015-02-12,69.75
2015-02-13,68.9
2015-02-16,66.25
2015-02-18,65.95
2015-02-19,66.25
2015-02-20,65.65
2015-02-23,65.8
2015-02-24,63.7
2015-02-25,62.7
2015-02-26,61.65
2015-02-27,61.8
2015-02-28,60.45
2015-03-02,62.4
2015-03-03,63.25
2015-03-04,61.65
2015-03-05,62.0
2015-03-09,61.45
2015-03-10,62.05
2015-03-11,62.95
2015-03-12,61.3
2015-03-13,59.4
2015-03-16,57.6
2015-03-17,57.9
2015-03-18,57.75
2015-03-19,57.5
2015-03-20,55.65
2015-03-23,53.45
2015-03-24,53.85
2015-03-25,54.45
2015-03-26,56.8
2015-03-27,55.5
2015-03-30,57.6
2015-03-31,56.8
2015-04-01,58.15
2015-04-06,59.0
2015-04-07,60.4
2015-04-08,62.55
2015-04-09,61.4
2015-04-10,65.05
2015-04-13,69.4
2015-04-15,69.45
2015-04-16,67.65
2015-04-17,69.5
2015-04-20,66.85
2015-04-21,66.5
2015-04-22,65.0
2015-04-23,66.7
2015-04-24,63.65
2015-04-27,59.5
2015-04-28,61.05
2015-04-29,62.9
2015-04-30,64.8
2015-05-04,64.85
2015-05-05,64.0
2015-05-06,61.8
2015-05-07,59.1
2015-05-08,61.0
2015-05-11,61.75
2015-05-12,59.25
2015-05-13,60.65
2015-05-14,62.95
2015-05-15,60.35
2015-05-18,59.8
2015-05-19,60.85
2015-05-20,62.3
2015-05-21,62.15
2015-05-22,61.3
2015-05-25,59.8
2015-05-26,59.45
2015-05-27,59.15
2015-05-28,58.4
2015-05-29,58.3
2015-06-01,58.65
2015-06-02,57.75
2015-06-03,55.15
2015-06-04,55.15
2015-06-05,55.2
2015-06-08,54.05
2015-06-09,53.15
2015-06-10,54.1
2015-06-11,53.1
2015-06-12,52.4
2015-06-15,52.1
2015-06-16,51.8
2015-06-17,52.8
2015-06-18,55.05
2015-06-19,56.3
2015-06-22,55.85
2015-06-23,56.7
2015-06-24,61.2
2015-06-25,59.7
2015-06-26,60.0
2015-06-29,59.9
2015-06-30,60.05
2015-07-01,60.7
2015-07-02,60.0
2015-07-03,59.95
2015-07-06,60.75
2015-07-07,64.7
2015-07-08,64.05
2015-07-09,64.35
2015-07-10,65.7
2015-07-13,65.0
2015-07-14,65.75
2015-07-15,69.45
2015-07-16,75.25
2015-07-17,76.7
2015-07-20,73.8
2015-07-21,73.45
2015-07-22,75.9
2015-07-23,80.85
2015-07-24,80.2
2015-07-27,78.8
2015-07-28,74.3
2015-07-29,87.7
2015-07-30,95.65
2015-07-31,99.05
2015-08-03,99.45
2015-08-04,97.05
2015-08-05,97.5
2015-08-06,94.3
2015-08-07,96.95
2015-08-10,95.95
2015-08-11,94.65
2015-08-12,90.3
2015-08-13,87.1
2015-08-14,88.6
2015-08-17,90.3
2015-08-18,96.5
2015-08-19,94.7
2015-08-20,90.3
2015-08-21,88.75
2015-08-24,75.7
2015-08-25,75.6
2015-08-26,75.9
2015-08-27,78.95
2015-08-28,78.2
2015-08-31,78.05
2015-09-01,75.75
2015-09-02,80.6
2015-09-03,85.1
2015-09-04,79.9
2015-09-07,77.5
2015-09-08,77.3
2015-09-09,77.85
2015-09-10,78.5
2015-09-11,77.7
2015-09-14,78.15
2015-09-15,78.85
2015-09-16,76.55
2015-09-18,81.05
2015-09-21,79.9
2015-09-22,79.3
2015-09-23,78.45
2015-09-24,79.6
2015-09-28,79.85
2015-09-29,78.6
2015-09-30,77.75
2015-10-01,76.4
2015-10-05,77.65
2015-10-06,77.55
2015-10-07,77.55
2015-10-08,76.6
2015-10-09,76.45
2015-10-12,76.6
2015-10-13,81.8
2015-10-14,84.85
2015-10-15,86.55
2015-10-16,88.15
2015-10-19,90.6
2015-10-20,89.45
2015-10-21,88.1
2015-10-23,90.3
2015-10-26,91.1
2015-10-27,92.3
2015-10-28,91.95
2015-10-29,89.3
2015-10-30,88.85
2015-11-02,84.6
2015-11-03,83.3
2015-11-04,86.0
2015-11-05,83.05
2015-11-06,83.9
2015-11-09,83.45
2015-11-10,81.65
2015-11-11,84.3
2015-11-13,86.75
2015-11-16,85.1
2015-11-17,84.75
2015-11-18,84.6
2015-11-19,84.6
2015-11-20,82.7
2015-11-23,89.4
2015-11-24,87.8
2015-11-26,93.05
2015-11-27,92.3
2015-11-30,92.7
2015-12-01,100.65
2015-12-02,96.7
2015-12-03,99.15
2015-12-04,97.95
2015-12-07,99.0
2015-12-08,94.05
2015-12-09,91.25
2015-12-10,93.0
2015-12-11,92.1
2015-12-14,93.55
2015-12-15,95.0
2015-12-16,95.9
2015-12-17,99.95
2015-12-18,105.2
2015-12-21,109.35
2015-12-22,108.9
2015-12-23,108.65
2015-12-24,114.3
2015-12-28,115.3
2015-12-29,110.7
2015-12-30,109.3
2015-12-31,109.2
