Date,BRFL
2015-01-01,133.85
2015-01-02,131.1
2015-01-05,132.7
2015-01-06,128.9
2015-01-07,125.45
2015-01-08,125.15
2015-01-09,125.15
2015-01-12,127.1
2015-01-13,137.4
2015-01-14,137.75
2015-01-15,133.45
2015-01-16,132.25
2015-01-19,130.4
2015-01-20,129.5
2015-01-21,129.0
2015-01-22,130.55
2015-01-23,128.0
2015-01-27,127.75
2015-01-28,124.75
2015-01-29,127.95
2015-01-30,128.2
2015-02-02,125.5
2015-02-03,131.15
2015-02-04,131.8
2015-02-05,134.4
2015-02-06,127.45
2015-02-09,122.75
2015-02-10,130.9
2015-02-11,128.0
2015-02-12,126.85
2015-02-13,127.85
2015-02-16,126.5
2015-02-18,123.65
2015-02-19,133.65
2015-02-20,131.5
2015-02-23,147.35
2015-02-24,147.05
2015-02-25,146.45
2015-02-26,142.55
2015-02-27,140.7
2015-02-28,141.95
2015-03-02,138.0
2015-03-03,137.85
2015-03-04,131.4
2015-03-05,129.25
2015-03-09,129.7
2015-03-10,128.05
2015-03-11,127.4
2015-03-12,127.8
2015-03-13,126.6
2015-03-16,127.4
2015-03-17,124.35
2015-03-18,123.05
2015-03-19,121.45
2015-03-20,117.0
2015-03-23,115.75
2015-03-24,131.2
2015-03-25,135.05
2015-03-26,131.1
2015-03-27,137.85
2015-03-30,146.7
2015-03-31,151.4
2015-04-01,144.3
2015-04-06,141.25
2015-04-07,139.55
2015-04-08,139.15
2015-04-09,139.1
2015-04-10,140.15
2015-04-13,137.8
2015-04-15,135.75
2015-04-16,135.0
2015-04-17,137.95
2015-04-20,134.6
2015-04-21,136.6
2015-04-22,135.3
2015-04-23,133.95
2015-04-24,130.4
2015-04-27,124.75
2015-04-28,126.4
2015-04-29,126.1
2015-04-30,124.25
2015-05-04,123.45
2015-05-05,124.55
2015-05-06,123.2
2015-05-07,122.8
2015-05-08,125.9
2015-05-11,126.8
2015-05-12,123.5
2015-05-13,123.45
2015-05-14,122.25
2015-05-15,127.2
2015-05-18,127.95
2015-05-19,124.6
2015-05-20,124.8
2015-05-21,126.05
2015-05-22,126.9
2015-05-25,128.8
2015-05-26,128.95
2015-05-27,127.5
2015-05-28,127.95
2015-05-29,126.95
2015-06-01,122.45
2015-06-02,121.7
2015-06-03,119.0
2015-06-04,118.0
2015-06-05,119.5
2015-06-08,117.6
2015-06-09,116.4
2015-06-10,121.3
2015-06-11,117.2
2015-06-12,117.95
2015-06-15,120.25
2015-06-16,117.5
2015-06-17,122.9
2015-06-18,129.95
2015-06-19,128.4
2015-06-22,137.5
2015-06-23,146.0
2015-06-24,145.6
2015-06-25,143.0
2015-06-26,140.75
2015-06-29,134.7
2015-06-30,141.15
2015-07-01,140.25
2015-07-02,138.55
2015-07-03,139.3
2015-07-06,139.5
2015-07-07,137.7
2015-07-08,142.1
2015-07-09,139.45
2015-07-10,136.05
2015-07-13,138.45
2015-07-14,138.15
2015-07-15,137.95
2015-07-16,136.95
2015-07-17,135.05
2015-07-20,137.15
2015-07-21,134.05
2015-07-22,130.85
2015-07-23,131.5
2015-07-24,131.55
2015-07-27,130.0
2015-07-28,129.05
2015-07-29,132.95
2015-07-30,134.45
2015-07-31,133.0
2015-08-03,131.35
2015-08-04,139.2
2015-08-05,142.45
2015-08-06,135.95
2015-08-07,140.85
2015-08-10,135.05
2015-08-11,132.95
2015-08-12,129.3
2015-08-13,129.0
2015-08-14,130.0
2015-08-17,131.7
2015-08-18,135.0
2015-08-19,135.5
2015-08-20,132.0
2015-08-21,132.95
2015-08-24,119.25
2015-08-25,123.85
2015-08-26,120.65
2015-08-27,121.45
2015-08-28,119.3
2015-08-31,119.65
2015-09-01,117.75
2015-09-02,118.15
2015-09-03,118.9
2015-09-04,112.05
2015-09-07,115.8
2015-09-08,126.4
2015-09-09,124.7
2015-09-10,121.6
2015-09-11,125.85
2015-09-14,123.1
2015-09-15,123.4
2015-09-16,124.45
2015-09-18,122.5
2015-09-21,123.0
2015-09-22,120.0
2015-09-23,120.95
2015-09-24,118.75
2015-09-28,117.15
2015-09-29,117.4
2015-09-30,120.85
2015-10-01,118.4
2015-10-05,124.0
2015-10-06,134.5
2015-10-07,148.0
2015-10-08,154.45
2015-10-09,150.85
2015-10-12,154.0
2015-10-13,159.75
2015-10-14,161.25
2015-10-15,159.55
2015-10-16,161.85
2015-10-19,161.5
2015-10-20,172.1
2015-10-21,172.0
2015-10-23,170.65
2015-10-26,168.2
2015-10-27,167.0
2015-10-28,164.3
2015-10-29,160.35
2015-10-30,161.55
2015-11-02,160.2
2015-11-03,161.9
2015-11-04,159.1
2015-11-05,158.55
2015-11-06,163.35
2015-11-09,157.25
2015-11-10,155.0
2015-11-11,163.85
2015-11-13,161.5
2015-11-16,161.3
2015-11-17,158.45
2015-11-18,161.45
2015-11-19,165.25
2015-11-20,185.7
2015-11-23,192.45
2015-11-24,191.45
2015-11-26,186.0
2015-11-27,199.9
2015-11-30,198.85
2015-12-01,192.8
2015-12-02,188.1
2015-12-03,191.05
2015-12-04,188.8
2015-12-07,190.05
2015-12-08,185.85
2015-12-09,183.95
2015-12-10,188.4
2015-12-11,177.95
2015-12-14,181.6
2015-12-15,176.65
2015-12-16,178.35
2015-12-17,180.9
2015-12-18,177.4
2015-12-21,180.8
2015-12-22,178.45
2015-12-23,178.15
2015-12-24,179.2
2015-12-28,180.4
2015-12-29,180.95
2015-12-30,180.5
2015-12-31,179.0
