Date,RAMKY
2015-01-01,47.3
2015-01-02,48.6
2015-01-05,50.55
2015-01-06,48.2
2015-01-07,46.85
2015-01-08,48.2
2015-01-09,47.3
2015-01-12,47.65
2015-01-13,47.6
2015-01-14,46.7
2015-01-15,48.1
2015-01-16,47.75
2015-01-19,53.1
2015-01-20,51.1
2015-01-21,50.65
2015-01-22,50.4
2015-01-23,49.0
2015-01-27,50.25
2015-01-28,48.65
2015-01-29,48.6
2015-01-30,49.55
2015-02-02,50.45
2015-02-03,49.6
2015-02-04,48.4
2015-02-05,48.1
2015-02-06,46.55
2015-02-09,45.55
2015-02-10,46.05
2015-02-11,46.75
2015-02-12,47.25
2015-02-13,46.9
2015-02-16,47.15
2015-02-18,48.05
2015-02-19,47.8
2015-02-20,47.6
2015-02-23,47.0
2015-02-24,47.1
2015-02-25,46.6
2015-02-26,46.1
2015-02-27,47.2
2015-02-28,45.95
2015-03-02,47.2
2015-03-03,47.2
2015-03-04,46.25
2015-03-05,46.1
2015-03-09,44.45
2015-03-10,42.45
2015-03-11,42.65
2015-03-12,42.1
2015-03-13,40.35
2015-03-16,38.55
2015-03-17,38.35
2015-03-18,39.45
2015-03-19,39.25
2015-03-20,38.35
2015-03-23,37.3
2015-03-24,34.75
2015-03-25,34.45
2015-03-26,33.95
2015-03-27,31.6
2015-03-30,32.65
2015-03-31,39.15
2015-04-01,41.75
2015-04-06,44.9
2015-04-07,43.25
2015-04-08,42.75
2015-04-09,40.9
2015-04-10,41.4
2015-04-13,40.55
2015-04-15,40.25
2015-04-16,39.65
2015-04-17,38.7
2015-04-20,36.75
2015-04-21,36.65
2015-04-22,36.65
2015-04-23,36.35
2015-04-24,34.95
2015-04-27,32.95
2015-04-28,33.7
2015-04-29,35.45
2015-04-30,35.4
2015-05-04,36.4
2015-05-05,36.05
2015-05-06,35.3
2015-05-07,34.45
2015-05-08,34.95
2015-05-11,35.5
2015-05-12,35.05
2015-05-13,35.05
2015-05-14,34.6
2015-05-15,35.25
2015-05-18,35.2
2015-05-19,34.8
2015-05-20,34.0
2015-05-21,33.8
2015-05-22,33.4
2015-05-25,33.45
2015-05-26,32.95
2015-05-27,32.45
2015-05-28,32.8
2015-05-29,33.1
2015-06-01,32.65
2015-06-02,32.1
2015-06-03,30.05
2015-06-04,29.3
2015-06-05,29.9
2015-06-08,29.9
2015-06-09,29.05
2015-06-10,29.75
2015-06-11,29.05
2015-06-12,28.75
2015-06-15,29.35
2015-06-16,29.65
2015-06-17,35.55
2015-06-18,35.2
2015-06-19,33.45
2015-06-22,34.1
2015-06-23,33.55
2015-06-24,33.0
2015-06-25,32.0
2015-06-26,31.95
2015-06-29,30.85
2015-06-30,31.15
2015-07-01,31.5
2015-07-02,31.6
2015-07-03,31.0
2015-07-06,33.4
2015-07-07,33.35
2015-07-08,33.5
2015-07-09,34.5
2015-07-10,34.05
2015-07-13,34.35
2015-07-14,35.3
2015-07-15,35.75
2015-07-16,35.55
2015-07-17,34.6
2015-07-20,34.8
2015-07-21,34.05
2015-07-22,34.75
2015-07-23,34.25
2015-07-24,33.1
2015-07-27,32.5
2015-07-28,31.6
2015-07-29,31.2
2015-07-30,32.15
2015-07-31,32.1
2015-08-03,32.8
2015-08-04,33.25
2015-08-05,33.85
2015-08-06,33.6
2015-08-07,33.75
2015-08-10,33.0
2015-08-11,32.3
2015-08-12,31.85
2015-08-13,32.05
2015-08-14,32.15
2015-08-17,31.15
2015-08-18,31.3
2015-08-19,31.15
2015-08-20,29.6
2015-08-21,29.45
2015-08-24,26.65
2015-08-25,26.6
2015-08-26,26.65
2015-08-27,27.55
2015-08-28,27.35
2015-08-31,27.8
2015-09-01,27.35
2015-09-02,27.3
2015-09-03,27.65
2015-09-04,26.0
2015-09-07,25.6
2015-09-08,26.0
2015-09-09,27.45
2015-09-10,26.6
2015-09-11,27.25
2015-09-14,27.3
2015-09-15,27.7
2015-09-16,27.85
2015-09-18,28.45
2015-09-21,28.95
2015-09-22,27.2
2015-09-23,27.7
2015-09-24,27.45
2015-09-28,29.15
2015-09-29,29.0
2015-09-30,28.95
2015-10-01,28.75
2015-10-05,28.95
2015-10-06,29.15
2015-10-07,30.2
2015-10-08,30.3
2015-10-09,29.65
2015-10-12,30.5
2015-10-13,30.05
2015-10-14,30.85
2015-10-15,30.45
2015-10-16,30.3
2015-10-19,30.85
2015-10-20,30.75
2015-10-21,31.3
2015-10-23,29.9
2015-10-26,30.1
2015-10-27,29.85
2015-10-28,30.0
2015-10-29,29.4
2015-10-30,29.35
2015-11-02,29.1
2015-11-03,28.85
2015-11-04,28.95
2015-11-05,28.45
2015-11-06,27.75
2015-11-09,27.95
2015-11-10,27.55
2015-11-11,28.4
2015-11-13,29.15
2015-11-16,28.7
2015-11-17,28.85
2015-11-18,28.7
2015-11-19,28.95
2015-11-20,29.25
2015-11-23,28.95
2015-11-24,29.5
2015-11-26,29.45
2015-11-27,29.9
2015-11-30,35.85
2015-12-01,36.7
2015-12-02,36.55
2015-12-03,36.1
2015-12-04,34.55
2015-12-07,34.1
2015-12-08,31.45
2015-12-09,30.65
2015-12-10,31.45
2015-12-11,30.4
2015-12-14,31.2
2015-12-15,31.3
2015-12-16,30.5
2015-12-17,30.3
2015-12-18,30.4
2015-12-21,32.25
2015-12-22,36.95
2015-12-23,35.7
2015-12-24,34.45
2015-12-28,35.2
2015-12-29,33.7
2015-12-30,33.2
2015-12-31,32.65
