Date,IL&FSENGG
2015-01-01,61.85
2015-01-02,61.7
2015-01-05,61.35
2015-01-06,59.1
2015-01-07,58.35
2015-01-08,61.0
2015-01-09,59.95
2015-01-12,59.6
2015-01-13,59.45
2015-01-14,59.3
2015-01-15,60.75
2015-01-16,59.9
2015-01-19,60.8
2015-01-20,61.65
2015-01-21,60.3
2015-01-22,58.6
2015-01-23,58.55
2015-01-27,58.75
2015-01-28,59.2
2015-01-29,59.0
2015-01-30,59.8
2015-02-02,59.6
2015-02-03,59.6
2015-02-04,63.25
2015-02-05,60.85
2015-02-06,59.6
2015-02-09,57.85
2015-02-10,57.95
2015-02-11,59.35
2015-02-12,71.2
2015-02-13,74.8
2015-02-16,81.15
2015-02-18,97.35
2015-02-19,92.9
2015-02-20,98.35
2015-02-23,108.15
2015-02-24,107.4
2015-02-25,103.95
2015-02-26,103.45
2015-02-27,105.05
2015-02-28,100.7
2015-03-02,110.25
2015-03-03,109.65
2015-03-04,107.3
2015-03-05,106.5
2015-03-09,102.65
2015-03-10,100.9
2015-03-11,97.0
2015-03-12,96.85
2015-03-13,91.2
2015-03-16,86.25
2015-03-17,92.65
2015-03-18,90.75
2015-03-19,89.5
2015-03-20,85.9
2015-03-23,86.4
2015-03-24,85.1
2015-03-25,80.95
2015-03-26,78.9
2015-03-27,84.9
2015-03-30,89.25
2015-03-31,87.8
2015-04-01,91.2
2015-04-06,93.5
2015-04-07,92.6
2015-04-08,91.8
2015-04-09,102.75
2015-04-10,98.15
2015-04-13,99.05
2015-04-15,96.0
2015-04-16,92.25
2015-04-17,93.45
2015-04-20,87.85
2015-04-21,85.3
2015-04-22,85.35
2015-04-23,87.45
2015-04-24,84.95
2015-04-27,81.45
2015-04-28,85.25
2015-04-29,87.1
2015-04-30,88.15
2015-05-04,90.2
2015-05-05,90.35
2015-05-06,84.85
2015-05-07,84.05
2015-05-08,85.9
2015-05-11,86.2
2015-05-12,84.1
2015-05-13,84.8
2015-05-14,84.25
2015-05-15,84.55
2015-05-18,87.9
2015-05-19,89.4
2015-05-20,88.2
2015-05-21,86.8
2015-05-22,87.8
2015-05-25,86.5
2015-05-26,86.2
2015-05-27,87.3
2015-05-28,89.75
2015-05-29,89.5
2015-06-01,78.15
2015-06-02,76.75
2015-06-03,74.25
2015-06-04,73.9
2015-06-05,72.85
2015-06-08,72.4
2015-06-09,69.55
2015-06-10,70.05
2015-06-11,68.3
2015-06-12,67.85
2015-06-15,69.1
2015-06-16,72.2
2015-06-17,72.35
2015-06-18,72.95
2015-06-19,73.15
2015-06-22,73.7
2015-06-23,74.05
2015-06-24,73.6
2015-06-25,75.6
2015-06-26,75.25
2015-06-29,73.7
2015-06-30,73.6
2015-07-01,77.35
2015-07-02,88.05
2015-07-03,83.3
2015-07-06,84.7
2015-07-07,83.9
2015-07-08,83.15
2015-07-09,86.3
2015-07-10,86.6
2015-07-13,88.45
2015-07-14,89.2
2015-07-15,85.6
2015-07-16,85.8
2015-07-17,84.15
2015-07-20,84.45
2015-07-21,81.05
2015-07-22,82.4
2015-07-23,81.3
2015-07-24,81.35
2015-07-27,80.1
2015-07-28,79.85
2015-07-29,80.55
2015-07-30,86.45
2015-07-31,85.55
2015-08-03,85.25
2015-08-04,83.7
2015-08-05,83.85
2015-08-06,83.9
2015-08-07,83.55
2015-08-10,82.1
2015-08-11,81.5
2015-08-12,78.75
2015-08-13,78.15
2015-08-14,75.75
2015-08-17,71.85
2015-08-18,72.15
2015-08-19,73.7
2015-08-20,71.05
2015-08-21,69.05
2015-08-24,58.4
2015-08-25,63.4
2015-08-26,61.6
2015-08-27,65.35
2015-08-28,63.0
2015-08-31,63.25
2015-09-01,61.85
2015-09-02,63.1
2015-09-03,63.55
2015-09-04,61.15
2015-09-07,60.1
2015-09-08,60.0
2015-09-09,63.55
2015-09-10,67.65
2015-09-11,66.3
2015-09-14,65.55
2015-09-15,65.75
2015-09-16,65.9
2015-09-18,66.55
2015-09-21,67.25
2015-09-22,67.4
2015-09-23,67.15
2015-09-24,68.0
2015-09-28,66.4
2015-09-29,67.15
2015-09-30,67.5
2015-10-01,67.85
2015-10-05,67.65
2015-10-06,69.55
2015-10-07,71.6
2015-10-08,70.75
2015-10-09,71.8
2015-10-12,74.1
2015-10-13,77.65
2015-10-14,79.55
2015-10-15,75.5
2015-10-16,74.5
2015-10-19,73.75
2015-10-20,72.35
2015-10-21,72.0
2015-10-23,71.15
2015-10-26,70.75
2015-10-27,72.35
2015-10-28,71.75
2015-10-29,70.2
2015-10-30,69.9
2015-11-02,67.45
2015-11-03,68.5
2015-11-04,67.0
2015-11-05,66.15
2015-11-06,63.95
2015-11-09,59.1
2015-11-10,59.1
2015-11-11,59.7
2015-11-13,58.55
2015-11-16,58.8
2015-11-17,56.7
2015-11-18,57.3
2015-11-19,58.5
2015-11-20,59.55
2015-11-23,61.05
2015-11-24,59.9
2015-11-26,60.05
2015-11-27,57.35
2015-11-30,60.75
2015-12-01,59.85
2015-12-02,71.8
2015-12-03,68.6
2015-12-04,65.95
2015-12-07,64.4
2015-12-08,62.25
2015-12-09,59.05
2015-12-10,61.6
2015-12-11,59.6
2015-12-14,69.05
2015-12-15,65.25
2015-12-16,62.8
2015-12-17,64.7
2015-12-18,65.2
2015-12-21,64.5
2015-12-22,64.6
2015-12-23,64.85
2015-12-24,65.3
2015-12-28,67.75
2015-12-29,66.0
2015-12-30,65.5
2015-12-31,66.5
