Date,SKMEGGPROD
2015-01-01,101.8
2015-01-02,110.3
2015-01-05,113.25
2015-01-06,108.2
2015-01-07,111.65
2015-01-08,128.05
2015-01-09,129.6
2015-01-12,132.75
2015-01-13,128.15
2015-01-14,128.0
2015-01-15,125.25
2015-01-16,122.85
2015-01-19,128.85
2015-01-20,145.7
2015-01-21,154.55
2015-01-22,168.05
2015-01-23,163.5
2015-01-27,157.3
2015-01-28,154.3
2015-01-29,149.35
2015-01-30,152.9
2015-02-02,159.75
2015-02-03,163.9
2015-02-04,167.35
2015-02-05,164.1
2015-02-06,155.45
2015-02-09,148.0
2015-02-10,153.15
2015-02-11,158.15
2015-02-12,157.5
2015-02-13,151.75
2015-02-16,154.35
2015-02-18,155.5
2015-02-19,154.65
2015-02-20,151.8
2015-02-23,149.25
2015-02-24,147.45
2015-02-25,143.5
2015-02-26,141.1
2015-02-27,144.8
2015-02-28,144.35
2015-03-02,142.65
2015-03-03,143.65
2015-03-04,143.2
2015-03-05,141.4
2015-03-09,153.8
2015-03-10,152.95
2015-03-11,148.4
2015-03-12,147.9
2015-03-13,143.9
2015-03-16,140.35
2015-03-17,142.8
2015-03-18,138.05
2015-03-19,140.1
2015-03-20,137.45
2015-03-23,139.4
2015-03-24,136.45
2015-03-25,135.35
2015-03-26,131.9
2015-03-27,133.25
2015-03-30,151.55
2015-03-31,148.85
2015-04-01,148.5
2015-04-06,151.5
2015-04-07,148.95
2015-04-08,151.55
2015-04-09,155.55
2015-04-10,178.6
2015-04-13,181.4
2015-04-15,173.75
2015-04-16,166.65
2015-04-17,166.1
2015-04-20,163.4
2015-04-21,161.9
2015-04-22,160.55
2015-04-23,160.6
2015-04-24,156.05
2015-04-27,148.25
2015-04-28,152.25
2015-04-29,151.35
2015-04-30,160.15
2015-05-04,171.5
2015-05-05,169.2
2015-05-06,162.4
2015-05-07,159.95
2015-05-08,160.05
2015-05-11,163.35
2015-05-12,157.45
2015-05-13,159.1
2015-05-14,161.15
2015-05-15,167.45
2015-05-18,170.55
2015-05-19,164.7
2015-05-20,146.35
2015-05-21,151.85
2015-05-22,146.95
2015-05-25,138.45
2015-05-26,138.65
2015-05-27,137.8
2015-05-28,132.85
2015-05-29,138.8
2015-06-01,135.75
2015-06-02,131.0
2015-06-03,127.85
2015-06-04,126.6
2015-06-05,127.15
2015-06-08,125.2
2015-06-09,120.55
2015-06-10,123.0
2015-06-11,119.55
2015-06-12,113.2
2015-06-15,117.9
2015-06-16,120.95
2015-06-17,131.6
2015-06-18,133.6
2015-06-19,131.45
2015-06-22,127.75
2015-06-23,130.9
2015-06-24,128.1
2015-06-25,129.15
2015-06-26,129.7
2015-06-29,128.05
2015-06-30,129.1
2015-07-01,129.7
2015-07-02,128.3
2015-07-03,126.85
2015-07-06,127.6
2015-07-07,129.35
2015-07-08,127.3
2015-07-09,125.7
2015-07-10,125.3
2015-07-13,124.6
2015-07-14,125.55
2015-07-15,124.35
2015-07-16,131.45
2015-07-17,141.2
2015-07-20,137.75
2015-07-21,136.05
2015-07-22,134.4
2015-07-23,136.45
2015-07-24,130.85
2015-07-27,131.9
2015-07-28,134.6
2015-07-29,146.85
2015-07-30,144.35
2015-07-31,139.3
2015-08-03,141.55
2015-08-04,139.85
2015-08-05,139.3
2015-08-06,138.0
2015-08-07,134.05
2015-08-10,134.35
2015-08-11,131.75
2015-08-12,125.7
2015-08-13,126.95
2015-08-14,132.85
2015-08-17,134.25
2015-08-18,135.65
2015-08-19,138.0
2015-08-20,141.95
2015-08-21,138.3
2015-08-24,119.3
2015-08-25,120.9
2015-08-26,124.8
2015-08-27,130.9
2015-08-28,131.7
2015-08-31,132.1
2015-09-01,129.5
2015-09-02,129.95
2015-09-03,131.35
2015-09-04,126.8
2015-09-07,127.0
2015-09-08,129.65
2015-09-09,131.55
2015-09-10,131.4
2015-09-11,131.6
2015-09-14,133.3
2015-09-15,135.65
2015-09-16,138.2
2015-09-18,144.3
2015-09-21,149.5
2015-09-22,146.9
2015-09-23,148.05
2015-09-24,143.5
2015-09-28,143.9
2015-09-29,145.7
2015-09-30,154.55
2015-10-01,172.15
2015-10-05,202.8
2015-10-06,201.65
2015-10-07,190.9
2015-10-08,200.05
2015-10-09,205.8
2015-10-12,212.0
2015-10-13,211.25
2015-10-14,217.95
2015-10-15,218.65
2015-10-16,211.0
2015-10-19,208.95
2015-10-20,205.95
2015-10-21,204.3
2015-10-23,192.45
2015-10-26,193.05
2015-10-27,195.0
2015-10-28,189.9
2015-10-29,189.7
2015-10-30,179.8
2015-11-02,168.3
2015-11-03,170.55
2015-11-04,167.3
2015-11-05,165.15
2015-11-06,157.7
2015-11-09,160.5
2015-11-10,165.55
2015-11-11,169.0
2015-11-13,166.65
2015-11-16,162.85
2015-11-17,163.55
2015-11-18,171.05
2015-11-19,177.0
2015-11-20,187.3
2015-11-23,184.5
2015-11-24,186.5
2015-11-26,181.35
2015-11-27,179.95
2015-11-30,180.35
2015-12-01,175.25
2015-12-02,174.35
2015-12-03,165.9
2015-12-04,171.95
2015-12-07,171.0
2015-12-08,169.2
2015-12-09,162.25
2015-12-10,165.15
2015-12-11,161.75
2015-12-14,163.1
2015-12-15,166.3
2015-12-16,168.45
2015-12-17,174.95
2015-12-18,174.35
2015-12-21,177.05
2015-12-22,176.25
2015-12-23,174.4
2015-12-24,175.5
2015-12-28,179.5
2015-12-29,179.4
2015-12-30,174.95
2015-12-31,177.3
