Date,HEROMOTOCO
2015-01-01,3105.4
2015-01-02,3098.1
2015-01-05,3119.4
2015-01-06,3014.4
2015-01-07,2974.05
2015-01-08,2984.0
2015-01-09,2992.25
2015-01-12,2937.15
2015-01-13,2893.2
2015-01-14,2903.05
2015-01-15,2950.55
2015-01-16,2897.7
2015-01-19,2841.3
2015-01-20,2828.65
2015-01-21,2875.15
2015-01-22,2838.85
2015-01-23,2862.8
2015-01-27,2857.75
2015-01-28,2865.1
2015-01-29,2876.5
2015-01-30,2865.5
2015-02-02,2833.2
2015-02-03,2812.4
2015-02-04,2829.5
2015-02-05,2847.3
2015-02-06,2776.3
2015-02-09,2728.8
2015-02-10,2720.15
2015-02-11,2753.35
2015-02-12,2807.55
2015-02-13,2852.9
2015-02-16,2805.0
2015-02-18,2663.75
2015-02-19,2664.95
2015-02-20,2658.9
2015-02-23,2647.9
2015-02-24,2651.4
2015-02-25,2624.55
2015-02-26,2622.25
2015-02-27,2672.6
2015-02-28,2684.65
2015-03-02,2624.55
2015-03-03,2636.5
2015-03-04,2622.25
2015-03-05,2609.45
2015-03-09,2599.25
2015-03-10,2617.7
2015-03-11,2612.7
2015-03-12,2642.35
2015-03-13,2610.0
2015-03-16,2631.25
2015-03-17,2651.45
2015-03-18,2675.35
2015-03-19,2662.8
2015-03-20,2609.95
2015-03-23,2637.1
2015-03-24,2605.1
2015-03-25,2595.75
2015-03-26,2603.75
2015-03-27,2576.15
2015-03-30,2644.3
2015-03-31,2639.8
2015-04-01,2655.85
2015-04-06,2672.7
2015-04-07,2632.35
2015-04-08,2605.8
2015-04-09,2611.6
2015-04-10,2583.85
2015-04-13,2580.7
2015-04-15,2524.55
2015-04-16,2430.1
2015-04-17,2410.5
2015-04-20,2316.35
2015-04-21,2329.1
2015-04-22,2409.4
2015-04-23,2390.55
2015-04-24,2352.8
2015-04-27,2317.0
2015-04-28,2355.55
2015-04-29,2372.1
2015-04-30,2328.9
2015-05-04,2389.55
2015-05-05,2357.45
2015-05-06,2326.4
2015-05-07,2354.55
2015-05-08,2300.65
2015-05-11,2384.25
2015-05-12,2466.4
2015-05-13,2503.75
2015-05-14,2537.5
2015-05-15,2529.7
2015-05-18,2520.55
2015-05-19,2580.75
2015-05-20,2579.4
2015-05-21,2602.4
2015-05-22,2603.45
2015-05-25,2588.1
2015-05-26,2613.85
2015-05-27,2606.3
2015-05-28,2643.4
2015-05-29,2696.85
2015-06-01,2710.0
2015-06-02,2608.6
2015-06-03,2576.95
2015-06-04,2547.9
2015-06-05,2577.65
2015-06-08,2520.65
2015-06-09,2499.95
2015-06-10,2514.95
2015-06-11,2504.2
