Date,SONATSOFTW
2015-01-01,128.95
2015-01-02,132.15
2015-01-05,129.5
2015-01-06,128.8
2015-01-07,127.75
2015-01-08,130.15
2015-01-09,125.05
2015-01-12,126.45
2015-01-13,125.2
2015-01-14,126.45
2015-01-15,125.2
2015-01-16,125.45
2015-01-19,129.65
2015-01-20,127.95
2015-01-21,126.05
2015-01-22,125.9
2015-01-23,124.35
2015-01-27,126.15
2015-01-28,123.4
2015-01-29,121.5
2015-01-30,121.5
2015-02-02,125.8
2015-02-03,124.9
2015-02-04,124.6
2015-02-05,125.05
2015-02-06,142.35
2015-02-09,143.4
2015-02-10,152.7
2015-02-11,152.5
2015-02-12,148.55
2015-02-13,145.85
2015-02-16,141.7
2015-02-18,143.3
2015-02-19,150.5
2015-02-20,153.05
2015-02-23,151.45
2015-02-24,146.75
2015-02-25,144.55
2015-02-26,143.05
2015-02-27,146.7
2015-02-28,146.1
2015-03-02,147.25
2015-03-03,147.7
2015-03-04,148.6
2015-03-05,155.7
2015-03-09,148.5
2015-03-10,159.05
2015-03-11,158.75
2015-03-12,168.4
2015-03-13,162.9
2015-03-16,171.6
2015-03-17,165.15
2015-03-18,172.05
2015-03-19,163.4
2015-03-20,157.0
2015-03-23,161.15
2015-03-24,161.1
2015-03-25,159.6
2015-03-26,162.3
2015-03-27,166.1
2015-03-30,172.7
2015-03-31,178.45
2015-04-01,174.95
2015-04-06,173.95
2015-04-07,176.0
2015-04-08,179.65
2015-04-09,177.85
2015-04-10,175.8
2015-04-13,178.2
2015-04-15,177.95
2015-04-16,172.0
2015-04-17,172.2
2015-04-20,164.5
2015-04-21,164.05
2015-04-22,165.0
2015-04-23,162.95
2015-04-24,153.3
2015-04-27,154.8
2015-04-28,149.9
2015-04-29,158.45
2015-04-30,154.75
2015-05-04,159.5
2015-05-05,156.3
2015-05-06,156.85
2015-05-07,148.45
2015-05-08,152.5
2015-05-11,148.8
2015-05-12,147.3
2015-05-13,148.8
2015-05-14,150.3
2015-05-15,152.95
2015-05-18,161.3
2015-05-19,165.75
2015-05-20,159.65
2015-05-21,156.25
2015-05-22,151.9
2015-05-25,152.35
2015-05-26,149.7
2015-05-27,144.0
2015-05-28,143.1
2015-05-29,145.7
2015-06-01,144.95
2015-06-02,145.3
2015-06-03,139.4
2015-06-04,143.45
2015-06-05,140.3
2015-06-08,140.0
2015-06-09,137.95
2015-06-10,140.75
2015-06-11,134.55
2015-06-12,130.7
2015-06-15,129.4
2015-06-16,131.2
2015-06-17,136.15
2015-06-18,140.2
2015-06-19,138.05
2015-06-22,139.45
2015-06-23,138.1
2015-06-24,139.8
2015-06-25,136.1
2015-06-26,133.4
2015-06-29,128.95
2015-06-30,128.45
2015-07-01,130.45
2015-07-02,134.6
2015-07-03,135.9
2015-07-06,134.35
2015-07-07,136.9
2015-07-08,134.35
2015-07-09,131.45
2015-07-10,133.65
2015-07-13,137.5
2015-07-14,138.55
2015-07-15,149.7
2015-07-16,148.75
2015-07-17,148.8
2015-07-20,151.7
2015-07-21,149.05
2015-07-22,144.25
2015-07-23,144.15
2015-07-24,144.05
2015-07-27,145.3
2015-07-28,145.55
2015-07-29,145.5
2015-07-30,149.25
2015-07-31,154.95
2015-08-03,156.85
2015-08-04,157.45
2015-08-05,172.2
2015-08-06,156.6
2015-08-07,153.25
2015-08-10,147.25
2015-08-11,147.85
2015-08-12,153.55
2015-08-13,158.45
2015-08-14,160.6
2015-08-17,156.35
2015-08-18,159.3
2015-08-19,160.6
2015-08-20,155.45
2015-08-21,152.65
2015-08-24,140.8
2015-08-25,143.05
2015-08-26,142.3
2015-08-27,146.75
2015-08-28,142.35
2015-08-31,141.4
2015-09-01,136.1
2015-09-02,136.4
2015-09-03,146.35
2015-09-04,137.8
2015-09-07,138.25
2015-09-08,138.5
2015-09-09,142.55
2015-09-10,140.2
2015-09-11,141.05
2015-09-14,139.9
2015-09-15,140.1
2015-09-16,138.4
2015-09-18,145.1
2015-09-21,145.65
2015-09-22,149.15
2015-09-23,147.55
2015-09-24,148.95
2015-09-28,147.8
2015-09-29,147.3
2015-09-30,151.5
2015-10-01,152.75
2015-10-05,150.7
2015-10-06,149.65
2015-10-07,148.85
2015-10-08,149.75
2015-10-09,148.8
2015-10-12,153.55
2015-10-13,156.75
2015-10-14,153.3
2015-10-15,154.7
2015-10-16,152.6
2015-10-19,151.85
2015-10-20,149.8
2015-10-21,150.6
2015-10-23,151.7
2015-10-26,155.25
2015-10-27,154.05
2015-10-28,154.65
2015-10-29,156.5
2015-10-30,155.65
2015-11-02,150.95
2015-11-03,154.9
2015-11-04,153.5
2015-11-05,152.85
2015-11-06,152.0
2015-11-09,156.35
2015-11-10,159.75
2015-11-11,160.3
2015-11-13,156.15
2015-11-16,155.7
2015-11-17,157.0
2015-11-18,159.2
2015-11-19,161.65
2015-11-20,169.25
2015-11-23,166.35
2015-11-24,163.7
2015-11-26,162.3
2015-11-27,160.85
2015-11-30,164.8
2015-12-01,166.1
2015-12-02,163.95
2015-12-03,169.05
2015-12-04,169.65
2015-12-07,171.6
2015-12-08,174.85
2015-12-09,165.6
2015-12-10,171.55
2015-12-11,170.75
2015-12-14,176.1
2015-12-15,173.7
2015-12-16,173.45
2015-12-17,180.95
2015-12-18,181.35
2015-12-21,180.85
2015-12-22,174.85
2015-12-23,175.0
2015-12-24,175.55
2015-12-28,174.5
2015-12-29,175.3
2015-12-30,175.2
2015-12-31,174.95
