Date,TRF
2015-01-01,383.95
2015-01-02,384.75
2015-01-05,382.75
2015-01-06,365.3
2015-01-07,359.15
2015-01-08,370.3
2015-01-09,367.6
2015-01-12,373.15
2015-01-13,366.9
2015-01-14,369.75
2015-01-15,378.5
2015-01-16,373.05
2015-01-19,402.25
2015-01-20,397.85
2015-01-21,393.45
2015-01-22,394.5
2015-01-23,383.5
2015-01-27,382.7
2015-01-28,392.5
2015-01-29,386.5
2015-01-30,391.95
2015-02-02,391.7
2015-02-03,388.2
2015-02-04,386.95
2015-02-05,379.1
2015-02-06,368.15
2015-02-09,360.3
2015-02-10,361.2
2015-02-11,363.0
2015-02-12,355.55
2015-02-13,358.75
2015-02-16,353.6
2015-02-18,371.3
2015-02-19,369.55
2015-02-20,362.1
2015-02-23,359.25
2015-02-24,353.95
2015-02-25,358.1
2015-02-26,349.75
2015-02-27,354.4
2015-02-28,349.9
2015-03-02,365.4
2015-03-03,391.15
2015-03-04,376.55
2015-03-05,372.75
2015-03-09,360.65
2015-03-10,355.15
2015-03-11,350.5
2015-03-12,353.05
2015-03-13,347.8
2015-03-16,344.9
2015-03-17,344.45
2015-03-18,342.95
2015-03-19,335.15
2015-03-20,325.0
2015-03-23,318.5
2015-03-24,318.75
2015-03-25,298.5
2015-03-26,315.7
2015-03-27,309.7
2015-03-30,334.85
2015-03-31,326.7
2015-04-01,345.6
2015-04-06,356.0
2015-04-07,353.1
2015-04-08,377.95
2015-04-09,369.5
2015-04-10,366.6
2015-04-13,383.15
2015-04-15,380.35
2015-04-16,375.35
2015-04-17,374.85
2015-04-20,364.5
2015-04-21,362.35
2015-04-22,354.55
2015-04-23,366.55
2015-04-24,355.65
2015-04-27,347.2
2015-04-28,349.2
2015-04-29,357.15
2015-04-30,383.9
2015-05-04,385.85
2015-05-05,375.65
2015-05-06,362.0
2015-05-07,352.05
2015-05-08,358.0
2015-05-11,363.35
2015-05-12,355.3
2015-05-13,359.65
2015-05-14,365.55
2015-05-15,369.55
2015-05-18,367.35
2015-05-19,366.95
2015-05-20,369.9
2015-05-21,369.25
2015-05-22,370.35
2015-05-25,371.35
2015-05-26,378.15
2015-05-27,381.3
2015-05-28,385.0
2015-05-29,378.4
2015-06-01,369.4
2015-06-02,357.05
2015-06-03,343.45
2015-06-04,342.95
2015-06-05,345.95
2015-06-08,340.45
2015-06-09,329.7
2015-06-10,331.4
2015-06-11,308.4
2015-06-12,337.4
2015-06-15,336.55
2015-06-16,347.55
2015-06-17,359.45
2015-06-18,370.25
2015-06-19,365.95
2015-06-22,371.75
2015-06-23,375.35
2015-06-24,364.4
2015-06-25,367.0
2015-06-26,354.35
2015-06-29,343.05
2015-06-30,350.4
2015-07-01,355.75
2015-07-02,371.35
2015-07-03,362.15
2015-07-06,391.05
2015-07-07,429.3
2015-07-08,432.5
2015-07-09,451.65
2015-07-10,449.9
2015-07-13,452.95
2015-07-14,454.8
2015-07-15,460.3
2015-07-16,469.85
2015-07-17,459.85
2015-07-20,433.5
2015-07-21,434.75
2015-07-22,437.55
2015-07-23,439.55
2015-07-24,441.65
2015-07-27,432.25
2015-07-28,424.35
2015-07-29,423.45
2015-07-30,427.75
2015-07-31,410.75
2015-08-03,417.25
2015-08-04,418.6
2015-08-05,417.1
2015-08-06,410.0
2015-08-07,403.1
2015-08-10,390.3
2015-08-11,376.25
2015-08-12,370.6
2015-08-13,379.9
2015-08-14,393.0
2015-08-17,314.4
2015-08-18,285.2
2015-08-19,294.1
2015-08-20,284.7
2015-08-21,281.2
2015-08-24,225.1
2015-08-25,204.85
2015-08-26,189.6
2015-08-27,208.55
2015-08-28,221.6
2015-08-31,200.7
2015-09-01,196.5
2015-09-02,193.9
2015-09-03,195.45
2015-09-04,184.7
2015-09-07,194.85
2015-09-08,194.55
2015-09-09,204.6
2015-09-10,208.3
2015-09-11,216.9
2015-09-14,219.9
2015-09-15,217.55
2015-09-16,216.5
2015-09-18,214.2
2015-09-21,211.3
2015-09-22,211.75
2015-09-23,209.25
2015-09-24,209.85
2015-09-28,204.25
2015-09-29,206.4
2015-09-30,210.25
2015-10-01,207.25
2015-10-05,213.25
2015-10-06,255.9
2015-10-07,262.6
2015-10-08,267.55
2015-10-09,262.05
2015-10-12,260.0
2015-10-13,261.1
2015-10-14,266.7
2015-10-15,266.25
2015-10-16,262.9
2015-10-19,285.25
2015-10-20,285.0
2015-10-21,277.35
2015-10-23,274.25
2015-10-26,268.55
2015-10-27,272.65
2015-10-28,272.75
2015-10-29,327.3
2015-10-30,320.55
2015-11-02,329.9
2015-11-03,333.15
2015-11-04,322.05
2015-11-05,310.3
2015-11-06,300.85
2015-11-09,307.35
2015-11-10,297.4
2015-11-11,304.25
2015-11-13,298.3
2015-11-16,299.9
2015-11-17,298.45
2015-11-18,291.65
2015-11-19,295.6
2015-11-20,313.45
2015-11-23,323.5
2015-11-24,327.9
2015-11-26,333.05
2015-11-27,332.25
2015-11-30,322.8
2015-12-01,385.05
2015-12-02,434.3
2015-12-03,426.35
2015-12-04,415.35
2015-12-07,408.65
2015-12-08,411.45
2015-12-09,371.9
2015-12-10,403.3
2015-12-11,410.15
2015-12-14,413.05
2015-12-15,415.1
2015-12-16,410.85
2015-12-17,417.2
2015-12-18,412.9
2015-12-21,418.95
2015-12-22,416.45
2015-12-23,416.95
2015-12-24,445.35
2015-12-28,449.45
2015-12-29,435.65
2015-12-30,432.15
2015-12-31,432.2
