Date,ESTER
2015-01-01,19.3
2015-01-02,20.8
2015-01-05,20.5
2015-01-06,19.55
2015-01-07,19.7
2015-01-08,20.05
2015-01-09,20.0
2015-01-12,20.2
2015-01-13,20.0
2015-01-14,20.0
2015-01-15,19.65
2015-01-16,21.65
2015-01-19,21.5
2015-01-20,21.75
2015-01-21,21.05
2015-01-22,20.85
2015-01-23,20.9
2015-01-27,20.75
2015-01-28,20.65
2015-01-29,20.35
2015-01-30,20.15
2015-02-02,20.25
2015-02-03,20.0
2015-02-04,20.0
2015-02-05,19.95
2015-02-06,19.8
2015-02-09,19.55
2015-02-10,19.05
2015-02-11,19.25
2015-02-12,17.85
2015-02-13,17.5
2015-02-16,17.2
2015-02-18,16.75
2015-02-19,16.8
2015-02-20,16.7
2015-02-23,16.65
2015-02-24,16.25
2015-02-25,16.45
2015-02-26,16.7
2015-02-27,16.75
2015-02-28,17.25
2015-03-02,17.0
2015-03-03,17.55
2015-03-04,18.2
2015-03-05,18.5
2015-03-09,20.4
2015-03-10,19.55
2015-03-11,18.75
2015-03-12,18.4
2015-03-13,17.55
2015-03-16,17.2
2015-03-17,16.95
2015-03-18,17.25
2015-03-19,16.95
2015-03-20,16.5
2015-03-23,16.35
2015-03-24,16.0
2015-03-25,16.0
2015-03-26,15.8
2015-03-27,15.9
2015-03-30,16.1
2015-03-31,16.4
2015-04-01,16.5
2015-04-06,17.65
2015-04-07,17.15
2015-04-08,17.35
2015-04-09,17.25
2015-04-10,18.4
2015-04-13,19.35
2015-04-15,20.1
2015-04-16,19.15
2015-04-17,19.05
2015-04-20,19.0
2015-04-21,19.25
2015-04-22,19.3
2015-04-23,19.75
2015-04-24,18.9
2015-04-27,17.95
2015-04-28,18.15
2015-04-29,18.4
2015-04-30,19.0
2015-05-04,19.3
2015-05-05,18.9
2015-05-06,18.1
2015-05-07,17.5
2015-05-08,18.15
2015-05-11,19.5
2015-05-12,20.05
2015-05-13,20.95
2015-05-14,21.45
2015-05-15,21.25
2015-05-18,21.5
2015-05-19,22.0
2015-05-20,22.9
2015-05-21,22.95
2015-05-22,23.3
2015-05-25,23.65
2015-05-26,21.55
2015-05-27,21.0
2015-05-28,20.0
2015-05-29,19.95
2015-06-01,20.25
2015-06-02,19.85
2015-06-03,19.2
2015-06-04,19.1
2015-06-05,19.2
2015-06-08,19.2
2015-06-09,19.15
2015-06-10,20.4
2015-06-11,22.2
2015-06-12,21.9
2015-06-15,22.0
2015-06-16,22.3
2015-06-17,23.5
2015-06-18,24.2
2015-06-19,24.25
2015-06-22,24.25
2015-06-23,24.4
2015-06-24,24.65
2015-06-25,24.6
2015-06-26,25.0
2015-06-29,24.7
2015-06-30,25.15
2015-07-01,25.55
2015-07-02,25.9
2015-07-03,27.1
2015-07-06,29.75
2015-07-07,30.55
2015-07-08,29.8
2015-07-09,28.9
2015-07-10,29.05
2015-07-13,28.65
2015-07-14,28.9
2015-07-15,28.9
2015-07-16,28.5
2015-07-17,27.0
2015-07-20,28.3
2015-07-21,28.65
2015-07-22,28.4
2015-07-23,33.4
2015-07-24,32.3
2015-07-27,31.8
2015-07-28,29.05
2015-07-29,29.2
2015-07-30,29.35
2015-07-31,28.35
2015-08-03,30.3
2015-08-04,29.95
2015-08-05,30.1
2015-08-06,30.75
2015-08-07,30.15
2015-08-10,29.85
2015-08-11,28.6
2015-08-12,27.8
2015-08-13,28.0
2015-08-14,28.05
2015-08-17,28.25
2015-08-18,28.4
2015-08-19,29.65
2015-08-20,27.9
2015-08-21,27.75
2015-08-24,26.1
2015-08-25,28.0
2015-08-26,29.15
2015-08-27,32.85
2015-08-28,33.6
2015-08-31,35.6
2015-09-01,32.45
2015-09-02,38.9
2015-09-03,39.55
2015-09-04,38.2
2015-09-07,39.6
2015-09-08,39.8
2015-09-09,39.0
2015-09-10,39.0
2015-09-11,38.9
2015-09-14,38.75
2015-09-15,38.2
2015-09-16,40.7
2015-09-18,41.25
2015-09-21,44.85
2015-09-22,43.7
2015-09-23,46.3
2015-09-24,48.75
2015-09-28,46.4
2015-09-29,46.15
2015-09-30,45.7
2015-10-01,46.0
2015-10-05,47.15
2015-10-06,46.3
2015-10-07,47.2
2015-10-08,51.1
2015-10-09,61.3
2015-10-12,65.75
2015-10-13,65.55
2015-10-14,65.95
2015-10-15,66.95
2015-10-16,64.1
2015-10-19,63.2
2015-10-20,64.35
2015-10-21,62.95
2015-10-23,62.7
2015-10-26,63.95
2015-10-27,64.4
2015-10-28,62.05
2015-10-29,60.05
2015-10-30,55.85
2015-11-02,57.1
2015-11-03,60.4
2015-11-04,58.8
2015-11-05,57.95
2015-11-06,54.55
2015-11-09,57.5
2015-11-10,56.55
2015-11-11,57.6
2015-11-13,62.3
2015-11-16,65.3
2015-11-17,78.35
2015-11-18,80.7
2015-11-19,84.2
2015-11-20,79.15
2015-11-23,78.6
2015-11-24,83.3
2015-11-26,82.4
2015-11-27,81.8
2015-11-30,89.95
2015-12-01,89.45
2015-12-02,98.35
2015-12-03,99.9
2015-12-04,99.05
2015-12-07,94.45
2015-12-08,96.65
2015-12-09,90.45
2015-12-10,95.6
2015-12-11,92.4
2015-12-14,93.9
2015-12-15,93.3
2015-12-16,94.5
2015-12-17,95.1
2015-12-18,95.05
2015-12-21,94.25
2015-12-22,95.95
2015-12-23,97.0
2015-12-24,93.45
2015-12-28,94.4
2015-12-29,91.9
2015-12-30,90.95
2015-12-31,88.9
