Date,TATAINVEST
2015-01-01,569.5
2015-01-02,573.95
2015-01-05,570.65
2015-01-06,558.8
2015-01-07,556.45
2015-01-08,561.85
2015-01-09,560.1
2015-01-12,557.7
2015-01-13,555.1
2015-01-14,555.2
2015-01-15,559.25
2015-01-16,559.2
2015-01-19,559.15
2015-01-20,561.5
2015-01-21,557.95
2015-01-22,573.05
2015-01-23,578.75
2015-01-27,575.3
2015-01-28,569.9
2015-01-29,567.8
2015-01-30,558.65
2015-02-02,562.2
2015-02-03,563.95
2015-02-04,563.4
2015-02-05,562.45
2015-02-06,555.6
2015-02-09,553.25
2015-02-10,553.0
2015-02-11,557.25
2015-02-12,557.3
2015-02-13,561.3
2015-02-16,569.2
2015-02-18,565.1
2015-02-19,568.2
2015-02-20,566.9
2015-02-23,563.5
2015-02-24,559.05
2015-02-25,554.25
2015-02-26,555.9
2015-02-27,559.35
2015-02-28,555.95
2015-03-02,563.45
2015-03-03,632.25
2015-03-04,605.2
2015-03-05,610.95
2015-03-09,618.65
2015-03-10,615.0
2015-03-11,606.05
2015-03-12,602.05
2015-03-13,579.65
2015-03-16,568.15
2015-03-17,576.4
2015-03-18,570.7
2015-03-19,566.0
2015-03-20,556.1
2015-03-23,556.0
2015-03-24,555.65
2015-03-25,555.1
2015-03-26,544.1
2015-03-27,545.55
2015-03-30,560.4
2015-03-31,572.8
2015-04-01,610.25
2015-04-06,599.75
2015-04-07,592.35
2015-04-08,593.95
2015-04-09,587.1
2015-04-10,589.65
2015-04-13,589.2
2015-04-15,587.7
2015-04-16,591.8
2015-04-17,590.1
2015-04-20,587.65
2015-04-21,584.25
2015-04-22,584.95
2015-04-23,587.75
2015-04-24,574.8
2015-04-27,566.8
2015-04-28,566.0
2015-04-29,564.05
2015-04-30,561.75
2015-05-04,570.8
2015-05-05,579.95
2015-05-06,558.5
2015-05-07,553.65
2015-05-08,560.85
2015-05-11,577.8
2015-05-12,568.25
2015-05-13,589.55
2015-05-14,582.75
2015-05-15,592.8
2015-05-18,600.75
2015-05-19,596.65
2015-05-20,599.15
2015-05-21,598.75
2015-05-22,597.35
2015-05-25,602.7
2015-05-26,593.2
2015-05-27,587.45
2015-05-28,588.95
2015-05-29,610.8
2015-06-01,597.2
2015-06-02,589.3
2015-06-03,579.85
2015-06-04,579.75
2015-06-05,579.2
2015-06-08,575.0
2015-06-09,578.2
2015-06-10,584.1
2015-06-11,579.45
2015-06-12,574.0
2015-06-15,582.4
2015-06-16,583.05
2015-06-17,586.9
2015-06-18,593.5
2015-06-19,600.1
2015-06-22,599.75
2015-06-23,597.45
2015-06-24,596.7
2015-06-25,592.3
2015-06-26,591.55
2015-06-29,588.5
2015-06-30,588.65
2015-07-01,593.35
2015-07-02,593.1
2015-07-03,593.15
2015-07-06,603.0
2015-07-07,598.05
2015-07-08,590.25
2015-07-09,589.5
2015-07-10,587.85
2015-07-13,594.2
2015-07-14,600.05
2015-07-15,602.1
2015-07-16,605.35
2015-07-17,604.05
2015-07-20,603.55
2015-07-21,601.35
2015-07-22,607.7
2015-07-23,613.0
2015-07-24,608.55
2015-07-27,604.55
2015-07-28,582.1
2015-07-29,576.85
2015-07-30,575.75
2015-07-31,577.35
2015-08-03,577.95
2015-08-04,578.95
2015-08-05,592.3
2015-08-06,594.05
2015-08-07,596.5
2015-08-10,592.55
2015-08-11,588.15
2015-08-12,573.75
2015-08-13,566.15
2015-08-14,570.6
2015-08-17,569.25
2015-08-18,578.75
2015-08-19,574.65
2015-08-20,563.55
2015-08-21,560.3
2015-08-24,525.95
2015-08-25,527.0
2015-08-26,520.25
2015-08-27,530.0
2015-08-28,524.7
2015-08-31,562.7
2015-09-01,537.75
2015-09-02,527.95
2015-09-03,535.8
2015-09-04,523.85
2015-09-07,522.65
2015-09-08,519.25
2015-09-09,529.05
2015-09-10,544.3
2015-09-11,543.35
2015-09-14,547.95
2015-09-15,545.9
2015-09-16,537.2
2015-09-18,525.6
2015-09-21,524.25
2015-09-22,520.55
2015-09-23,523.85
2015-09-24,523.95
2015-09-28,530.05
2015-09-29,532.5
2015-09-30,539.85
2015-10-01,541.1
2015-10-05,544.9
2015-10-06,538.7
2015-10-07,537.6
2015-10-08,538.6
2015-10-09,540.25
2015-10-12,541.9
2015-10-13,541.2
2015-10-14,540.1
2015-10-15,536.35
2015-10-16,539.6
2015-10-19,545.3
2015-10-20,554.3
2015-10-21,555.65
2015-10-23,556.55
2015-10-26,554.9
2015-10-27,552.55
2015-10-28,550.95
2015-10-29,551.05
2015-10-30,553.0
2015-11-02,555.15
2015-11-03,555.3
2015-11-04,555.1
2015-11-05,550.8
2015-11-06,555.6
2015-11-09,551.5
2015-11-10,544.75
2015-11-11,556.0
2015-11-13,551.7
2015-11-16,555.1
2015-11-17,555.15
2015-11-18,553.55
2015-11-19,550.1
2015-11-20,545.65
2015-11-23,545.35
2015-11-24,550.4
2015-11-26,555.05
2015-11-27,555.15
2015-11-30,562.05
2015-12-01,558.45
2015-12-02,559.25
2015-12-03,556.05
2015-12-04,555.45
2015-12-07,555.6
2015-12-08,554.9
2015-12-09,548.4
2015-12-10,551.85
2015-12-11,544.4
2015-12-14,540.6
2015-12-15,548.4
2015-12-16,546.7
2015-12-17,547.55
2015-12-18,546.9
2015-12-21,549.2
2015-12-22,546.9
2015-12-23,546.95
2015-12-24,545.4
2015-12-28,546.35
2015-12-29,547.1
2015-12-30,543.85
2015-12-31,541.4
