Date,SHILPAMED
2015-01-01,712.2
2015-01-02,709.25
2015-01-05,712.6
2015-01-06,690.5
2015-01-07,685.35
2015-01-08,740.85
2015-01-09,744.65
2015-01-12,759.95
2015-01-13,800.85
2015-01-14,868.4
2015-01-15,858.55
2015-01-16,884.15
2015-01-19,917.2
2015-01-20,962.1
2015-01-21,947.75
2015-01-22,965.5
2015-01-23,936.3
2015-01-27,908.55
2015-01-28,893.55
2015-01-29,893.5
2015-01-30,896.95
2015-02-02,938.8
2015-02-03,940.95
2015-02-04,923.8
2015-02-05,901.1
2015-02-06,875.75
2015-02-09,853.4
2015-02-10,856.85
2015-02-11,889.05
2015-02-12,930.2
2015-02-13,942.85
2015-02-16,895.25
2015-02-18,891.55
2015-02-19,874.6
2015-02-20,870.4
2015-02-23,842.5
2015-02-24,816.75
2015-02-25,815.45
2015-02-26,807.65
2015-02-27,827.95
2015-02-28,813.8
2015-03-02,817.8
2015-03-03,779.75
2015-03-04,786.05
2015-03-05,773.85
2015-03-09,784.95
2015-03-10,925.15
2015-03-11,983.95
2015-03-12,987.45
2015-03-13,977.3
2015-03-16,954.8
2015-03-17,1000.8
2015-03-18,1022.4
2015-03-19,990.2
2015-03-20,946.1
2015-03-23,959.05
2015-03-24,953.0
2015-03-25,935.4
2015-03-26,916.95
2015-03-27,942.35
2015-03-30,952.9
2015-03-31,993.15
2015-04-01,1030.5
2015-04-06,1012.95
2015-04-07,1009.25
2015-04-08,1011.35
2015-04-09,990.2
2015-04-10,986.85
2015-04-13,980.95
2015-04-15,986.15
2015-04-16,969.0
2015-04-17,945.6
2015-04-20,922.2
2015-04-21,917.95
2015-04-22,944.85
2015-04-23,950.6
2015-04-24,874.9
2015-04-27,835.65
2015-04-28,842.3
2015-04-29,887.85
2015-04-30,884.55
2015-05-04,892.2
2015-05-05,903.7
2015-05-06,871.0
2015-05-07,850.05
2015-05-08,869.3
2015-05-11,880.35
2015-05-12,864.9
2015-05-13,909.65
2015-05-14,910.05
2015-05-15,914.55
2015-05-18,929.15
2015-05-19,928.5
2015-05-20,938.35
2015-05-21,926.25
2015-05-22,920.4
2015-05-25,899.25
2015-05-26,917.05
2015-05-27,917.65
2015-05-28,927.15
2015-05-29,1010.4
2015-06-01,997.5
2015-06-02,962.95
2015-06-03,922.05
2015-06-04,917.65
2015-06-05,915.25
2015-06-08,872.7
2015-06-09,876.65
2015-06-10,876.55
2015-06-11,866.15
2015-06-12,854.25
2015-06-15,828.9
2015-06-16,842.0
2015-06-17,863.0
2015-06-18,917.8
2015-06-19,908.9
2015-06-22,910.15
2015-06-23,903.9
2015-06-24,906.15
2015-06-25,896.65
2015-06-26,887.25
2015-06-29,880.2
2015-06-30,866.1
2015-07-01,870.0
2015-07-02,870.95
2015-07-03,898.45
2015-07-06,906.1
2015-07-07,890.6
2015-07-08,905.75
2015-07-09,900.9
2015-07-10,897.0
2015-07-13,913.25
2015-07-14,914.55
2015-07-15,951.45
2015-07-16,940.85
2015-07-17,930.75
2015-07-20,926.3
2015-07-21,900.3
2015-07-22,905.3
2015-07-23,900.35
2015-07-24,886.25
2015-07-27,889.35
2015-07-28,895.8
2015-07-29,898.2
2015-07-30,906.85
2015-07-31,893.45
2015-08-03,899.4
2015-08-04,1079.25
2015-08-05,1200.25
2015-08-06,1147.85
2015-08-07,1087.85
2015-08-10,1065.35
2015-08-11,1083.8
2015-08-12,1079.9
2015-08-13,1042.9
2015-08-14,1059.25
2015-08-17,1085.05
2015-08-18,1067.3
2015-08-19,1130.75
2015-08-20,1114.9
2015-08-21,1121.4
2015-08-24,1008.7
2015-08-25,928.2
2015-08-26,976.2
2015-08-27,1020.15
2015-08-28,982.85
2015-08-31,989.85
2015-09-01,976.85
2015-09-02,961.65
2015-09-03,973.6
2015-09-04,938.6
2015-09-07,904.65
2015-09-08,917.15
2015-09-09,947.55
2015-09-10,936.8
2015-09-11,951.0
2015-09-14,932.4
2015-09-15,931.9
2015-09-16,921.0
2015-09-18,929.05
2015-09-21,944.45
2015-09-22,936.45
2015-09-23,932.9
2015-09-24,938.95
2015-09-28,951.6
2015-09-29,930.95
2015-09-30,934.9
2015-10-01,931.95
2015-10-05,923.15
2015-10-06,931.65
2015-10-07,939.25
2015-10-08,971.05
2015-10-09,954.05
2015-10-12,943.55
2015-10-13,939.4
2015-10-14,944.85
2015-10-15,948.1
2015-10-16,954.4
2015-10-19,960.6
2015-10-20,993.75
2015-10-21,990.3
2015-10-23,968.25
2015-10-26,936.55
2015-10-27,935.5
2015-10-28,947.4
2015-10-29,953.95
2015-10-30,940.35
2015-11-02,956.05
2015-11-03,953.95
2015-11-04,959.2
2015-11-05,945.8
2015-11-06,471.8
2015-11-09,484.0
2015-11-10,505.45
2015-11-11,521.15
2015-11-13,517.75
2015-11-16,531.95
2015-11-17,534.5
2015-11-18,514.55
2015-11-19,500.05
2015-11-20,499.95
2015-11-23,483.2
2015-11-24,465.85
2015-11-26,473.95
2015-11-27,473.9
2015-11-30,471.0
2015-12-01,467.9
2015-12-02,469.6
2015-12-03,468.85
2015-12-04,473.55
2015-12-07,471.0
2015-12-08,465.55
2015-12-09,448.8
2015-12-10,456.15
2015-12-11,470.15
2015-12-14,467.3
2015-12-15,478.2
2015-12-16,466.3
2015-12-17,475.5
2015-12-18,468.15
2015-12-21,464.35
2015-12-22,499.8
2015-12-23,495.85
2015-12-24,492.85
2015-12-28,490.6
2015-12-29,497.25
2015-12-30,496.05
2015-12-31,498.15
